Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,2.3,2.4,2.2,2.2,54257,0
2017-01-04,2.2,2.3,2.15,2.15,25141,0
2017-01-05,2.2,2.4,2.15,2.15,63098,0
2017-01-06,2.25,2.25,2.15,2.15,31421,0
2017-01-09,2.15,2.35,2.15,2.25,16143,0
2017-01-10,2.3,2.35,2.2083,2.35,14407,0
2017-01-11,2.3,2.35,2.255,2.295,12092,0
2017-01-12,2.3,2.3,2.2,2.3,9522,0
2017-01-13,2.35,2.35,2.2,2.3,21446,0
2017-01-17,2.25,2.35,2.2,2.2345,30951,0
2017-01-18,2.15,2.1823,2.05,2.1,39952,0
2017-01-19,2.15,2.2,2,2.15,47556,0
2017-01-20,2.15,2.35,2.05,2.3,66060,0
2017-01-23,2.3,2.35,2.2,2.3,30250,0
2017-01-24,2.25,2.3,2.2,2.3,17420,0
2017-01-25,2.3,2.3,2.1,2.3,56842,0
2017-01-26,2.3,2.3,2.2655,2.3,8066,0
2017-01-27,2.3,2.3,2.2,2.3,9232,0
2017-01-30,2.25,2.3,2.15,2.3,24229,0
2017-01-31,2.25,2.25,2.155,2.2,24791,0
2017-02-01,2.2,2.25,2.15,2.2,11935,0
2017-02-02,2.2,2.3,2.2,2.2,10977,0
2017-02-03,2.25,2.4,2.25,2.3,78402,0
2017-02-06,2.2584,2.3,2.2,2.2,20372,0
2017-02-07,2.2,2.2,2.1,2.15,44285,0
2017-02-08,2.15,2.15,2.1,2.1,26000,0
2017-02-09,2.15,2.15,2.1,2.1,13389,0
2017-02-10,2.15,2.2,2.1,2.2,24003,0
2017-02-13,2.2,2.45,2.175,2.45,64621,0
2017-02-14,2.45,2.45,2.35,2.35,64068,0
2017-02-15,2.4,2.4,2.35,2.35,66230,0
2017-02-16,2.4,2.4,2.25,2.35,40153,0
2017-02-17,2.3,2.4,2.3,2.345,85117,0
2017-02-21,2.35,2.4,2.3,2.4,70903,0
2017-02-22,2.4,2.5,2.355,2.5,48603,0
2017-02-23,2.5,2.5,2.405,2.45,17836,0
2017-02-24,2.4,2.5,2.4,2.4,15551,0
2017-02-27,2.4,2.5,2.4,2.425,9788,0
2017-02-28,2.45,2.45,2.4,2.45,18654,0
2017-03-01,2.5,2.5,2.4,2.425,9275,0
2017-03-02,2.4,2.45,2.4,2.425,8285,0
2017-03-03,2.4,2.5,2.4,2.45,43240,0
2017-03-06,2.45,2.5,2.45,2.5,35313,0
2017-03-07,2.8,3.05,2.5,2.65,656023,0
