Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,19.966,20.438,19.939,20.419,205516,0
2017-01-04,20.607,21.116,20.541,21.116,283204,0
2017-01-05,21.191,21.285,20.88,21.285,197123,0
2017-01-06,21.295,21.55,21.219,21.483,246720,0
2017-01-09,21.644,21.7,21.52,21.671,232510,0
2017-01-10,21.765,21.916,21.55,21.869,188218,0
2017-01-11,21.973,21.973,21.219,21.634,284194,0
2017-01-12,21.54,21.661,21.332,21.614,169714,0
2017-01-13,21.691,21.812,21.562,21.661,140069,0
2017-01-17,21.567,21.567,21.257,21.305,160310,0
2017-01-18,21.305,21.426,21.21,21.313,106625,0
2017-01-19,21.248,21.313,21.127,21.153,121284,0
2017-01-20,21.163,21.201,21.069,21.116,125578,0
2017-01-23,21.153,21.229,21.004,21.135,124690,0
2017-01-24,21.21,21.21,20.843,20.88,198686,0
2017-01-25,20.908,21.118,20.9,20.984,219930,0
2017-01-26,20.965,21.219,20.965,21.002,114831,0
2017-01-27,21.069,21.144,21.002,21.069,109778,0
2017-01-30,21.069,21.069,20.739,20.758,178646,0
2017-01-31,20.72,21.37,20.72,21.342,201504,0
2017-02-01,21.417,21.879,21.332,21.86,199133,0
2017-02-02,21.869,21.907,21.597,21.653,208443,0
2017-02-03,21.765,22.029,21.718,22.029,114975,0
2017-02-06,22.085,22.114,21.923,22.114,127752,0
2017-02-07,22.189,22.326,22.001,22.114,137240,0
2017-02-08,22.001,22.001,21.832,21.888,137238,0
2017-02-09,21.944,22.123,21.877,22.076,80954,0
2017-02-10,22.085,22.377,22.029,22.35,131242,0
2017-02-13,22.321,22.495,22.235,22.491,121048,0
2017-02-14,22.397,22.632,22.35,22.594,117663,0
2017-02-15,22.547,22.896,22.453,22.811,162516,0
2017-02-16,22.829,23.037,22.58,22.792,115682,0
2017-02-17,22.726,22.781,22.622,22.669,116269,0
2017-02-21,22.764,22.786,22.618,22.708,156369,0
2017-02-22,22.661,22.764,22.576,22.661,114242,0
2017-02-23,22.773,22.849,22.575,22.745,166394,0
2017-02-24,22.735,22.851,22.64,22.812,114801,0
2017-02-27,22.726,23.397,22.726,23.397,122376,0
2017-02-28,23.475,23.503,23.244,23.397,129951,0
2017-03-01,23.637,23.721,23.205,23.341,268371,0
2017-03-02,23.369,23.513,23.157,23.177,117234,0
2017-03-03,23.196,23.503,23.043,23.292,173059,0
