Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,33.153,33.203,32.706,33.203,20855,0
2017-01-04,33.203,34.242,32.959,33.995,12346,0
2017-01-05,33.648,33.797,33.252,33.598,13573,0
2017-01-06,33.203,33.945,33.003,33.4,7009,0
2017-01-09,33.252,33.252,32.706,32.856,8642,0
2017-01-10,32.756,33.153,32.706,33.153,3679,0
2017-01-11,32.953,32.954,32.409,32.607,6293,0
2017-01-12,32.508,32.508,31.171,31.171,2901,0
2017-01-13,31.517,31.814,31.171,31.666,6460,0
2017-01-17,30.905,31.171,30.527,30.527,6991,0
2017-01-18,30.971,30.971,30.179,30.229,2895,0
2017-01-19,30.13,30.279,28.742,28.891,12073,0
2017-01-20,28.791,29.188,28.494,28.841,49637,0
2017-01-23,28.841,29.735,28.568,29.039,9980,0
2017-01-24,28.99,30.08,28.99,30.03,8354,0
2017-01-25,30.179,30.427,29.982,30.03,11492,0
2017-01-26,30.08,30.08,29.485,29.832,2964,0
2017-01-27,29.785,30.527,29.585,30.179,5155,0
2017-01-30,29.932,30.824,29.385,30.229,7817,0
2017-01-31,30.03,30.824,29.882,30.327,4330,0
2017-02-01,30.327,30.327,29.982,29.982,9166,0
2017-02-02,29.982,30.092,29.485,29.733,20151,0
2017-02-03,29.882,30.971,29.733,30.427,53780,0
2017-02-06,30.179,30.179,29.088,29.238,31395,0
2017-02-07,29.282,29.282,28.791,28.99,15796,0
2017-02-08,28.841,28.841,28.246,28.395,28592,0
2017-02-09,28.544,29.385,28.296,28.841,9701,0
2017-02-10,29.188,29.188,28.643,28.891,8205,0
2017-02-13,28.99,29.385,28.791,28.941,4431,0
2017-02-14,28.494,28.494,27.949,28.196,7031,0
2017-02-15,28.242,28.692,28.048,28.593,7829,0
2017-02-16,28.593,28.643,27.999,28.196,22340,0
2017-02-17,27.85,28.296,27.453,27.751,15546,0
2017-02-21,27.652,28.098,27.453,27.999,18508,0
2017-02-22,27.899,28.643,27.85,28.494,7173,0
2017-02-23,28.445,28.742,27.751,27.949,4608,0
2017-02-24,27.85,28.196,27.85,28.098,4074,0
2017-02-27,27.999,29.138,27.799,29.138,4172,0
2017-02-28,28.593,28.593,26.809,27.256,28066,0
2017-03-01,27.453,27.944,27.057,27.503,12715,0
2017-03-02,26.909,27.069,26.017,26.959,17892,0
2017-03-03,26.661,27.71,26.512,27.355,65213,0
2017-03-06,27.007,27.85,27.007,27.751,41328,0
2017-03-07,27.403,27.503,27.106,27.453,4009,0
2017-03-08,27.453,27.453,26.314,26.512,6653,0
2017-03-09,26.809,26.809,26.115,26.562,41216,0
2017-03-10,27.256,27.702,26.909,27.403,43807,0
2017-03-13,27.453,27.924,27.057,27.751,19244,0
2017-03-14,27.702,28.098,27.355,27.751,18727,0
2017-03-15,27.751,28.544,27.751,28.445,5913,0
2017-03-16,28.494,28.841,27.652,28.791,41329,0
2017-03-17,28.791,30.477,28.791,30.13,62776,0
2017-03-20,30.13,31.021,29.585,30.674,16408,0
2017-03-21,30.874,30.971,29.535,30.724,54960,0
2017-03-22,30.427,30.575,29.635,29.832,24375,0
2017-03-23,29.832,29.882,28.738,29.782,44961,0
2017-03-24,29.747,29.747,28.938,29.036,5604,0
2017-03-27,28.49,28.938,26.949,27.495,70545,0
2017-03-28,27.557,29.036,27.557,28.689,16872,0
2017-03-29,28.938,29.186,28.738,28.987,6525,0
2017-03-30,29.261,30.877,29.236,30.677,11752,0
2017-03-31,30.529,31.373,30.529,30.927,56968,0
2017-04-03,30.927,32.07,29.683,29.982,55689,0
2017-04-04,28.888,31.075,28.888,30.727,61840,0
2017-04-05,30.877,31.075,29.036,29.434,42755,0
2017-04-06,29.484,30.329,29.434,30.031,14608,0
2017-04-07,29.584,29.832,29.286,29.286,5629,0
2017-04-10,29.882,30.131,28.938,28.938,7895,0
2017-04-11,28.987,29.036,26.998,27.893,42319,0
2017-04-12,28.142,28.142,27.347,27.495,7699,0
2017-04-13,27.197,27.545,26.998,27.147,15548,0
2017-04-17,27.197,27.968,27.147,27.695,17330,0
2017-04-18,27.645,27.943,27.595,27.695,8790,0
2017-04-19,28.167,28.241,27.347,27.695,18370,0
2017-04-20,27.695,28.49,27.695,28.49,10265,0
2017-04-21,28.738,28.738,27.843,28.241,14905,0
2017-04-24,28.689,29.086,28.341,28.987,16705,0
2017-04-25,29.782,30.18,29.534,29.832,14634,0
2017-04-26,29.336,30.329,29.136,29.434,18082,0
2017-04-27,29.484,29.982,29.086,29.584,10969,0
2017-04-28,29.336,29.434,28.589,28.838,11723,0
2017-05-01,28.639,28.788,28.092,28.291,6369,0
2017-05-02,28.788,29.683,28.291,28.44,6073,0
2017-05-03,28.938,28.987,28.341,28.44,9027,0
2017-05-04,28.44,28.788,27.893,28.49,5192,0
2017-05-05,28.49,29.186,28.365,29.036,10851,0
2017-05-08,28.838,29.782,28.291,29.434,21078,0
2017-05-09,29.186,29.534,29.136,29.286,7278,0
2017-05-10,29.036,29.186,28.762,28.838,7125,0
2017-05-11,28.39,29.534,28.291,29.086,8437,0
2017-05-12,28.788,28.838,28.241,28.39,7845,0
2017-05-15,28.291,29.932,28.291,29.136,114771,0
2017-05-16,29.136,29.932,27.943,28.738,81446,0
2017-05-17,27.943,28.639,27.793,28.291,47857,0
2017-05-18,28.341,28.69,27.695,28.54,23830,0
2017-05-19,28.44,28.44,27.993,28.142,21326,0
2017-05-22,28.191,28.838,28.067,28.788,9112,0
2017-05-23,28.639,29.086,28.49,28.938,10264,0
2017-05-24,28.888,29.036,28.241,28.44,9908,0
2017-05-25,28.44,28.987,28.042,28.142,17265,0
2017-05-26,28.142,28.142,27.843,27.843,8648,0
2017-05-30,27.969,28.341,27.744,28.241,14433,0
2017-05-31,28.291,29.086,27.585,28.938,14975,0
2017-06-01,28.241,29.832,28.241,29.584,23270,0
2017-06-02,29.782,32.156,29.782,31.622,39987,0
2017-06-05,31.533,32.418,31.523,31.821,32293,0
2017-06-06,31.573,33.512,31.16,33.014,35398,0
2017-06-07,32.468,33.263,32.252,32.914,14788,0
2017-06-08,32.088,33.537,32.04,33.214,23372,0
2017-06-09,33.512,34.009,33.512,33.661,23688,0
2017-06-12,33.214,33.86,32.816,32.964,16494,0
2017-06-13,32.666,33.561,32.318,32.567,20549,0
2017-06-14,32.505,32.616,32.169,32.468,10104,0
2017-06-15,31.323,33.064,31,32.914,16624,0
2017-06-16,32.468,33.164,32.02,33.014,29484,0
2017-06-19,33.089,33.214,32.816,33.014,12514,0
2017-06-20,32.517,33.164,32.418,32.914,11870,0
2017-06-21,32.716,33.189,32.02,32.418,25874,0
2017-06-22,32.517,33.315,32.517,33.315,10333,0
2017-06-23,33.365,33.365,32.567,33.315,74611,0
2017-06-26,33.166,33.964,33.166,33.814,19033,0
2017-06-27,33.615,34.562,33.216,33.515,31941,0
2017-06-28,34.064,35.734,34.064,34.662,26270,0
2017-06-29,34.762,34.812,33.714,34.463,26627,0
2017-06-30,34.862,35.061,33.565,34.662,31890,0
2017-07-03,34.712,35.261,34.463,35.111,6345,0
2017-07-05,35.061,35.211,34.064,35.011,12707,0
2017-07-06,34.512,35.211,33.864,33.864,21907,0
2017-07-07,33.375,34.886,33.375,34.662,19999,0
2017-07-10,34.562,35.211,34.413,34.463,13945,0
2017-07-11,33.565,34.363,33.465,34.064,32824,0
