Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,19.7,19.85,19.15,19.4,286668,0
2017-01-04,19.4,19.85,19.4,19.75,269837,0
2017-01-05,19.55,19.55,18.9,19.25,161569,0
2017-01-06,19.3,19.3,18.7,18.7,172438,0
2017-01-09,18.65,18.8,18,18.15,900001,0
2017-01-10,18.2,18.85,18,18.7,186184,0
2017-01-11,18.65,18.825,18.3,18.8,190992,0
2017-01-12,18.8,18.85,18,18.6,296122,0
2017-01-13,18.7,18.9,18.55,18.7,158985,0
2017-01-17,18.7,19.35,18.6,18.75,231506,0
2017-01-18,18.75,19,18.5,18.8,142670,0
2017-01-19,18.75,18.85,18.05,18.2,197106,0
2017-01-20,18.25,18.25,17.8,18,318237,0
2017-01-23,17.95,18.3,17.7,18.2,581923,0
2017-01-24,20.45,21.45,20.3,20.7,1251284,0
2017-01-25,21.45,21.65,20.3,20.4,605303,0
2017-01-26,20.45,20.599,20.05,20.1,466865,0
2017-01-27,20.2,20.25,19.9,20,292095,0
2017-01-30,19.95,20.5,19.65,20.3,279774,0
2017-01-31,20.2,21.65,19.95,21.45,426761,0
2017-02-01,21.5,21.5,20.9,21.15,266909,0
2017-02-02,21.15,21.25,20.5,20.7,227386,0
2017-02-03,20.8,21.2,20.55,20.7,167781,0
2017-02-06,20.7,20.725,20.3,20.55,164880,0
2017-02-07,20.65,20.8,20.45,20.65,196560,0
2017-02-08,20.7,20.9,20,20.6,195105,0
2017-02-09,20.6,21.25,20.6,21,204897,0
2017-02-10,21.5,21.6,21.1,21.55,252683,0
2017-02-13,21.65,21.85,21.25,21.5,200468,0
2017-02-14,21.4,21.95,21.35,21.65,243698,0
2017-02-15,21.65,21.8,21.05,21.45,154443,0
2017-02-16,21.45,21.75,21.35,21.5,211922,0
2017-02-17,21.45,22.85,21.45,22.7,478174,0
2017-02-21,22.95,23.35,21.85,23.2,649750,0
2017-02-22,23.2,23.5,22.95,23.35,294190,0
2017-02-23,23.45,23.45,22.65,22.8,261429,0
2017-02-24,22.65,23.15,22.35,22.7,155318,0
2017-02-27,22.65,22.9,22.45,22.8,127161,0
2017-02-28,22.7,22.85,22.05,22.5,405049,0
2017-03-01,22.9,23,22.5,22.85,200272,0
2017-03-02,22.85,22.9,22.45,22.6,121170,0
2017-03-03,22.65,23,22.2,22.55,137210,0
2017-03-06,22.4,22.4,21.81,22.25,169014,0
2017-03-07,22.2,22.35,21.8,22.15,157716,0
2017-03-08,22.2,22.4,22.05,22.3,129659,0
2017-03-09,22.35,22.4,21.95,22.1,164708,0
2017-03-10,22.3,22.75,22.15,22.35,172291,0
2017-03-13,22.4,22.4,22,22.15,135492,0
2017-03-14,22.2,22.3,21.8999,22.15,187447,0
2017-03-15,22.45,22.85,22.25,22.7,159751,0
2017-03-16,22.75,22.95,22.55,22.8,122408,0
2017-03-17,22.85,22.95,22.3,22.45,246431,0
2017-03-20,22.45,22.5,21.6,21.9,202708,0
2017-03-21,22.05,22.1,20.85,21.45,277142,0
2017-03-22,21.35,21.6,20.925,21.35,200023,0
2017-03-23,21.3,21.75,21.1,21.45,177001,0
2017-03-24,21.45,21.7,20.95,21.3,190848,0
2017-03-27,21,21.5,20.935,21.35,171115,0
2017-03-28,21.3,22,21.15,21.8,166264,0
2017-03-29,21.75,22.2,21.65,22,85331,0
2017-03-30,22,22.05,21.3,21.6,174856,0
2017-03-31,21.6,21.75,21.4,21.65,245595,0
2017-04-03,21.65,21.65,21.05,21.15,191622,0
2017-04-04,21.15,21.4,20.8,21,164679,0
2017-04-05,21.1,21.6,20.9,21.15,264209,0
2017-04-06,21.25,21.8,20.9,21.75,254994,0
2017-04-07,21.7,21.725,21,21.1,134329,0
2017-04-10,21.15,21.55,20.95,21.45,148056,0
2017-04-11,21.45,21.45,20.9,21.3,336274,0
2017-04-12,21.35,21.35,20.6,20.85,200086,0
2017-04-13,20.8,20.9,20.55,20.7,107275,0
2017-04-17,20.8,21.2,20.65,21.15,140487,0
2017-04-18,21.05,21.4,20.85,21.25,141438,0
2017-04-19,21.3,21.75,21.3,21.5,157639,0
2017-04-20,21.65,22.7,21.6,22.35,315807,0
2017-04-21,22.3,22.6,21.65,22.2,302416,0
2017-04-24,22.55,22.75,22.15,22.6,180927,0
2017-04-25,22.8,23.65,22.8,23.1,556059,0
2017-04-26,23.1,23.4,21.85,21.95,553955,0
2017-04-27,22.6,22.6,19.75,20.75,1068867,0
2017-04-28,20.45,20.5,20.025,20.35,444660,0
