Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,56.365,56.424,55.27,55.691,2620100,0
2017-01-04,55.929,56.92,55.791,56.672,3100268,0
2017-01-05,56.484,57.178,56.167,56.434,1652357,0
2017-01-06,56.504,56.998,56.365,56.801,1504260,0
2017-01-09,56.741,57.148,56.355,56.484,1486069,0
2017-01-10,56.573,56.622,56.147,56.236,1662746,0
2017-01-11,56.375,56.424,55.513,56.305,3888638,0
2017-01-12,55.998,56.444,55.275,56.187,4330351,0
2017-01-13,56.524,56.9,56.137,56.295,1981723,0
2017-01-17,56.197,56.246,55.641,55.929,2017483,0
2017-01-18,56.217,56.88,55.681,56.771,2092540,0
2017-01-19,56.821,56.9,56.414,56.424,1905273,0
2017-01-20,56.583,56.959,56.394,56.86,2020845,0
2017-01-23,56.652,56.9,56.157,56.305,1560436,0
2017-01-24,56.454,57.138,56.38,56.92,1717764,0
2017-01-25,57.295,57.642,57.207,57.415,2555920,0
2017-01-26,57.602,58.316,57.435,57.622,1945882,0
2017-01-27,57.612,57.642,57.073,57.335,1321624,0
2017-01-30,57.335,57.425,56.711,57.395,1321905,0
2017-01-31,57.445,57.841,57.276,57.812,2481709,0
2017-02-01,57.871,58.406,57.593,57.802,2980141,0
2017-02-02,57.475,58.247,57.286,57.841,3768722,0
2017-02-03,58.326,58.446,57.9,57.989,3121946,0
2017-02-06,57.702,58.019,57.574,57.959,2907187,0
2017-02-07,58.723,59.971,58.723,59.367,7230776,0
2017-02-08,58.94,58.94,56.449,56.504,5656589,0
2017-02-09,56.543,57.118,56.266,57.038,3691900,0
2017-02-10,57.088,57.32,56.598,57.108,3003403,0
2017-02-13,57.574,58.554,57.276,58.475,2582887,0
2017-02-14,58.475,58.584,57.9,58.099,2942614,0
2017-02-15,58.178,58.564,57.782,58.456,3429115,0
2017-02-16,58.386,58.386,57.697,58.099,1826611,0
2017-02-17,57.979,58.247,57.752,57.851,2991035,0
2017-02-21,57.871,58.019,57.267,57.415,3180296,0
2017-02-22,57.048,57.445,56.92,57.187,2810908,0
2017-02-23,57.315,57.765,57.254,57.564,3002016,0
2017-02-24,57.227,58.069,57.128,57.752,2045548,0
2017-02-27,57.702,57.851,56.612,57.158,3121548,0
2017-02-28,56.94,57.098,56.434,56.593,3424558,0
2017-03-01,57.286,58.544,57.068,58.376,3905964,0
2017-03-02,58.336,58.423,57.825,57.969,3009938,0
2017-03-03,57.969,58.296,57.524,58.187,3020430,0
2017-03-06,57.871,58.663,57.554,58.465,3680922,0
2017-03-07,58.396,58.494,57.999,58.079,2681312,0
2017-03-08,58.306,58.921,58.099,58.831,3498799,0
2017-03-09,58.97,59.882,58.901,59.495,5148472,0
2017-03-10,59.762,60.287,59.208,59.693,3618567,0
2017-03-13,59.921,60.129,59.634,59.832,3657182,0
2017-03-14,59.832,60.309,59.648,59.842,3434761,0
2017-03-15,60.11,60.165,59.872,60.031,2807558,0
2017-03-16,60.2,61.204,60.13,61.174,3957371,0
2017-03-17,61.094,61.601,60.915,61.024,4900244,0
2017-03-20,60.886,61.094,60.597,60.627,2335401,0
2017-03-21,60.896,60.985,59.574,59.663,3353199,0
2017-03-22,59.663,59.842,59.166,59.434,2133753,0
2017-03-23,59.494,60.036,59.345,59.504,2448443,0
2017-03-24,59.623,59.902,59.335,59.484,2551689,0
2017-03-27,58.838,59.196,58.49,59.037,1934465,0
2017-03-28,58.838,59.673,58.818,59.464,2089299,0
2017-03-29,59.315,59.325,58.669,58.937,1902315,0
2017-03-30,58.987,59.762,58.859,59.663,2042887,0
2017-03-31,59.375,59.941,59.236,59.504,2111901,0
2017-04-03,59.683,59.812,58.441,58.957,2577002,0
2017-04-04,59.037,59.246,58.749,59.047,2460696,0
2017-04-05,59.424,60.28,59.186,59.603,3086142,0
2017-04-06,59.593,60.08,59.325,59.872,3381700,0
2017-04-07,59.633,60.677,59.494,60.408,3900340,0
2017-04-10,60.508,60.736,60.001,60.031,2683606,0
2017-04-11,59.842,60.085,59.534,59.921,3261959,0
2017-04-12,59.643,59.961,59.415,59.464,2401143,0
2017-04-13,59.335,59.653,59.057,59.057,1654671,0
2017-04-17,59.166,59.792,58.709,59.733,1224529,0
2017-04-18,59.564,60.011,59.434,59.902,1683825,0
2017-04-19,60.12,60.259,59.514,59.583,2005549,0
2017-04-20,59.852,60.329,59.544,60.259,3102856,0
2017-04-21,60.2,60.498,59.782,60.041,1868274,0
2017-04-24,61.005,61.174,60.135,60.21,3014399,0
2017-04-25,60.736,61.024,60.587,60.597,1865860,0
2017-04-26,60.697,61.094,60.607,60.726,1729767,0
2017-04-27,60.816,60.816,59.771,59.842,2668147,0
2017-04-28,59.842,60.289,59.663,59.832,2979343,0
2017-05-01,60.13,60.359,59.852,60.031,3266586,0
2017-05-02,60.249,60.388,59.832,60.249,3624816,0
2017-05-03,59.603,60.647,59.39,59.961,3915799,0
2017-05-04,60.2,60.622,59.912,60.498,3308669,0
2017-05-05,60.607,60.627,59.912,60.09,2166020,0
2017-05-08,60.031,60.269,58.54,58.729,2517748,0
2017-05-09,58.868,58.868,58.441,58.55,3757455,0
2017-05-10,58.54,58.679,58.063,58.639,2458300,0
2017-05-11,58.54,58.818,57.834,58.709,2947080,0
2017-05-12,58.451,58.828,58.381,58.431,1675786,0
2017-05-15,58.401,59.077,58.401,58.927,2158444,0
2017-05-16,59.027,59.027,58.599,58.639,1886583,0
2017-05-17,57.745,58.48,57.66,57.715,2609398,0
2017-05-18,57.815,58.46,57.556,58.232,2272911,0
2017-05-19,58.381,59.265,58.103,58.957,3037383,0
2017-05-22,59.236,59.34,58.858,59.097,1892398,0
2017-05-23,59.017,59.703,58.878,59.504,1645888,0
2017-05-24,59.673,59.752,59.265,59.574,1461326,0
2017-05-25,59.842,60.329,59.593,60.07,1527870,0
2017-05-26,60.001,60.379,59.912,59.981,1354504,0
2017-05-30,59.752,60.07,59.693,59.792,1993448,0
2017-05-31,60.488,60.488,59.544,59.822,2727499,0
2017-06-01,60.279,60.299,59.742,59.971,2795011,0
2017-06-02,59.931,60.22,59.852,59.951,2625709,0
2017-06-05,60.011,61.591,59.902,61.323,3988261,0
2017-06-06,60.995,61.412,60.881,61.174,3430302,0
2017-06-07,61.174,63.335,61.164,63.231,4803256,0
2017-06-08,63.32,63.778,63.032,63.4,3759368,0
2017-06-09,63.44,64.176,63.172,63.579,4071811,0
2017-06-12,63.51,64.086,63.27,64.036,3263265,0
2017-06-13,64.056,64.394,63.926,64.066,2341404,0
2017-06-14,63.807,64.554,63.748,64.475,2061155,0
2017-06-15,64.295,64.539,63.966,64.415,1685588,0
2017-06-16,64.435,64.544,64.196,64.375,2308355,0
2017-06-19,64.544,64.804,64.375,64.574,2582760,0
2017-06-20,64.305,64.684,64.265,64.325,1756435,0
2017-06-21,64.235,64.305,63.737,64.096,2330896,0
2017-06-22,63.936,64.305,63.702,63.956,2367816,0
2017-06-23,64.275,64.295,63.901,64.086,2379909,0
2017-06-26,64.136,64.335,64.016,64.156,1607608,0
2017-06-27,64.614,65.512,64.176,65.183,3958345,0
2017-06-28,65.621,66.07,65.202,65.94,3741361,0
2017-06-29,66.439,66.528,65.442,65.641,2868805,0
2017-06-30,65.711,66.05,65.512,65.721,2380608,0
2017-07-03,65.87,66.698,65.751,66.479,1912538,0
2017-07-05,66.459,66.688,65.771,65.98,2697262,0
2017-07-06,65.97,66.489,65.641,65.771,2725711,0
2017-07-07,65.93,66.254,65.472,65.721,2546907,0
2017-07-10,65.711,65.831,65.302,65.302,3120903,0
2017-07-11,65.372,65.9,65.043,65.222,3022956,0
2017-07-12,65.242,65.671,64.993,65.671,2669987,0
2017-07-13,66.419,67.132,65.92,66.678,3172353,0
2017-07-14,66.16,66.16,65.272,65.352,2860230,0
2017-07-17,65.412,66.219,65.213,65.621,2128537,0
2017-07-18,65.402,65.643,65.138,65.522,2018934,0
2017-07-19,65.751,65.811,65.242,65.522,2037823,0
2017-07-20,65.462,65.781,65.362,65.641,1978431,0
2017-07-21,65.621,66.558,65.621,66.379,2290468,0
2017-07-24,66.279,67.087,66.11,66.548,3607248,0
2017-07-25,67.057,67.276,66.17,66.18,1761997,0
2017-07-26,66.13,66.738,66.02,66.14,1644016,0
2017-07-27,66.09,66.329,65.472,65.93,1663709,0
2017-07-28,66,66.349,65.611,66.17,1181032,0
2017-07-31,66.08,66.708,65.92,66.509,2089334,0
2017-08-01,66.588,67.087,66.349,67.077,2245437,0
2017-08-02,67.077,67.107,66.538,66.818,1789413,0
2017-08-03,63.807,65.751,63.029,64.953,4097499,0
2017-08-04,65.352,65.442,64.255,64.624,2772415,0
2017-08-07,64.893,64.973,64.166,64.176,2341812,0
2017-08-08,64.016,64.505,63.817,64.355,2307427,0
2017-08-09,64.086,65.551,64.086,65.531,1728242,0
2017-08-10,65.123,65.561,64.854,64.963,2758993,0
2017-08-11,65.163,65.232,64.674,64.814,2074040,0
2017-08-14,65.671,65.671,65.013,65.193,1248299,0
2017-08-15,65.462,66.04,65.402,65.661,1547579,0
2017-08-16,65.771,66.229,65.691,65.86,1635536,0
2017-08-17,65.89,66.12,64.953,64.953,1640755,0
2017-08-18,64.784,64.883,64.375,64.395,1857906,0
2017-08-21,64.395,64.574,63.876,64.355,1508404,0
2017-08-22,64.544,65.512,64.285,65.302,1611544,0
2017-08-23,65.153,65.412,64.794,64.824,1286506,0
2017-08-24,65.402,65.472,64.255,64.505,1519830,0
2017-08-25,64.784,65.522,64.604,65.212,1808781,0
2017-08-28,65.332,65.512,64.923,65.103,1278439,0
2017-08-29,64.784,64.804,64.245,64.624,1255786,0
2017-08-30,64.594,65.003,64.445,64.634,1478085,0
2017-08-31,64.794,64.804,64.345,64.475,1753385,0
2017-09-01,64.644,65.163,64.415,64.903,1412373,0
2017-09-05,64.854,64.873,64.255,64.754,2827706,0
2017-09-06,65.093,65.985,65.033,65.571,2956512,0
2017-09-07,65.522,65.522,63.737,64.106,2810678,0
2017-09-08,64.285,65.502,64.096,65.143,1933085,0
2017-09-11,65.452,66.12,65.377,65.512,1942247,0
2017-09-12,65.462,66.239,65.382,66.18,1318708,0
2017-09-13,65.88,66.08,65.771,66.02,1334549,0
2017-09-14,66.1,66.3,65.77,66.18,1229053,0
2017-09-15,66.01,66.3,65.29,65.38,3528156,0
2017-09-18,65.35,65.83,65.13,65.65,2013204,0
2017-09-19,65.76,66.6,65.69,66.32,1859693,0
2017-09-20,66.32,66.88,66.09,66.67,2137114,0
2017-09-21,66.49,67.31,66.43,66.83,1639794,0
2017-09-22,66.61,67.17,66.61,67.05,1868505,0
2017-09-25,66.97,67.24,65.92,67.22,1667745,0
2017-09-26,67.13,67.68,66.93,66.99,2559039,0
2017-09-27,67.26,68.26,67.26,68.13,2287302,0
2017-09-28,68,68.6,67.7,68.54,2000588,0
2017-09-29,68.41,68.88,68.41,68.7,1896981,0
2017-10-02,68.86,69.66,68.7,69.33,2023474,0
2017-10-03,69.11,70,69.025,69.88,2083737,0
2017-10-04,69.92,70.63,69.51,70.46,2645307,0
2017-10-05,70.5,71.095,70.14,70.96,2345714,0
2017-10-06,71.05,71.24,68.95,69.03,4333335,0
2017-10-09,69.1,69.75,68.91,69.46,1755734,0
2017-10-10,69.59,69.94,69.2,69.68,1559471,0
2017-10-11,69.78,70.1,69.6,70.09,1378409,0
2017-10-12,70.02,70.69,69.89,69.91,1920931,0
2017-10-13,69.92,70.0492,69.31,69.39,1944833,0
2017-10-16,69.41,69.46,68.32,68.4,3874554,0
2017-10-17,68.6,68.63,67.98,68.17,4417753,0
2017-10-18,68.39,68.65,67.88,68.2,2251851,0
2017-10-19,67.62,67.8,66.72,66.85,4447225,0
2017-10-20,67.32,67.37,66.02,66.12,6052921,0
2017-10-23,65.86,65.96,65.43,65.69,5645257,0
2017-10-24,66.04,66.04,65.17,65.24,4577885,0
2017-10-25,65.59,66.02,64.91,65.91,7943607,0
2017-10-26,66,66.2,65.37,65.61,4553065,0
2017-10-27,65.69,66.05,64.98,65.48,5242764,0
2017-10-30,65.42,65.66,65.205,65.26,2977723,0
2017-10-31,65.19,66.16,65.145,66.1,5587290,0
