Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,6.2764,6.3503,6.2487,6.2764,2145493,0
2017-01-04,6.2857,6.3594,6.2857,6.341,2125306,0
2017-01-05,6.3594,6.4056,6.3317,6.3871,2149013,0
2017-01-06,6.3964,6.4334,6.3687,6.424,516394,0
2017-01-09,6.424,6.424,6.3871,6.3964,623007,0
2017-01-10,6.424,6.4334,6.3964,6.4056,759862,0
2017-01-11,6.4056,6.4334,6.3871,6.4334,466507,0
2017-01-12,6.4148,6.4334,6.3964,6.4056,723587,0
2017-01-13,6.4334,6.4506,6.4056,6.4056,617008,0
2017-01-17,6.4056,6.4334,6.4024,6.424,629707,0
2017-01-18,6.4518,6.4609,6.4056,6.4148,363466,0
2017-01-19,6.4427,6.4427,6.3687,6.3779,391332,0
2017-01-20,6.3871,6.4702,6.3779,6.4609,1377619,0
2017-01-23,6.4609,6.4889,6.4518,6.4518,333569,0
2017-01-24,6.4794,6.4794,6.4609,6.4794,303616,0
2017-01-25,6.507,6.544,6.4979,6.5256,588236,0
2017-01-26,6.544,6.5625,6.519,6.5348,455420,0
2017-01-27,6.544,6.544,6.5164,6.5256,299081,0
2017-01-30,6.5348,6.5348,6.4702,6.5348,427485,0
2017-01-31,6.4979,6.5164,6.4889,6.5164,470602,0
2017-02-01,6.5546,6.573,6.5174,6.5453,606702,0
2017-02-02,6.5453,6.5546,6.5174,6.5266,392740,0
2017-02-03,6.5453,6.573,6.5453,6.5546,338839,0
2017-02-06,6.5453,6.5639,6.5359,6.5546,230634,0
2017-02-07,6.5546,6.5675,6.5453,6.5546,288413,0
2017-02-08,6.5639,6.5919,6.5266,6.5825,479945,0
2017-02-09,6.5919,6.6105,6.5639,6.601,250347,0
2017-02-10,6.601,6.6479,6.5944,6.629,396147,0
2017-02-13,6.6479,6.6662,6.629,6.6479,469413,0
2017-02-14,6.657,6.6941,6.6316,6.6848,304671,0
2017-02-15,6.7036,6.7408,6.6841,6.7314,448208,0
2017-02-16,6.7408,6.7453,6.7036,6.7314,424361,0
2017-02-17,6.7221,6.7221,6.6662,6.7221,489851,0
2017-02-21,6.7129,6.7129,6.6756,6.6848,562284,0
2017-02-22,6.6941,6.7314,6.6848,6.7314,266900,0
2017-02-23,6.7314,6.7593,6.7129,6.7314,332927,0
2017-02-24,6.7314,6.7501,6.7036,6.7408,428022,0
2017-02-27,6.7501,6.7593,6.7314,6.7593,368932,0
2017-02-28,6.7593,6.7873,6.7501,6.7873,518929,0
2017-03-01,6.8163,6.8353,6.8069,6.8069,373696,0
2017-03-02,6.7976,6.8069,6.6943,6.6943,492666,0
2017-03-03,6.7414,6.76,6.7038,6.7507,472034,0
2017-03-06,6.7318,6.7507,6.7133,6.7414,337336,0
2017-03-07,6.7132,6.7178,6.6849,6.6943,309753,0
2017-03-08,6.7132,6.722,6.6476,6.6568,426526,0
2017-03-09,6.6943,6.7038,6.6286,6.6379,466368,0
2017-03-10,6.6943,6.7414,6.6849,6.7318,508649,0
2017-03-13,6.7507,6.76,6.7345,6.7507,145497,0
2017-03-14,6.7318,6.7414,6.6849,6.6849,317827,0
2017-03-15,6.7224,6.76,6.7124,6.76,297043,0
2017-03-16,6.76,6.7976,6.76,6.7883,416314,0
2017-03-17,6.8069,6.8069,6.7694,6.7976,284495,0
2017-03-20,6.7976,6.7976,6.76,6.76,283452,0
2017-03-21,6.7976,6.7976,6.7318,6.76,493103,0
2017-03-22,6.76,6.7694,6.7318,6.76,299644,0
2017-03-23,6.76,6.8069,6.7507,6.7976,296737,0
2017-03-24,6.7976,6.8259,6.7883,6.8069,340729,0
2017-03-27,6.7883,6.8163,6.7694,6.8069,376845,0
2017-03-28,6.8163,6.8538,6.7976,6.8538,440238,0
2017-03-29,6.8634,6.8821,6.8445,6.8821,455833,0
2017-03-30,6.8821,6.8915,6.8538,6.8821,420812,0
2017-03-31,6.8821,6.8915,6.8445,6.8915,351836,0
2017-04-03,6.9113,6.9113,6.8166,6.8262,452387,0
2017-04-04,6.8358,6.864,6.8262,6.8451,419961,0
2017-04-05,6.8736,6.8924,6.8451,6.8545,281730,0
2017-04-06,6.8736,6.902,6.8545,6.902,265727,0
2017-04-07,6.8736,6.902,6.8736,6.883,260906,0
2017-04-10,6.8736,6.9208,6.8641,6.9113,322163,0
2017-04-11,6.9305,6.9305,6.883,6.9305,236166,0
2017-04-12,6.9208,6.9324,6.8924,6.8924,517231,0
2017-04-13,6.9113,6.9399,6.8924,6.9113,502266,0
2017-04-17,6.9113,6.9113,6.883,6.8924,289365,0
2017-04-18,6.8924,6.8924,6.8545,6.8924,292784,0
2017-04-19,6.8924,6.902,6.864,6.8736,343892,0
2017-04-20,6.9113,6.9305,6.8545,6.9113,456799,0
2017-04-21,6.9113,6.9305,6.8924,6.902,438833,0
2017-04-24,6.9399,6.9871,6.9305,6.9683,503602,0
2017-04-25,6.9966,7.063,6.9871,7.063,548700,0
2017-04-26,7.0534,7.063,7.0345,7.0439,510849,0
2017-04-27,7.0534,7.0723,7.0345,7.063,347429,0
2017-04-28,7.0723,7.1008,7.063,7.1008,346432,0
2017-05-01,7.1399,7.1399,7.0921,7.1112,436227,0
2017-05-02,7.1399,7.1399,7.0444,7.0636,550887,0
2017-05-03,7.0636,7.0921,7.054,7.0636,308673,0
2017-05-04,7.0826,7.091,7.0253,7.0444,332163,0
2017-05-05,7.0731,7.0826,7.0444,7.0731,343107,0
2017-05-08,7.0636,7.0921,7.0444,7.0921,338181,0
2017-05-09,7.0921,7.1105,7.0636,7.0921,276099,0
2017-05-10,7.1018,7.1018,7.0731,7.0921,269944,0
2017-05-11,7.0921,7.0969,7.0378,7.0636,405912,0
2017-05-12,7.0636,7.0636,6.9777,7.0253,410807,0
2017-05-15,7.0636,7.0731,7.0253,7.0636,470925,0
2017-05-16,7.0921,7.1161,7.0731,7.1018,347596,0
2017-05-17,7.0826,7.0826,6.9967,6.9967,460663,0
2017-05-18,6.9682,7.0302,6.9682,7.0063,330785,0
2017-05-19,7.0921,7.1494,7.0349,7.1304,564150,0
2017-05-22,7.1589,7.1875,7.1494,7.1875,527150,0
2017-05-23,7.2067,7.2163,7.1875,7.1973,409219,0
2017-05-24,7.1973,7.2257,7.1781,7.2257,578946,0
2017-05-25,7.2449,7.3118,7.2163,7.3022,658405,0
2017-05-26,7.3022,7.3022,7.2449,7.2736,587245,0
2017-05-30,7.2736,7.2926,7.2163,7.2257,534304,0
2017-05-31,7.2354,7.2887,7.1875,7.2354,574649,0
2017-06-01,7.2459,7.2665,7.1593,7.1979,719561,0
2017-06-02,7.1979,7.1979,7.1401,7.169,593279,0
2017-06-05,7.1593,7.1979,7.1496,7.1786,325536,0
2017-06-06,7.1979,7.1979,7.0632,7.1401,473386,0
2017-06-07,7.1401,7.1593,7.1305,7.1593,238355,0
2017-06-08,7.1881,7.1881,7.1401,7.1593,246389,0
2017-06-09,7.1881,7.2075,7.1496,7.1593,213527,0
2017-06-12,7.1881,7.1979,7.1401,7.1593,292989,0
2017-06-13,7.1979,7.2171,7.1593,7.1979,316624,0
2017-06-14,7.2266,7.2266,7.1979,7.2266,312584,0
2017-06-15,7.2075,7.2075,7.1496,7.169,447373,0
2017-06-16,7.1881,7.2459,7.1849,7.2266,452402,0
2017-06-19,7.2651,7.2749,7.2555,7.2749,214517,0
2017-06-20,7.2844,7.2844,7.2171,7.2364,256679,0
2017-06-21,7.2555,7.2555,7.169,7.1979,337911,0
2017-06-22,7.2075,7.2171,7.1305,7.1401,319154,0
2017-06-23,7.2459,7.2459,7.1305,7.2075,554029,0
2017-06-26,7.2266,7.2939,7.2171,7.2844,493211,0
2017-06-27,7.2939,7.2939,7.2364,7.2749,343982,0
2017-06-28,7.2749,7.3134,7.2749,7.2939,364170,0
2017-06-29,7.3134,7.3134,7.2075,7.2459,334828,0
2017-06-30,7.2939,7.3038,7.2171,7.2749,538183,0
2017-07-03,7.3049,7.3339,7.2563,7.3243,234455,0
2017-07-05,7.3339,7.3339,7.2758,7.2951,365616,0
2017-07-06,7.3339,7.3339,7.266,7.266,281544,0
2017-07-07,7.3243,7.3243,7.2855,7.3146,309718,0
2017-07-10,7.2855,7.3146,7.2805,7.3049,288126,0
2017-07-11,7.2855,7.3146,7.2758,7.2855,302430,0
2017-07-12,7.3339,7.3726,7.3243,7.3534,367144,0
2017-07-13,7.3631,7.3825,7.3476,7.3825,238608,0
2017-07-14,7.3922,7.3922,7.3437,7.3825,424593,0
2017-07-17,7.4019,7.4116,7.3146,7.3437,532763,0
2017-07-18,7.3437,7.3631,7.3243,7.3534,426671,0
2017-07-19,7.3727,7.4213,7.3722,7.4019,348013,0
2017-07-20,7.4213,7.4407,7.3631,7.3922,469769,0
2017-07-21,7.3825,7.4213,7.3631,7.4019,286364,0
2017-07-24,7.4213,7.4213,7.3727,7.4213,384944,0
2017-07-25,7.4407,7.5281,7.4407,7.5085,782852,0
2017-07-26,7.5473,7.5571,7.4359,7.5182,515021,0
2017-07-27,7.5571,7.5571,7.4213,7.4697,360181,0
2017-07-28,7.4697,7.5085,7.4408,7.5085,355143,0
2017-07-31,7.5377,7.5571,7.4601,7.4989,454316,0
2017-08-01,7.5868,7.5868,7.4598,7.5283,495991,0
2017-08-02,7.538,7.538,7.4695,7.5283,436939,0
2017-08-03,7.5283,7.538,7.4501,7.4695,370306,0
2017-08-04,7.4695,7.538,7.4695,7.4989,287394,0
2017-08-07,7.5184,7.538,7.4989,7.5283,320459,0
2017-08-08,7.5283,7.5771,7.5136,7.5575,437833,0
2017-08-09,7.538,7.5575,7.4793,7.4989,532773,0
2017-08-10,7.4598,7.4793,7.2544,7.2838,686874,0
2017-08-11,7.225,7.3522,7.1371,7.3326,644693,0
2017-08-14,7.4011,7.411,7.3522,7.3913,307410,0
2017-08-15,7.3717,7.411,7.3717,7.3816,257675,0
2017-08-16,7.411,7.4695,7.411,7.4598,382019,0
2017-08-17,7.4402,7.4456,7.3229,7.3522,344241,0
2017-08-18,7.3034,7.3717,7.3034,7.362,227800,0
2017-08-21,7.3717,7.3816,7.3326,7.3522,217295,0
2017-08-22,7.362,7.4304,7.362,7.411,185527,0
2017-08-23,7.4011,7.5213,7.4011,7.4989,465693,0
2017-08-24,7.538,7.5477,7.5086,7.538,497809,0
2017-08-25,7.5575,7.6553,7.533,7.6358,700901,0
2017-08-28,7.6259,7.6553,7.6162,7.6259,434416,0
2017-08-29,7.6065,7.6162,7.5624,7.6065,243735,0
2017-08-30,7.6065,7.6749,7.5868,7.6749,351362,0
2017-08-31,7.6749,7.714,7.6259,7.6651,402489,0
2017-09-01,7.6848,7.734,7.675,7.6946,281411,0
2017-09-05,7.675,7.6946,7.6158,7.6356,252301,0
2017-09-06,7.6454,7.6848,7.6355,7.6651,215547,0
2017-09-07,7.675,7.7045,7.6552,7.6848,206945,0
2017-09-08,7.6848,7.6848,7.6454,7.6454,282115,0
