Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,7.3516,7.4609,7.3118,7.4113,3152,0
2017-01-05,7.461,7.5107,7.461,7.5107,7593,0
2017-01-06,7.7097,7.8888,7.655,7.8291,6199,0
2017-01-09,7.8092,7.8092,7.1128,7.6699,9128,0
2017-01-10,7.3914,7.802,7.3914,7.7974,6822,0
2017-01-12,7.3615,7.6301,7.3615,7.6301,1307,0
2017-01-13,7.3119,7.5898,7.3119,7.5898,4353,0
2017-01-17,7.5605,7.6762,7.5386,7.5386,3336,0
2017-01-18,7.8092,7.8092,7.3317,7.3615,3377,0
2017-01-19,7.4511,7.5107,7.4511,7.5107,531,0
2017-01-20,7.6102,7.8987,7.6102,7.8873,4251,0
2017-01-23,7.2521,7.9363,7.1924,7.461,2130,0
2017-01-24,7.8997,7.8997,7.8689,7.8689,318,0
2017-01-25,7.8589,8.028,7.6803,8.0081,7105,0
2017-01-26,7.8589,7.9802,7.8589,7.9802,6350,0
2017-01-27,8.0081,8.0571,7.9584,8.028,7395,0
2017-01-30,7.7793,7.7793,7.7793,7.7793,402,0
2017-01-31,8.4558,8.4558,7.6102,8.0579,1313,0
2017-02-01,8.1574,8.1574,7.8636,7.9385,5374,0
2017-02-02,8.4558,8.4558,8.038,8.038,574,0
2017-02-03,7.9703,8.0081,7.9703,8.0081,571,0
2017-02-09,8.1076,8.6349,8.1076,8.6349,18492,0
2017-02-10,8.4558,8.4658,8.4558,8.4658,1216,0
2017-02-13,8.5354,8.5652,8.5354,8.5553,4021,0
2017-02-14,8.6747,8.6747,8.5652,8.6747,2601,0
2017-02-15,8.1176,8.7443,7.9683,8.6249,2697,0
2017-02-17,8.5951,8.7863,8.5951,8.7863,1874,0
2017-02-21,8.7642,8.7642,8.7144,8.7144,1811,0
2017-02-22,8.6548,8.6548,8.6548,8.6548,101,0
2017-02-23,8.5752,8.7841,7.9006,8.7841,3608,0
2017-02-24,8.8338,8.9035,8.8338,8.9035,2517,0
2017-02-27,8.8139,8.9731,8.8139,8.8836,2682,0
2017-02-28,8.9433,8.9433,8.9433,8.9433,201,0
2017-03-01,8.9035,8.9535,8.3961,8.9335,3816,0
2017-03-02,8.4558,8.9301,8.4558,8.9301,247,0
2017-03-03,8.9035,8.9035,8.4558,8.7871,2368,0
2017-03-06,8.6548,8.9134,8.4608,8.8537,10235,0
