Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,10.68,10.88,10.67,10.74,252770,0
2017-01-04,10.82,10.96,10.68,10.86,342362,0
2017-01-05,10.76,11,10.7218,10.92,277503,0
2017-01-06,10.97,11.25,10.89,11.1,176761,0
2017-01-09,11.07,11.07,10.82,10.85,94386,0
2017-01-10,10.9,11.11,10.83,11.05,144982,0
2017-01-11,11.17,11.22,10.19,10.5,1260700,0
2017-01-12,10.48,10.48,10.16,10.24,504325,0
2017-01-13,10.77,11.19,10.6,10.7,467113,0
2017-01-17,10.58,10.66,10.33,10.59,397236,0
2017-01-18,10.63,10.71,10.44,10.49,145538,0
2017-01-19,10.47,10.525,10.18,10.31,383980,0
2017-01-20,10.33,10.5,10.275,10.36,145069,0
2017-01-23,10.36,10.3987,10.21,10.29,87845,0
2017-01-24,10.28,10.55,10.28,10.5,135268,0
2017-01-25,10.64,10.81,10.6,10.61,101728,0
2017-01-26,10.63,10.7,10.43,10.54,57512,0
2017-01-27,10.56,10.57,10.425,10.47,85916,0
2017-01-30,10.33,10.35,10.111,10.25,284226,0
2017-01-31,10.22,10.36,10.1763,10.29,190555,0
2017-02-01,10.29,10.37,10.18,10.25,116535,0
2017-02-02,10.26,10.32,10.12,10.3,344186,0
2017-02-03,10.28,10.67,10.28,10.63,203425,0
2017-02-06,10.56,10.66,10.5,10.52,76068,0
2017-02-07,10.52,10.6,10.27,10.28,111072,0
2017-02-08,10.31,10.39,10.17,10.34,138950,0
2017-02-09,10.42,10.55,10.24,10.36,248622,0
2017-02-10,10.41,10.61,10.34,10.5,213291,0
2017-02-13,10.49,10.64,10.46,10.55,220657,0
2017-02-14,10.55,10.79,10.46,10.66,246863,0
2017-02-15,10.59,10.74,10.4079,10.55,195833,0
2017-02-16,10.51,10.98,10.51,10.96,265343,0
2017-02-17,10.93,11.62,10.74,11.505,723692,0
2017-02-21,11.62,11.73,11.441,11.67,279238,0
2017-02-22,11.66,11.85,11.45,11.65,211113,0
2017-02-23,11.65,11.79,11.46,11.6,387347,0
2017-02-24,11.57,11.72,11.38,11.49,219747,0
2017-02-27,11.35,11.58,11.2,11.52,348877,0
2017-02-28,11.42,11.5,10.79,10.93,305096,0
2017-03-01,11.11,11.27,10.8974,11.15,167822,0
2017-03-02,10.96,11.22,10.65,10.67,323353,0
2017-03-03,8.51,8.97,8.27,8.58,2559670,0
2017-03-06,8.47,8.57,7.95,8.09,1124467,0
2017-03-07,8.1,8.5,8.09,8.2,523763,0
2017-03-08,8.24,8.3175,8.12,8.2,305302,0
2017-03-09,8.16,8.24,8.02,8.045,294676,0
2017-03-10,8.27,8.44,8.26,8.33,281850,0
2017-03-13,8.415,8.59,8.28,8.47,289836,0
2017-03-14,8.41,8.495,8.2,8.25,203214,0
2017-03-15,8.33,8.435,8.23,8.31,179868,0
2017-03-16,8.25,8.51,8.25,8.4,195008,0
2017-03-17,8.35,8.94,8.35,8.85,519625,0
2017-03-20,8.85,8.85,8.65,8.66,199586,0
2017-03-21,8.68,8.69,8.22,8.23,195369,0
2017-03-22,8.16,8.37,8.12,8.24,140397,0
2017-03-23,8.25,8.42,8.17,8.3,188695,0
2017-03-24,8.29,8.59,8.24,8.33,121437,0
2017-03-27,8.26,8.47,8.12,8.44,161828,0
2017-03-28,8.45,8.534,8.38,8.48,152914,0
2017-03-29,8.39,8.58,8.27,8.37,126830,0
2017-03-30,8.4,8.63,8.2893,8.58,296218,0
2017-03-31,8.55,8.78,8.48,8.66,350204,0
2017-04-03,8.72,8.76,8.47,8.5,195330,0
2017-04-04,8.52,8.68,8.395,8.49,195217,0
2017-04-05,8.55,8.68,8.29,8.36,220155,0
2017-04-06,8.34,8.46,8.28,8.43,158398,0
2017-04-07,8.41,8.64,8.38,8.63,168127,0
2017-04-10,8.65,8.7031,8.38,8.4,147779,0
2017-04-11,8.4,8.6,8.27,8.47,126493,0
2017-04-12,8.47,8.49,8.26,8.29,97180,0
2017-04-13,8.29,8.34,8.19,8.29,139502,0
2017-04-17,8.32,8.46,8.27,8.39,96051,0
2017-04-18,8.35,8.42,8.26,8.41,76138,0
2017-04-19,8.47,8.615,8.41,8.57,187905,0
2017-04-20,8.59,8.7,8.538,8.66,173845,0
2017-04-21,8.64,8.72,8.41,8.48,129168,0
2017-04-24,8.68,8.7,8.56,8.66,149037,0
2017-04-25,8.82,9.31,8.75,8.87,311802,0
2017-04-26,8.89,9.175,8.78,9.13,194504,0
2017-04-27,9.2,9.25,9.01,9.06,145024,0
2017-04-28,9.12,9.12,8.76,8.77,160184,0
2017-05-01,8.78,9.13,8.71,9.05,178003,0
2017-05-02,9.1,9.12,8.965,9.06,145220,0
2017-05-03,9.03,9.17,8.9,9.11,161305,0
2017-05-04,9.08,9.14,8.93,9.09,292021,0
2017-05-05,8.18,8.75,7.9001,8.15,666323,0
2017-05-08,8.15,8.56,8.05,8.54,322615,0
2017-05-09,8.52,8.5899,8.205,8.26,302811,0
2017-05-10,8.19,8.58,8.19,8.55,157185,0
2017-05-11,8.52,8.57,8.37,8.51,115025,0
2017-05-12,8.49,8.92,8.3,8.64,478132,0
2017-05-15,8.64,8.67,8.47,8.5,149926,0
2017-05-16,8.55,8.55,8.25,8.35,199666,0
2017-05-17,8.2,8.38,8.09,8.24,365636,0
2017-05-18,8.23,8.3,7.99,8.05,218940,0
2017-05-19,8.19,8.36,7.99,8,310593,0
2017-05-22,8.01,8.1,7.9,7.99,305783,0
2017-05-23,8.04,8.14,7.96,8.13,224794,0
2017-05-24,8.12,8.45,8.06,8.44,166952,0
2017-05-25,8.47,8.5,8.23,8.31,101835,0
2017-05-26,8.28,8.46,8.19,8.43,102235,0
2017-05-30,8.45,8.57,8.445,8.5,82435,0
