Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,2.83,2.9,2.76,2.88,149348,0
2017-01-04,2.86,2.964,2.83,2.91,146050,0
2017-01-05,2.91,2.94,2.78,2.86,159537,0
2017-01-06,2.89,2.96,2.78,2.7853,241700,0
2017-01-09,2.76,2.79,2.69,2.695,213862,0
2017-01-10,2.67,2.8069,2.67,2.74,167438,0
2017-01-11,2.75,2.77,2.65,2.66,167594,0
2017-01-12,2.75,2.75,2.55,2.6,241105,0
2017-01-13,2.55,2.635,2.55,2.59,118101,0
2017-01-17,2.6,2.635,2.49,2.51,249318,0
2017-01-18,2.5,2.55,2.46,2.54,118315,0
2017-01-19,2.5351,2.68,2.53,2.6,137727,0
2017-01-20,2.57,2.649,2.48,2.54,209856,0
2017-01-23,2.53,2.62,2.53,2.56,86369,0
2017-01-24,2.56,2.65,2.5,2.55,180751,0
2017-01-25,2.58,2.68,2.56,2.64,116865,0
2017-01-26,2.62,2.75,2.62,2.66,159851,0
2017-01-27,2.69,2.905,2.69,2.77,468891,0
2017-01-30,2.8,2.84,2.71,2.77,141709,0
2017-01-31,2.76,2.94,2.7159,2.75,94834,0
2017-02-01,2.98,2.99,2.8,2.98,351493,0
2017-02-02,2.99,2.99,2.9,2.98,138027,0
2017-02-03,3.05,3.1199,2.75,2.93,598569,0
2017-02-06,2.88,2.92,2.75,2.9,271464,0
2017-02-07,2.9,2.9,2.77,2.86,184583,0
2017-02-08,2.83,2.9,2.77,2.86,119238,0
2017-02-09,2.86,2.87,2.75,2.75,130998,0
2017-02-10,2.7,2.76,2.53,2.64,546647,0
2017-02-13,2.6,2.6468,2.5,2.58,254505,0
2017-02-14,2.55,2.57,2.48,2.51,185668,0
2017-02-15,2.55,2.5688,2.48,2.5,345683,0
2017-02-16,2.5,2.591,2.49,2.5,153789,0
2017-02-17,2.5044,2.5044,2.32,2.45,412459,0
2017-02-21,2.45,2.495,2.35,2.4,123596,0
2017-02-22,2.41,2.44,2.28,2.3078,148650,0
2017-02-23,2.31,2.32,2.11,2.15,604882,0
2017-02-24,2.75,2.82,2.5,2.55,5703104,0
2017-02-27,2.81,2.81,2.485,2.59,983947,0
2017-02-28,2.56,2.5797,2.45,2.53,306309,0
2017-03-01,2.49,2.53,2.4,2.43,290110,0
2017-03-02,2.43,2.44,2.37,2.38,199579,0
2017-03-03,2.39,2.63,2.33,2.63,675640,0
2017-03-06,2.68,2.69,2.52,2.6,272242,0
2017-03-07,2.67,2.67,2.51,2.58,192328,0
2017-03-08,2.64,2.64,2.51,2.57,228380,0
2017-03-09,2.55,2.5596,2.43,2.45,143073,0
2017-03-10,2.43,2.6,2.43,2.49,190895,0
2017-03-13,2.57,2.62,2.46,2.54,260339,0
2017-03-14,2.52,2.56,2.37,2.45,210587,0
2017-03-15,2.43,2.508,2.4,2.41,194026,0
2017-03-16,2.41,2.45,2.38,2.41,141286,0
2017-03-17,2.39,2.44,2.35,2.43,148222,0
2017-03-20,2.39,2.44,2.34,2.35,112427,0
2017-03-21,2.33,2.36,2.26,2.27,106057,0
2017-03-22,2.25,2.35,2.19,2.22,79300,0
2017-03-23,2.2,2.3,2.2,2.26,42886,0
2017-03-24,2.29,2.34,2.26,2.31,69607,0
2017-03-27,2.3,2.38,2.26,2.3501,73796,0
2017-03-28,2.33,2.45,2.32,2.41,140672,0
2017-03-29,2.41,2.62,2.41,2.6,187175,0
2017-03-30,2.6,2.61,2.48,2.5,58269,0
2017-03-31,2.5,2.55,2.43,2.5,83915,0
2017-04-03,2.5,2.5,2.42,2.45,152062,0
2017-04-04,2.18,2.39,2.1799,2.34,121564,0
2017-04-05,2.3535,2.45,2.35,2.38,38844,0
2017-04-06,2.2,2.37,2.2,2.29,127718,0
2017-04-07,2.34,2.34,2.21,2.28,52108,0
2017-04-10,2.11,2.16,1.81,2.1,894942,0
2017-04-11,2.06,2.09,2.02,2.05,112358,0
2017-04-12,2.1,2.18,2.0399,2.16,158373,0
2017-04-13,2.14,2.19,2.1,2.14,72067,0
2017-04-17,2.14,2.1464,2.06,2.12,58192,0
2017-04-18,2.12,2.16,2.09,2.14,174569,0
2017-04-19,2.14,2.2501,2.12,2.1515,152221,0
2017-04-20,2.2,2.2,2.07,2.08,162069,0
2017-04-21,2.05,2.11,1.93,1.96,188326,0
2017-04-24,1.98,2,1.85,1.89,303873,0
2017-04-25,1.9,1.94,1.85,1.89,258142,0
2017-04-26,1.89,2,1.89,2,197635,0
2017-04-27,2,2.11,2,2.08,104342,0
2017-04-28,2.06,2.18,2.04,2.11,166666,0
2017-05-01,2.07,2.25,2.07,2.22,171976,0
