Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,99.74,99.97,97.72,98.78,161849,0
2017-01-04,98.76,101.11,98.11,100.06,263323,0
2017-01-05,99.9,100.23,95.75,95.91,270152,0
2017-01-06,96.58,98.04,95.04,95.15,305687,0
2017-01-09,95.19,97.88,95.15,97.82,298363,0
2017-01-10,98.53,98.92,97.37,97.57,160263,0
2017-01-11,97.61,98.81,97.025,98.75,225733,0
2017-01-12,98.25,99.44,97.46,99.22,133364,0
2017-01-13,99.35,100.61,99.19,100.15,169968,0
2017-01-17,99.8,100.67,99.34,99.75,166823,0
2017-01-18,99.8,100.97,98.05,100.83,132565,0
2017-01-19,100.86,101.39,100.26,100.77,198922,0
2017-01-20,100.77,103.26,100.34,102.33,255271,0
2017-01-23,101.88,102.47,101.75,101.96,196958,0
2017-01-24,102.11,106.96,102.11,106.11,556070,0
2017-01-25,106.4,108.09,105.605,108.02,394858,0
2017-01-26,108.31,108.31,104.89,106.16,206379,0
2017-01-27,106.09,106.09,103.64,104.47,180744,0
2017-01-30,110,113.935,103.451,113.58,985860,0
2017-01-31,113.81,115.2,113.022,114.95,350259,0
2017-02-01,115.14,116,112.92,114.19,298194,0
2017-02-02,114,114,112.51,113.21,174239,0
2017-02-03,114.1,114.85,113.09,114.48,170504,0
2017-02-06,113.64,114.49,112.275,113.4,104925,0
2017-02-07,113.62,115.32,113,114.37,174458,0
2017-02-08,114.47,114.5,112.32,113.26,264077,0
2017-02-09,113.74,116.48,113.74,116.06,302866,0
2017-02-10,116.69,117.31,115.02,116.38,317836,0
2017-02-13,116.58,117.43,115.73,116.08,205244,0
2017-02-14,116.08,120.11,111.51,117.02,622530,0
2017-02-15,119.16,124.27,118.78,121.75,533597,0
2017-02-16,121.63,121.975,117.79,118.47,270026,0
2017-02-17,118.06,119.71,117.93,119.5,362615,0
2017-02-21,120,122,119.99,121.81,262867,0
2017-02-22,121.33,121.7,120.08,120.82,221923,0
2017-02-23,121.58,121.593,119.02,119.9,187447,0
2017-02-24,118.88,121.08,117.645,120.39,182310,0
2017-02-27,120.26,121.01,119.03,120.84,344936,0
2017-02-28,120.46,120.85,118.02,118.3,311765,0
2017-03-01,118.88,121.11,118.5,120.75,188064,0
2017-03-02,120.32,121.13,118.58,118.79,202811,0
2017-03-03,118.96,119.48,117.83,118.82,301434,0
2017-03-06,118.03,118.7,116.02,117.92,227717,0
2017-03-07,117.21,119.26,117.209,118.11,267780,0
2017-03-08,119.1,121.51,118.495,118.98,352702,0
2017-03-09,118.07,118.57,118.06,118.57,112406,0
2017-03-10,119.41,120.87,118.73,119.55,148051,0
2017-03-13,119.58,119.76,118.24,118.66,161121,0
2017-03-14,117.72,119.27,117.16,118.29,116132,0
2017-03-15,118.97,119.71,118.45,119.44,246603,0
2017-03-16,119.69,120.41,118.955,120.16,153873,0
2017-03-17,121.03,122.02,120.01,121.46,368459,0
2017-03-20,121.4,121.969,120.95,121.09,159471,0
2017-03-21,121.8,121.82,116.8,116.94,403483,0
2017-03-22,117.12,118.796,117,118.45,255390,0
2017-03-23,118.1,119.3,117.68,118.55,197209,0
2017-03-24,119.28,120.93,118.12,119.03,184129,0
2017-03-27,118,119.125,117.13,118.63,305697,0
2017-03-28,118.97,120.93,118.87,120.01,319648,0
2017-03-29,120.05,120.6,119.37,119.9,118039,0
2017-03-30,119.61,121.67,119.61,119.92,131289,0
2017-03-31,120.12,121.39,119.498,120.7,209331,0
2017-04-03,120.63,120.63,117.94,119.44,276007,0
2017-04-04,119.35,121.44,118.43,119.24,225043,0
2017-04-05,119.63,120.72,117.886,118.35,253302,0
2017-04-06,118.76,120.5,117.717,120.15,226748,0
2017-04-07,119.93,121.91,119.93,120.98,187461,0
2017-04-10,121.19,122.97,120.58,120.82,149891,0
2017-04-11,120.75,120.975,118.43,119.96,330909,0
2017-04-12,120.1,120.225,117.14,117.51,173154,0
2017-04-13,117.54,119.32,116.82,117.17,184058,0
2017-04-17,117.51,118.79,116.87,117.86,82331,0
2017-04-18,117.76,118.81,117.504,118.61,91731,0
2017-04-19,119.33,120.36,118.49,119.46,134143,0
2017-04-20,120,121.62,119.15,121.1,150377,0
2017-04-21,121.23,121.38,119.89,120.55,104580,0
2017-04-24,121.99,125.01,121.23,124.46,273792,0
2017-04-25,125,126.72,124.8,125.75,292036,0
2017-04-26,125.64,126.539,124.3,125.11,247258,0
2017-04-27,125.66,127.94,125.66,127.04,174818,0
2017-04-28,126.55,127.2,125.82,126.32,324193,0
2017-05-01,126.82,127.84,125.09,126.62,317739,0
2017-05-02,140,140.09,134.73,136.2,843025,0
2017-05-03,136,136.676,132.621,135.36,477811,0
2017-05-04,136.59,136.625,132.91,133.51,298219,0
2017-05-05,133.67,134.62,132.8,133.735,316264,0
2017-05-08,133.45,134.5,132.41,134.41,367971,0
2017-05-09,134.25,135.7,133.89,134.31,247492,0
2017-05-10,133.96,136.09,133.59,135.6,229856,0
2017-05-11,135.18,138.39,134.36,138.18,360466,0
2017-05-12,137.56,138.88,136.23,138.65,241608,0
2017-05-15,139.21,142.77,138.72,142.65,341271,0
2017-05-16,142.1,143.81,141.045,141.59,523752,0
2017-05-17,139.72,140.79,135.54,135.64,399680,0
2017-05-18,135,136.87,133.86,134.96,303016,0
2017-05-19,136.42,136.96,135.52,135.97,299700,0
2017-05-22,136.5,137.39,135.72,136.89,222545,0
2017-05-23,138.12,143.49,136.03,138.44,266964,0
2017-05-24,138.57,139.86,138.15,139.56,152570,0
2017-05-25,140,140,137.65,137.99,192916,0
2017-05-26,137.65,140.124,137.13,139.28,184820,0
2017-05-30,139.29,140.53,139.26,139.78,146694,0
2017-05-31,140.05,140.06,136.6,139.04,170036,0
2017-06-01,139.84,140.905,138.675,140.64,255874,0
2017-06-02,140.74,142.64,140.176,142,280606,0
2017-06-05,142.45,142.684,140.59,141.06,195829,0
2017-06-06,142.96,145.975,141.34,143.97,431126,0
2017-06-07,144.23,145.67,143.24,144.88,344391,0
2017-06-08,145.84,146,142.39,145.66,220155,0
2017-06-09,146,146.49,139.33,142.57,430093,0
2017-06-12,141.57,142.036,137,138.76,423604,0
2017-06-13,140.2,142.37,139.5,141.45,250334,0
2017-06-14,141.9,142.53,138.71,140.37,202055,0
2017-06-15,138.25,139.63,136.62,138.45,238187,0
2017-06-16,139,141.75,138.94,140.27,581841,0
2017-06-19,141.61,144.86,141.03,144.38,330830,0
2017-06-20,144.83,144.95,141.65,142.06,292240,0
2017-06-21,142.75,144.06,142.02,143.09,274335,0
2017-06-22,143.85,144.985,142.4,143.57,323544,0
2017-06-23,143.09,148.76,143.09,146.83,569438,0
2017-06-26,148.25,149.29,147.22,148.03,462307,0
2017-06-27,147.34,147.99,145.33,145.57,377700,0
2017-06-28,146.26,147.55,144.58,146.49,397029,0
2017-06-29,145.87,147.508,142.581,144.2,358969,0
