Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,3.7,3.7,3.65,3.6501,3627,0
2017-01-04,3.65,3.695,3.6,3.6,9323,0
2017-01-05,3.6108,3.65,3.6,3.65,12793,0
2017-01-06,3.7,3.7,3.602,3.625,8681,0
2017-01-09,3.6,3.65,3.6,3.6,8484,0
2017-01-10,3.6,3.65,3.6,3.625,9587,0
2017-01-11,3.7,3.7,3.609,3.625,4673,0
2017-01-12,3.682,3.682,3.6,3.625,19941,0
2017-01-13,3.6,3.65,3.6,3.6,19012,0
2017-01-17,3.6,3.6283,3.6,3.6,35049,0
2017-01-18,3.6,3.65,3.6,3.625,12180,0
2017-01-19,3.625,3.65,3.6,3.625,9694,0
2017-01-20,3.6311,3.65,3.6,3.625,16046,0
2017-01-23,3.6001,3.65,3.6,3.625,18897,0
2017-01-24,3.6,3.75,3.6,3.75,39151,0
2017-01-25,3.75,3.75,3.6,3.7,59481,0
2017-01-26,3.6567,3.7088,3.65,3.7,23201,0
2017-01-27,3.7,3.7,3.65,3.65,8312,0
2017-01-30,3.75,4,3.75,3.8,66217,0
2017-01-31,3.75,3.825,3.7,3.7,15619,0
2017-02-01,3.75,3.8,3.7,3.75,9068,0
2017-02-02,3.7195,3.7325,3.65,3.7,10608,0
2017-02-03,3.7,3.95,3.699,3.825,38569,0
2017-02-06,3.799,3.8,3.775,3.8,10765,0
2017-02-07,3.8,3.85,3.8,3.85,16966,0
2017-02-08,3.85,3.9,3.8,3.8495,28314,0
2017-02-09,3.85,3.85,3.8,3.85,3673,0
2017-02-10,3.9,3.95,3.8501,3.8501,9902,0
2017-02-13,3.8884,3.9,3.85,3.9,8178,0
2017-02-14,3.95,3.95,3.85,3.85,11751,0
2017-02-15,3.8,3.9,3.7,3.8,31558,0
2017-02-16,3.8501,3.9,3.7,3.7,16358,0
2017-02-17,3.7,3.8,3.7,3.7,12356,0
2017-02-21,3.85,3.85,3.7,3.7,5293,0
2017-02-22,3.7,3.7,2.7,3.1,177834,0
2017-02-23,3.25,3.4,3.15,3.3483,49538,0
2017-02-24,3.35,3.435,3.25,3.25,24898,0
2017-02-27,3.4,3.4,3.25,3.35,12122,0
2017-02-28,3.35,3.35,3.25,3.25,8429,0
2017-03-01,3.25,3.258,3.15,3.15,16204,0
2017-03-02,3.0501,3.141,3.05,3.05,8807,0
2017-03-03,3.05,3.1,2.9,2.9,35256,0
2017-03-06,2.801,2.9,2.8,2.85,30570,0
2017-03-07,2.9,3.0463,2.9,2.95,25119,0
2017-03-08,2.9001,3,2.9001,2.95,2371,0
2017-03-09,3,3,2.9,3,13615,0
2017-03-10,2.95,2.95,2.85,2.85,5869,0
2017-03-13,2.85,2.85,2.8,2.8,9023,0
2017-03-14,2.7919,2.95,2.7501,2.9044,14375,0
2017-03-15,2.9,3,2.814,2.95,5274,0
2017-03-16,3,3.7,3,3.3,68722,0
2017-03-17,3.349,3.4,3.25,3.4,8680,0
2017-03-20,3.35,3.4,3.3,3.3,3600,0
2017-03-21,3.3,3.3,3.1469,3.2,33961,0
2017-03-22,3.2,3.2,3.05,3.1,5631,0
2017-03-23,3.15,3.35,3.125,3.2,18990,0
2017-03-24,3.1,3.1,2.8,3,136025,0
2017-03-27,2.95,3,2.8,2.9,64951,0
2017-03-28,2.9,3,2.9,2.95,10964,0
2017-03-29,2.95,2.95,2.9,2.9,11921,0
2017-03-30,2.9,2.95,2.9,2.9,7128,0
2017-03-31,2.9044,2.95,2.9,2.9,15710,0
2017-04-03,2.9,2.95,2.7,2.9,72643,0
2017-04-04,2.9499,2.95,2.9,2.9,6744,0
2017-04-05,2.9,3.2,2.9,2.9,168159,0
2017-04-06,2.95,3.45,2.9,3.1,202562,0
2017-04-07,3.05,3.05,2.85,2.9,55779,0
2017-04-10,2.96,2.96,2.9,2.9,27633,0
2017-04-11,2.9,3,2.9,2.9,6366,0
2017-04-12,2.9,2.9598,2.9,2.9,10646,0
2017-04-13,2.9044,2.95,2.85,2.85,9487,0
2017-04-17,2.85,2.95,2.85,2.9,3797,0
2017-04-18,2.85,2.9,2.85,2.85,12330,0
2017-04-19,2.9,2.9,2.85,2.85,28432,0
2017-04-20,2.9,2.9,2.85,2.85,12635,0
2017-04-21,2.85,2.9,2.85,2.9,17120,0
2017-04-24,2.85,2.95,2.85,2.85,58566,0
2017-04-25,2.85,2.9,2.85,2.85,10139,0
2017-04-26,2.9,2.9,2.85,2.85,4301,0
2017-04-27,2.858,2.9,2.85,2.9,8899,0
2017-04-28,2.85,2.9,2.85,2.85,8108,0
2017-05-01,2.9,2.9,2.85,2.85,8715,0
2017-05-02,2.9,2.9,2.85,2.85,18793,0
2017-05-03,2.85,2.9,2.85,2.8965,7074,0
2017-05-04,2.95,3.3,2.95,3.15,116774,0
2017-05-05,3.2409,3.399,3.2,3.3,59846,0
2017-05-08,3.4,3.4,3.35,3.4,16560,0
2017-05-09,3.4499,3.45,3.4,3.4497,21506,0
2017-05-10,3.45,3.45,3.4,3.4252,3859,0
2017-05-11,3.4102,3.45,3.4,3.425,9243,0
2017-05-12,3.4033,3.45,3.4,3.4,20592,0
2017-05-15,3.5,3.55,3.45,3.55,17970,0
2017-05-16,3.6,3.6,3.5444,3.6,4309,0
2017-05-17,3.6,3.6,3.45,3.45,24051,0
2017-05-18,3.4,3.5,3.4,3.5,5576,0
2017-05-19,3.5,3.5175,3.45,3.4938,4741,0
2017-05-22,3.5543,3.6,3.5,3.5,3841,0
2017-05-23,3.5001,3.55,3.45,3.5,5713,0
2017-05-24,3.5,3.5,3.35,3.4,12878,0
2017-05-25,3.4914,3.5,3.4,3.5,3857,0
2017-05-26,3.4092,3.5,3.35,3.4,6728,0
2017-05-30,3.3501,3.4051,3.35,3.35,9874,0
2017-05-31,3.35,3.45,3.35,3.35,2075,0
2017-06-01,3.4,3.45,3.35,3.35,5549,0
2017-06-02,3.35,3.445,3.35,3.35,11713,0
2017-06-05,3.3527,3.4,3.25,3.25,16596,0
2017-06-06,3.35,3.35,3.3,3.325,2275,0
2017-06-07,3.4,3.45,3.35,3.4,29867,0
2017-06-08,3.4,3.4,3.25,3.25,8771,0
2017-06-09,3.35,3.35,3.25,3.3,6854,0
2017-06-12,3.35,3.35,3.25,3.25,26266,0
2017-06-13,3.35,3.3939,3.3,3.3939,3783,0
2017-06-14,3.4,3.4,3.3,3.3,4041,0
2017-06-15,3.35,3.45,3.25,3.4,5522,0
2017-06-16,3.35,3.45,3.3,3.3,3429,0
2017-06-19,3.349,3.4,3.3,3.35,3485,0
2017-06-20,3.3,3.35,3.25,3.35,18269,0
2017-06-21,3.3561,3.3561,3.35,3.35,544,0
2017-06-22,3.445,3.545,3.4,3.5,70264,0
2017-06-23,3.5,3.6936,3.5,3.6,9396,0
2017-06-26,3.6,3.7,3.5501,3.7,16021,0
2017-06-27,3.6,3.7,3.6,3.6001,13759,0
2017-06-28,3.6,3.65,3.6,3.65,2303,0
2017-06-29,3.65,3.7,3.6,3.65,6431,0
2017-06-30,3.62,3.7,3.6,3.6,6683,0
2017-07-03,3.6,3.6,3.5,3.55,2257,0
2017-07-05,3.55,3.55,3.4655,3.55,2210,0
2017-07-06,3.45,3.5,3.45,3.5,18328,0
2017-07-07,3.4745,3.5,3.4736,3.4736,528,0
2017-07-10,3.45,3.5072,3.45,3.5001,5018,0
2017-07-11,3.55,3.7527,3.55,3.65,27166,0
2017-07-12,3.7444,3.8,3.7,3.7,12505,0
2017-07-13,3.8,3.85,3.75,3.8,6163,0
2017-07-14,3.75,3.8283,3.75,3.75,6831,0
2017-07-17,3.75,3.85,3.75,3.85,982,0
2017-07-18,3.8,3.85,3.8,3.85,17041,0
2017-07-19,3.8,3.85,3.8,3.8,7779,0
2017-07-20,3.8057,3.85,3.8,3.8376,5512,0
2017-07-21,3.8067,3.85,3.8,3.85,4463,0
2017-07-24,3.823,3.85,3.75,3.75,18874,0
2017-07-25,3.75,3.8,3.75,3.75,4227,0
2017-07-26,3.75,3.8,3.651,3.75,10433,0
2017-07-27,3.65,3.7,3.65,3.6501,4108,0
2017-07-28,3.7,3.7,3.55,3.55,11761,0
2017-07-31,3.65,3.65,3.55,3.6,2453,0
2017-08-01,3.55,3.6,3.5,3.5,5329,0
2017-08-02,3.5,3.5,3.3946,3.4,3872,0
2017-08-03,3.45,3.5,3.3,3.3,7093,0
2017-08-04,3.3252,3.4,3.3001,3.35,5910,0
2017-08-07,3.3,3.4,3.1,3.15,3249,0
2017-08-08,3.15,3.2023,3.15,3.15,8297,0
2017-08-09,3.1,3.2,3.1,3.1,3772,0
2017-08-10,3.1,3.15,2.95,2.95,14793,0
2017-08-11,2.95,3.05,2.65,2.85,61446,0
2017-08-14,2.8942,2.9,2.8,2.9,9817,0
2017-08-15,2.85,2.85,2.75,2.75,6175,0
2017-08-16,2.75,2.9,2.65,2.65,43589,0
2017-08-17,2.7,2.9,2.7,2.85,47503,0
2017-08-18,2.8,2.85,2.75,2.85,14518,0
2017-08-21,2.75,2.8,2.7,2.7,7008,0
2017-08-22,2.8,2.8,2.75,2.75,8435,0
2017-08-23,2.75,2.8,2.7,2.75,64957,0
