Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,77.385,77.681,76.886,77.366,35515,0
2017-01-04,79.138,80.172,79.138,80.034,40983,0
2017-01-05,80.398,80.398,79.738,80.034,30637,0
2017-01-06,79.394,79.679,79.167,79.364,31601,0
2017-01-09,79.463,79.463,78.961,79.098,31362,0
2017-01-10,78.764,79.049,78.508,78.852,37501,0
2017-01-11,78.587,78.882,78.39,78.862,26158,0
2017-01-12,79,79,78.203,78.754,29840,0
2017-01-13,79.345,80.181,79.345,80.113,37651,0
2017-01-17,78.665,78.901,78.271,78.439,35014,0
2017-01-18,79.187,79.286,78.882,79.266,23195,0
2017-01-19,78.715,78.99,78.365,78.665,15236,0
2017-01-20,79.591,79.669,79.187,79.453,15630,0
2017-01-23,77.415,77.887,77.346,77.838,29348,0
2017-01-24,76.795,77.326,76.745,77.07,33173,0
2017-01-25,75.958,76.647,75.84,76.647,48015,0
2017-01-26,77.316,77.937,76.913,77.681,28069,0
2017-01-27,74.422,74.422,73.851,73.93,41509,0
2017-01-30,73.743,73.982,72.945,73.555,33314,0
2017-01-31,74.53,75.259,73.605,74.176,31157,0
2017-02-01,75.16,75.308,74.924,75.219,46226,0
2017-02-02,75.288,75.416,75.043,75.328,86130,0
2017-02-03,74.323,75.062,74.314,74.963,57866,0
2017-02-06,74.255,74.284,73.802,74.215,36699,0
2017-02-07,75.357,75.357,74.944,75.18,32728,0
2017-02-08,74.914,74.94,74.629,74.835,27600,0
2017-02-09,74.885,75.564,74.885,75.525,26995,0
2017-02-10,75.338,75.672,75.338,75.623,26643,0
2017-02-13,75.977,76.174,75.83,76.076,49588,0
2017-02-14,75.515,75.879,75.338,75.8,34966,0
2017-02-15,75.052,75.387,75.013,75.387,37356,0
2017-02-16,75.426,75.662,75.288,75.653,53836,0
2017-02-17,76.302,76.706,76.026,76.696,33354,0
2017-02-21,76.529,77.201,76.519,77.129,44431,0
2017-02-22,76.647,76.844,76.497,76.844,105147,0
2017-02-23,76.972,77.12,76.667,76.972,21298,0
2017-02-24,76.755,76.755,76.46,76.726,29127,0
2017-02-27,76.253,76.785,76.233,76.637,25566,0
2017-02-28,76.745,77.179,76.608,77.06,69868,0
2017-03-01,76.873,77.198,76.795,76.962,33982,0
2017-03-02,76.765,76.795,76.105,76.204,39282,0
2017-03-03,76.125,76.341,75.836,76.194,39597,0
2017-03-06,76.155,76.155,75.672,75.938,24737,0
2017-03-07,76.017,76.207,75.741,76.017,119282,0
2017-03-08,75.623,75.702,74.963,75.239,30612,0
2017-03-09,74.707,74.914,74.619,74.747,29149,0
2017-03-10,74.835,75.318,74.57,74.934,43203,0
2017-03-13,74.875,74.924,74.51,74.629,52502,0
2017-03-14,74.609,74.648,74.294,74.53,35825,0
2017-03-15,75.042,75.731,74.954,75.702,31732,0
2017-03-16,76.834,76.834,76.086,76.194,33537,0
2017-03-17,75.623,75.8,75.249,75.495,114725,0
2017-03-20,75.672,75.82,75.229,75.357,27638,0
2017-03-21,75.21,75.229,73.91,74.107,37533,0
2017-03-22,75.131,75.485,74.865,75.387,32673,0
2017-03-23,75.239,75.436,74.934,75.082,35351,0
2017-03-24,75.357,75.387,75.032,75.259,22136,0
2017-03-27,75.288,75.357,74.855,75.338,18578,0
2017-03-28,75.515,76.342,75.515,76.135,27103,0
2017-03-29,75.57,75.74,75.3926,75.56,27156,0
2017-03-30,75.09,75.28,75.01,75.11,27802,0
2017-03-31,74.28,74.375,74.0425,74.33,17082,0
2017-04-03,74.67,74.94,74.48,74.82,29503,0
2017-04-04,74.51,76.0355,73.96,75.16,62207,0
2017-04-05,74.59,74.62,73.7,73.81,68658,0
2017-04-06,74.15,74.4245,74.0761,74.38,19888,0
2017-04-07,75.58,75.86,75.48,75.55,25037,0
2017-04-10,76.02,76.54,76.02,76.29,43103,0
2017-04-11,76.05,76.3,75.5,76.13,33969,0
2017-04-12,75.69,75.69,75.09,75.38,39464,0
2017-04-13,75.18,75.25,74.9,74.91,20418,0
2017-04-17,76.83,77.35,76.74,77.34,38708,0
2017-04-18,77.73,78.1,77.64,78.01,55368,0
2017-04-19,78.15,78.15,77.57,77.67,22212,0
2017-04-20,78.11,78.79,78.11,78.78,45923,0
2017-04-21,78.06,78.41,78.03,78.22,37043,0
2017-04-24,78.03,78.24,77.72,78.01,33037,0
2017-04-25,77.75,78.275,77.75,77.96,41636,0
2017-04-26,78.02,78.16,77.88,77.89,16659,0
2017-04-27,77.45,77.58,77.285,77.43,20000,0
2017-04-28,76.58,76.66,76.45,76.59,18117,0
2017-05-01,76.48,76.53,76.1,76.52,67674,0
2017-05-02,76.82,77.38,76.82,77.32,32937,0
2017-05-03,77.14,77.55,77.12,77.51,47552,0
2017-05-04,77.54,77.61,77.29,77.6,25017,0
2017-05-05,77.81,77.99,77.6843,77.99,15107,0
2017-05-08,77.83,77.9,77.67,77.7,37002,0
2017-05-09,77.54,77.82,77.54,77.59,19688,0
2017-05-10,77.4,77.59,77.3955,77.59,15530,0
2017-05-11,77.41,77.45,77.03,77.38,29510,0
2017-05-12,76.95,76.95,76.57,76.78,12171,0
2017-05-15,77.46,77.78,77.15,77.35,22790,0
2017-05-16,76.28,76.449,75.78,76.04,29529,0
2017-05-17,77.09,77.1705,76.71,76.86,32327,0
2017-05-18,77.03,77.66,77.03,77.53,30558,0
2017-05-19,77.54,78.02,77.54,78.02,23884,0
2017-05-22,78.44,78.57,78.2,78.21,34232,0
2017-05-23,79.2,79.3999,79.08,79.1,34928,0
2017-05-24,78.93,79.06,78.79,79,26186,0
2017-05-25,79.47,79.77,79.36,79.7,20829,0
2017-05-26,79.41,79.65,79.41,79.65,17518,0
2017-05-30,79.02,79.26,78.96,79.15,22670,0
2017-05-31,79.05,79.07,78.66,78.97,33311,0
2017-06-01,79.53,79.62,79.29,79.51,23759,0
2017-06-02,81.1,81.54,80.855,81.54,34909,0
2017-06-05,81.01,81.18,81,81.18,23717,0
2017-06-06,81.03,81.23,80.35,81.21,61967,0
2017-06-07,81.01,81.07,80.65,81.04,80486,0
2017-06-08,80.05,80.17,79.75,79.89,41559,0
2017-06-09,79.16,79.33,78.76,78.99,57834,0
2017-06-12,78.99,78.99,78.49,78.9,31846,0
2017-06-13,79.64,79.8286,79.38,79.76,32625,0
2017-06-14,80.16,80.16,79.69,79.99,23888,0
2017-06-15,79.13,79.25,78.94,79.24,23533,0
2017-06-16,79.51,79.82,79.37,79.82,19427,0
2017-06-19,79.25,79.44,79.17,79.44,30913,0
2017-06-20,79.08,79.17,78.78,78.79,39593,0
2017-06-21,79.45,79.7186,79.38,79.55,40956,0
2017-06-22,79.42,79.45,79.29,79.41,13488,0
2017-06-23,79.67,79.89,79.59,79.89,21543,0
2017-06-26,79.69,79.8439,79.39,79.44,19848,0
2017-06-27,79.54,79.54,79.13,79.39,18201,0
2017-06-28,79.1,79.42,78.6829,79.29,26438,0
2017-06-29,79.54,79.64,78.6,78.9,28784,0
2017-06-30,78.08,78.11,77.7,77.93,46387,0
2017-07-03,78.37,78.608,78.14,78.36,48462,0
2017-07-05,80.25,80.48,80.01,80.48,47587,0
2017-07-06,79.96,80.14,79.68,79.79,24938,0
2017-07-07,78.35,78.7,78.145,78.52,63486,0
2017-07-10,78.24,78.5,78.15,78.39,58774,0
2017-07-11,78.38,78.79,78.26,78.79,50252,0
2017-07-12,78.55,78.65,78.277,78.5,47168,0
2017-07-13,77.89,78.11,77.72,78.11,14409,0
2017-07-14,77.94,77.94,77.52,77.7,26371,0
2017-07-17,77.67,77.92,77.61,77.69,17284,0
2017-07-18,78.89,79.05,78.72,78.9,20367,0
2017-07-19,78.12,78.36,78.12,78.34,15056,0
2017-07-20,78.99,79.11,78.71,78.92,19552,0
2017-07-21,78.76,79.07,78.73,79.01,19578,0
2017-07-24,79.04,79.31,78.84,79.3,27391,0
2017-07-25,79.29,79.39,79.1296,79.22,59573,0
2017-07-26,78.64,78.99,78.46,78.78,68005,0
2017-07-27,79.49,79.49,79.1312,79.22,72939,0
2017-07-28,78.98,79.4,78.98,79.4,61452,0
2017-07-31,80.45,83.71,80.44,82.83,94250,0
2017-08-01,82.61,82.61,82.25,82.25,26246,0
2017-08-02,83.28,83.37,82.7115,82.93,30437,0
2017-08-03,83.52,84.07,83.52,83.75,27086,0
2017-08-04,83.44,83.52,83.22,83.47,13591,0
2017-08-07,83.02,83.26,82.7991,83.15,14835,0
2017-08-08,82.64,82.918,82.64,82.8,12032,0
2017-08-09,82.81,82.81,82.45,82.73,14899,0
2017-08-10,82.27,82.51,81.32,81.51,22153,0
2017-08-11,81.37,81.75,80.5,81.53,40579,0
2017-08-14,82.03,82.27,81.92,81.98,17497,0
2017-08-15,81.79,81.8471,81.5401,81.63,12990,0
2017-08-16,81.27,81.53,81.261,81.37,19754,0
2017-08-17,81.23,81.24,80.73,80.73,14235,0
2017-08-18,81.1,81.53,80.69,81.32,34578,0
2017-08-21,81.24,81.24,80.96,81.19,28190,0
2017-08-22,80.96,81.25,80.775,81.07,44044,0
2017-08-23,80.55,80.8,80.55,80.73,25353,0
2017-08-24,80.28,80.32,80.06,80.15,13765,0
2017-08-25,80.43,80.735,80.26,80.44,21086,0
2017-08-28,80.84,80.95,80.55,80.62,14316,0
2017-08-29,80.41,80.41,80.19,80.35,16177,0
2017-08-30,80.14,80.18,79.8727,80.18,14216,0
2017-08-31,80.28,80.565,80.18,80.51,17981,0
2017-09-01,80.34,80.368,80.02,80.16,18709,0
2017-09-05,79.84,79.89,79.51,79.81,34911,0
2017-09-06,79.52,79.72,79.3,79.43,28360,0
2017-09-07,79.58,79.65,78.94,79.24,26820,0
2017-09-08,79.36,79.49,79.27,79.49,25370,0
2017-09-11,79.24,79.52,79.12,79.22,20270,0
2017-09-12,80.15,80.32,80.06,80.27,28208,0
2017-09-13,79.12,80,79.01,79.27,81243,0
2017-09-14,79.97,80.39,79.97,80.39,16845,0
2017-09-15,80.05,80.23,79.82,80.15,27779,0
2017-09-18,80.34,80.4,80.11,80.36,19958,0
2017-09-19,81.18,81.33,80.98,81.19,26860,0
2017-09-20,81.92,81.92,81.53,81.65,17951,0
2017-09-21,80.84,81.0634,80.6,80.61,18733,0
2017-09-22,81.7,81.99,81.68,81.81,43812,0
2017-09-25,81.73,81.95,81.48,81.66,22737,0
2017-09-26,81.15,81.19,80.88,81.02,25010,0
2017-09-27,81.58,81.8,81.37,81.66,10533,0
2017-09-28,80.39,80.8,80.27,80.59,20612,0
2017-09-29,80.69,81.02,80.62,80.94,19421,0
2017-10-02,80.52,80.68,80.17,80.63,19286,0
2017-10-03,80.86,81.27,80.86,81.24,18243,0
2017-10-04,81.57,81.73,81.55,81.72,13022,0
2017-10-05,81.21,81.3999,81.0936,81.29,13781,0
2017-10-06,80.76,81.18,80.6588,81.06,22115,0
2017-10-09,81.25,81.35,81.1723,81.24,10692,0
2017-10-10,81.74,81.75,81.62,81.62,14699,0
2017-10-11,81.63,82.05,81.63,81.86,14066,0
2017-10-12,83.25,83.48,83.18,83.28,18513,0
2017-10-13,85.61,86.43,85.52,86.18,40708,0
2017-10-16,86.12,89.44,85.82,85.84,93934,0
2017-10-17,86.06,86.21,85.85,86.08,21654,0
2017-10-18,86.088,86.19,85.535,85.82,20466,0
2017-10-19,84.82,85.22,84.82,85.13,15252,0
