Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,5.25,5.3,5.1,5.15,365483,0
2017-01-04,5.2,5.25,5.15,5.25,367613,0
2017-01-05,5.25,5.3,5.1,5.15,496926,0
2017-01-06,5.2,5.35,5.15,5.3,573203,0
2017-01-09,5.25,5.35,5.2,5.3,132231,0
2017-01-10,5.35,5.45,5.25,5.4,132078,0
2017-01-11,5.35,5.55,5.35,5.45,333960,0
2017-01-12,5.4,5.55,5.3,5.35,488448,0
2017-01-13,5.35,5.55,5.35,5.5,229257,0
2017-01-17,5.5,5.55,5.4,5.5,211732,0
2017-01-18,5.55,5.6,5.4,5.55,324861,0
2017-01-19,5.55,5.65,5.4,5.6,326619,0
2017-01-20,5.65,5.65,5.55,5.6,168944,0
2017-01-23,5.6,5.675,5.4,5.45,224049,0
2017-01-24,5.5,5.55,5.45,5.45,191900,0
2017-01-25,5.5,5.55,5.15,5.3,442133,0
2017-01-26,5.35,5.4,4.95,5.35,962645,0
2017-01-27,5.35,5.5,5.25,5.25,153275,0
2017-01-30,5.2,5.25,5,5.15,309191,0
2017-01-31,5.1,5.2,5.05,5.1,332066,0
2017-02-01,5.1,5.225,4.8,4.8,333379,0
2017-02-02,4.775,5.35,4.775,5.3,913743,0
2017-02-03,5.35,5.35,5.05,5.1,231606,0
2017-02-06,5.15,5.35,5.05,5.25,1169458,0
2017-02-07,5.3,5.3,4.9,4.95,976643,0
2017-02-08,4.9,5.1,4.816,5.05,364191,0
2017-02-09,5,5.15,4.9,4.95,243357,0
2017-02-10,4.95,5.6,4.95,5.25,1207397,0
2017-02-13,5.25,5.3,5.2,5.25,75631,0
2017-02-14,5.3,5.375,5.1,5.15,195051,0
2017-02-15,5.1,5.2,5.1,5.2,153782,0
2017-02-16,5.2,5.25,5.15,5.15,91043,0
2017-02-17,5.15,5.15,5.05,5.15,119679,0
2017-02-21,5.15,5.3,5.05,5.15,302700,0
2017-02-22,5.15,5.175,5.05,5.05,205563,0
2017-02-23,5.55,5.85,5.2001,5.7,730067,0
2017-02-24,5.55,5.6,5.5,5.5,189251,0
2017-02-27,5.5,5.65,5.45,5.6,188874,0
2017-02-28,5.55,5.55,5.25,5.25,362237,0
2017-03-01,5.25,5.35,5.2,5.3,148969,0
2017-03-02,5.3,5.4,5.25,5.3,240159,0
2017-03-03,5.3,5.4,5.3,5.35,111540,0
2017-03-06,5.3,5.315,5.1,5.2,176671,0
2017-03-07,5.15,5.2,5.05,5.15,266614,0
2017-03-08,5.15,5.3,5.1,5.25,167066,0
2017-03-09,5.25,5.25,5.1,5.15,180797,0
2017-03-10,5.15,5.3,5.075,5.2,128175,0
2017-03-13,5.15,5.2,5.1,5.1,144310,0
2017-03-14,5.1,5.2,5.04,5.1,354931,0
2017-03-15,5.2,5.6,5.1023,5.6,1126956,0
2017-03-16,5.6,5.7,5.4,5.55,435598,0
2017-03-17,5.55,5.8,5.55,5.75,516431,0
2017-03-20,5.75,5.75,5.65,5.75,171932,0
2017-03-21,5.8,5.8,5.55,5.7,232301,0
2017-03-22,5.7,5.7,5.4,5.55,286744,0
2017-03-23,5.55,5.6,5.35,5.4,169947,0
2017-03-24,5.4,5.5,5.4,5.4,176931,0
2017-03-27,5.35,5.5,5.35,5.45,103230,0
2017-03-28,5.45,5.55,5.4,5.5,244897,0
2017-03-29,5.5,5.7,5.45,5.6,425613,0
2017-03-30,5.6,5.7,5.5,5.6,122444,0
2017-03-31,5.6,5.6,5.4,5.5,192841,0
2017-04-03,5.5,5.55,5.3,5.3,232990,0
