Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,4.79,4.895,4.73,4.87,389096,0
2017-01-04,4.87,4.98,4.86,4.94,254605,0
2017-01-05,4.95,5.07,4.9,5.01,234343,0
2017-01-06,5,5.09,5,5.04,129748,0
2017-01-09,5.05,5.07,4.92,4.95,127374,0
2017-01-10,5,5,4.91,4.94,158523,0
2017-01-11,4.94,5.0566,4.9,4.98,130793,0
2017-01-12,4.95,4.95,4.83,4.87,129418,0
2017-01-13,4.9,4.969,4.85,4.89,141295,0
2017-01-17,4.91,5,4.88,5,370346,0
2017-01-18,5.04,5.05,4.95,4.97,125377,0
2017-01-19,4.99,4.99,4.83,4.87,228481,0
2017-01-20,4.89,4.98,4.89,4.94,128047,0
2017-01-23,4.99,4.9916,4.735,4.79,366167,0
2017-01-24,4.79,4.85,4.73,4.77,219254,0
2017-01-25,4.77,4.8591,4.745,4.78,111003,0
2017-01-26,4.79,4.83,4.67,4.69,252991,0
2017-01-27,4.68,4.74,4.645,4.7,120247,0
2017-01-30,4.69,4.69,4.45,4.51,280940,0
2017-01-31,4.51,4.6,4.42,4.56,206151,0
2017-02-01,4.59,4.7,4.59,4.67,155440,0
2017-02-02,4.65,4.69,4.56,4.62,131920,0
2017-02-03,4.62,4.71,4.5848,4.68,100202,0
2017-02-06,4.72,4.72,4.62,4.63,127407,0
2017-02-07,4.62,4.6579,4.6,4.64,97678,0
2017-02-08,4.63,4.67,4.5754,4.64,197475,0
2017-02-09,4.64,4.66,4.56,4.58,159811,0
2017-02-10,4.58,4.72,4.565,4.7,265203,0
2017-02-13,4.75,4.94,4.72,4.94,397679,0
2017-02-14,4.96,4.97,4.71,4.87,412406,0
2017-02-15,4.89,5.0599,4.89,4.98,307088,0
2017-02-16,4.95,5.05,4.9,4.95,254227,0
2017-02-17,4.94,5.0804,4.9,5.07,353314,0
2017-02-21,5.07,5.43,5.02,5.41,918918,0
2017-02-22,5.43,5.46,5.185,5.2,581319,0
2017-02-23,5.21,5.6,5.21,5.33,577609,0
2017-02-24,5.3,5.42,5.2,5.31,294814,0
2017-02-27,5.27,5.38,5.18,5.23,334268,0
2017-02-28,5.21,5.3488,5.08,5.1,262344,0
2017-03-01,5.2,5.2,5.02,5.04,342307,0
2017-03-02,5.02,5.26,5.01,5.08,363106,0
2017-03-03,5.05,5.08,4.78,4.87,406779,0
2017-03-06,4.86,4.895,4.75,4.82,246068,0
2017-03-07,4.82,4.82,4.7,4.74,240885,0
2017-03-08,4.7,4.88,4.7,4.74,303644,0
2017-03-09,4.72,4.8294,4.711,4.72,146256,0
2017-03-10,4.73,4.86,4.71,4.85,226726,0
2017-03-13,4.84,4.93,4.82,4.91,173923,0
2017-03-14,4.95,5.08,4.85,4.93,567031,0
2017-03-15,4.94,5.06,4.87,5,301197,0
2017-03-16,5.41,5.8652,5.34,5.39,2444482,0
2017-03-17,5.38,5.53,5.06,5.06,1394004,0
2017-03-20,5.03,5.29,5.03,5.28,882751,0
2017-03-21,5.16,5.43,5.16,5.24,598584,0
2017-03-22,5.23,5.495,5.215,5.48,833841,0
2017-03-23,5.5,5.68,5.41,5.65,838991,0
2017-03-24,5.7,5.79,5.6201,5.72,954671,0
2017-03-27,5.8,5.97,5.74,5.93,645584,0
2017-03-28,6.05,6.3897,5.87,6.31,1749081,0
2017-03-29,6.28,6.4599,5.9736,6.36,882886,0
2017-03-30,6.35,6.36,6.213,6.34,553172,0
2017-03-31,6.34,6.68,6.25,6.54,747303,0
2017-04-03,6.53,6.67,6.461,6.54,423083,0
2017-04-04,6.51,6.74,6.45,6.55,572099,0
2017-04-05,6.57,6.6,6.395,6.45,551774,0
2017-04-06,6.43,6.64,6.25,6.53,415063,0
2017-04-07,6.49,6.75,6.49,6.7,499666,0
2017-04-10,6.66,6.85,6.58,6.77,449752,0
2017-04-11,6.78,7.015,6.7,6.98,581664,0
2017-04-12,6.95,7.04,6.8954,6.96,433281,0
2017-04-13,6.96,7,6.7,6.73,434119,0
2017-04-17,6.75,6.84,6.43,6.82,653872,0
2017-04-18,6.7,6.8,6.53,6.72,355628,0
2017-04-19,6.76,6.767,6.49,6.54,339102,0
2017-04-20,6.57,6.66,6.5,6.52,166407,0
2017-04-21,6.52,6.57,6.47,6.52,213869,0
2017-04-24,6.62,6.695,6.5801,6.65,287685,0
2017-04-25,6.65,6.7289,6.62,6.66,162579,0
2017-04-26,6.65,6.8,6.51,6.77,597170,0
2017-04-27,6.76,7.35,6.7201,7.28,1168220,0
2017-04-28,7.25,7.25,6.8599,7.01,668530,0
2017-05-01,7.02,7.17,6.91,6.97,387079,0
2017-05-02,7.01,7.09,6.9,7.08,328986,0
2017-05-03,7.1,7.3,6.95,7.2,500600,0
2017-05-04,7.21,7.24,6.53,6.73,1023876,0
2017-05-05,6.76,7.11,6.72,7.1,592814,0
2017-05-08,7.1,7.21,6.91,7.13,409080,0
2017-05-09,7.13,7.44,7,7.4,670916,0
2017-05-10,7.45,7.5,7.25,7.42,372805,0
2017-05-11,7.38,7.5,7.19,7.42,473105,0
2017-05-12,7.39,7.39,7.17,7.32,280647,0
2017-05-15,7.43,7.4399,7.22,7.26,182854,0
2017-05-16,7.23,7.27,7.16,7.24,120842,0
2017-05-17,7.15,7.26,7,7.04,247842,0
2017-05-18,7,7.14,6.8,6.94,478142,0
2017-05-19,6.98,7.3,6.96,7.2,443892,0
2017-05-22,7.32,7.32,7.1,7.2,182840,0
2017-05-23,7.16,7.29,7.11,7.24,346551,0
2017-05-24,6.88,7.21,6.85,6.95,564766,0
2017-05-25,7,7.3,6.89,7.19,1154067,0
2017-05-26,7.12,7.25,6.9,6.9,497484,0
2017-05-30,6.89,7.09,6.83,7.07,722687,0
2017-05-31,7.1,7.2,6.8,6.88,598990,0
2017-06-01,6.86,7.02,6.66,6.79,481640,0
2017-06-02,6.78,6.78,6.52,6.56,475837,0
2017-06-05,6.55,6.55,6.33,6.39,620961,0
2017-06-06,6.42,6.6,6.42,6.53,998668,0
2017-06-07,6.55,6.56,6.2,6.44,806957,0
2017-06-08,6.5,6.6,6.35,6.56,638769,0
2017-06-09,6.56,6.56,6.2141,6.28,582063,0
2017-06-12,6.25,6.5,6.17,6.28,456368,0
2017-06-13,6.3,6.37,6.26,6.32,281938,0
2017-06-14,6.27,6.3,6.18,6.21,562890,0
2017-06-15,6.18,6.25,6.18,6.21,218155,0
2017-06-16,6.19,6.35,6.16,6.34,696313,0
2017-06-19,6.37,6.48,6.3,6.36,503326,0
2017-06-20,6.35,6.35,6.21,6.27,143048,0
2017-06-21,6.3,6.43,6.23,6.41,268259,0
2017-06-22,6.43,6.67,6.3619,6.45,1161538,0
2017-06-23,6.49,6.66,6.37,6.44,1012723,0
2017-06-26,6.47,6.57,6.32,6.43,420177,0
2017-06-27,6.42,6.475,6.27,6.41,484423,0
2017-06-28,6.43,6.52,6.36,6.4,312169,0
2017-06-29,6.4,6.45,6.23,6.37,700194,0
2017-06-30,6.4,6.41,6.28,6.35,307565,0
2017-07-03,6.36,6.45,6.3,6.35,173709,0
2017-07-05,6.37,6.44,6.29,6.39,281402,0
2017-07-06,6.31,6.38,6.245,6.29,400853,0
2017-07-07,6.3,6.315,6.19,6.2,534957,0
2017-07-10,6.2,6.25,6.1,6.12,531002,0
2017-07-11,6.15,6.34,6.02,6.09,555324,0
2017-07-12,6.12,6.19,6.01,6.11,454944,0
2017-07-13,6.15,6.17,6.02,6.08,238767,0
2017-07-14,6.12,6.32,6.06,6.28,650527,0
2017-07-17,6.24,6.35,6.17,6.26,342426,0
2017-07-18,6.22,6.42,6.22,6.38,619005,0
2017-07-19,6.6,6.6601,6.53,6.57,1709225,0
2017-07-20,6.61,6.63,6.5106,6.57,461385,0
2017-07-21,6.53,6.59,6.4301,6.48,247193,0
2017-07-24,6.49,6.49,6.37,6.38,300659,0
2017-07-25,6.39,6.44,6.3099,6.35,292249,0
2017-07-26,6.35,6.42,6.31,6.36,312708,0
