Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,88.086,88.66,87.689,88.056,208104,0
2017-01-04,87.899,89.157,87.899,88.898,258353,0
2017-01-05,88.938,89.928,88.82,89.711,334733,0
2017-01-06,89.869,90.484,89.483,89.998,263152,0
2017-01-09,89.998,89.998,89.206,89.364,172141,0
2017-01-10,89.523,89.523,88.62,88.66,222944,0
2017-01-11,88.67,89.007,88.126,88.443,190058,0
2017-01-12,88.196,88.493,87.343,88.433,356764,0
2017-01-13,88.65,89.781,88.413,89.691,174176,0
2017-01-17,89.414,89.592,88.63,89.344,156247,0
2017-01-18,89.464,89.562,89.107,89.304,164380,0
2017-01-19,89.424,89.86,89.067,89.404,213872,0
2017-01-20,89.404,90.117,88.908,89.919,189480,0
2017-01-23,89.79,90.295,89.674,90.177,343098,0
2017-01-24,90.335,90.484,89.8,90.345,281341,0
2017-01-25,90.335,90.622,89.245,89.85,339463,0
2017-01-26,89.681,89.691,88.72,88.86,259309,0
2017-01-27,89.117,89.225,88.572,89.206,137469,0
2017-01-30,88.918,89.344,88.146,89.284,193206,0
2017-01-31,89.007,89.948,88.265,88.918,271947,0
2017-02-01,89.057,89.726,87.937,88.246,280095,0
2017-02-02,88.255,89.127,87.879,88.216,274653,0
2017-02-03,88.572,89.474,88.572,89.384,301559,0
2017-02-06,89.147,89.394,88.64,88.85,209367,0
2017-02-07,88.879,89.186,88.547,89.167,397354,0
2017-02-08,88.898,89.414,87.284,88.69,364148,0
2017-02-09,88.967,90.355,87.502,89.968,375478,0
2017-02-10,89.968,90.078,89.404,89.751,293121,0
2017-02-13,90.226,90.919,90.226,90.622,284022,0
2017-02-14,90.265,90.672,89.948,90.196,191700,0
2017-02-15,90.196,90.909,90.048,90.821,193467,0
2017-02-16,90.929,91.375,90.672,91.375,250795,0
2017-02-17,90.89,91.662,90.157,91.662,151519,0
2017-02-21,91.514,92.326,91.167,92.286,231922,0
2017-02-22,92.306,92.663,92.009,92.495,199149,0
2017-02-23,92.553,93.148,92.198,92.97,193604,0
2017-02-24,92.743,93.812,92.633,93.812,228838,0
2017-02-27,93.664,93.941,93.109,93.871,241214,0
2017-02-28,93.673,93.911,93.081,93.195,398999,0
2017-03-01,93.881,94.786,93.325,94.746,261724,0
2017-03-02,94.617,94.617,93.693,93.891,179185,0
2017-03-03,94.051,94.667,93.699,94.418,226658,0
2017-03-06,94.209,94.408,93.683,94.031,209034,0
2017-03-07,93.931,94.226,93.265,93.891,156088,0
2017-03-08,93.533,94.179,93.345,93.693,228116,0
2017-03-09,93.802,94.07,93.255,93.484,209970,0
2017-03-10,93.901,94.369,93.3,93.861,242998,0
2017-03-13,93.981,94.597,93.752,94.527,231281,0
2017-03-14,94.199,94.786,93.921,94.259,142152,0
2017-03-15,94.657,95.054,94.289,94.766,272333,0
2017-03-16,94.845,94.845,93.792,94.169,204105,0
2017-03-17,93.971,94.885,93.971,94.517,526368,0
2017-03-20,94.299,94.398,93.454,93.911,310345,0
2017-03-21,94.179,94.179,92.818,93.315,327086,0
2017-03-22,93.126,93.484,92.619,93.136,227602,0
2017-03-23,93.037,93.713,92.629,92.897,192338,0
2017-03-24,93.185,93.34,92.49,92.759,153872,0
2017-03-27,92.033,93.305,91.59,93.047,254639,0
2017-03-28,92.937,93.484,92.53,93.176,182850,0
2017-03-29,93.255,93.613,92.629,93.444,206066,0
2017-03-30,93.414,93.762,92.977,93.345,185699,0
2017-03-31,93.285,93.444,92.5,92.53,348312,0
2017-04-03,92.579,93.548,91.913,92.241,312613,0
2017-04-04,92.093,92.907,91.745,92.162,201700,0
2017-04-05,92.45,92.937,91.785,91.923,275871,0
2017-04-06,92.003,92.381,91.307,91.595,230229,0
2017-04-07,91.218,91.785,90.939,91.407,378822,0
2017-04-10,91.565,91.993,91.227,91.715,305699,0
2017-04-11,91.536,92.997,91.257,92.997,353025,0
2017-04-12,93.235,93.583,92.788,93.335,357997,0
2017-04-13,93.176,93.295,92.441,92.46,196759,0
2017-04-17,92.47,93.613,92.47,93.593,141417,0
2017-04-18,93.603,93.931,92.51,93.841,152583,0
2017-04-19,94.16,94.637,93.951,94.199,194683,0
2017-04-20,94.527,95.094,93.991,94.945,222397,0
2017-04-21,94.895,95.094,94.567,95.044,221391,0
2017-04-24,95.879,96.008,95.452,95.919,158853,0
2017-04-25,96.217,96.465,95.611,96.038,118826,0
2017-04-26,96.277,96.644,95.73,96.376,151619,0
2017-04-27,96.257,97.42,95.909,96.724,220854,0
2017-04-28,96.853,96.853,95.77,96.326,258183,0
2017-05-01,96.336,97.032,95.773,96.346,283890,0
2017-05-02,96.525,97.101,95.576,96.764,293112,0
2017-05-03,97.936,97.936,95.323,96.883,430541,0
2017-05-04,96.654,98.125,94.91,97.449,400975,0
2017-05-05,97.628,98.026,96.783,97.549,281897,0
2017-05-08,97.36,97.713,96.366,96.535,280921,0
2017-05-09,96.813,97.121,96.167,96.704,461078,0
2017-05-10,96.883,97.33,96.644,96.803,284370,0
2017-05-11,96.495,96.803,95.313,96.058,400751,0
2017-05-12,95.989,95.989,95.273,95.402,202916,0
2017-05-15,95.641,96.346,94.457,96.177,261218,0
