Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,10.3,10.46,10.12,10.29,113175,0
2017-01-04,10.36,10.58,10.3,10.35,134527,0
2017-01-05,10.29,10.31,10.03,10.19,42346,0
2017-01-06,10.22,10.28,9.96,10.06,89548,0
2017-01-09,10.03,10.32,9.81,10.11,93435,0
2017-01-10,10.08,10.2,10.02,10.09,70643,0
2017-01-11,10.1,10.1,9.87,10.01,70637,0
2017-01-12,9.85,10.07,9.73,10.01,58887,0
2017-01-13,10.06,10.09,9.79,9.89,76700,0
2017-01-17,9.86,9.87,9.66,9.72,83743,0
2017-01-18,9.7,9.84,9.63,9.76,61771,0
2017-01-19,9.66,9.7,9.45,9.53,72396,0
2017-01-20,9.48,9.54,9.34,9.43,61977,0
2017-01-23,9.37,9.4,9.18,9.3,75317,0
2017-01-24,9.34,9.41,9.15,9.3,48197,0
2017-01-25,9.3,9.48,9.28,9.34,59932,0
2017-01-26,9.34,9.395,9.225,9.3,38547,0
2017-01-27,9.34,9.34,9.17,9.31,26316,0
2017-01-30,9.3,9.3,9.15,9.24,39644,0
2017-01-31,9.24,9.24,9.08,9.1,57472,0
2017-02-01,9.13,9.29,9.1,9.24,60489,0
2017-02-02,9.2,9.35,9.15,9.26,35494,0
2017-02-03,9.29,9.61,9.25,9.61,70581,0
2017-02-06,9.62,9.81,9.6,9.74,50420,0
2017-02-07,9.66,9.66,9.43,9.5,47013,0
2017-02-08,9.44,9.57,9.34,9.48,37315,0
2017-02-09,9.54,9.6,9.46,9.49,45234,0
2017-02-10,9.48,9.755,9.45,9.66,121345,0
2017-02-13,9.75,9.78,9.63,9.78,55086,0
2017-02-14,9.8,9.86,9.6,9.75,134551,0
2017-02-15,9.71,9.75,9.59,9.74,72877,0
2017-02-16,9.72,9.75,9.62,9.68,30936,0
2017-02-17,9.71,9.77,9.6,9.75,144432,0
2017-02-21,9.76,9.94,9.76,9.84,97934,0
2017-02-22,9.8,9.91,9.63,9.84,127556,0
2017-02-23,9.84,9.87,9.7,9.81,109203,0
2017-02-24,9.78,9.8,9.71,9.75,68861,0
2017-02-27,9.78,9.94,9.72,9.8925,143739,0
2017-02-28,9.85,9.975,9.7,9.71,106824,0
2017-03-01,9.76,9.8,9.55,9.58,189680,0
2017-03-02,9.62,9.78,9.61,9.67,107562,0
2017-03-03,9.77,9.79,9.62,9.6992,141508,0
2017-03-06,9.7,9.7,9.45,9.53,146487,0
2017-03-07,9.52,9.85,9.49,9.75,193089,0
2017-03-08,9.75,9.86,9.58,9.63,165595,0
2017-03-09,9.61,9.69,9.45,9.48,157003,0
2017-03-10,9.57,9.57,9.36,9.39,190243,0
2017-03-13,9.38,9.72,9.38,9.64,148543,0
2017-03-14,9.6,9.69,9.5,9.56,84128,0
2017-03-15,9.59,9.81,9.48,9.68,251944,0
2017-03-16,9.73,9.96,9.66,9.93,116196,0
2017-03-17,9.85,10.44,9.82,9.89,231569,0
2017-03-20,9.7,9.7346,9.45,9.59,292817,0
2017-03-21,9.7,9.75,9.47,9.51,165846,0
2017-03-22,9.55,9.55,9.27,9.3,176139,0
2017-03-23,9.32,9.39,9.2,9.25,182620,0
2017-03-24,9.26,9.35,9.15,9.25,165574,0
2017-03-27,9.15,9.27,9.08,9.09,154154,0
2017-03-28,9.12,9.235,9,9.21,276500,0
2017-03-29,9.2,9.38,9.1,9.15,272134,0
2017-03-30,9.11,9.165,9,9.1,293483,0
2017-03-31,9.14,9.15,9.0301,9.05,75094,0
2017-04-03,9.07,9.1,8.95,8.98,211126,0
2017-04-04,8.99,8.99,8.76,8.86,146931,0
2017-04-05,8.93,8.93,8.65,8.65,180255,0
2017-04-06,8.71,8.76,8.55,8.69,135479,0
2017-04-07,8.69,8.75,8.62,8.66,82714,0
2017-04-10,8.67,8.75,8.55,8.55,119801,0
2017-04-11,8.55,8.65,8.55,8.65,72210,0
2017-04-12,8.68,8.825,8.55,8.58,134444,0
