Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,19.2,19.3,18.85,19.05,228673,0
2017-01-04,19.05,19.225,18.95,18.95,249648,0
2017-01-05,18.85,19.15,18.55,18.75,205016,0
2017-01-06,18.8,18.8,18.4,18.45,117238,0
2017-01-09,18.35,18.35,17.9,17.95,131564,0
2017-01-10,17.8,18.25,17.8,17.85,164975,0
2017-01-11,17.9,17.9,17.6,17.7,511669,0
2017-01-12,17.6,17.7,17.2,17.65,345991,0
2017-01-13,17.7,17.95,17.55,17.7,278004,0
2017-01-17,17.65,17.65,17.3,17.35,152600,0
2017-01-18,17.35,17.4,16.85,17,279334,0
2017-01-19,16.95,17.0457,16.8,16.85,181969,0
2017-01-20,16.8,17.05,16.8,17.05,192882,0
2017-01-23,17.05,17.1,16.65,16.9,178523,0
2017-01-24,16.95,17.05,16.75,16.8,190542,0
2017-01-25,16.95,17.05,16.7,16.8,232660,0
2017-01-26,16.9,17,16.7,16.75,315480,0
2017-01-27,16.75,17.0499,16.6,16.8,282738,0
2017-01-30,16.75,16.9,16.65,16.75,177723,0
2017-01-31,16.7,16.95,16.65,16.85,505918,0
2017-02-01,16.95,17,16.75,16.75,183500,0
2017-02-02,16.8,16.85,16.55,16.7,171652,0
2017-02-03,16.85,17.275,16.75,17.25,209249,0
2017-02-06,17.1,17.5,17.1,17.4,212122,0
2017-02-07,17.4,17.7,17.2,17.3,254964,0
2017-02-08,17.3,17.3,16.7,16.75,158437,0
2017-02-09,16.75,16.925,16.6999,16.9,132003,0
2017-02-10,17.05,17.35,17.008,17.25,122167,0
2017-02-13,17.25,17.35,17,17.2,124125,0
2017-02-14,17.2,17.2,16.75,16.8,146579,0
2017-02-15,16.8,17.1,16.75,16.9,189699,0
2017-02-16,16.95,17.25,16.8,17.2,238074,0
2017-02-17,17.25,17.25,16.95,17.15,168498,0
2017-02-21,17.2,17.2,16.8,17,179008,0
2017-02-22,17,17,16.725,16.85,227793,0
2017-02-23,16.9,16.95,16.75,16.8,149971,0
2017-02-24,16.75,16.85,16.55,16.65,151321,0
2017-02-27,16.65,16.95,16.588,16.85,147010,0
2017-02-28,16.7,16.8,16.45,16.55,224865,0
2017-03-01,16.65,16.8002,16.5,16.65,225654,0
2017-03-02,16.65,16.65,16.3,16.35,243731,0
2017-03-03,16.65,17.65,16.65,17.2,543606,0
2017-03-06,17.15,17.2,16.55,16.85,242819,0
2017-03-07,16.8,17,16.55,16.6,245535,0
2017-03-08,16.6,16.8,16.35,16.35,238716,0
2017-03-09,16.35,17.05,16.35,16.65,262444,0
2017-03-10,16.75,16.95,16.55,16.85,200408,0
2017-03-13,16.9,17.125,16.7,16.85,199979,0
2017-03-14,16.8,16.975,16.6,16.65,177300,0
2017-03-15,16.8,17,16.75,16.8,410707,0
2017-03-16,16.75,17.2,16.7,17.15,288020,0
2017-03-17,17.15,17.4,17,17.35,360874,0
2017-03-20,17.3,17.45,17.05,17.1,157699,0
2017-03-21,17.15,17.2,16.85,16.85,195918,0
2017-03-22,16.85,16.9,16.55,16.85,299387,0
2017-03-23,16.85,17.3,16.7,17,443195,0
2017-03-24,17.05,17.15,16.95,17.05,98457,0
