Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,85.392,85.801,84.063,85.283,21007929,0
2017-01-04,85.49,85.707,84.939,85.441,15516329,0
2017-01-05,85.343,85.637,83.818,84.655,14541931,0
2017-01-06,84.93,85.156,84.488,84.665,13070416,0
2017-01-09,84.281,85.303,84.075,84.724,13014141,0
2017-01-10,84.615,85.432,84.271,84.969,14224396,0
2017-01-11,84.969,85.609,84.458,85.609,14948594,0
2017-01-12,85.293,85.794,84.567,84.782,21668874,0
2017-01-13,85.637,86.679,84.645,85.235,28737999,0
2017-01-17,83.495,83.779,81.872,82.139,30526425,0
2017-01-18,82.216,82.807,81.627,82.521,21621560,0
2017-01-19,82.64,83.238,81.715,81.902,16827824,0
2017-01-20,82.02,82.413,81.877,82.256,18742724,0
2017-01-23,81.892,82.58,81.799,82.296,12378748,0
2017-01-24,82.503,83.564,82.148,83.288,15425266,0
2017-01-25,84.39,84.714,83.731,84.577,17825246,0
2017-01-26,84.497,85.48,84.497,85.283,16234282,0
2017-01-27,85.196,85.51,84.812,85.46,12733411,0
2017-01-30,84.734,85.039,83.879,84.577,13881608,0
2017-01-31,84.153,84.694,82.67,83.201,15908531,0
2017-02-01,84.094,84.645,83.248,83.515,15690001,0
2017-02-02,82.914,83.475,82.737,83.161,11270492,0
2017-02-03,84.734,85.834,84.414,85.707,18186461,0
2017-02-06,85.323,85.971,85.146,85.303,12025130,0
2017-02-07,85.667,85.924,85.019,85.255,9561638,0
2017-02-08,84.724,84.852,83.927,84.507,14210317,0
2017-02-09,84.959,85.854,84.675,85.727,13982033,0
2017-02-10,86.001,86.001,85.422,85.53,11179118,0
2017-02-13,85.962,87.24,85.953,86.66,18885261,0
2017-02-14,86.809,88.185,86.618,88.046,18237797,0
2017-02-15,88.557,89.335,87.841,89.058,17641601,0
2017-02-16,88.872,89.502,88.253,89.001,17958311,0
2017-02-17,88.302,88.936,88.175,88.705,15989497,0
2017-02-21,88.981,89.609,88.931,89.472,14308912,0
2017-02-22,88.991,89.756,88.891,89.522,12036029,0
2017-02-23,89.639,89.796,88.991,89.589,11249045,0
2017-02-24,88.656,89.011,88.213,88.804,15312304,0
2017-02-27,88.794,89.193,88.499,88.901,12560137,0
2017-02-28,88.327,89.285,88.071,89.088,15441395,0
2017-03-01,91.222,92.392,91.045,92.018,24870142,0
2017-03-02,92.284,92.332,90.474,90.583,17112340,0
2017-03-03,90.671,91.537,90.632,91.232,13040892,0
2017-03-06,90.691,90.76,89.56,90.367,15311020,0
2017-03-07,90.091,90.534,89.669,89.866,11341180,0
2017-03-08,91.114,91.282,89.56,89.669,17672631,0
2017-03-09,90.053,90.583,89.609,90.023,13955101,0
2017-03-10,90.397,90.445,89.001,89.738,13951837,0
2017-03-13,89.766,90.23,89.394,89.816,10175187,0
2017-03-14,89.482,90.1,89.23,89.963,10411912,0
2017-03-15,90.249,90.986,89.589,90.18,16883607,0
2017-03-16,90.474,91.238,90.023,90.091,14739818,0
2017-03-17,90.278,90.484,89.118,89.148,22103485,0
2017-03-20,88.744,89.629,88.273,88.509,14872100,0
2017-03-21,88.834,89.108,85.589,85.914,33650895,0
2017-03-22,85.422,86.582,84.557,86.051,22113458,0
2017-03-23,85.737,87.004,85.618,85.914,16365056,0
2017-03-24,86.306,86.602,85.303,85.814,16367464,0
2017-03-27,84.084,85.925,83.789,85.766,16965889,0
2017-03-28,85.55,87.515,85.51,87.103,16528249,0
2017-03-29,87.103,87.32,86.592,86.779,10382275,0
2017-03-30,86.709,87.948,86.632,87.525,11828661,0
2017-03-31,87.21,87.24,86.268,86.355,17274383,0
2017-04-03,86.502,86.679,85.136,86.041,20170195,0
2017-04-04,85.913,86.683,85.74,86.327,14435431,0
2017-04-05,87.425,87.544,85.161,85.221,17803848,0
2017-04-06,85.013,85.933,84.291,85.507,14512311,0
2017-04-07,84.963,85.833,84.746,85.211,13241954,0
2017-04-10,85.111,85.715,84.439,84.914,15247804,0
2017-04-11,84.578,84.825,83.846,84.766,14854476,0
2017-04-12,84.963,84.983,84.074,84.439,14876706,0
2017-04-13,84.538,86.011,83.45,83.45,30854816,0
2017-04-17,83.49,85.111,83.42,84.894,19283845,0
2017-04-18,84.4,84.667,83.786,84.202,14260254,0
2017-04-19,84.538,84.953,83.411,83.51,17778448,0
2017-04-20,84.024,84.815,83.598,84.588,15786633,0
2017-04-21,84.538,84.716,83.56,83.569,20025111,0
2017-04-24,85.577,87.059,85.448,86.515,25696669,0
2017-04-25,87.554,88.127,87.267,87.267,18452955,0
2017-04-26,87.356,88.048,87.149,87.435,12972946,0
2017-04-27,87.376,87.376,86.031,86.625,13472975,0
2017-04-28,86.615,86.861,85.971,86.021,10877887,0
2017-05-01,86.377,86.753,85.586,86.081,15880619,0
2017-05-02,85.735,85.903,85.052,85.527,14296239,0
2017-05-03,85.092,86.121,85.052,86.021,11664826,0
2017-05-04,86.703,86.743,85.596,86.121,11668775,0
2017-05-05,86.269,86.357,85.448,86.021,9543047,0
2017-05-08,86.061,86.337,85.673,86.121,8254610,0
2017-05-09,86.279,86.851,85.527,85.774,10374493,0
2017-05-10,85.555,86.495,85.497,86.447,8420489,0
2017-05-11,86.111,86.495,85.379,86.179,11023913,0
2017-05-12,85.705,86.069,85.369,85.943,8836308,0
2017-05-15,86.121,86.505,85.883,86.357,8924564,0
2017-05-16,86.377,87.099,86.357,86.625,9897792,0
2017-05-17,85.141,85.418,83.026,83.322,24945837,0
2017-05-18,83.124,83.846,82.422,83.016,23614959,0
2017-05-19,83.262,84.38,83.204,83.826,13541608,0
2017-05-22,84.222,84.33,83.262,83.747,11759501,0
2017-05-23,83.796,85.102,83.56,84.795,11882982,0
2017-05-24,84.914,85.003,84.281,84.746,10028553,0
2017-05-25,85.023,85.111,84.123,84.39,12376962,0
2017-05-26,84.152,84.597,84.064,84.4,8198240,0
2017-05-30,84.172,84.192,82.838,82.956,12735154,0
2017-05-31,82.788,82.877,80.716,81.226,28630167,0
2017-06-01,81.532,82.146,80.731,82.126,17306814,0
2017-06-02,81.364,82.056,81.058,81.71,15136607,0
2017-06-05,81.71,82.57,81.651,81.858,9172351,0
2017-06-06,81.364,82.279,81.206,82.027,12325879,0
2017-06-07,82.372,83.159,82.165,82.966,13856943,0
2017-06-08,82.966,84.766,82.946,83.994,18091152,0
2017-06-09,84.548,86.071,84.429,85.981,19299066,0
2017-06-12,86.337,86.753,85.319,86.001,16209950,0
2017-06-13,86.565,86.861,86.001,86.289,12684530,0
2017-06-14,85.793,86.327,84.855,86.111,16315993,0
2017-06-15,85.279,86.101,85.27,85.596,12652020,0
2017-06-16,85.873,85.981,85.047,85.211,17062807,0
2017-06-19,85.991,87.237,85.873,87.079,16146854,0
2017-06-20,86.763,86.931,86.387,86.535,11324983,0
2017-06-21,86.495,86.56,85.784,86.139,10118780,0
2017-06-22,85.952,86.377,85.675,86.041,12318277,0
2017-06-23,86.673,87.01,85.635,85.883,19017470,0
2017-06-26,86.031,86.683,85.64,86.259,10195618,0
2017-06-27,86.723,87.939,86.515,87.059,15579192,0
2017-06-28,87.603,89.056,87.603,88.81,17588413,0
2017-06-29,91.301,91.608,89.294,90.124,28001349,0
2017-06-30,90.925,90.965,90.134,90.372,17072146,0
2017-07-03,91.028,92.937,90.879,92.211,13285295,0
2017-07-05,92.579,93.245,92.072,93.136,17619372,0
2017-07-06,92.996,93.961,92.34,92.837,16687689,0
2017-07-07,93.414,93.623,92.688,93.305,12569476,0
2017-07-10,92.957,93.136,92.549,92.648,13994879,0
2017-07-11,92.788,92.788,91.744,92.291,13329913,0
2017-07-12,92.072,92.291,91.535,91.972,13618166,0
2017-07-13,92.151,92.837,91.803,92.559,12871236,0
2017-07-14,90.282,92.067,90.054,91.714,22363272,0
2017-07-17,91.286,91.455,90.72,90.859,14412497,0
2017-07-18,89.924,91.048,89.795,90.541,14801720,0
2017-07-19,90.809,91.087,90.472,90.67,11710772,0
2017-07-20,90.62,91.187,90.372,90.67,11624507,0
2017-07-21,90.531,90.829,89.994,90.362,11034841,0
2017-07-24,90.431,91.008,90.382,90.75,10781927,0
2017-07-25,91.833,92.977,91.734,92.261,16540863,0
2017-07-26,92.559,92.648,91.147,91.396,11879377,0
2017-07-27,91.296,91.525,90.63,91.018,12396824,0
2017-07-28,90.919,91.217,90.377,90.75,9406381,0
2017-07-31,90.978,91.823,90.968,91.267,11580632,0
2017-08-01,91.952,92.599,91.744,92.489,12582518,0
2017-08-02,92.325,92.668,91.967,92.569,10216161,0
2017-08-03,92.161,92.589,91.699,91.962,11137178,0
2017-08-04,92.967,93.851,92.928,93.116,14398898,0
2017-08-07,93.344,93.643,93.165,93.474,8018394,0
2017-08-08,93.404,94.666,93.056,93.136,13824106,0
2017-08-09,92.44,93.136,92.291,92.986,11277310,0
2017-08-10,92.36,92.529,91.535,91.654,13267954,0
2017-08-11,91.595,92.131,90.71,90.889,10740599,0
2017-08-14,91.833,92.36,91.793,91.952,11052046,0
2017-08-15,92.768,93.016,92.112,92.191,8864030,0
2017-08-16,92.499,92.688,91.346,91.555,11137746,0
2017-08-17,91.227,91.426,89.974,90.123,13660554,0
2017-08-18,89.785,91.008,89.666,90.213,13011914,0
2017-08-21,90.322,90.411,89.636,90.103,10887627,0
2017-08-22,90.541,91.177,90.471,91.028,9246432,0
2017-08-23,90.342,91.803,90.312,91.137,8853672,0
2017-08-24,91.396,91.585,90.879,90.988,8673572,0
2017-08-25,91.346,91.943,91.267,91.356,11845933,0
2017-08-28,91.624,91.654,90.6,91.068,7286864,0
2017-08-29,89.924,90.779,89.785,90.571,10936454,0
2017-08-30,90.72,91.341,90.66,90.779,9213883,0
2017-08-31,91.276,91.316,90.272,90.362,13292357,0
2017-09-01,90.72,91.823,90.421,91.167,9872207,0
2017-09-05,90.491,90.576,88.507,88.99,17113545,0
2017-09-06,89.477,89.991,89.119,89.586,11858540,0
2017-09-07,89.586,89.606,87.568,88.016,14676320,0
2017-09-08,87.797,88.9,87.727,87.906,14324870,0
2017-09-11,88.871,89.726,88.433,89.268,13292700,0
2017-09-12,89.646,90.72,89.576,90.362,14077052,0
2017-09-13,90.083,90.968,89.795,90.62,12548688,0
2017-09-14,90.67,90.998,90.213,90.441,10614294,0
2017-09-15,90.551,91.177,90.233,91.088,18265329,0
2017-09-18,91.396,92.594,91.316,92.38,11383418,0
2017-09-19,92.171,93.812,91.982,93.394,12695557,0
2017-09-20,93.553,94.736,93.165,94.05,15396849,0
2017-09-21,93.911,94.816,93.643,94.478,10906572,0
2017-09-22,94.15,94.428,93.881,94.279,8399148,0
2017-09-25,93.961,94.329,92.907,93.573,10517758,0
2017-09-26,93.235,93.484,92.799,93.155,9401268,0
2017-09-27,94.418,95.164,94.03,94.627,15158830,0
2017-09-28,95.034,95.323,94.358,94.826,10330409,0
2017-09-29,94.746,94.965,94.468,94.955,11491376,0
2017-10-02,95.213,96.317,94.905,96.277,13872491,0
2017-10-03,96.267,96.864,96.211,96.784,9682703,0
2017-10-04,96.735,96.874,95.72,95.8,12231548,0
2017-10-05,96,97.4,95.55,97.09,14235282,0
2017-10-06,97.55,97.64,96.47,96.92,10226994,0
2017-10-09,96.6,96.6975,96.14,96.41,7760096,0
2017-10-10,96.41,97.18,96.24,97.13,10624681,0
2017-10-11,96.83,97.01,96.14,96.84,14264516,0
2017-10-12,97.3,97.5,95.62,95.99,18423957,0
2017-10-13,95.48,96.71,94.96,95.86,13183299,0
2017-10-16,96.34,97.95,96.34,97.84,12428819,0
2017-10-17,98.07,98.179,97.32,97.62,10334912,0
2017-10-18,98.15,98.55,97.63,97.99,10149274,0
2017-10-19,97.19,98.2,97.09,98.11,9133800,0
2017-10-20,99.28,99.89,98.7301,99.505,15295509,0
2017-10-23,99.51,99.99,99.24,99.34,9228383,0
2017-10-24,99.88,101.19,99.76,100.92,12911959,0
2017-10-25,101.25,101.45,100.19,101.02,14631316,0
2017-10-26,101.35,102.42,101.32,101.74,13050555,0
2017-10-27,101.43,102.226,101.05,101.77,10399392,0
2017-10-30,101.16,101.93,100.87,101.41,8839456,0
2017-10-31,101.38,101.7,100.57,100.61,8689547,0
2017-11-01,101.1,101.7,100.73,100.92,8417174,0
2017-11-02,100.87,101.765,100.16,101.59,8731562,0
2017-11-03,101.1,101.525,100.73,101.41,7101575,0
2017-11-06,101.34,101.687,100.66,100.78,8115897,0
2017-11-07,100.56,100.75,98.25,98.75,18808493,0
2017-11-08,98.27,98.37,97.15,97.64,18517768,0
2017-11-09,97.12,98.215,96.81,97.63,13692746,0
2017-11-10,97.81,98.34,97.5,97.51,9312355,0
