Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,36.1,36.3,35.98,36.06,71662,0
2017-01-04,36.4,36.65,36.35,36.55,148330,0
2017-01-05,36,36.29,35.95,36.1,85592,0
2017-01-06,35.85,35.85,35.5,35.6,72677,0
2017-01-09,35.16,35.7,35.16,35.47,104014,0
2017-01-10,36.01,36.45,36.01,36.38,87578,0
2017-01-11,36.24,36.75,36.23,36.75,270287,0
2017-01-12,37.18,37.28,37.03,37.07,105047,0
2017-01-13,37.27,37.44,37.1,37.16,77203,0
2017-01-17,39.14,39.25,38.89,38.97,169356,0
2017-01-18,39.11,39.15,38.67,38.86,92497,0
2017-01-19,38.64,38.68,38.15,38.32,103445,0
2017-01-20,38.54,38.68,38.29,38.42,127290,0
2017-01-23,38.17,38.65,38.13,38.65,154829,0
2017-01-24,38.76,38.83,38.44,38.73,179022,0
2017-01-25,39.53,39.95,39.53,39.93,164646,0
2017-01-26,40.34,40.59,40.18,40.48,105417,0
2017-01-27,40.47,40.47,40.25,40.3,50930,0
2017-01-30,40.19,40.19,39.91,40.17,56793,0
2017-01-31,40.54,40.67,40.37,40.6,92334,0
2017-02-01,41.19,41.3,40.91,41.09,95118,0
2017-02-02,40.55,41.28,40.46,40.88,298934,0
2017-02-03,41.62,41.71,41.37,41.69,115151,0
2017-02-06,41.57,41.9,41.57,41.83,66182,0
2017-02-07,41.71,41.72,41.45,41.48,92752,0
2017-02-08,41.14,41.14,40.82,41.14,102617,0
2017-02-09,40.84,41.48,40.72,41.23,115145,0
2017-02-10,41.22,41.53,41.13,41.42,105827,0
2017-02-13,41.37,42.04,41.3,41.6,140294,0
2017-02-14,41.89,41.96,41.63,41.8,129348,0
2017-02-15,41.03,41.8,40.98,41.76,471103,0
2017-02-16,40.93,41.24,40.89,41.18,515710,0
2017-02-17,41.05,41.39,40.95,41.37,370739,0
2017-02-21,41.45,41.91,41.44,41.9,176449,0
2017-02-22,41.34,41.5,41.21,41.48,85983,0
2017-02-23,42.84,42.84,41.93,42.1,160134,0
2017-02-24,42,42.09,41.32,41.75,147927,0
2017-02-27,40.78,40.78,40.59,40.67,92271,0
2017-02-28,41.52,41.52,40.87,40.92,108172,0
2017-03-01,41.02,41.64,41.02,41.62,89294,0
2017-03-02,41.85,41.85,41.12,41.13,153957,0
2017-03-03,41.15,41.2,40.79,41.1,50350,0
2017-03-06,40.93,40.93,40.66,40.69,108080,0
2017-03-07,41.36,41.54,41.13,41.22,72399,0
2017-03-08,42.25,42.48,41.74,41.8,150876,0
2017-03-09,41.88,41.92,41.51,41.67,154809,0
2017-03-10,42.15,42.43,42.09,42.37,107549,0
2017-03-13,43.9,44.29,43.82,44.25,200396,0
2017-03-14,44.4,44.68,44.18,44.53,166569,0
2017-03-15,44.72,45.4,44.59,45.39,434985,0
2017-03-16,45.47,45.76,45.47,45.69,172153,0
2017-03-17,45.66,45.86,45.32,45.65,287596,0
2017-03-20,45.54,46.04,45.44,45.77,383820,0
2017-03-21,45.81,45.81,44.44,44.45,172533,0
2017-03-22,43.94,44.46,43.94,44.34,119008,0
2017-03-23,44.54,45.24,44.21,44.97,119163,0
2017-03-24,44.96,45.42,44.84,45.36,143593,0
2017-03-27,44.1,44.92,44.1,44.77,223563,0
2017-03-28,44.64,45.06,44.37,45.04,159762,0
2017-03-29,44.92,44.92,44.61,44.72,117092,0
2017-03-30,44.29,44.47,44.19,44.46,184470,0
2017-03-31,44.22,44.24,43.85,43.97,111371,0
2017-04-03,44.16,44.22,43.77,44.1,75953,0
2017-04-04,43.38,43.65,43.3,43.6,208812,0
2017-04-05,43.92,43.92,43.31,43.32,331938,0
2017-04-06,43.4,43.4,43.05,43.33,137159,0
2017-04-07,42.98,43.12,42.815,42.94,106247,0
2017-04-10,41.91,41.99,41.44,41.72,220896,0
2017-04-11,41.65,41.65,41.1,41.62,146447,0
2017-04-12,41.47,41.51,41.1,41.27,130630,0
2017-04-13,42.6,42.93,41.99,41.99,163903,0
2017-04-17,44.39,44.39,43.7,44.38,239926,0
2017-04-18,43.5,43.69,43.15,43.17,208983,0
2017-04-19,43.75,43.82,43.19,43.23,192344,0
2017-04-20,44.58,44.87,44.07,44.35,165703,0
2017-04-21,44.37,44.5,43.99,44,140959,0
2017-04-24,45.41,45.42,44.92,45,134986,0
2017-04-25,45.59,46,45.51,45.7,169529,0
2017-04-26,45.22,45.22,44.91,45,173013,0
2017-04-27,44.75,45.03,43.63,44.17,537004,0
2017-04-28,43.92,43.92,43.36,43.47,387560,0
2017-05-01,43.77,44.06,43.471,43.83,97047,0
2017-05-02,44.79,45.06,44.59,44.93,139897,0
2017-05-03,44.67,44.95,44.51,44.78,70788,0
2017-05-04,45.23,45.39,45.12,45.19,150354,0
2017-05-05,45.15,45.6,44.98,45.53,136862,0
2017-05-08,46.87,47.13,46.86,46.99,203385,0
2017-05-09,46.95,47.4389,46.95,47.17,169483,0
2017-05-10,46.49,46.91,46.49,46.78,181152,0
2017-05-11,47.1,47.44,47.07,47.32,118969,0
2017-05-12,46.81,47.13,46.71,47.06,109933,0
2017-05-15,48.05,48.55,48,48.54,239119,0
2017-05-16,48.68,48.68,48.05,48.4,191614,0
2017-05-17,47.54,47.55,46.46,46.46,187455,0
2017-05-18,46.34,46.615,46.07,46.36,384631,0
2017-05-19,46.64,47.2,46.29,47.07,334837,0
2017-05-22,47.35,47.56,47,47.38,151829,0
2017-05-23,47.9,48.04,47.73,47.75,144722,0
2017-05-24,47.33,47.44,46.91,47.41,86363,0
2017-05-25,47.73,48.02,47.66,47.72,137740,0
2017-05-26,48.21,48.6,48.21,48.39,164830,0
2017-05-30,47.83,47.83,47.3,47.58,96490,0
2017-05-31,47.6,47.66,47.12,47.46,103674,0
2017-06-01,47.05,47.32,46.8,47.32,101970,0
2017-06-02,47.99,48.2,47.93,48.07,152786,0
2017-06-05,48.85,49.03,48.77,48.88,116186,0
2017-06-06,48.83,48.89,48.64,48.71,154048,0
2017-06-07,48.97,49.08,48.64,48.98,198836,0
2017-06-08,49.14,49.41,49.13,49.31,172750,0
2017-06-09,49.58,49.78,49.4,49.63,189826,0
2017-06-12,49.63,49.75,49.2,49.5,94163,0
2017-06-13,49.57,49.58,48.97,49.4,87087,0
2017-06-14,49.51,49.69,49.29,49.45,72804,0
2017-06-15,48.48,48.596,48.3,48.42,135754,0
2017-06-16,48.35,48.62,48.295,48.56,127313,0
2017-06-19,48.79,49.12,48.79,49.01,90431,0
2017-06-20,48.72,48.74,48.13,48.17,54622,0
2017-06-21,47.57,47.67,47.2,47.61,177271,0
2017-06-22,48.13,48.27,47.97,48,71648,0
2017-06-23,48.49,48.69,48.38,48.57,72562,0
2017-06-26,48.55,48.85,48.4,48.5,45947,0
2017-06-27,48.55,48.82,48.46,48.61,135245,0
2017-06-28,49.14,50.17,49.14,49.93,93142,0
2017-06-29,50.68,50.68,49.83,50.14,87891,0
2017-06-30,50.59,50.67,50.2901,50.49,93116,0
2017-07-03,50.64,50.94,50.16,50.61,131190,0
2017-07-05,50.08,50.08,49.75,50.07,120398,0
2017-07-06,49.98,49.98,49.11,49.28,231882,0
2017-07-07,49.14,49.4,49.05,49.37,99394,0
2017-07-10,49.81,50.26,49.8,50.13,74126,0
2017-07-11,49.95,50.07,49.45,49.72,110181,0
2017-07-12,50.25,50.69,50.25,50.59,183577,0
2017-07-13,50.25,50.3,49.67,49.86,160774,0
2017-07-14,50.47,50.8,50.15,50.71,119195,0
2017-07-17,50.66,50.68,50.25,50.28,152966,0
2017-07-18,50.59,50.82,50.46,50.63,317741,0
2017-07-19,50.58,50.75,50.2585,50.75,166122,0
2017-07-20,50.91,52.02,50.91,51.59,139639,0
2017-07-21,53.32,53.56,53.23,53.53,108724,0
2017-07-24,53.56,54.09,53.56,54.04,106988,0
2017-07-25,54.05,54.13,53.6,53.68,104493,0
2017-07-26,53.97,54.36,53.81,54.25,103358,0
2017-07-27,53.93,53.93,53.28,53.63,92689,0
2017-07-28,52.43,53.11,52.271,52.85,141371,0
2017-07-31,53.23,53.38,53.06,53.2,128726,0
2017-08-01,53.6,53.73,53.55,53.6,89073,0
2017-08-02,52.13,52.58,51.701,52.5,236064,0
2017-08-03,51.21,51.43,50.85,51.19,207172,0
2017-08-04,50.76,51.89,50.7,51.74,127945,0
