Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,6.6,6.6124,5.78,6.21,1909708,0
2017-01-04,6.24,6.61,6.21,6.49,742018,0
2017-01-05,6.5,6.55,6.26,6.41,401855,0
2017-01-06,6.42,6.48,6.31,6.35,316071,0
2017-01-09,6.33,6.36,6.2673,6.32,367005,0
2017-01-10,6.31,6.5,6.29,6.49,343950,0
2017-01-11,6.5,6.82,6.41,6.78,636403,0
2017-01-12,6.8,6.9,6.7,6.77,531030,0
2017-01-13,6.76,7.19,6.69,7.12,682851,0
2017-01-17,7.12,7.12,6.8807,6.97,629182,0
2017-01-18,7.08,7.2,6.915,7.1,390682,0
2017-01-19,7.06,7.17,6.9206,7.07,465678,0
2017-01-20,7.08,7.14,7.01,7.01,203648,0
2017-01-23,6.93,6.98,6.64,6.87,465106,0
2017-01-24,6.81,7.06,6.7,7,234473,0
2017-01-25,7.01,7.09,6.865,7,660806,0
2017-01-26,7.03,7.13,6.83,6.96,330923,0
2017-01-27,7.06,7.29,7.03,7.09,414315,0
2017-01-30,7.12,7.15,6.9,7.09,343571,0
2017-01-31,6.97,7.03,6.88,6.94,237239,0
2017-02-01,6.75,7.07,6.73,6.98,368211,0
2017-02-02,7.31,7.5,6.961,7.39,832305,0
2017-02-03,7.35,7.91,7.34,7.84,1497289,0
2017-02-06,7.83,7.83,7.59,7.64,663004,0
2017-02-07,7.64,7.88,7.58,7.81,652880,0
2017-02-08,7.87,7.87,7.64,7.7,380101,0
2017-02-09,7.76,7.96,7.73,7.93,523969,0
2017-02-10,8,8.25,7.94,8.14,720097,0
2017-02-13,8.24,8.24,7.98,8.04,571090,0
2017-02-14,7.98,8.18,7.7988,7.99,413699,0
2017-02-15,8,8.13,7.98,8.02,361929,0
2017-02-16,8,8.18,7.95,8.09,423865,0
2017-02-17,8.19,8.19,8.02,8.06,344798,0
2017-02-21,8.05,8.49,8.0491,8.34,742443,0
2017-02-22,8.36,8.54,8.34,8.46,454927,0
2017-02-23,8.95,10.45,8.67,10.4,4230096,0
2017-02-24,10.41,11.83,10.38,11,3491804,0
2017-02-27,10.96,11.42,10.52,11.12,1758375,0
2017-02-28,11.18,11.4,10.77,10.83,729763,0
2017-03-01,10.88,11.389,10.88,11.21,1071763,0
2017-03-02,11.27,11.38,11.035,11.24,682005,0
2017-03-03,11.23,11.74,11.15,11.6,1186649,0
2017-03-06,11.64,11.67,10.87,11.12,912680,0
2017-03-07,11.19,11.54,11.19,11.36,641553,0
2017-03-08,11.36,11.49,11.14,11.24,461993,0
2017-03-09,11.27,11.5675,11.27,11.27,548755,0
2017-03-10,11.36,11.5799,11.12,11.15,481870,0
2017-03-13,11.17,11.47,11.17,11.26,348614,0
2017-03-14,11.18,11.26,10.8301,11.23,1016866,0
2017-03-15,11.17,11.46,11.141,11.38,717613,0
2017-03-16,11.38,11.74,11.26,11.41,720627,0
2017-03-17,11.41,11.62,11.33,11.35,943849,0
2017-03-20,11.35,12.17,11.35,12.1,2024190,0
2017-03-21,12.3,12.65,11,11.37,1505992,0
2017-03-22,11.37,11.55,11.25,11.48,608312,0
2017-03-23,11.2,11.82,11.02,11.61,819785,0
2017-03-24,11.63,12,11.6097,11.72,568435,0
2017-03-27,11.3,11.78,11.13,11.71,539651,0
2017-03-28,11.61,11.83,11.5,11.61,431280,0
2017-03-29,11.65,11.77,11.36,11.57,512476,0
2017-03-30,11.61,11.74,11.37,11.65,390960,0
2017-03-31,11.63,12.1599,11.63,12,1222213,0
2017-04-03,12.11,12.1899,10.7,11.24,1550000,0
2017-04-04,11.2,11.46,11.03,11.12,707227,0
2017-04-05,11.11,11.19,10.77,10.79,993956,0
2017-04-06,10.81,11.3,10.7567,11.24,809179,0
2017-04-07,11.14,11.3,11.04,11.18,296558,0
2017-04-10,11.1,11.2851,10.885,10.95,412895,0
2017-04-11,10.99,11.25,10.98,11.18,282677,0
2017-04-12,11.15,11.23,10.9197,10.98,635361,0
2017-04-13,10.86,11.18,10.79,10.95,519338,0
2017-04-17,10.96,11.15,10.83,11.1,324169,0
2017-04-18,11.11,11.38,11.05,11.23,287891,0
2017-04-19,11.23,11.4,11.18,11.23,223842,0
2017-04-20,11.28,11.46,11.23,11.4,252294,0
2017-04-21,11.36,11.4719,11.19,11.2,323758,0
2017-04-24,11.36,11.38,11.02,11.29,572777,0
2017-04-25,11.4,11.57,11.34,11.54,548073,0
2017-04-26,11.56,11.605,11.33,11.47,411145,0
2017-04-27,11.47,11.54,11.31,11.4,364239,0
2017-04-28,11.33,11.46,11.18,11.21,500274,0
2017-05-01,11.3,11.39,11.187,11.29,385507,0
2017-05-02,11.39,11.8499,11.29,11.79,644257,0
2017-05-03,11.8,11.81,11.57,11.79,322760,0
2017-05-04,11.88,12.24,11.841,12.1,697649,0
2017-05-05,12.11,12.24,11.91,12.16,466097,0
2017-05-08,12.11,13.22,12.11,13.22,1131486,0
2017-05-09,13.26,13.489,12.57,13.01,959333,0
2017-05-10,13.23,13.75,12.89,13.69,827185,0
2017-05-11,13.73,14.34,13.67,14.17,1339048,0
2017-05-12,14.17,14.17,13.63,13.74,932619,0
2017-05-15,13.88,14.65,13.85,14.33,1719952,0
2017-05-16,14.45,14.499,13.96,14.4,833748,0
2017-05-17,14.17,14.17,13,13.26,1092340,0
2017-05-18,13.18,13.54,12.66,13.41,606368,0
2017-05-19,13.5,13.79,13.2,13.25,594158,0
2017-05-22,13.36,13.389,12.25,13,1353210,0
2017-05-23,13,13.27,12.58,13.21,601729,0
2017-05-24,13.23,13.37,12.95,13.05,380709,0
2017-05-25,13.17,13.65,12.98,13.61,856440,0
2017-05-26,13.61,14.19,13.55,13.84,757305,0
2017-05-30,13.87,13.98,13.62,13.84,558933,0
2017-05-31,13.83,13.83,13.15,13.8,825058,0
2017-06-01,13.78,13.84,13.535,13.72,418979,0
2017-06-02,13.73,13.89,13.63,13.77,552408,0
2017-06-05,13.75,13.89,13.57,13.73,703056,0
2017-06-06,13.64,14.92,13.598,14.7,1606035,0
2017-06-07,14.75,14.85,14.22,14.68,854046,0
2017-06-08,14.68,14.76,14.47,14.72,696329,0
2017-06-09,14.75,14.8,13.01,13.38,1149859,0
2017-06-12,13.35,13.59,12.33,13.32,1198798,0
2017-06-13,13.52,14.38,13.52,13.89,1544099,0
2017-06-14,13.91,14,13.311,13.61,800195,0
2017-06-15,13.34,13.77,13.2074,13.51,607300,0
2017-06-16,13.52,13.85,13.34,13.71,690139,0
2017-06-19,13.85,14.04,13.51,13.75,503042,0
2017-06-20,13.73,13.82,13.41,13.56,500319,0
2017-06-21,13.64,13.669,12.98,13.2,664130,0
2017-06-22,13.16,13.26,12.73,12.91,870554,0
2017-06-23,12.89,12.97,11.73,12.61,7116726,0
2017-06-26,12.66,13.5,12.64,13.33,1712376,0
2017-06-27,13.31,13.44,12.66,12.7,742639,0
2017-06-28,12.77,13.2,12.63,13.13,645704,0
2017-06-29,13.13,13.14,12.6025,12.72,709827,0
2017-06-30,12.77,13.035,12.65,12.8,732951,0
2017-07-03,12.86,12.99,12.65,12.68,441233,0
2017-07-05,12.86,13.59,12.74,13.54,1013616,0
2017-07-06,13.45,13.56,13.02,13.32,765329,0
