Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,34.065,34.075,32.998,33.295,9677631,0
2017-01-04,33.354,33.413,32.801,32.821,9275560,0
2017-01-05,32.722,32.841,32.278,32.791,10064841,0
2017-01-06,32.702,32.761,32.308,32.692,9408325,0
2017-01-09,32.751,32.771,32.385,32.505,5997996,0
2017-01-10,32.425,33.028,32.405,32.771,7229760,0
2017-01-11,32.535,32.861,32.485,32.652,4675002,0
2017-01-12,32.584,33.21,32.512,33.098,6249333,0
2017-01-13,33.305,33.996,33.176,33.67,6974883,0
2017-01-17,33.67,34.499,33.571,34.4,7339292,0
2017-01-18,34.45,34.549,33.906,34.47,5465235,0
2017-01-19,34.301,34.549,33.828,33.828,6932306,0
2017-01-20,33.996,34.163,33.591,33.66,6918251,0
2017-01-23,33.65,33.709,33.028,33.108,5275936,0
2017-01-24,33.028,33.215,32.87,32.968,7012139,0
2017-01-25,33.146,33.512,32.801,33.048,6475628,0
2017-01-26,33.195,33.601,33.146,33.315,5618216,0
2017-01-27,33.315,33.315,32.569,32.938,5390679,0
2017-01-30,32.821,33.195,32.682,33.176,4141584,0
2017-01-31,33.195,33.541,32.998,33.531,5922159,0
2017-02-01,33.383,33.472,32.861,33.018,5069791,0
2017-02-02,33.285,33.729,33.285,33.67,6473492,0
2017-02-03,33.611,33.887,33.531,33.591,3994351,0
2017-02-06,33.531,33.66,33.215,33.265,4375219,0
2017-02-07,33.225,33.315,32.647,32.662,8040300,0
2017-02-08,32.643,32.702,32.031,32.425,9386133,0
2017-02-09,32.198,33.29,32.061,33.068,9920444,0
2017-02-10,33.078,33.245,32.756,33.058,6050534,0
2017-02-13,33.136,33.364,32.85,32.909,5496978,0
2017-02-14,32.879,33.038,32.373,32.77,14058700,0
2017-02-15,32.899,33.296,32.75,33.206,7814485,0
2017-02-16,33.345,33.959,33.306,33.632,7801825,0
2017-02-17,33.593,34.227,33.464,33.702,7452494,0
2017-02-21,33.791,34.435,33.751,33.909,5362345,0
2017-02-22,33.741,33.741,32.617,32.928,8908462,0
2017-02-23,33.088,33.088,32.354,32.691,7850618,0
2017-02-24,32.523,32.988,32.513,32.988,6897479,0
2017-02-27,32.542,32.602,31.74,31.928,12258608,0
