Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,28.142,28.142,27.937,28.034,3577,0
2017-01-04,28.084,28.398,27.936,28.221,2827,0
2017-01-05,28.359,28.418,28.191,28.281,4416,0
2017-01-06,28.428,28.869,27.44,28.869,5068,0
2017-01-09,28.722,28.869,28.439,28.692,7712,0
2017-01-10,28.515,28.769,28.515,28.565,2905,0
2017-01-11,28.525,28.662,28.525,28.525,3871,0
2017-01-12,28.672,28.672,28.171,28.201,5386,0
2017-01-13,28.181,28.418,28.114,28.114,6192,0
2017-01-17,28.418,28.769,28.418,28.759,4843,0
2017-01-18,28.819,28.869,28.428,28.722,6005,0
2017-01-19,28.869,28.869,28.672,28.672,7754,0
2017-01-20,28.916,29.397,28.916,28.916,3242,0
2017-01-23,29.143,29.505,29.143,29.29,2928,0
2017-01-24,29.476,29.476,29.31,29.407,2896,0
2017-01-25,29.447,31.76,29.321,31.201,3048,0
2017-01-26,31.368,31.593,30.643,30.643,3416,0
2017-01-27,30.877,30.877,30.678,30.678,323,0
2017-01-30,31.074,31.563,30.73,31.358,3710,0
2017-01-31,29.547,30.24,29.505,29.898,8799,0
2017-02-01,29.584,29.584,28.438,28.702,7168,0
2017-02-02,28.485,28.809,28.485,28.672,1177,0
2017-02-03,28.475,28.7,28.447,28.622,1326,0
2017-02-06,28.827,29.063,28.723,28.899,1552,0
2017-02-07,29.623,29.623,29.114,29.114,638,0
2017-02-08,28.966,29.143,28.966,29.143,457,0
2017-02-09,29.239,29.239,29.239,29.239,154,0
2017-02-10,29.28,29.604,29.28,29.407,1583,0
2017-02-13,29.901,29.901,29.802,29.802,709,0
2017-02-14,29.506,29.605,29.506,29.605,465,0
2017-02-15,29.071,30.493,29.071,29.427,1713,0
2017-02-17,29.427,29.605,28.866,28.866,880,0
2017-02-21,29.095,29.155,28.967,28.967,1044,0
2017-02-22,29.151,29.332,29.026,29.254,921,0
2017-02-23,29.549,29.549,29.549,29.549,538,0
2017-02-24,29.19,30.59,28.866,28.866,2634,0
2017-02-27,30.443,30.447,30.443,30.447,421,0
2017-02-28,28.988,30.391,28.988,29.249,2841,0
2017-03-01,30.147,30.147,30.019,30.019,2301,0
2017-03-02,30.009,30.009,29.919,29.919,805,0
2017-03-03,29.663,29.663,29.663,29.663,135,0
2017-03-06,30.295,30.295,30.295,30.295,269,0
2017-03-07,29.497,29.964,29.497,29.964,319,0
2017-03-08,30.004,30.009,29.824,30.009,975,0
2017-03-09,29.851,29.851,29.605,29.851,821,0
2017-03-10,29.851,29.851,29.605,29.605,1716,0
2017-03-13,29.851,29.851,29.605,29.618,992,0
2017-03-14,29.625,29.851,29.605,29.851,647,0
2017-03-15,29.703,29.703,29.615,29.615,734,0
2017-03-16,29.703,29.703,29.605,29.605,6286,0
2017-03-17,29.654,29.677,29.654,29.654,800,0
2017-03-20,29.663,29.663,29.605,29.605,1325,0
