Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,23.478,23.478,22.509,23.213,119256,0
2017-01-04,23.213,23.693,23.204,23.625,122635,0
2017-01-05,23.625,23.654,22.803,22.823,94613,0
2017-01-06,22.999,23.042,22.685,23.009,90171,0
2017-01-09,22.852,22.881,22.294,22.676,92015,0
2017-01-10,22.676,23.253,22.558,22.959,82959,0
2017-01-11,22.734,23.19,22.617,23.126,73885,0
2017-01-12,22.959,22.959,22.245,22.764,60815,0
2017-01-13,22.94,23.39,22.813,22.871,72467,0
2017-01-17,22.656,22.656,21.971,22.01,112965,0
2017-01-18,22.196,22.324,21.687,22.245,118592,0
2017-01-19,22.255,22.783,21.844,22.421,208990,0
2017-01-20,22.411,23.212,22.411,23.204,270748,0
2017-01-23,23.165,24.349,23.165,23.977,310534,0
2017-01-24,24.007,24.34,23.615,24.231,208160,0
2017-01-25,24.369,24.417,23.977,24.134,127374,0
2017-01-26,24.075,24.075,23.302,23.429,200919,0
2017-01-27,23.488,23.537,22.89,22.93,156514,0
2017-01-30,22.773,23.037,22.528,22.734,122290,0
2017-01-31,22.685,22.9,22.411,22.734,270990,0
2017-02-01,23.039,23.364,22.754,22.882,174773,0
2017-02-02,22.862,22.862,22.567,22.685,172545,0
2017-02-03,22.95,23.492,22.768,23.433,163632,0
2017-02-06,23.453,23.856,23.453,23.728,214139,0
2017-02-07,23.885,23.974,23.433,23.56,247672,0
2017-02-08,23.433,23.433,22.646,23.256,167086,0
2017-02-09,23.266,23.767,23.266,23.688,200588,0
2017-02-10,23.767,23.807,23.496,23.777,157735,0
2017-02-13,23.865,24.161,23.846,24.052,145915,0
2017-02-14,23.954,24.219,23.817,24.151,163811,0
2017-02-15,24.21,24.21,23.846,23.974,49905,0
2017-02-16,23.865,23.954,23.57,23.698,200373,0
2017-02-17,23.669,23.708,23.285,23.63,180978,0
2017-02-21,23.61,23.842,23.27,23.59,219054,0
2017-02-22,23.413,23.718,23.413,23.659,96811,0
2017-02-23,23.718,23.904,23.324,23.885,91548,0
2017-02-24,23.63,23.865,23.472,23.688,80631,0
2017-02-27,23.6,23.698,23.344,23.541,80314,0
2017-02-28,23.492,23.492,23.128,23.187,92025,0
2017-03-01,23.63,23.994,23.374,23.865,97552,0
2017-03-02,23.964,23.964,23.118,23.167,38624,0
2017-03-03,23.177,23.56,22.891,23.177,72660,0
2017-03-06,23.049,23.403,22.764,23.216,68849,0
2017-03-07,23.197,23.216,22.844,22.931,101598,0
2017-03-08,23.147,23.177,22.616,22.646,54543,0
2017-03-09,22.685,22.843,22.183,22.272,75993,0
2017-03-10,22.38,22.416,21.809,22.065,93976,0
2017-03-13,22.05,22.282,21.996,22.036,52440,0
2017-03-14,21.947,22.105,21.534,22.006,107380,0
2017-03-15,21.809,22.302,21.809,21.938,66161,0
2017-03-16,22.085,22.302,22.045,22.213,60517,0
2017-03-17,22.153,22.517,21.839,22.429,169800,0
