Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,25.46,25.46,24.566,25.083,146989,0
2017-01-04,25.152,25.35,24.868,25.053,98972,0
2017-01-05,24.953,25.28,24.526,24.943,109605,0
2017-01-06,24.853,25.32,24.694,25.003,82728,0
2017-01-09,25.113,25.37,24.903,25.123,75952,0
2017-01-10,25.181,26.743,25.181,26.424,211135,0
2017-01-11,26.643,26.773,24.684,25.123,237287,0
2017-01-12,24.793,24.793,23.451,24.576,219749,0
2017-01-13,24.763,25.421,24.516,24.556,85035,0
2017-01-17,23.919,24.018,23.64,23.71,122027,0
2017-01-18,23.62,24.018,23.363,23.571,76451,0
2017-01-19,23.571,23.571,22.776,22.945,102731,0
2017-01-20,22.856,23.412,22.726,23.193,96431,0
2017-01-23,23.203,23.422,22.905,23.123,58738,0
2017-01-24,23.143,23.263,22.586,23.183,78186,0
2017-01-25,23.333,23.74,23.183,23.283,103168,0
2017-01-26,23.143,23.303,22.895,23.004,60621,0
2017-01-27,22.935,23.511,22.935,23.283,76568,0
2017-01-30,23.193,23.193,22.468,22.556,56998,0
2017-01-31,22.388,22.85,22.378,22.576,102035,0
2017-02-01,22.696,23.024,22.561,22.736,73250,0
2017-02-02,22.616,22.866,22.129,22.488,104908,0
2017-02-03,22.586,22.905,22.318,22.885,51610,0
2017-02-06,22.766,22.766,21.935,22.358,143729,0
2017-02-07,22.229,22.766,22.229,22.596,80057,0
2017-02-08,22.508,22.756,22.338,22.656,56150,0
2017-02-09,22.556,23.103,22.556,22.984,60967,0
2017-02-10,23.193,23.491,22.895,23.213,58806,0
2017-02-13,23.303,23.66,23.213,23.461,94213,0
2017-02-14,23.461,23.79,23.363,23.541,53773,0
2017-02-15,23.422,23.636,23.243,23.383,46762,0
2017-02-16,23.432,23.432,22.935,23.053,47968,0
2017-02-17,23.103,23.859,23.063,23.66,83414,0
2017-02-21,23.68,24.752,23.63,24.446,166522,0
2017-02-22,21.006,22.48,19.704,22.03,829338,0
2017-02-23,21.781,22.259,21.235,21.771,257329,0
2017-02-24,21.623,22.368,21.394,22.04,251672,0
2017-02-27,22.04,22.856,22.02,22.189,167749,0
2017-02-28,22.209,22.508,21.951,22.01,179863,0
2017-03-01,22.09,22.856,22.09,22.269,114334,0
2017-03-02,22.289,22.318,21.951,21.99,124813,0
2017-03-03,21.99,22.169,21.742,22.114,93153,0
2017-03-06,22.06,22.512,21.883,22.378,85063,0
2017-03-07,22.209,22.398,21.881,22.01,114064,0
2017-03-08,22.02,22.259,21.931,22.06,97132,0
2017-03-09,22.07,22.378,22.07,22.139,37253,0
2017-03-10,22.358,22.726,22.07,22.398,84923,0
2017-03-13,22.438,22.546,22.139,22.199,232225,0
2017-03-14,22.03,22.796,22.03,22.726,217484,0
2017-03-15,22.866,24.556,22.866,23.939,368107,0
2017-03-16,24.098,24.163,23.481,23.591,93982,0
2017-03-17,23.501,24.296,23.403,24.058,123368,0
2017-03-20,24.023,24.043,23.664,23.914,66174,0
2017-03-21,24.442,24.74,23.724,23.874,144103,0
2017-03-22,23.864,24.093,23.664,23.924,91759,0
2017-03-23,23.914,24.083,23.834,24.023,65566,0
2017-03-24,23.974,24.192,22.872,23.864,66216,0
2017-03-27,23.565,24.053,23.565,23.854,100921,0
2017-03-28,23.754,23.989,23.342,23.904,186245,0
2017-03-29,23.714,24.073,23.455,23.874,122088,0
2017-03-30,23.854,24.292,23.854,24.172,63404,0
2017-03-31,24.242,24.91,24.103,24.542,80545,0
2017-04-03,24.552,24.81,24.287,24.77,102626,0
2017-04-04,24.7,24.88,24.372,24.452,67142,0
2017-04-05,24.591,24.805,23.964,24.073,89461,0
2017-04-06,24.033,24.392,23.782,24.382,74026,0
2017-04-07,24.302,24.82,24.162,24.82,96137,0
2017-04-10,24.78,25.01,24.462,24.79,165417,0
2017-04-11,24.7,25.199,24.7,24.99,106087,0
2017-04-12,24.98,25.05,24.482,24.92,70761,0
2017-04-13,24.81,25.12,24.715,24.96,62441,0
2017-04-17,25.03,25.279,24.88,25.1,43636,0
2017-04-18,25.01,25.169,24.8,25.07,49515,0
2017-04-19,25.07,25.268,24.86,24.97,114601,0
2017-04-20,24.98,25.398,24.86,25.278,92109,0
2017-04-21,25.258,25.258,24.956,25.05,92099,0
2017-04-24,25.298,25.558,25.258,25.368,76512,0
2017-04-25,25.568,26.379,25.448,25.538,127643,0
2017-04-26,25.628,26.444,25.628,26.275,79311,0
2017-04-27,26.474,31.855,26.454,31.745,574352,0
2017-04-28,31.765,31.785,29.444,29.643,191352,0
2017-05-01,29.862,30.51,29.583,30.27,154493,0
2017-05-02,32.762,33.097,32.254,32.453,2967666,0
2017-05-03,32.373,32.692,30.221,30.31,418134,0
2017-05-04,30.49,31.606,30.29,31.496,164288,0
2017-05-05,31.496,32.316,30.739,31.895,218251,0
2017-05-08,31.805,31.84,30.042,30.25,213613,0
2017-05-09,30.4,31.895,30.191,30.649,200292,0
2017-05-10,30.58,31.666,30.58,31.168,124917,0
2017-05-11,30.948,30.998,29.722,30.679,176043,0
2017-05-12,30.948,31.197,30.25,30.798,102646,0
2017-05-15,30.808,31.229,30.565,30.749,49760,0
2017-05-16,30.868,31.048,30.425,30.709,110805,0
2017-05-17,30.63,30.63,29.524,29.583,132739,0
2017-05-18,29.464,29.772,29.144,29.653,128508,0
2017-05-19,29.663,30.6,29.214,29.832,129329,0
2017-05-22,29.927,30.017,29.079,29.428,110487,0
2017-05-23,29.408,29.887,28.889,29.687,149010,0
2017-05-24,29.638,30.935,29.468,30.656,154844,0
2017-05-25,30.716,31.154,30.102,30.396,94169,0
2017-05-26,30.296,30.616,29.877,30.157,48514,0
2017-05-30,30.217,30.446,29.877,30.376,62076,0
2017-05-31,30.536,30.536,29.867,30.506,211559,0
2017-06-01,30.566,31.829,30.416,31.404,131608,0
2017-06-02,31.574,32.093,31.285,31.774,81146,0
2017-06-05,31.794,31.914,30.797,31.245,53914,0
2017-06-06,31.005,31.564,30.456,31.175,85966,0
2017-06-07,31.055,31.245,30.766,30.975,58603,0
2017-06-08,30.975,31.854,30.699,31.604,48672,0
2017-06-09,31.624,31.895,30.484,30.875,86582,0
2017-06-12,30.436,31.03,29.029,29.458,209448,0
2017-06-13,29.548,30.995,27.761,27.851,353305,0
2017-06-14,27.292,28.23,25.006,27.102,159842,0
2017-06-15,27.012,27.751,26.673,27.481,217261,0
2017-06-16,27.272,27.752,26.721,27.202,202593,0
2017-06-19,27.272,28.03,27.272,27.921,90990,0
2017-06-20,27.98,28.974,27.951,28.5,276398,0
2017-06-21,28.549,29.448,28.549,28.849,122487,0
2017-06-22,28.949,29.548,28.919,29.348,112367,0
2017-06-23,29.198,30.177,29.198,30.137,317705,0
2017-06-26,30.256,30.786,30.097,30.466,144133,0
2017-06-27,30.376,30.716,29.667,29.877,149081,0
2017-06-28,30.177,31.155,29.567,31.025,115695,0
2017-06-29,31.155,31.514,30.681,30.975,149902,0
2017-06-30,30.945,31.494,30.855,31.165,104319,0
2017-07-03,31.594,31.943,30.177,30.326,68829,0
2017-07-05,30.466,30.985,30.096,30.915,97851,0
2017-07-06,30.706,31.345,30.366,31.335,116679,0
2017-07-07,31.335,32.363,31.245,31.933,123950,0
2017-07-10,27.352,29.348,26.323,27.891,630414,0
2017-07-11,27.881,29.847,27.851,29.178,366014,0
2017-07-12,29.318,29.947,29.208,29.807,140657,0
2017-07-13,29.967,30.097,28.759,28.999,233737,0
2017-07-14,29.029,29.452,28.869,29.089,179486,0
2017-07-17,29.188,30.067,29.098,29.528,156066,0
2017-07-18,29.518,29.847,29.009,29.089,159515,0
2017-07-19,29.178,29.398,28.909,28.939,119800,0
2017-07-20,29.069,29.397,28.48,29.148,125642,0
2017-07-21,29.348,29.348,28.22,28.26,93203,0
2017-07-24,28.08,28.539,28.08,28.43,128348,0
2017-07-25,28.38,28.809,28.34,28.5,205858,0
2017-07-26,28.539,29.136,28.5,28.849,104971,0
2017-07-27,29.258,29.398,27.851,28.35,132135,0
2017-07-28,30.326,35.178,29.737,33.88,861232,0
2017-07-31,34.549,36.026,33.681,36.006,432223,0
2017-08-01,35.916,35.935,33.83,34.399,329169,0
2017-08-02,34.479,34.606,33.147,34.01,270633,0
2017-08-03,33.97,34.02,32.942,33.62,172750,0
2017-08-04,33.8,33.8,32.313,33.101,369354,0
2017-08-07,33.131,33.925,32.647,33.89,193099,0
2017-08-08,34.07,34.579,33.251,34,201114,0
2017-08-09,33.71,33.71,32.642,33.501,143730,0
2017-08-10,33.381,33.381,32.393,32.692,276331,0
2017-08-11,32.912,33.251,32.662,32.932,221340,0
2017-08-14,33.241,33.97,32.732,33.96,155869,0
2017-08-15,33.96,34.649,33.76,34.649,187174,0
2017-08-16,34.629,34.823,33.92,34.599,112791,0
2017-08-17,34.619,34.619,33.76,34.05,272146,0
2017-08-18,33.88,33.99,33.321,33.9,224625,0
2017-08-21,33.96,34.1,33.73,33.83,89738,0
2017-08-22,33.88,34.1,33.77,34.06,68993,0
2017-08-23,33.78,34.18,33.71,33.97,85653,0
2017-08-24,34.1,34.32,33.6077,34.21,169282,0
2017-08-25,34.2,34.41,33.44,34.07,174565,0
2017-08-28,34.76,37.11,34.76,36.79,466404,0
2017-08-29,36.79,37.159,36.15,36.99,271873,0
2017-08-30,37.18,37.5,36.48,36.54,258422,0
2017-08-31,36.8,36.97,36.26,36.4,148254,0
2017-09-01,36.67,36.92,35.9,36.6,142328,0
2017-09-05,36.6,37.9,36.59,37.17,314175,0
2017-09-06,37.3,37.62,36.405,36.89,278061,0
2017-09-07,36.77,37.7,36.51,37.57,271672,0
2017-09-08,37.4,37.84,37.23,37.62,159252,0
2017-09-11,37.94,38.25,37.62,38.05,185158,0
2017-09-12,38.12,38.48,37.86,38.24,109891,0
2017-09-13,38.14,38.5673,37.52,38.02,100666,0
2017-09-14,37.95,38.26,37.72,38.09,101673,0
2017-09-15,38.19,38.74,38.01,38.58,655848,0
2017-09-18,38.88,39.2928,38.6203,39.13,215602,0
2017-09-19,39.15,39.28,38.26,38.4,138055,0
2017-09-20,38.37,38.86,37.84,38.02,175412,0
2017-09-21,37.9,37.945,37.011,37.29,162318,0
2017-09-22,37.41,37.615,36.9,37.25,108493,0
2017-09-25,37.24,37.52,36.75,36.97,172971,0
2017-09-26,37.21,37.87,36.98,36.98,120887,0
2017-09-27,37.22,38.12,37.04,37.68,117043,0
2017-09-28,37.8,37.9359,37.42,37.66,102109,0
2017-09-29,37.7,37.76,37.22,37.41,175558,0
2017-10-02,37.6,37.835,37.14,37.77,198175,0
2017-10-03,37.95,38.19,36.53,37.17,239973,0
2017-10-04,37.35,38.27,37.255,38.16,158897,0
2017-10-05,38.13,38.64,37.9632,38.61,106584,0
2017-10-06,38.6,38.61,38.15,38.47,79886,0
2017-10-09,38.32,38.41,37.35,37.43,58289,0
2017-10-10,37.44,37.59,37.06,37.41,71234,0
2017-10-11,37.4,37.58,37.2,37.43,70603,0
2017-10-12,37.35,37.59,37.27,37.28,73930,0
2017-10-13,37.06,37.18,36.76,37.11,109372,0
2017-10-16,36.9,37.48,36.6,37.08,67876,0
2017-10-17,37.07,37.452,36.93,37.09,61894,0
2017-10-18,37.34,38.28,37.09,38.21,107254,0
2017-10-19,38.08,38.49,37.895,38.375,103719,0
2017-10-20,38.65,39.88,38.57,39.01,291119,0
2017-10-23,39.27,39.79,38.35,38.35,204945,0
2017-10-24,38.3,39.58,37.19,38.37,165492,0
2017-10-25,38.35,38.68,37.57,37.96,135573,0
2017-10-26,37.9,38.24,37.11,37.2,192293,0
2017-10-27,34,35.75,28.23,31.26,1720831,0
2017-10-30,30.92,31.22,30.66,30.9,401152,0
2017-10-31,30.79,32.1499,30.7,32.01,377186,0
2017-11-01,32.31,32.31,31.56,31.98,254350,0
2017-11-02,31.95,32.32,31.72,32.01,268330,0
2017-11-03,32,32.5,31.85,32.01,174095,0
2017-11-06,31.88,32.42,31.86,32.4,190982,0
2017-11-07,32.45,32.78,32.1,32.77,169338,0
2017-11-08,32.5,33.33,32.155,33,267444,0
2017-11-09,32.99,33.4,32.68,33.39,177161,0
2017-11-10,33.2,33.73,32.9,33.5,172061,0
