Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,65.786,66.858,64.762,65.786,1605178,0
2017-01-04,66.249,66.955,65.874,66.622,1418421,0
2017-01-05,66.276,66.679,64.705,65.697,1487776,0
2017-01-06,65.993,66.704,65.638,66.506,1110554,0
2017-01-09,65.242,66.339,65.242,65.688,1130931,0
2017-01-10,65.964,67.06,65.322,66.319,980490,0
2017-01-11,66.369,66.843,65.855,66.783,1344629,0
2017-01-12,65.855,66.487,64.364,65.707,960107,0
2017-01-13,66.448,67.435,66.122,66.369,1148277,0
2017-01-17,65.569,65.865,64.473,64.681,1473443,0
2017-01-18,65.085,66.259,64.463,66.221,1729980,0
2017-01-19,66.458,67.02,65.252,65.855,1725692,0
2017-01-20,66.289,67.148,65.451,66.092,1264689,0
2017-01-23,65.835,66.596,65.204,65.865,834955,0
2017-01-24,66.241,67.662,66.013,66.951,1205206,0
2017-01-25,67.642,68.373,67.505,68.146,1385553,0
2017-01-26,68.433,69.489,68.076,68.778,1290194,0
2017-01-27,68.906,68.976,68.236,68.433,1323934,0
2017-01-30,67.782,67.929,66.458,67.632,1442202,0
2017-01-31,67.208,68.116,65.993,66.665,1922426,0
2017-02-01,67.642,68.462,67.158,68.056,2392182,0
2017-02-02,68.018,68.689,65.786,67.672,2065998,0
2017-02-03,69.045,69.469,68.294,68.63,2426399,0
2017-02-06,67.969,69.123,67.829,68.226,1568960,0
2017-02-07,68.57,69.114,67.939,68.472,1427271,0
2017-02-08,67.889,67.929,67.129,67.505,1812534,0
2017-02-09,67.999,69.322,67.849,69.173,1324379,0
2017-02-10,69.588,69.983,69.232,69.489,1223751,0
2017-02-13,69.963,70.713,69.737,70.19,1768309,0
2017-02-14,70.032,71.612,69.983,71.227,2264963,0
2017-02-15,71.642,72.224,70.98,72.166,1519011,0
2017-02-16,71.8,72.393,71.109,71.751,2185568,0
2017-02-17,70.98,71.375,70.299,70.793,1852858,0
2017-02-21,71.147,71.78,71.01,71.365,1471400,0
2017-02-22,70.773,71.212,70.21,70.803,1848479,0
2017-02-23,70.853,71.137,70.141,70.793,1553543,0
2017-02-24,69.795,70.032,69.252,69.934,1809650,0
2017-02-27,70.121,70.131,69.519,69.953,2032753,0
2017-02-28,69.687,69.914,68.995,69.282,2392004,0
2017-03-01,71.346,72.017,70.89,71.424,2927796,0
2017-03-02,71.79,71.81,69.627,69.736,2344946,0
2017-03-03,69.736,70.606,69.617,70.259,1456615,0
2017-03-06,69.479,69.785,68.689,68.877,2329488,0
2017-03-07,68.768,68.995,68.086,68.383,2620423,0
2017-03-08,69.35,69.825,68.323,68.383,1345861,0
2017-03-09,68.58,68.867,67.879,68.206,1459542,0
