Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,1.54,1.56,1.5,1.52,83859,0
2017-01-04,1.52,1.53,1.47,1.48,159126,0
2017-01-05,1.47,1.52,1.45,1.51,173239,0
2017-01-06,1.5,1.52,1.45,1.51,208324,0
2017-01-09,1.56,1.65,1.54,1.64,330815,0
2017-01-10,1.67,1.72,1.65,1.71,276574,0
2017-01-11,1.72,1.78,1.68,1.78,250970,0
2017-01-12,1.8,1.8,1.72,1.8,189563,0
2017-01-13,1.81,1.82,1.77,1.81,189273,0
2017-01-17,1.81,1.829,1.77,1.8,197819,0
2017-01-18,1.81,1.89,1.8,1.89,236310,0
2017-01-19,1.9,1.9,1.81,1.83,146153,0
2017-01-20,1.8,1.84,1.8,1.83,68959,0
2017-01-23,1.84,1.84,1.72,1.76,101043,0
2017-01-24,1.77,1.79,1.7,1.75,132773,0
2017-01-25,1.77,1.81,1.71,1.74,50264,0
2017-01-26,1.75,1.75,1.7,1.7,44580,0
2017-01-27,1.69,1.72,1.65,1.69,84166,0
2017-01-30,1.69,1.77,1.6683,1.77,203376,0
2017-01-31,1.77,1.78,1.69,1.73,79728,0
2017-02-01,1.74,1.75,1.68,1.75,74480,0
2017-02-02,1.81,1.82,1.73,1.78,114819,0
2017-02-03,1.76,1.779,1.72,1.76,48213,0
2017-02-06,1.71,1.81,1.71,1.75,142090,0
2017-02-07,1.75,1.7599,1.71,1.7203,51122,0
2017-02-08,1.71,1.74,1.71,1.72,61750,0
2017-02-09,1.7308,1.7399,1.7,1.705,67938,0
2017-02-10,1.72,1.74,1.7058,1.74,40649,0
2017-02-13,1.73,1.74,1.66,1.725,64169,0
2017-02-14,1.73,2.25,1.68,2.2,1931243,0
2017-02-15,2.18,2.19,1.97,2.08,1480543,0
2017-02-16,2.07,2.1198,1.8985,1.97,423967,0
2017-02-17,2.01,2.34,2.01,2.21,2066626,0
2017-02-21,2.32,2.33,2.18,2.25,662839,0
2017-02-22,2.23,2.41,2.22,2.29,446752,0
2017-02-23,2.32,2.3899,2.24,2.27,306237,0
2017-02-24,2.31,2.36,2.22,2.31,330713,0
2017-02-27,2.36,2.48,2.29,2.46,1042360,0
2017-02-28,2.47,2.53,2.2721,2.32,631899,0
2017-03-01,2.37,2.3997,2.28,2.33,402379,0
2017-03-02,2.34,2.47,2.3,2.46,381219,0
2017-03-03,2.47,2.47,2.34,2.4,185309,0
2017-03-06,2.35,2.46,2.35,2.39,193498,0
2017-03-07,2.37,2.46,2.35,2.39,217365,0
2017-03-08,2.41,2.42,2.35,2.37,91819,0
2017-03-09,2.35,2.359,2.28,2.31,148679,0
2017-03-10,2.28,2.34,2.16,2.2,280397,0
2017-03-13,2.22,2.27,2.15,2.19,178748,0
2017-03-14,2.19,2.319,2.15,2.28,240570,0
2017-03-15,2.34,2.39,2.3016,2.35,206258,0
2017-03-16,2.37,2.41,2.35,2.41,234489,0
2017-03-17,2.42,2.42,2.3799,2.42,123361,0
2017-03-20,2.44,2.44,2.28,2.33,329726,0
2017-03-21,2.34,2.34,2.22,2.31,228535,0
2017-03-22,2.28,2.31,2.25,2.26,86871,0
2017-03-23,2.27,2.32,2.2465,2.295,155057,0
2017-03-24,2.3,2.33,2.28,2.32,148050,0
2017-03-27,2.32,2.3466,2.22,2.31,105023,0
2017-03-28,2.28,2.3201,2.25,2.28,96038,0
2017-03-29,2.3,2.6385,2.23,2.62,868841,0
2017-03-30,2.71,3.25,2.65,3.01,2411699,0
2017-03-31,3,3.09,2.6501,2.74,842248,0
2017-04-03,2.79,2.8,2.71,2.72,233596,0
2017-04-04,2.74,2.86,2.62,2.71,422913,0
2017-04-05,2.73,2.75,2.48,2.57,416722,0
2017-04-06,2.58,3,2.58,2.66,1938315,0
