Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,15.825,15.825,15.792,15.792,331,0
2017-01-04,15.825,15.825,15.825,15.825,631,0
2017-01-05,15.547,15.796,15.534,15.796,1261,0
2017-01-06,15.649,15.649,15.646,15.649,1163,0
2017-01-09,15.678,15.678,15.677,15.677,757,0
2017-01-10,15.629,15.629,15.607,15.607,1746,0
2017-01-13,15.677,15.678,15.661,15.678,1688,0
2017-01-17,15.555,15.555,15.548,15.548,916,0
2017-01-18,15.662,15.662,15.662,15.662,104,0
2017-01-19,15.584,15.584,15.584,15.584,194,0
2017-01-20,15.678,15.678,15.516,15.531,3388,0
2017-01-23,15.482,15.482,15.482,15.482,830,0
2017-01-25,15.579,15.58,15.579,15.58,3018,0
2017-01-26,15.482,15.58,15.433,15.49,3344,0
2017-01-27,15.58,15.58,15.524,15.524,1760,0
2017-02-02,15.497,15.57,15.497,15.57,1401,0
2017-02-03,15.57,15.58,15.531,15.531,2392,0
2017-02-06,15.58,15.58,15.175,15.279,1502,0
2017-02-07,15.564,15.58,15.564,15.58,925,0
2017-02-10,15.188,15.414,14.869,15.384,2818,0
2017-02-13,15.58,15.629,15.58,15.629,1898,0
2017-02-14,15.622,15.629,15.622,15.629,920,0
2017-02-15,15.612,15.614,15.59,15.59,412,0
2017-02-22,15.659,15.659,15.373,15.373,1776,0
2017-02-23,15.62,15.62,15.62,15.62,116,0
2017-02-27,15.56,15.56,15.186,15.56,2816,0
2017-03-01,15.55,15.55,15.167,15.167,281,0
2017-03-02,15.511,15.511,15.511,15.511,104,0
2017-03-06,15.167,15.167,15.167,15.167,1509,0
2017-03-07,15.314,15.314,15.314,15.314,509,0
2017-03-08,15.265,15.265,15.265,15.265,256,0
2017-03-10,15.167,15.167,15.117,15.117,261,0
2017-03-13,15.19,15.19,15.19,15.19,605,0
2017-03-15,15.216,15.216,15.078,15.078,540,0
2017-03-17,15.216,15.511,15.216,15.511,1273,0
2017-03-20,15.57,15.61,15.57,15.575,1246,0
2017-03-21,15.56,15.61,15.56,15.61,2784,0
2017-03-27,15.514,15.514,15.462,15.462,513,0
2017-03-30,15.339,15.339,15.339,15.339,103,0
2017-04-03,15.413,15.413,15.265,15.287,1648,0
2017-04-05,15.413,15.413,15.413,15.413,434,0
2017-04-06,15.53,15.53,15.53,15.53,103,0
2017-04-07,15.56,15.56,15.481,15.481,5673,0
2017-04-12,15.436,15.436,15.413,15.414,1065,0
2017-04-17,15.432,15.432,15.432,15.432,5484,0
2017-04-28,15.602,15.602,15.551,15.551,452,0
2017-05-02,15.462,15.462,15.452,15.452,921,0
2017-05-04,15.649,15.649,15.462,15.649,908,0
2017-05-05,15.649,15.649,15.59,15.59,443,0
2017-05-08,15.413,15.462,15.413,15.462,768,0
2017-05-10,15.471,15.471,15.471,15.471,413,0
2017-05-15,15.541,15.541,15.541,15.541,231,0
2017-05-17,15.491,15.511,15.491,15.492,1575,0
2017-05-19,15.588,15.588,15.541,15.541,631,0
2017-05-25,15.541,15.541,15.491,15.491,1458,0
2017-05-30,15.491,15.491,15.491,15.491,665,0
2017-05-31,15.565,15.565,15.491,15.491,263,0
2017-06-01,15.491,15.669,15.491,15.669,900,0
2017-06-05,15.491,15.491,15.491,15.491,1184,0
2017-06-06,15.491,15.491,15.491,15.491,907,0
2017-06-07,15.521,15.521,15.491,15.491,2500,0
2017-06-08,15.491,15.65,15.481,15.481,9270,0
2017-06-09,15.293,15.669,15.293,15.481,3661,0
2017-06-12,15.501,15.581,15.293,15.491,3814,0
2017-06-13,15.491,15.511,15.491,15.491,2087,0
2017-06-14,15.491,15.581,15.254,15.442,2384,0
2017-06-15,15.64,15.65,15.491,15.611,12022,0
2017-06-16,15.511,15.739,15.491,15.739,40747,0
2017-06-19,15.511,15.511,15.511,15.511,161,0
2017-06-20,15.591,15.591,15.561,15.561,520,0
2017-06-22,15.541,15.541,15.501,15.501,1198,0
2017-06-23,15.521,15.541,15.521,15.541,547,0
2017-06-27,15.303,15.739,15.254,15.739,3327,0
2017-06-30,15.726,15.729,15.591,15.591,677,0
2017-07-03,15.729,15.729,15.63,15.63,903,0
2017-07-06,15.729,15.729,15.66,15.66,1067,0
2017-07-10,15.709,15.709,15.683,15.683,1500,0
2017-07-11,15.551,15.551,15.541,15.541,571,0
2017-07-12,15.596,15.596,15.596,15.596,321,0
2017-07-17,15.591,15.591,15.591,15.591,145,0
2017-07-18,15.543,15.543,15.543,15.543,577,0
2017-07-19,15.601,15.601,15.601,15.601,512,0
2017-07-20,15.621,15.621,15.621,15.621,1215,0
2017-07-21,15.63,15.63,15.63,15.63,285,0
2017-07-24,15.64,15.729,15.64,15.729,796,0
2017-07-25,15.729,15.729,15.541,15.541,1149,0
2017-07-26,15.709,15.709,15.591,15.591,304,0
2017-07-27,15.541,15.541,15.541,15.541,977,0
2017-07-28,15.729,15.729,15.591,15.591,411,0
2017-08-07,15.682,15.682,15.541,15.565,1695,0
2017-08-11,15.784,15.784,15.784,15.784,229,0
2017-08-16,15.77,15.77,15.77,15.77,240,0
2017-08-18,15.621,15.621,15.621,15.621,201,0
2017-08-28,15.621,15.621,15.621,15.621,188,0
2017-08-30,15.621,15.621,15.621,15.621,245,0
2017-08-31,15.621,15.8,15.621,15.8,869,0
2017-09-05,15.72,15.81,15.72,15.81,5968,0
2017-09-07,15.621,15.748,15.621,15.72,1321,0
2017-09-08,15.72,15.755,15.72,15.72,1909,0
2017-09-11,15.867,15.867,15.867,15.867,205,0
2017-09-12,15.869,15.919,15.869,15.919,289,0
2017-09-13,15.911,15.919,15.899,15.899,2151,0
2017-09-14,15.899,15.899,15.899,15.899,438,0
2017-09-15,15.919,15.919,15.919,15.919,145,0
2017-09-20,15.919,15.919,15.72,15.72,1103,0
2017-09-22,15.72,15.72,15.72,15.72,1221,0
2017-09-25,15.79,15.79,15.79,15.79,426,0
2017-09-26,15.919,15.919,15.919,15.919,504,0
2017-10-02,16.421,16.421,16.421,16.421,148,0
2017-10-04,15.859,15.861,15.73,15.73,1310,0
2017-10-06,15.73,15.73,15.73,15.73,361,0
2017-10-11,16.148,16.168,16.068,16.168,736,0
2017-10-12,15.72,15.72,15.72,15.72,137,0
2017-10-16,16.217,16.217,15.919,16.158,3708,0
2017-10-17,15.73,15.73,15.73,15.73,910,0
2017-10-19,16.168,16.168,16.168,16.168,1123,0
2017-10-20,16.317,16.317,16.317,16.317,108,0
2017-10-23,16.381,16.381,16.168,16.168,1587,0
2017-10-24,16.168,16.168,16.018,16.018,679,0
2017-10-27,15.78,16.137,15.78,15.78,646,0
2017-11-01,15.76,15.806,15.72,15.72,3458,0
2017-11-03,15.8,15.8,15.8,15.8,2705,0
2017-11-07,15.8,15.82,15.8,15.82,1143,0
2017-11-09,15.8,15.8,15.8,15.8,202,0
