Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,81.575,81.593,79.994,80.708,410426,0
2017-01-04,80.746,82.63,80.746,82.478,456957,0
2017-01-05,81.555,82.705,80.213,82.583,512093,0
2017-01-06,82.059,82.688,81.802,82.25,408030,0
2017-01-09,82.705,82.705,81.241,81.336,379913,0
2017-01-10,81.26,81.479,80.595,80.68,376304,0
2017-01-11,80.671,80.671,78.149,78.197,592970,0
2017-01-12,78.11,78.803,77.099,77.561,705487,0
2017-01-13,77.561,78.071,76.473,76.531,494443,0
2017-01-17,76.521,77.406,76.511,77.388,396717,0
2017-01-18,77.379,77.648,76.666,77.561,333593,0
2017-01-19,77.128,77.686,76.41,77.57,395829,0
2017-01-20,77.012,78.793,76.838,78.783,808053,0
2017-01-23,78.909,80.709,78.601,80.594,714234,0
2017-01-24,80.631,81.441,80.372,81.152,571693,0
2017-01-25,80.921,81.412,79.39,79.795,584298,0
2017-01-26,79.718,80.189,78.899,79.371,385970,0
2017-01-27,79.698,79.698,78.129,78.523,434550,0
2017-01-30,78.023,79.054,77.542,77.956,454114,0
2017-01-31,77.87,78.808,77.599,78.408,541594,0
2017-02-01,78.485,78.919,77.937,78.485,470210,0
2017-02-02,78.533,79.495,78.08,78.745,528736,0
2017-02-03,79.265,79.669,78.581,79.351,315375,0
2017-02-06,79.245,79.813,78.562,79.804,407034,0
2017-02-07,79.804,80.527,79.718,79.986,248105,0
2017-02-08,80.036,81.335,79.823,80.42,418079,0
2017-02-09,80.554,80.824,80.045,80.786,216285,0
2017-02-10,80.507,81.392,80.382,81.162,254294,0
2017-02-13,80.968,81.171,79.718,80.103,450218,0
2017-02-14,79.939,80.14,78.49,78.937,406547,0
2017-02-15,78.648,78.822,77.917,78.446,375459,0
2017-02-16,79.371,82.075,79.371,81.305,694931,0
2017-02-17,81.209,82.326,81.065,82.326,538664,0
2017-02-21,82.451,83.982,81.373,83.857,434166,0
2017-02-22,84.049,84.377,82.693,83.077,356116,0
2017-02-23,83.655,84.382,82.336,84.328,358300,0
2017-02-24,84.175,85.31,83.732,85.3,458482,0
2017-02-27,85.561,85.908,85.08,85.358,422263,0
2017-02-28,85.08,85.541,84.752,85.32,386200,0
2017-03-01,84.868,85.705,84.386,85.417,440101,0
2017-03-02,85.194,85.878,85.031,85.31,257196,0
2017-03-03,84.762,85.108,83.751,84.569,267094,0
2017-03-06,84.617,84.617,83.241,84.28,228348,0
2017-03-07,84.28,84.29,83.472,84.069,209122,0
2017-03-08,83.943,83.943,82.566,82.663,206889,0
2017-03-09,82.653,83.201,81.267,81.373,280427,0
2017-03-10,81.643,82.306,79.062,79.409,552194,0
2017-03-13,79.669,80.006,78.321,79.082,458027,0
2017-03-14,79.082,79.976,78.658,79.795,417500,0
2017-03-15,79.785,81.335,79.477,81.065,415904,0
2017-03-16,81.459,81.835,80.747,80.853,284172,0
2017-03-17,80.671,81.922,80.671,81.671,477582,0
2017-03-20,81.778,82.047,81.103,81.661,193514,0
2017-03-21,81.758,82.115,81.093,81.257,295173,0
2017-03-22,81.373,81.681,80.093,80.718,394659,0
2017-03-23,81.093,81.758,80.545,81.103,408044,0
2017-03-24,81.479,81.489,80.786,81.026,339198,0
2017-03-27,80.901,81.431,79.178,79.332,443282,0
2017-03-28,79.535,79.949,78.167,79.89,494465,0
2017-03-29,79.852,79.852,78.543,79.226,360062,0
2017-03-30,78.986,79.004,78.369,78.842,304595,0
2017-03-31,78.86,79.64,78.774,79.054,269597,0
2017-04-03,78.995,79.795,78.668,78.88,552320,0
2017-04-04,78.89,80.959,78.514,80.805,602102,0
2017-04-05,80.882,81.527,80.026,81.335,487019,0
2017-04-06,81.527,82.596,81.093,81.72,261225,0
2017-04-07,81.604,82.152,81.479,81.806,174598,0
2017-04-10,81.816,82.596,81.464,82.509,236922,0
2017-04-11,82.499,83.395,82.499,83.124,372864,0
2017-04-12,82.864,83.346,82.383,82.74,409293,0
2017-04-13,82.614,83.169,82.253,83.042,675196,0
2017-04-17,83.237,84.844,83.197,84.844,367714,0
2017-04-18,84.776,85.579,84.513,85.351,331247,0
2017-04-19,85.36,85.429,84.201,84.425,378826,0
2017-04-20,84.425,84.902,83.996,84.659,323894,0
2017-04-21,84.62,84.736,82.896,83.071,493579,0
