Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,23.149,23.287,22.92,23.089,2135228,0
2017-01-04,23.228,23.506,23.218,23.436,1536901,0
2017-01-05,23.386,23.441,23.02,23.238,1254603,0
2017-01-06,23.316,23.426,23.094,23.316,1229162,0
2017-01-09,23.218,23.248,22.97,23.01,1065126,0
2017-01-10,23.04,23.436,23.02,23.396,1299490,0
2017-01-11,23.287,23.584,23.198,23.574,1385344,0
2017-01-12,23.426,23.476,22.93,23.129,1134435,0
2017-01-13,23.278,23.386,23.089,23.248,1080340,0
2017-01-17,23.099,23.099,22.544,22.643,1170403,0
2017-01-18,22.703,23.01,22.484,22.99,1331234,0
2017-01-19,23.04,23.129,22.663,22.723,1431465,0
2017-01-20,22.842,22.99,22.772,22.92,967935,0
2017-01-23,22.772,22.91,22.524,22.703,876366,0
2017-01-24,22.87,23.307,22.832,23.168,1286119,0
2017-01-25,23.406,23.822,23.366,23.792,1829691,0
2017-01-26,23.812,24.065,23.743,24.03,1648505,0
2017-01-27,24.06,24.06,23.574,23.704,875574,0
2017-01-30,23.644,23.654,23.208,23.526,1005330,0
2017-01-31,23.406,23.674,23.268,23.634,1283960,0
2017-02-01,23.812,24.001,23.574,23.723,1223109,0
2017-02-02,23.516,23.723,23.376,23.516,1559952,0
2017-02-03,23.981,24.258,23.802,24.13,1405110,0
2017-02-06,23.952,24.298,23.897,24.189,1154854,0
2017-02-07,24.338,24.378,23.198,23.426,3174495,0
2017-02-08,23.287,23.326,22.98,23.208,1442351,0
2017-02-09,23.326,23.822,23.278,23.684,1591758,0
2017-02-10,23.872,23.942,23.664,23.792,922516,0
2017-02-13,23.972,24.238,23.972,24.06,1055468,0
2017-02-14,23.962,24.714,23.962,24.685,3392791,0
2017-02-15,24.774,24.794,24.511,24.774,2244502,0
2017-02-16,24.774,25.141,24.721,25.101,2467027,0
2017-02-17,25.021,25.349,24.655,25.329,2520612,0
2017-02-21,25.339,25.612,25.219,25.477,1531323,0
2017-02-22,25.349,25.527,25.22,25.477,2379044,0
2017-02-23,25.527,25.665,25.234,25.487,1688778,0
2017-02-24,25.18,25.487,25.061,25.457,1660636,0
2017-02-27,25.587,26.091,25.517,25.903,2489654,0
2017-02-28,25.903,26.399,25.795,26.379,3145136,0
2017-03-01,26.795,27.088,26.756,26.954,3637006,0
2017-03-02,26.954,26.954,26.29,26.309,3411945,0
2017-03-03,26.251,26.746,26.161,26.429,3008211,0
2017-03-06,26.221,26.384,26.023,26.29,2331063,0
2017-03-07,26.359,26.518,26.241,26.419,2299166,0
2017-03-08,26.637,26.667,26.419,26.498,2030210,0
2017-03-09,26.607,26.746,26.401,26.508,1928239,0
2017-03-10,26.657,26.746,26.226,26.508,1528960,0
2017-03-13,26.528,26.795,26.429,26.687,1793305,0
2017-03-14,26.687,26.687,26.121,26.547,1910744,0
2017-03-15,26.627,26.825,26.508,26.696,1918609,0
2017-03-16,26.818,26.937,26.341,26.48,1901366,0
2017-03-17,26.49,26.51,26.092,26.162,2863362,0
2017-03-20,26.112,26.301,25.964,26.102,1981471,0
2017-03-21,26.202,26.262,25.577,25.675,2304732,0
2017-03-22,25.557,25.944,25.387,25.597,1954560,0
2017-03-23,25.597,25.864,25.502,25.607,2101082,0
2017-03-24,25.745,25.835,25.387,25.547,1806482,0
2017-03-27,25.13,25.547,24.95,25.447,2394647,0
2017-03-28,25.427,26.142,25.348,25.924,2072790,0
2017-03-29,25.854,26.137,25.815,25.924,1483091,0
2017-03-30,25.944,26.152,25.904,26.092,1738742,0
2017-03-31,25.954,26.028,25.82,25.825,1415959,0
2017-04-03,25.904,25.924,25.587,25.825,2059665,0
2017-04-04,25.715,25.894,25.705,25.854,1245812,0
2017-04-05,26.102,26.376,25.864,25.884,2003900,0
2017-04-06,25.854,26.252,25.705,26.182,1581536,0
2017-04-07,26.014,26.262,25.924,26.112,926844,0
2017-04-10,26.112,26.277,25.854,26.063,1013709,0
2017-04-11,25.884,26.004,25.715,26.004,1439565,0
2017-04-12,25.974,25.984,25.63,25.755,1214802,0
2017-04-13,25.645,25.884,25.338,25.348,1145114,0
2017-04-17,25.378,25.467,25.248,25.467,1947274,0
2017-04-18,25.308,25.407,24.94,25.04,3114353,0
2017-04-19,25.258,25.437,25.14,25.278,1584883,0
2017-04-20,25.427,25.675,25.318,25.625,1066052,0
2017-04-21,25.607,25.665,25.258,25.338,1079186,0
2017-04-24,25.835,26.122,25.685,25.785,1378351,0
2017-04-25,25.954,26.212,25.864,25.994,1328903,0
2017-04-26,25.954,26.162,25.844,25.974,1310987,0
2017-04-27,26.043,26.102,25.694,25.964,1276247,0
2017-04-28,25.894,26.082,25.199,25.218,1908596,0
2017-05-01,25.298,25.735,25.278,25.655,1437654,0
2017-05-02,25.685,25.715,25.378,25.517,1310227,0
2017-05-03,25.387,25.655,25.328,25.537,1628072,0
2017-05-04,25.705,25.765,25.06,25.169,1765120,0
2017-05-05,25.308,25.607,25.218,25.587,1236544,0
2017-05-08,25.615,25.934,25.477,25.924,1561704,0
2017-05-09,25.884,25.894,25.11,25.13,1787639,0
2017-05-10,25.06,25.457,24.98,25.457,1694794,0
2017-05-11,25.328,25.328,24.901,25.228,1506211,0
2017-05-12,25.14,25.218,24.891,25.13,1702405,0
2017-05-15,25.1,25.308,25.09,25.199,1363929,0
2017-05-16,25.199,25.258,25.025,25.189,1247940,0
2017-05-17,24.792,24.811,24.171,24.275,2151804,0
2017-05-18,24.245,24.598,24.171,24.454,1844452,0
2017-05-19,24.503,24.663,24.404,24.473,1461456,0
2017-05-22,24.613,24.633,24.29,24.523,1208016,0
2017-05-23,24.563,24.682,24.325,24.623,830647,0
2017-05-24,24.702,24.742,24.573,24.623,1394164,0
2017-05-25,24.673,24.801,24.483,24.533,992769,0
2017-05-26,24.493,24.583,24.38,24.454,678722,0
2017-05-30,24.325,24.37,24.066,24.235,1415213,0
2017-05-31,24.245,24.325,23.644,24.226,2958746,0
2017-06-01,24.335,24.792,24.076,24.772,1512270,0
2017-06-02,24.583,24.673,24.295,24.325,1668363,0
2017-06-05,24.285,24.543,24.245,24.275,949290,0
2017-06-06,24.116,24.34,24.026,24.245,760687,0
2017-06-07,24.245,24.463,24.171,24.365,1164082,0
2017-06-08,24.394,25.09,24.375,24.98,1575332,0
2017-06-09,24.911,25.15,24.598,25.11,2517114,0
2017-06-12,25.12,25.507,24.955,25.238,1881490,0
2017-06-13,25.328,25.77,25.328,25.705,1386928,0
2017-06-14,25.547,25.695,25.208,25.615,1948223,0
2017-06-15,25.409,25.847,25.32,25.668,1249023,0
2017-06-16,25.718,25.937,25.569,25.937,2172467,0
2017-06-19,26.096,26.186,25.937,26.116,1369480,0
2017-06-20,25.897,25.927,25.225,25.24,2024733,0
2017-06-21,25.25,25.25,24.702,24.882,1483591,0
2017-06-22,24.822,25.061,24.722,24.922,1381028,0
2017-06-23,25.111,25.141,24.812,24.882,3577187,0
2017-06-26,24.922,25.25,24.852,25.2,1354801,0
2017-06-27,25.28,25.698,25.2,25.658,1939427,0
2017-06-28,25.907,26.31,25.887,26.156,1839897,0
2017-06-29,26.435,26.664,25.738,26.007,2480208,0
2017-06-30,26.226,26.246,26.027,26.047,1379173,0
2017-07-03,26.246,26.734,26.216,26.694,1336132,0
2017-07-05,26.684,26.783,26.515,26.624,1965837,0
2017-07-06,26.574,26.734,26.33,26.505,2257898,0
2017-07-07,26.634,26.783,26.445,26.644,1224002,0
2017-07-10,26.525,26.664,26.395,26.495,1580771,0
2017-07-11,26.445,26.525,26.166,26.435,1038853,0
2017-07-12,26.525,26.589,26.385,26.475,1173262,0
2017-07-13,26.455,26.604,26.425,26.594,1135574,0
2017-07-14,26.315,26.644,26.276,26.584,988105,0
2017-07-17,26.455,26.614,26.345,26.485,862862,0
2017-07-18,26.315,26.485,26.296,26.455,797506,0
2017-07-19,26.495,26.584,26.425,26.455,1915494,0
2017-07-20,26.525,26.604,26.296,26.305,1207840,0
2017-07-21,26.186,26.435,26.136,26.335,1120877,0
2017-07-24,26.534,26.883,26.405,26.684,2173008,0
2017-07-25,26.923,27.092,26.793,26.973,1333180,0
2017-07-26,26.983,26.992,26.649,26.704,765921,0
2017-07-27,26.734,26.883,26.395,26.505,1659563,0
2017-07-28,26.465,26.634,25.897,25.937,1607329,0
2017-07-31,25.997,26.106,25.838,25.917,1297855,0
2017-08-01,26.007,26.027,25.778,25.937,1071801,0
2017-08-02,25.847,26.276,25.808,26.256,2034610,0
2017-08-03,26.226,26.515,26.106,26.166,1134190,0
2017-08-04,26.405,26.465,26.067,26.076,899709,0
2017-08-07,26.067,26.106,25.887,26.017,1433064,0
2017-08-08,25.977,26.086,25.579,25.599,1559525,0
2017-08-09,25.439,25.539,25.215,25.449,1856234,0
2017-08-10,25.27,25.38,25.061,25.071,1835701,0
2017-08-11,25.041,25.141,24.583,24.613,1601009,0
2017-08-14,24.832,25.011,24.732,24.802,1385788,0
2017-08-15,24.961,24.981,24.613,24.643,1062932,0
2017-08-16,24.712,24.732,24.468,24.553,1071452,0
2017-08-17,24.454,24.454,23.776,23.786,2091936,0
2017-08-18,23.607,23.976,23.547,23.866,1964464,0
2017-08-21,23.846,23.886,23.712,23.876,1247018,0
2017-08-22,23.896,23.936,23.796,23.896,1174474,0
2017-08-23,23.747,24.005,23.727,23.906,1044733,0
2017-08-24,23.976,23.976,23.786,23.886,1282442,0
2017-08-25,23.976,24.215,23.916,24.125,979878,0
2017-08-28,24.125,24.239,23.876,23.936,796235,0
2017-08-29,23.607,23.727,23.528,23.587,1239493,0
2017-08-30,23.607,23.767,23.587,23.647,824075,0
2017-08-31,23.717,23.717,23.547,23.577,1323079,0
2017-09-01,23.657,24.095,23.617,23.846,940230,0
2017-09-05,23.657,23.687,22.96,23,1451395,0
2017-09-06,23.08,23.099,22.701,22.741,2152920,0
2017-09-07,22.741,22.741,22.134,22.173,2344034,0
2017-09-08,22.134,22.442,22.134,22.263,2382638,0
2017-09-11,22.532,22.801,22.442,22.631,1946481,0
2017-09-12,22.761,23.02,22.552,22.93,1135710,0
2017-09-13,22.821,22.89,22.661,22.821,1249098,0
2017-09-14,22.841,23.139,22.731,22.97,1708424,0
2017-09-15,22.93,23.11,22.66,22.93,3660622,0
2017-09-18,23,23.37,22.985,23.37,1831750,0
2017-09-19,23.42,24.51,23.42,24.29,3268507,0
2017-09-20,24.29,24.55,24.13,24.38,2235516,0
2017-09-21,24.4,24.53,24.27,24.47,2243980,0
2017-09-22,24.41,24.64,24.35,24.54,1686597,0
2017-09-25,24.49,24.77,24.43,24.67,1800666,0
2017-09-26,24.78,24.85,24.56,24.78,1694305,0
2017-09-27,25.02,25.2,24.92,25.01,2204557,0
2017-09-28,25,25.25,24.87,25.11,1597492,0
2017-09-29,25.03,25.455,25,25.25,1738315,0
2017-10-02,25.24,25.46,25.2,25.43,918465,0
2017-10-03,25.44,25.49,25.3,25.48,1044818,0
2017-10-04,25.42,25.49,25.31,25.42,1068396,0
2017-10-05,25.5,25.64,25.39,25.42,1145029,0
2017-10-06,25.47,25.495,25.14,25.26,1250982,0
2017-10-09,25.28,25.3,25.055,25.12,775279,0
2017-10-10,25.13,25.3194,25.13,25.19,1549801,0
2017-10-11,25.13,25.28,25.03,25.27,1044026,0
2017-10-12,25.28,25.45,25.21,25.33,1395563,0
2017-10-13,25.35,25.39,25.18,25.29,1052406,0
2017-10-16,25.31,25.72,25.31,25.71,1408628,0
2017-10-17,25.75,25.81,25.53,25.65,1556193,0
2017-10-18,25.76,25.8,25.57,25.77,1121252,0
2017-10-19,25.56,25.8,25.29,25.79,1238839,0
2017-10-20,26,26.075,25.75,26.01,1433278,0
2017-10-23,26,26,25.495,25.55,1206760,0
2017-10-24,25.57,25.77,25.51,25.74,1030727,0
2017-10-25,25.77,25.78,25.07,25.44,1321044,0
2017-10-26,25.67,25.78,25.53,25.53,1166863,0
2017-10-27,25.38,25.77,25.01,25.76,1515472,0
2017-10-30,25.62,25.77,25.2,25.32,1045601,0
2017-10-31,25.3,25.59,25.18,25.3,1027131,0
2017-11-01,25.5,25.75,25.17,25.33,1054261,0
2017-11-02,25.27,25.49,25.01,25.45,1063576,0
2017-11-03,25.48,25.87,25.33,25.75,1323078,0
2017-11-06,25.78,26.05,25.64,25.98,1280146,0
2017-11-07,25.99,26.31,25.73,25.88,1425098,0
2017-11-08,25.78,26.04,25.61,26.03,1713747,0
2017-11-09,25.87,26.1,25.77,26.06,1110931,0
2017-11-10,26.03,26.15,25.66,25.66,903420,0
