Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,1.47,1.57,1.4,1.54,91356,0
2017-01-04,1.52,1.62,1.476,1.55,134631,0
2017-01-05,1.58,1.6383,1.5205,1.5996,93129,0
2017-01-06,1.6,1.65,1.45,1.5799,156060,0
2017-01-09,1.58,1.6,1.53,1.545,57326,0
2017-01-10,1.59,1.59,1.54,1.56,37455,0
2017-01-11,1.55,1.56,1.49,1.53,66434,0
2017-01-12,1.54,1.56,1.38,1.45,44349,0
2017-01-13,1.49,1.55,1.42,1.53,109045,0
2017-01-17,1.54,1.67,1.5015,1.66,238870,0
2017-01-18,1.69,1.9,1.6497,1.7767,662943,0
2017-01-19,1.75,1.87,1.6701,1.78,399841,0
2017-01-20,1.8,1.8,1.719,1.8,112432,0
2017-01-23,1.78,1.85,1.7077,1.82,297827,0
2017-01-24,1.8,1.98,1.7,1.87,368985,0
2017-01-25,1.9,2,1.8402,1.99,632106,0
2017-01-26,2,2.33,1.94,2.27,1513973,0
2017-01-27,2.23,2.29,1.9,1.95,724852,0
2017-01-30,2,2.03,1.9101,1.98,243335,0
2017-01-31,1.99,2.03,1.9,1.97,134257,0
2017-02-01,1.97,2.04,1.83,1.96,107673,0
2017-02-02,1.97,2.01,1.85,1.96,97188,0
2017-02-03,1.95,2.03,1.9103,2.02,75444,0
2017-02-06,2.02,2.14,1.9404,2.04,90830,0
2017-02-07,2.0101,2.08,1.9901,2.04,39231,0
2017-02-08,2.05,2.1,1.96,2.01,22061,0
2017-02-09,1.99,2.05,1.9,1.94,72649,0
2017-02-10,1.9348,1.99,1.9348,1.99,30602,0
2017-02-13,2.03,2.03,1.94,1.98,92389,0
2017-02-14,1.98,1.98,1.9301,1.98,34964,0
2017-02-15,1.96,2.06,1.91,1.97,209084,0
2017-02-16,1.94,2.04,1.9235,1.95,22016,0
2017-02-17,1.93,2.02,1.93,1.95,20581,0
2017-02-21,1.92,1.97,1.92,1.92,42873,0
2017-02-22,1.93,1.9795,1.84,1.86,122012,0
2017-02-23,1.85,1.879,1.82,1.83,81471,0
2017-02-24,1.82,1.89,1.7428,1.8,83982,0
2017-02-27,1.79,1.86,1.7601,1.85,56839,0
2017-02-28,1.83,1.9,1.77,1.85,64662,0
2017-03-01,1.83,1.93,1.82,1.86,139696,0
2017-03-02,1.83,1.9244,1.81,1.87,176779,0
2017-03-03,1.85,1.94,1.85,1.871,56510,0
2017-03-06,1.85,1.95,1.85,1.89,67679,0
2017-03-07,1.94,1.97,1.9,1.97,124223,0
2017-03-08,1.97,1.97,1.86,1.91,22369,0
2017-03-09,1.94,1.95,1.9029,1.94,26072,0
2017-03-10,1.96,1.98,1.92,1.92,39914,0
2017-03-13,1.96,2.15,1.76,1.85,305649,0
2017-03-14,1.85,2.01,1.71,1.79,145309,0
2017-03-15,1.78,1.89,1.75,1.83,157689,0
2017-03-16,1.8401,1.99,1.83,1.87,145282,0
2017-03-17,1.95,1.9831,1.83,1.88,116011,0
2017-03-20,1.88,1.89,1.61,1.76,205326,0
2017-03-21,1.72,1.73,1.65,1.66,107227,0
2017-03-22,1.66,1.75,1.65,1.67,24567,0
2017-03-23,1.6724,1.71,1.6724,1.7,6889,0
2017-03-24,1.7,1.71,1.69,1.7,13932,0
2017-03-27,1.709,1.71,1.6803,1.71,25147,0
2017-03-28,1.72,1.72,1.66,1.69,32365,0
2017-03-29,1.69,1.75,1.66,1.73,20180,0
2017-03-30,1.72,1.75,1.72,1.73,29431,0
2017-03-31,1.73,1.76,1.7,1.73,18801,0
2017-04-03,1.75,1.7525,1.72,1.72,21622,0
2017-04-04,1.75,1.76,1.68,1.69,20248,0
2017-04-05,1.69,1.75,1.69,1.73,38715,0
2017-04-06,1.68,1.79,1.68,1.79,16101,0
2017-04-07,1.77,1.77,1.661,1.74,10158,0
2017-04-10,1.75,1.75,1.66,1.7399,4984,0
2017-04-11,1.671,1.75,1.67,1.71,35931,0
2017-04-12,1.68,1.73,1.67,1.69,34219,0
2017-04-13,1.6955,1.74,1.66,1.73,42114,0
2017-04-17,1.63,1.6515,1.38,1.6001,191176,0
2017-04-18,1.6,1.67,1.49,1.53,168109,0
2017-04-19,1.5301,1.59,1.48,1.54,30535,0
2017-04-20,1.56,1.5802,1.5,1.53,27257,0
2017-04-21,1.51,1.5655,1.42,1.47,78850,0
2017-04-24,1.46,1.64,1.46,1.47,114124,0
2017-04-25,1.54,1.57,1.51,1.55,24575,0
2017-04-26,1.5,1.5742,1.5,1.5,29099,0
2017-04-27,1.55,1.55,1.5,1.53,12941,0
2017-04-28,1.52,1.55,1.51,1.54,10129,0
2017-05-01,1.52,1.54,1.5,1.5,18808,0
2017-05-02,1.53,1.54,1.51,1.53,27939,0
2017-05-03,1.51,1.51,1.4,1.45,145501,0
2017-05-04,1.4627,1.47,1.46,1.47,5806,0
2017-05-05,1.451,1.49,1.34,1.4101,45395,0
2017-05-08,1.41,1.43,1.4,1.41,22620,0
2017-05-09,1.4,1.59,1.4,1.46,120704,0
2017-05-10,1.41,1.5,1.4,1.48,11113,0
2017-05-11,1.53,1.542,1.4724,1.5,27269,0
2017-05-12,1.36,1.43,1.31,1.3479,161871,0
2017-05-15,1.33,1.44,1.32,1.38,29488,0
2017-05-16,1.4,1.43,1.35,1.42,23927,0
2017-05-17,1.42,1.53,1.36,1.51,75846,0
2017-05-18,1.48,1.55,1.4797,1.49,44778,0
2017-05-19,1.48,1.54,1.4,1.5,89576,0
2017-05-22,1.462,1.6,1.4601,1.54,30742,0
2017-05-23,1.5767,1.5767,1.48,1.51,44686,0
2017-05-24,1.5,1.57,1.46,1.54,50524,0
2017-05-25,1.53,1.5501,1.48,1.49,39401,0
2017-05-26,1.488,1.58,1.48,1.51,70020,0
2017-05-30,1.48,1.54,1.48,1.52,20394,0
2017-05-31,1.57,1.57,1.5,1.5299,24979,0
2017-06-01,1.55,1.55,1.5,1.5,31575,0
2017-06-02,1.52,1.52,1.5,1.52,11444,0
2017-06-05,1.52,1.52,1.46,1.49,23030,0
2017-06-06,1.489,1.53,1.488,1.4999,20146,0
2017-06-07,1.49,1.53,1.49,1.51,24102,0
2017-06-08,1.51,1.68,1.51,1.68,39378,0
2017-06-09,1.69,1.69,1.55,1.57,138111,0
2017-06-12,1.61,1.67,1.56,1.56,23258,0
2017-06-13,1.58,1.62,1.57,1.62,17076,0
2017-06-14,1.62,1.62,1.56,1.61,43761,0
2017-06-15,1.6,1.6,1.51,1.58,17228,0
2017-06-16,1.56,1.58,1.51,1.51,33690,0
2017-06-19,1.5223,1.56,1.51,1.54,23089,0
2017-06-20,1.54,1.54,1.51,1.51,56333,0
2017-06-21,1.528,1.55,1.52,1.54,14020,0
2017-06-22,1.53,1.53,1.46,1.5,27017,0
2017-06-23,1.47,1.57,1.42,1.48,56476,0
2017-06-26,1.47,1.5,1.44,1.48,25729,0
2017-06-27,1.49,1.499,1.45,1.45,23578,0
2017-06-28,1.44,1.51,1.43,1.5,25330,0
2017-06-29,1.5112,1.5112,1.47,1.49,18645,0
2017-06-30,1.49,1.53,1.44,1.51,29585,0
2017-07-03,1.5,1.51,1.484,1.49,8853,0
2017-07-05,1.51,1.51,1.45,1.45,14833,0
2017-07-06,1.45,1.5,1.43,1.45,10591,0
2017-07-07,1.45,1.48,1.35,1.4,31166,0
2017-07-10,1.42,1.47,1.38,1.4101,12781,0
2017-07-11,1.43,1.46,1.4152,1.45,2974,0
2017-07-12,1.43,1.5,1.4,1.45,68895,0
2017-07-13,1.44,1.47,1.44,1.47,8053,0
2017-07-14,1.45,1.45,1.401,1.43,13471,0
2017-07-17,1.42,1.436,1.41,1.4215,36571,0
2017-07-18,1.43,1.43,1.35,1.3501,98337,0
2017-07-19,1.38,1.38,1.295,1.32,123203,0
2017-07-20,1.33,1.34,1.308,1.33,8496,0
2017-07-21,1.32,1.34,1.2999,1.33,23765,0
2017-07-24,1.34,1.355,1.3101,1.34,15999,0
2017-07-25,1.36,1.46,1.36,1.37,85199,0
2017-07-26,1.38,1.43,1.33,1.3621,50683,0
2017-07-27,1.36,1.46,1.33,1.38,27081,0
2017-07-28,1.335,1.4,1.33,1.35,8907,0
2017-07-31,1.34,1.45,1.3,1.3201,96385,0
2017-08-01,1.35,1.36,1.27,1.35,40614,0
2017-08-02,1.35,1.35,1.27,1.29,72741,0
2017-08-03,1.26,1.3,1.25,1.27,36095,0
2017-08-04,1.24,1.29,1.1582,1.16,186022,0
2017-08-07,1.16,1.25,1.16,1.19,30015,0
2017-08-08,1.19,1.22,1.19,1.22,18922,0
2017-08-09,1.2,1.26,1.2,1.21,41734,0
2017-08-10,1.5,1.54,1.35,1.42,1419309,0
2017-08-11,1.43,1.4866,1.34,1.44,876411,0
2017-08-14,1.44,1.59,1.4,1.52,1151474,0
2017-08-15,1.5,1.56,1.42,1.52,669759,0
2017-08-16,1.51,1.58,1.47,1.5115,190646,0
2017-08-17,1.52,1.68,1.45,1.46,1010548,0
2017-08-18,1.45,1.5,1.45,1.49,91185,0
2017-08-21,1.48,1.49,1.4,1.4597,149894,0
2017-08-22,1.45,1.45,1.39,1.4148,210602,0
2017-08-23,1.41,1.45,1.35,1.38,182752,0
2017-08-24,1.43,1.44,1.37,1.43,510776,0
2017-08-25,1.42,1.46,1.35,1.44,118432,0
2017-08-28,1.43,1.49,1.43,1.47,78063,0
2017-08-29,1.47,1.49,1.4,1.45,70640,0
2017-08-30,1.46,1.53,1.4398,1.51,212800,0
2017-08-31,1.52,1.5333,1.506,1.51,46902,0
2017-09-01,1.49,1.61,1.48,1.59,197506,0
2017-09-05,1.6,1.61,1.53,1.57,49422,0
2017-09-06,1.57,1.589,1.51,1.57,44733,0
2017-09-07,1.56,1.59,1.491,1.53,51593,0
2017-09-08,1.51,1.53,1.46,1.5,20825,0
2017-09-11,1.51,1.55,1.51,1.54,13263,0
2017-09-12,1.51,1.57,1.51,1.56,23583,0
2017-09-13,1.56,1.6,1.54,1.58,32032,0
2017-09-14,1.58,1.61,1.575,1.59,46659,0
2017-09-15,1.6,1.61,1.53,1.53,134667,0
2017-09-18,1.54,1.61,1.54,1.58,51778,0
2017-09-19,1.58,1.6,1.57,1.59,71491,0
2017-09-20,1.6034,1.65,1.59,1.64,120003,0
2017-09-21,1.64,1.65,1.55,1.63,99937,0
2017-09-22,1.63,1.7,1.61,1.7,93620,0
2017-09-25,1.7,1.75,1.68,1.68,109165,0
2017-09-26,1.68,1.72,1.65,1.7,32498,0
2017-09-27,1.7,1.72,1.6797,1.71,22917,0
2017-09-28,1.71,1.72,1.66,1.6999,31896,0
2017-09-29,1.68,1.72,1.68,1.69,19553,0
2017-10-02,1.69,1.72,1.6801,1.7,26014,0
2017-10-03,1.7,1.7634,1.6862,1.72,141695,0
2017-10-04,1.732,1.74,1.7,1.71,34304,0
2017-10-05,1.7,1.73,1.65,1.6698,41228,0
2017-10-06,1.67,1.73,1.55,1.63,100968,0
2017-10-09,1.64,1.68,1.5678,1.68,39244,0
2017-10-10,1.7,1.71,1.67,1.69,41742,0
2017-10-11,1.7,1.73,1.69,1.71,37386,0
2017-10-12,1.69,1.73,1.65,1.65,60818,0
2017-10-13,1.68,1.69,1.61,1.63,43411,0
2017-10-16,1.64,1.64,1.55,1.6124,58942,0
2017-10-17,1.61,1.6264,1.5558,1.57,41584,0
2017-10-18,1.56,1.58,1.511,1.54,54318,0
2017-10-19,1.55,1.6,1.52,1.59,34262,0
2017-10-20,1.6,1.62,1.5491,1.61,24835,0
2017-10-23,1.63,1.63,1.5,1.54,93521,0
2017-10-24,1.53,1.57,1.53,1.55,27236,0
2017-10-25,1.55,1.57,1.5,1.5001,134383,0
2017-10-26,1.5,1.53,1.4704,1.49,60299,0
2017-10-27,1.48,1.52,1.471,1.51,79896,0
2017-10-30,1.5314,1.55,1.5,1.51,36594,0
2017-10-31,1.53,1.7,1.49,1.68,233341,0
2017-11-01,1.64,1.65,1.571,1.61,35866,0
2017-11-02,1.62,1.65,1.6,1.64,91118,0
2017-11-03,1.64,1.699,1.6,1.64,480510,0
2017-11-06,1.62,1.72,1.6,1.69,167492,0
2017-11-07,1.67,1.72,1.6,1.66,248601,0
2017-11-08,1.68,1.69,1.66,1.66,88606,0
2017-11-09,1.64,1.68,1.64,1.64,117882,0
2017-11-10,1.64,1.66,1.55,1.55,216315,0
