Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,10.3,10.357,10.233,10.327,1174394,0
2017-01-04,10.394,10.541,10.384,10.518,1515853,0
2017-01-05,10.508,10.612,10.432,10.537,1519023,0
2017-01-06,10.537,10.593,10.451,10.489,1683151,0
2017-01-09,10.498,10.518,10.213,10.213,2053009,0
2017-01-10,10.204,10.29,10.138,10.195,1304145,0
2017-01-11,10.195,10.257,10.147,10.166,1417417,0
2017-01-12,10.213,10.318,10.119,10.261,1162674,0
2017-01-13,10.261,10.384,10.233,10.261,640630,0
2017-01-17,10.28,10.48,10.243,10.423,1055067,0
2017-01-18,10.414,10.48,10.347,10.366,812772,0
2017-01-19,10.318,10.347,10.119,10.129,1257121,0
2017-01-20,10.109,10.2,10.062,10.147,1392773,0
2017-01-23,9.967,10.243,9.967,10.213,1668014,0
2017-01-24,10.176,10.252,10.119,10.156,1446876,0
2017-01-25,10.176,10.204,10.077,10.129,883083,0
2017-01-26,10.147,10.186,10.052,10.109,728077,0
2017-01-27,10.147,10.147,9.919,10.015,1128000,0
2017-01-30,9.967,10.081,9.862,10.081,1703621,0
2017-01-31,10.09,10.2,10.024,10.176,2238895,0
2017-02-01,10.186,10.27,9.967,10.052,1207967,0
2017-02-02,10.052,10.233,10.024,10.213,1760943,0
2017-02-03,10.261,10.347,10.223,10.309,1803899,0
2017-02-06,10.318,10.327,10.243,10.28,921348,0
2017-02-07,10.27,10.342,10.195,10.233,1016051,0
2017-02-08,10.233,10.375,10.156,10.347,1140096,0
2017-02-09,10.366,10.48,10.357,10.451,1371297,0
2017-02-10,10.471,10.632,10.441,10.622,1288172,0
2017-02-13,10.622,10.679,10.527,10.584,1042677,0
2017-02-14,10.527,10.537,10.428,10.508,1358706,0
2017-02-15,10.432,10.451,10.318,10.414,1033881,0
2017-02-16,10.414,10.612,10.414,10.593,1055874,0
2017-02-17,10.612,10.632,10.498,10.603,1577979,0
2017-02-21,10.603,10.774,10.565,10.746,1314627,0
2017-02-22,10.707,10.811,10.679,10.774,759167,0
2017-02-23,10.811,10.84,10.603,10.632,1527658,0
2017-02-24,10.612,10.669,10.537,10.66,1163809,0
2017-02-27,10.641,10.774,10.612,10.726,1369178,0
2017-02-28,10.679,10.679,10.471,10.593,3403834,0
2017-03-01,10.156,10.518,10.156,10.327,2828635,0
2017-03-02,10.309,10.375,10.223,10.243,1870912,0
2017-03-03,10.233,10.261,10.024,10.129,2360193,0
2017-03-06,10.119,10.129,9.969,10.043,1951047,0
2017-03-07,9.995,10.043,9.919,9.939,1158600,0
2017-03-08,9.891,9.91,9.607,9.634,1205164,0
2017-03-09,9.597,9.701,9.4544,9.4731,1244939,0
2017-03-10,9.559,9.587,9.3886,9.4358,935658,0
2017-03-13,9.4161,9.4682,9.3492,9.4456,1800390,0
2017-03-14,9.4063,9.4456,9.3404,9.3886,706861,0
2017-03-15,9.4456,9.711,9.4456,9.634,1776021,0
2017-03-16,9.616,9.691,9.568,9.625,1458241,0
2017-03-17,9.634,9.748,9.587,9.748,4491689,0
2017-03-20,9.758,9.854,9.682,9.768,1233555,0
2017-03-21,9.797,9.862,9.763,9.787,1445380,0
2017-03-22,9.805,9.834,9.592,9.691,1394288,0
2017-03-23,9.701,9.854,9.682,9.721,1453674,0
2017-03-24,9.721,9.805,9.673,9.682,1013654,0
2017-03-27,9.664,9.739,9.568,9.616,954259,0
2017-03-28,9.597,9.654,9.4928,9.53,2471191,0
2017-03-29,9.545,9.651,9.514,9.573,2012493,0
2017-03-30,9.565,9.641,9.516,9.583,2077949,0
2017-03-31,9.583,9.689,9.583,9.641,1912028,0
2017-04-03,9.641,9.772,9.613,9.661,1524085,0
2017-04-04,9.661,9.883,9.623,9.805,2471284,0
2017-04-05,9.845,9.898,9.719,9.729,1516234,0
2017-04-06,9.729,9.903,9.681,9.845,1402406,0
2017-04-07,9.835,9.979,9.825,9.845,1937537,0
2017-04-10,9.873,9.941,9.835,9.921,818447,0
2017-04-11,9.931,10.077,9.921,10.057,1817820,0
2017-04-12,10.067,10.197,10.019,10.095,1792873,0
2017-04-13,10.095,10.153,10.028,10.057,686473,0
2017-04-17,9.903,10.077,9.903,10.077,2339281,0
2017-04-18,10.077,10.125,10.037,10.125,1286231,0
2017-04-19,10.125,10.163,10.057,10.125,1605732,0
2017-04-20,10.105,10.153,10.047,10.144,964592,0
2017-04-21,10.144,10.153,10.086,10.125,1020986,0
2017-04-24,10.153,10.163,9.854,9.931,1110055,0
2017-04-25,9.941,10.019,9.912,9.912,1060376,0
2017-04-26,9.883,10.019,9.825,9.951,1323881,0
2017-04-27,9.97,10.086,9.912,9.941,1426651,0
2017-04-28,9.931,9.931,9.791,9.825,1350992,0
2017-05-01,9.845,9.961,9.777,9.931,950658,0
2017-05-02,9.931,9.96,9.787,9.835,728340,0
2017-05-03,9.835,9.835,9.555,9.593,1350507,0
2017-05-04,9.545,9.613,9.3323,9.4289,1512379,0
2017-05-05,9.4387,9.613,9.4387,9.613,1380068,0
2017-05-08,9.613,9.631,9.4289,9.525,1374020,0
2017-05-09,9.361,9.583,9.2551,9.2937,1463218,0
2017-05-10,9.284,9.4485,9.2357,9.2743,1773297,0
2017-05-11,9.2551,9.2647,9.0715,9.1971,1137014,0
2017-05-12,9.2261,9.2453,9.1198,9.1681,1052721,0
2017-05-15,9.1681,9.3323,9.1391,9.1584,1043239,0
2017-05-16,9.1777,9.2067,8.9362,9.0038,1284246,0
2017-05-17,8.9942,9.1198,8.9652,9.0715,1327281,0
2017-05-18,9.1005,9.2551,9.0715,9.1971,1314677,0
2017-05-19,8.6947,9.2551,8.6947,9.1681,1409169,0
2017-05-22,9.1681,9.2647,9.1198,9.1777,846492,0
2017-05-23,9.2067,9.3372,9.1971,9.2357,869758,0
2017-05-24,9.2357,9.3905,9.2357,9.313,813295,0
2017-05-25,9.4387,9.4869,9.3323,9.3807,953537,0
2017-05-26,9.3709,9.4004,9.2743,9.313,703837,0
2017-05-30,9.3323,9.3709,9.284,9.2937,730817,0
2017-05-31,9.313,9.3424,9.2115,9.284,1543009,0
2017-06-01,9.3033,9.4672,9.2357,9.4387,1178382,0
2017-06-02,9.4967,9.651,9.4869,9.545,1136889,0
2017-06-05,9.4967,9.516,9.3512,9.3512,1022158,0
2017-06-06,9.3709,9.4869,9.2889,9.4092,1202194,0
2017-06-07,9.4289,9.545,9.4092,9.477,962037,0
2017-06-08,9.477,9.555,9.3905,9.4967,689216,0
2017-06-09,9.4672,9.689,9.4584,9.671,1263107,0
2017-06-12,9.651,9.921,9.651,9.883,1628732,0
2017-06-13,9.854,9.951,9.797,9.893,1214444,0
2017-06-14,9.979,10.009,9.767,9.767,1841833,0
2017-06-15,9.689,9.961,9.681,9.912,824155,0
2017-06-16,9.805,9.903,9.797,9.883,2065624,0
2017-06-19,9.854,9.893,9.825,9.854,934213,0
2017-06-20,9.854,9.883,9.689,9.777,783484,0
2017-06-21,9.767,9.805,9.631,9.699,908865,0
2017-06-22,9.671,9.747,9.641,9.729,840216,0
2017-06-23,9.699,9.883,9.699,9.835,2661581,0
2017-06-26,9.883,9.979,9.845,9.941,896961,0
2017-06-27,9.903,9.941,9.805,9.825,1408688,0
2017-06-28,9.879,10.007,9.81,9.918,1047694,0
2017-06-29,9.85,9.879,9.692,9.712,741214,0
