Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,14.24,14.28,13.86,14.2,494633,0
2017-01-04,14.23,15.35,14.195,14.83,743244,0
2017-01-05,14.84,15.0516,14.13,14.42,550541,0
2017-01-06,14.43,14.87,14.36,14.61,448051,0
2017-01-09,14.61,14.84,14.28,14.57,613882,0
2017-01-10,14.69,14.84,14.15,14.81,454094,0
2017-01-11,14.74,14.77,13.55,14.33,1193503,0
2017-01-12,14.2,14.43,14,14.31,555165,0
2017-01-13,14.41,14.99,14.38,14.75,792977,0
2017-01-17,14.76,14.76,14.11,14.23,586953,0
2017-01-18,14.29,14.49,13.99,14.3,437290,0
2017-01-19,14.29,14.29,13.93,14.03,413215,0
2017-01-20,13.96,14.1125,13.83,13.84,434008,0
2017-01-23,13.86,14.08,13.71,13.88,477618,0
2017-01-24,13.91,14.19,13.6,14.14,634280,0
2017-01-25,14.24,14.25,14.05,14.16,298997,0
2017-01-26,14.16,14.31,13.81,13.89,455000,0
2017-01-27,13.9,13.9999,13.66,13.9,396189,0
2017-01-30,13.89,13.9373,13.41,13.68,452753,0
2017-01-31,13.57,14.36,13.54,14.33,600385,0
2017-02-01,14.37,14.37,13.96,14.15,468857,0
2017-02-02,14.1,14.34,13.89,14.29,475412,0
2017-02-03,14.36,14.42,14,14.38,497671,0
2017-02-06,14.37,14.71,14.15,14.4,562664,0
2017-02-07,14.46,14.609,14.14,14.34,480731,0
2017-02-08,14.24,14.57,14.06,14.44,801898,0
2017-02-09,14.44,15.09,14.44,14.99,1031095,0
2017-02-10,15.05,15.87,14.9,15.26,985416,0
2017-02-13,15.34,15.34,14.2699,14.49,1065695,0
2017-02-14,14.5,14.98,14.35,14.94,560255,0
2017-02-15,14.95,15.46,14.765,15.45,893158,0
2017-02-16,15.44,15.61,15.035,15.55,663079,0
2017-02-17,15.5,16.05,15.47,15.74,723280,0
2017-02-21,15.78,16.05,15.04,15.21,1031262,0
2017-02-22,15.17,15.37,15.01,15.29,515270,0
2017-02-23,15.37,15.59,15.07,15.37,425581,0
2017-02-24,15.33,15.81,15.178,15.72,517943,0
2017-02-27,15.8,16.5302,15.7763,16.43,1124065,0
2017-02-28,16.35,16.46,15.78,16.04,1036945,0
2017-03-01,16.57,16.63,15.35,15.68,2339918,0
2017-03-02,15.71,16.03,15.01,15.07,1586434,0
2017-03-03,15.9,16.19,15,16.09,1910010,0
2017-03-06,16.09,16.73,15.97,16.43,1256222,0
2017-03-07,16.57,16.87,16.02,16.08,1171822,0
2017-03-08,16.19,17.48,16.19,16.73,1413726,0
2017-03-09,16.67,17.0099,16.33,16.54,615180,0
2017-03-10,16.65,16.7824,15.76,15.87,1335522,0
2017-03-13,15.852,15.94,15.45,15.51,1348194,0
2017-03-14,15.44,15.62,15.1304,15.28,880009,0
2017-03-15,15.26,15.47,15.17,15.41,614849,0
2017-03-16,15.34,15.541,15,15.06,737660,0
2017-03-17,15.05,15.31,14.85,14.92,677259,0
2017-03-20,14.83,15.12,14.5,14.84,521992,0
2017-03-21,14.87,14.97,13.97,13.98,1069864,0
2017-03-22,14.04,14.3,13.8501,14.29,877140,0
2017-03-23,14.25,14.51,14.13,14.22,518072,0
2017-03-24,14.25,14.51,14.13,14.2,877077,0
2017-03-27,13.98,14.46,13.98,14.4,1063665,0
2017-03-28,14.41,14.56,14.02,14.16,726405,0
2017-03-29,14.17,14.85,14.1,14.69,1157121,0
2017-03-30,14.65,14.71,14.24,14.39,816885,0
2017-03-31,14.33,14.52,14.21,14.34,515586,0
2017-04-03,14.37,14.59,14.09,14.19,794035,0
2017-04-04,14.2,14.4,14.14,14.26,575063,0
2017-04-05,14.32,14.4,13.785,13.89,835299,0
2017-04-06,13.94,14.02,13.57,13.7,1406345,0
2017-04-07,13.67,13.94,13.48,13.93,948365,0
2017-04-10,13.98,14.38,13.905,14.22,1012609,0
2017-04-11,14.2,14.48,14.2,14.47,643747,0
2017-04-12,14.5,14.86,14.43,14.75,796140,0
2017-04-13,14.75,15.1,14.75,15.08,848122,0
2017-04-17,15.14,15.2104,14.68,14.84,531895,0
2017-04-18,14.82,15.04,14.5,14.9,799561,0
2017-04-19,14.98,15.02,14.81,14.93,724830,0
2017-04-20,15,15.04,14.73,15,448033,0
2017-04-21,15.01,15.05,14.675,14.97,433533,0
2017-04-24,15.1,15.18,14.96,15.11,546103,0
2017-04-25,15.2,15.49,15.13,15.45,711949,0
2017-04-26,15.48,15.78,15.3468,15.67,855701,0
2017-04-27,15.69,15.75,15.57,15.61,464551,0
2017-04-28,15.68,15.74,15.46,15.61,499435,0
2017-05-01,15.61,15.69,15.48,15.66,436649,0
2017-05-02,15.75,15.79,15.57,15.69,751343,0
2017-05-03,15.79,16.04,15.43,16.04,804984,0
2017-05-04,16.05,16.18,15.75,15.86,495305,0
2017-05-05,15.85,16.08,15.551,16.01,568345,0
2017-05-08,15.98,16,15.6,15.67,468086,0
2017-05-09,15.7,15.89,15.6341,15.88,525244,0
2017-05-10,15.82,15.99,15.745,15.77,411563,0
2017-05-11,15.75,15.979,15.53,15.91,780101,0
2017-05-12,15.87,16.09,15.52,15.92,441313,0
2017-05-15,15.84,16.05,15.7,15.74,605027,0
2017-05-16,15.74,15.77,15.4117,15.74,909748,0
2017-05-17,15.53,15.695,14.89,14.89,613813,0
2017-05-18,14.84,15.14,14.28,14.4,1484991,0
2017-05-19,14.45,14.81,14.41,14.5,585047,0
2017-05-22,14.48,14.75,14.3,14.5,746015,0
2017-05-23,14.55,14.56,14.17,14.37,680060,0
2017-05-24,14.36,14.575,14.24,14.52,737364,0
2017-05-25,14.62,14.69,14.38,14.56,460796,0
2017-05-26,14.48,14.54,14.305,14.41,861836,0
2017-05-30,14.4,14.48,13.615,13.69,1218805,0
2017-05-31,13.77,13.86,13.5,13.85,1034198,0
2017-06-01,13.86,14.21,13.86,14.18,739127,0
2017-06-02,14.25,15.48,14.13,15.115,1159284,0
2017-06-05,15.03,15.16,14.67,14.87,833961,0
2017-06-06,14.82,15.06,14.72,14.94,469309,0
2017-06-07,14.95,15.495,14.89,15.2,1158707,0
2017-06-08,15.2,15.56,15.11,15.36,967002,0
2017-06-09,15.5,16.63,15.5,16.4,4870184,0
2017-06-12,16.38,17.25,16.22,16.6,1893540,0
2017-06-13,16.71,16.95,16.4416,16.83,862775,0
2017-06-14,16.8,17.1,16.78,16.94,901099,0
2017-06-15,16.87,17.1,16.65,16.91,751506,0
2017-06-16,16.8,17.09,16.565,16.78,1352806,0
2017-06-19,16.77,17.05,16.73,17.04,651356,0
2017-06-20,17,17.29,16.86,17,720103,0
2017-06-21,17.07,17.65,17,17.63,879856,0
2017-06-22,17.62,17.7,17.01,17.3,896361,0
2017-06-23,17.26,17.97,17.15,17.88,859649,0
2017-06-26,17.93,18,17.6,17.63,429124,0
2017-06-27,17.93,17.93,16.94,16.98,467438,0
2017-06-28,17.04,17.17,16.7,16.77,839416,0
2017-06-29,16.72,16.72,16.21,16.57,825339,0
2017-06-30,16.6,16.64,16.26,16.45,415253,0
2017-07-03,16.54,16.69,16.41,16.52,228361,0
2017-07-05,16.47,16.61,16.31,16.56,602688,0
2017-07-06,16.41,16.49,15.99,16.12,747028,0
2017-07-07,16.17,16.51,16.01,16.15,655606,0
2017-07-10,16.11,16.14,15.7644,15.96,440370,0
2017-07-11,15.96,16.02,15.74,15.85,485594,0
2017-07-12,15.92,15.96,15.76,15.88,368596,0
2017-07-13,15.87,16.2,15.45,16.11,625776,0
2017-07-14,16.05,16.405,15.95,15.98,452572,0
2017-07-17,15.98,16.16,15.785,15.92,432807,0
2017-07-18,15.82,16.07,15.73,15.79,465952,0
2017-07-19,15.86,16.27,15.86,16.25,423296,0
2017-07-20,16.27,17.02,16.27,16.84,756312,0
2017-07-21,16.98,17.29,16.48,16.7,705264,0
2017-07-24,16.68,17.1,16.505,17.08,439543,0
2017-07-25,17.15,17.24,16.74,16.79,450436,0
2017-07-26,16.84,17.07,16.79,16.87,419430,0
2017-07-27,16.91,16.91,16.3,16.37,415168,0
2017-07-28,16.31,16.49,16.17,16.38,372096,0
2017-07-31,16.39,16.45,16.13,16.3,734731,0
2017-08-01,16.74,17.03,15.6,16,1266789,0
2017-08-02,15.9,15.92,15.46,15.58,805094,0
2017-08-03,15.55,15.68,15.36,15.5,457075,0
2017-08-04,15.45,15.74,15.4,15.69,431026,0
2017-08-07,15.78,15.82,15.26,15.32,590408,0
2017-08-08,15.3,15.33,14.68,15.06,684671,0
2017-08-09,14.92,15.01,14.79,14.9,396728,0
2017-08-10,14.81,14.84,14.28,14.51,744898,0
2017-08-11,14.55,14.9,14.49,14.62,630283,0
2017-08-14,14.74,14.94,14.63,14.89,427435,0
2017-08-15,14.86,15,14.26,14.61,583483,0
2017-08-16,14.57,14.73,14.39,14.51,502603,0
2017-08-17,14.47,14.79,14.33,14.35,599638,0
2017-08-18,14.26,14.29,13.89,14,555659,0
2017-08-21,13.98,14.125,13.8,14.06,386414,0
2017-08-22,14.08,14.28,13.99,14.22,468920,0
2017-08-23,14.1,14.47,14.09,14.12,356936,0
2017-08-24,14.17,14.43,14.08,14.41,434024,0
2017-08-25,14.45,14.51,14.03,14.21,442167,0
2017-08-28,14.32,14.5,13.89,14.16,648892,0
2017-08-29,14.06,14.5,14.02,14.28,460779,0
2017-08-30,14.3,14.42,14.211,14.27,537350,0
2017-08-31,14.35,15.16,14.33,15.14,844395,0
2017-09-01,15.14,15.14,14.46,14.48,613535,0
2017-09-05,14.41,14.53,14.17,14.45,400164,0
