Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,26.568,27.375,26.501,27.345,5290691,0
2017-01-04,27.442,28.229,27.375,28.094,4771426,0
2017-01-05,27.903,29.765,27.788,29.717,9979672,0
2017-01-06,29.755,29.861,29.198,29.256,5946160,0
2017-01-09,29.17,29.573,29.036,29.303,5165334,0
2017-01-10,29.285,29.285,28.7,28.719,3990191,0
2017-01-11,28.747,28.862,28.109,28.334,3703743,0
2017-01-12,28.181,28.565,27.821,28.411,3243583,0
2017-01-13,28.44,28.59,28.239,28.344,2336456,0
2017-01-17,28.613,29.976,28.431,29.679,5359036,0
2017-01-18,29.765,29.956,29.098,29.256,3707340,0
2017-01-19,29.333,29.52,28.852,28.872,2532412,0
2017-01-20,28.997,29.246,28.695,28.825,3399076,0
2017-01-23,28.892,29.295,28.507,29.035,2654284,0
2017-01-24,29.055,29.986,29.045,29.948,3694648,0
2017-01-25,29.986,30.342,29.976,30.302,3477613,0
2017-01-26,26.183,26.731,24.763,24.954,37277086,0
2017-01-27,25.012,25.819,24.916,25.434,11435195,0
2017-01-30,25.645,25.645,24.801,25.272,7204455,0
2017-01-31,25.242,25.282,24.936,25.167,10531612,0
2017-02-01,25.234,25.234,24.34,24.494,7641445,0
2017-02-02,24.571,24.839,24.171,24.743,5797529,0
2017-02-03,24.821,24.907,24.522,24.791,5683252,0
2017-02-06,25.137,25.242,24.878,24.888,5500192,0
2017-02-07,24.983,25.732,24.801,24.848,8595015,0
2017-02-08,24.907,25.108,24.71,24.916,5645986,0
2017-02-09,24.964,25.184,24.753,24.801,8121427,0
2017-02-10,24.926,24.954,24.541,24.706,6252570,0
2017-02-13,24.868,25.012,24.532,24.878,5678567,0
2017-02-14,25.609,25.628,24.888,25.034,6506417,0
2017-02-15,24.975,25.423,24.955,25.336,5547810,0
2017-02-16,25.336,25.463,24.927,25.014,4933473,0
2017-02-17,25.014,25.482,24.917,25.433,7973519,0
2017-02-21,25.433,25.628,24.995,25.131,4367322,0
2017-02-22,25.219,25.219,24.761,25.112,5750177,0
2017-02-23,25.189,25.199,24.82,24.878,5067079,0
2017-02-24,24.82,25.156,24.654,25.102,3448388,0
2017-02-27,25.005,25.453,24.83,25.336,5315160,0
2017-02-28,25.336,25.375,25.014,25.072,5452430,0
2017-03-01,25.268,25.355,24.8,24.897,5407130,0
2017-03-02,24.888,25.024,24.693,24.713,4103486,0
2017-03-03,24.722,24.838,24.546,24.8,3388237,0
2017-03-06,24.761,24.888,24.634,24.82,2805873,0
2017-03-07,24.751,24.838,24.357,24.381,3890054,0
2017-03-08,24.41,24.624,24.352,24.488,2125143,0
2017-03-09,24.517,24.596,24.283,24.556,3130555,0
2017-03-10,24.761,24.917,24.586,24.888,4285906,0
2017-03-13,24.946,24.975,24.663,24.81,4155338,0
2017-03-14,24.683,24.8,24.469,24.537,2978034,0
2017-03-15,24.624,24.995,24.362,24.937,3209480,0
2017-03-16,24.937,25.024,24.439,24.722,4120636,0
2017-03-17,24.907,25.121,24.79,25.005,5995837,0
2017-03-20,24.995,25.009,24.546,24.663,4106365,0
2017-03-21,24.83,24.888,24.235,24.322,9015048,0
2017-03-22,24.322,24.449,23.971,24.42,6260550,0
2017-03-23,24.4,24.546,24.312,24.439,3325779,0
2017-03-24,24.469,24.619,24.322,24.517,2810356,0
2017-03-27,24.391,24.566,24.088,24.517,3911434,0
2017-03-28,24.41,24.947,24.41,24.79,5059062,0
2017-03-29,24.731,24.8,24.424,24.713,4298659,0
2017-03-30,24.703,24.848,24.576,24.751,3712948,0
2017-03-31,24.78,25.112,24.761,24.955,3033771,0
2017-04-03,24.995,25.175,24.795,24.888,4323482,0
2017-04-04,24.82,24.947,24.235,24.332,3810738,0
2017-04-05,24.362,24.897,24.322,24.498,3696742,0
2017-04-06,24.517,24.868,24.459,24.683,3101208,0
2017-04-07,24.703,24.741,24.24,24.283,4008844,0
2017-04-10,24.283,24.761,24.283,24.741,2845137,0
2017-04-11,24.741,25.082,24.556,25.072,2741710,0
2017-04-12,25.024,25.306,24.965,25.072,3904893,0
2017-04-13,25.082,25.121,24.371,24.371,4104457,0
2017-04-17,24.449,24.619,24.312,24.596,3127314,0
2017-04-18,24.488,24.703,24.429,24.596,2603615,0
2017-04-19,24.722,24.917,24.391,24.464,3766387,0
2017-04-20,24.586,24.771,24.4,24.566,5369355,0
2017-04-21,23.144,23.465,21.224,21.233,37680838,0
2017-04-24,21.467,21.487,20.999,21.049,13372795,0
2017-04-25,21.058,21.642,21.049,21.565,11428570,0
2017-04-26,21.535,22.052,21.511,21.818,7617452,0
2017-04-27,21.867,22.023,21.701,21.993,5679663,0
2017-04-28,21.876,22.033,21.633,21.847,5327895,0
2017-05-01,21.935,21.935,21.418,21.428,6323668,0
2017-05-02,21.438,21.575,21.341,21.497,5868386,0
