Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,44.084,44.246,43.797,44.221,6009358,0
2017-01-04,44.221,44.566,44.044,44.171,4725411,0
2017-01-05,44.141,44.497,44.024,44.368,6509332,0
2017-01-06,44.448,44.734,43.974,44.428,5095554,0
2017-01-09,44.645,44.645,43.994,44.064,6342582,0
2017-01-10,43.934,44.131,43.491,43.551,6250297,0
2017-01-11,43.501,44.65,43.491,44.438,7853200,0
2017-01-12,44.368,44.547,44.116,44.261,4071173,0
2017-01-13,44.339,44.537,43.787,43.974,4685882,0
2017-01-17,43.934,44.271,43.777,44.271,4813784,0
2017-01-18,44.368,44.822,44.271,44.398,4908343,0
2017-01-19,44.378,44.398,43.777,43.964,4741841,0
2017-01-20,44.3,44.812,44.064,44.566,7673077,0
2017-01-23,44.428,44.562,43.895,44.231,6212536,0
2017-01-24,44.211,44.529,44.044,44.3,6954229,0
2017-01-25,44.517,44.734,44.291,44.458,4325784,0
2017-01-26,44.458,44.458,43.954,43.984,4676091,0
2017-01-27,44.054,44.131,43.531,43.58,6336209,0
2017-01-30,43.56,44.261,43.413,43.807,6259951,0
2017-01-31,43.797,43.925,43.304,43.658,9468598,0
2017-02-01,43.56,43.726,43.037,43.274,5783366,0
2017-02-02,43.264,43.728,43.264,43.393,5215984,0
2017-02-03,43.698,43.905,43.383,43.738,5313269,0
2017-02-06,43.728,43.862,43.294,43.393,4133026,0
2017-02-07,43.423,43.521,43.214,43.314,6963560,0
2017-02-08,42.978,44.595,42.978,43.847,13374168,0
2017-02-09,43.974,44.575,43.867,44.074,10062254,0
2017-02-10,44.171,44.664,43.984,44.358,9590424,0
2017-02-13,44.438,44.537,43.777,44.398,6211633,0
2017-02-14,44.378,44.537,44.094,44.358,5431386,0
2017-02-15,44.161,44.842,43.877,44.734,5643342,0
2017-02-16,44.595,44.655,42.412,42.594,20416034,0
2017-02-17,41.273,42.307,40.72,41.913,27940378,0
2017-02-21,43.64,44.408,43.324,44.339,16334366,0
2017-02-22,43.984,44.221,43.708,44.024,7957820,0
2017-02-23,44.064,44.487,43.551,44.261,6208821,0
2017-02-24,44.348,44.754,44.231,44.744,5519050,0
2017-02-27,44.112,44.121,43.117,43.157,8852054,0
2017-02-28,43.234,43.461,43.037,43.304,7832934,0
2017-03-01,43.541,43.777,43.314,43.423,10758679,0
2017-03-02,43.61,43.61,43.107,43.167,6994713,0
2017-03-03,43.234,43.284,42.855,43.117,5723012,0
2017-03-06,42.811,43.224,42.733,43.047,4852711,0
2017-03-07,42.87,43.087,42.574,42.624,7351136,0
2017-03-08,42.614,42.821,42.476,42.524,5525105,0
2017-03-09,42.663,43.314,42.506,43.187,7356422,0
2017-03-10,43.383,43.403,43.107,43.234,7097811,0
2017-03-13,43.204,43.62,42.94,43.59,5895078,0
2017-03-14,43.511,43.645,43.204,43.244,9981477,0
2017-03-15,43.501,44.33,43.393,43.925,8053443,0
2017-03-16,43.925,44.271,43.698,44.251,6980498,0
2017-03-17,44.428,44.482,44.034,44.121,13033608,0
2017-03-20,44.014,44.084,43.658,43.817,6897871,0
2017-03-21,43.886,43.915,43.441,43.481,6474759,0
2017-03-22,43.57,43.718,43.151,43.383,5703527,0
2017-03-23,43.284,43.658,43.187,43.403,4620926,0
2017-03-24,43.491,43.491,42.988,43.187,5830717,0
2017-03-27,43.027,43.244,42.85,42.92,7091012,0
2017-03-28,42.791,43.314,42.457,43.087,6045107,0
2017-03-29,43.147,43.433,42.909,43.325,5141579,0
2017-03-30,43.225,43.235,42.79,42.859,5589865,0
2017-03-31,42.76,43.082,42.661,42.671,5758158,0
2017-04-03,42.81,42.879,42.498,42.632,12963488,0
2017-04-04,43.215,43.305,42.79,43.037,9478985,0
2017-04-05,43.147,43.978,43.037,43.582,7724907,0
2017-04-06,43.513,43.87,43.235,43.681,6549981,0
2017-04-07,43.701,43.948,43.513,43.75,5875156,0
2017-04-10,43.8,44.126,43.731,43.968,6410578,0
2017-04-11,43.86,44.068,43.513,43.632,5537876,0
2017-04-12,43.414,44.038,43.365,43.958,4717399,0
2017-04-13,44.058,44.116,43.612,43.612,3865471,0
2017-04-17,43.79,43.86,43.553,43.711,4708369,0
2017-04-18,43.77,44.464,43.701,44.305,6391714,0
2017-04-19,44.364,44.493,44.126,44.186,4558684,0
2017-04-20,44.286,44.81,44.028,44.543,4810203,0
2017-04-21,44.543,44.622,44.384,44.503,5821448,0
2017-04-24,44.81,45.211,44.691,44.949,8322242,0
2017-04-25,44.979,45.226,44.949,45.067,6320812,0
2017-04-26,45.127,45.216,44.642,44.681,5517936,0
2017-04-27,44.721,44.949,44.498,44.563,5096549,0
2017-04-28,44.592,44.661,44.335,44.592,4137184,0
2017-05-01,44.602,44.681,43.592,43.632,9391815,0
2017-05-02,43.79,43.81,43.037,43.315,13215304,0
