Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,1.44,1.47,1.4,1.4,120406,0
2017-01-04,1.4,1.48,1.4,1.45,226455,0
2017-01-05,1.46,1.55,1.44,1.46,312464,0
2017-01-06,1.47,1.53,1.47,1.5,159815,0
2017-01-09,1.5,1.53,1.46,1.5,142247,0
2017-01-10,1.5,1.53,1.49,1.5,110659,0
2017-01-11,1.51,1.52,1.45,1.47,122221,0
2017-01-12,1.5,1.5,1.4478,1.47,66136,0
2017-01-13,1.46,1.51,1.45,1.51,190294,0
2017-01-17,1.52,1.56,1.49,1.54,269177,0
2017-01-18,1.56,1.56,1.53,1.53,182383,0
2017-01-19,1.54,1.55,1.53,1.55,106150,0
2017-01-20,1.56,1.56,1.53,1.54,141290,0
2017-01-23,1.5399,1.54,1.45,1.51,318335,0
2017-01-24,1.51,1.53,1.47,1.52,172996,0
2017-01-25,1.52,1.54,1.5,1.525,137258,0
2017-01-26,1.53,1.55,1.51,1.54,178994,0
2017-01-27,1.54,1.56,1.53,1.55,182438,0
2017-01-30,1.56,1.56,1.48,1.49,56600,0
2017-01-31,1.49,1.52,1.4785,1.5,152425,0
2017-02-01,1.5,1.5209,1.49,1.52,123338,0
2017-02-02,1.52,1.53,1.45,1.51,150456,0
2017-02-03,1.51,1.57,1.49,1.52,644837,0
2017-02-06,1.51,1.55,1.5,1.55,143300,0
2017-02-07,1.55,1.56,1.53,1.55,196177,0
2017-02-08,1.59,1.73,1.59,1.6099,1231872,0
2017-02-09,1.62,1.735,1.61,1.71,574506,0
2017-02-10,1.73,1.8,1.72,1.78,603307,0
2017-02-13,1.76,1.83,1.73,1.77,528519,0
2017-02-14,1.76,1.78,1.6701,1.73,253836,0
2017-02-15,1.72,1.75,1.69,1.74,254842,0
2017-02-16,1.74,1.74,1.69,1.7289,195658,0
2017-02-17,1.72,1.74,1.69,1.74,155992,0
2017-02-21,1.76,1.76,1.71,1.73,179812,0
2017-02-22,1.71,1.73,1.7,1.7,100351,0
2017-02-23,1.7,1.7,1.65,1.69,162184,0
2017-02-24,1.69,1.72,1.65,1.69,197885,0
2017-02-27,1.72,1.72,1.68,1.71,309486,0
2017-02-28,1.72,1.72,1.66,1.72,142286,0
2017-03-01,1.69,1.7,1.68,1.68,191051,0
2017-03-02,1.68,1.71,1.68,1.7,91872,0
2017-03-03,1.68,1.715,1.68,1.7,156652,0
2017-03-06,1.7,1.76,1.6901,1.76,297800,0
2017-03-07,1.78,1.78,1.682,1.71,219013,0
2017-03-08,1.71,1.77,1.71,1.76,172251,0
2017-03-09,1.77,1.88,1.71,1.74,553101,0
2017-03-10,1.76,1.769,1.695,1.71,137948,0
2017-03-13,1.69,1.72,1.61,1.67,339286,0
2017-03-14,1.66,1.7,1.61,1.63,119510,0
2017-03-15,1.63,1.71,1.6,1.65,148850,0
2017-03-16,1.68,1.7,1.63,1.65,41418,0
2017-03-17,1.65,1.65,1.61,1.63,82462,0
2017-03-20,1.62,1.65,1.6,1.61,97783,0
2017-03-21,1.62,1.639,1.54,1.58,229790,0
2017-03-22,1.57,1.63,1.505,1.54,209000,0
2017-03-23,1.54,1.6,1.51,1.57,105364,0
2017-03-24,1.55,1.61,1.53,1.54,155840,0
2017-03-27,1.54,1.62,1.52,1.58,195614,0
2017-03-28,1.59,1.6,1.58,1.58,46301,0
2017-03-29,1.57,1.62,1.57,1.6,190028,0
2017-03-30,1.59,1.64,1.59,1.62,170420,0
2017-03-31,1.63,1.63,1.59,1.62,97771,0
2017-04-03,1.62,1.62,1.59,1.59,156215,0
2017-04-04,1.58,1.63,1.58,1.6,118317,0
2017-04-05,1.61,1.65,1.58,1.58,106652,0
2017-04-06,1.59,1.6,1.48,1.53,282411,0
2017-04-07,1.54,1.6,1.5,1.59,164209,0
2017-04-10,1.6,1.63,1.57,1.6,80737,0
2017-04-11,1.61,1.61,1.51,1.53,156147,0
2017-04-12,1.6,1.61,1.53,1.56,44385,0
2017-04-13,1.56,1.6,1.54,1.56,98221,0
2017-04-17,1.55,1.6,1.5,1.5,250757,0
2017-04-18,1.5,1.58,1.5,1.52,93569,0
2017-04-19,1.51,1.57,1.51,1.54,89360,0
2017-04-20,1.53,1.62,1.53,1.6,117597,0
2017-04-21,1.61,1.64,1.57,1.57,51147,0
2017-04-24,1.55,1.62,1.55,1.56,37178,0
2017-04-25,1.57,1.62,1.55,1.56,90102,0
2017-04-26,1.56,1.61,1.52,1.55,91927,0
2017-04-27,1.54,1.6,1.52,1.59,58048,0
2017-04-28,1.6,1.6,1.57,1.59,32545,0
2017-05-01,1.6,1.62,1.57,1.61,32974,0
2017-05-02,1.61,1.64,1.58,1.61,83157,0
2017-05-03,1.6,1.6,1.57,1.6,65531,0
2017-05-04,1.61,1.6299,1.55,1.56,146461,0
2017-05-05,1.55,1.612,1.55,1.6,74384,0
2017-05-08,1.59,1.6,1.56,1.58,157069,0
2017-05-09,1.64,1.66,1.58,1.635,284763,0
2017-05-10,1.66,1.67,1.62,1.67,79787,0
2017-05-11,1.69,1.69,1.6417,1.67,186911,0
2017-05-12,1.65,1.68,1.63,1.64,147251,0
2017-05-15,1.67,1.69,1.63,1.65,122710,0
2017-05-16,1.66,1.7,1.65,1.66,116189,0
2017-05-17,1.67,1.68,1.64,1.64,77073,0
2017-05-18,1.65,1.67,1.63,1.64,153299,0
2017-05-19,1.64,1.65,1.58,1.62,136083,0
2017-05-22,1.62,1.68,1.62,1.64,127581,0
2017-05-23,1.65,1.67,1.63,1.65,52115,0
2017-05-24,1.66,1.72,1.63,1.66,119628,0
2017-05-25,1.79,1.985,1.77,1.97,1359953,0
2017-05-26,1.95,2.18,1.95,2.12,1198792,0
2017-05-30,2.2,2.25,2.08,2.13,870070,0
2017-05-31,2.31,2.35,2.13,2.25,1844289,0
2017-06-01,2.24,2.24,2.05,2.07,719533,0
2017-06-02,2.08,2.1287,1.9201,2.04,613997,0
2017-06-05,2.1,2.1183,1.97,2.04,468857,0
2017-06-06,2.03,2.04,1.95,1.96,297246,0
2017-06-07,1.97,2,1.95,1.98,364479,0
2017-06-08,1.99,1.99,1.77,1.84,674702,0
2017-06-09,1.85,1.86,1.77,1.82,295142,0
2017-06-12,1.87,1.92,1.8,1.85,474467,0
2017-06-13,1.89,2.09,1.86,1.99,657033,0
2017-06-14,1.97,2.14,1.97,2.1,668610,0
2017-06-15,2.11,2.11,2,2.05,328351,0
2017-06-16,2.05,2.0501,1.99,2.01,127724,0
2017-06-19,2,2.09,1.96,2.06,247096,0
2017-06-20,2.1,2.1,2.02,2.09,213905,0
2017-06-21,2.1,2.15,2.08,2.13,280451,0
2017-06-22,2.1214,2.17,2.1,2.16,244895,0
2017-06-23,2.17,2.3,2.14,2.3,636908,0
2017-06-26,2.27,2.35,2.1,2.34,836358,0
2017-06-27,2.31,2.34,2.23,2.34,360521,0
2017-06-28,2.34,2.47,2.31,2.44,462799,0
2017-06-29,2.45,2.5,2.31,2.4,507269,0
2017-06-30,2.41,2.45,2.33,2.38,203798,0
2017-07-03,2.4,2.43,2.34,2.39,132158,0
2017-07-05,2.38,2.56,2.34,2.52,555318,0
