Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,6.9123,6.9123,6.8261,6.9025,111951,0
2017-01-04,6.8928,6.9412,6.8928,6.9123,27940,0
2017-01-05,6.9314,6.9989,6.9217,6.97,57413,0
2017-01-06,6.9412,6.9604,6.9217,6.9412,14917,0
2017-01-09,6.97,7.0134,6.97,6.9989,27151,0
2017-01-10,7.0374,7.0471,7.0084,7.0374,35683,0
2017-01-11,7.0182,7.0279,6.9604,6.9989,69118,0
2017-01-12,7.0182,7.0857,7.0084,7.0182,48666,0
2017-01-13,7.0084,7.0471,6.9961,7.0279,46004,0
2017-01-17,7.0182,7.0761,7.0182,7.0663,75272,0
2017-01-18,7.033,7.2264,7.033,7.1781,203896,0
2017-01-19,7.149,7.1589,7.091,7.091,42573,0
2017-01-20,7.091,7.1394,7.0525,7.091,84263,0
2017-01-23,7.0816,7.1879,7.0751,7.1879,20829,0
2017-01-24,7.1781,7.1781,7.1298,7.1298,39451,0
2017-01-25,7.1298,7.1409,7.0716,7.12,37897,0
2017-01-26,7.1106,7.1106,7.0621,7.0716,34517,0
2017-01-27,7.1007,7.1106,7.0716,7.1007,27363,0
2017-01-30,7.1106,7.1298,7.0857,7.091,44737,0
2017-01-31,7.1007,7.1685,7.1007,7.1394,36050,0
2017-02-01,7.1106,7.1589,7.1106,7.1106,30436,0
2017-02-02,7.1106,7.149,7.091,7.091,27190,0
2017-02-03,7.1394,7.1394,7.091,7.091,22501,0
2017-02-06,7.1007,7.12,7.0716,7.0716,62892,0
2017-02-07,7.0621,7.1106,7.0573,7.0621,55285,0
2017-02-08,7.0621,7.1106,7.0525,7.0621,48666,0
2017-02-09,7.0525,7.0726,7.0136,7.0136,45093,0
2017-02-10,6.9749,7.0621,6.9749,7.0234,63376,0
2017-02-13,7.0136,7.033,6.9944,6.9944,43918,0
2017-02-14,7.0426,7.0426,6.9653,6.9944,37036,0
2017-02-15,6.9609,6.9898,6.9511,6.9549,56288,0
2017-02-16,6.9511,6.9693,6.9511,6.9511,35804,0
2017-02-17,6.9609,6.9789,6.9219,6.9414,55909,0
2017-02-21,6.9414,6.9997,6.9317,6.9802,93695,0
2017-02-22,6.9997,7.0482,6.9899,7.0482,57397,0
2017-02-23,7.0384,7.0482,7.0142,7.0289,62524,0
2017-02-24,7.0675,7.1258,7.0627,7.1258,70898,0
2017-02-27,7.0774,7.1132,7.0675,7.0675,39689,0
2017-02-28,7.087,7.1238,7.0823,7.1162,26461,0
2017-03-01,7.0675,7.087,7.0482,7.087,30666,0
2017-03-02,7.0675,7.0855,7.0482,7.0482,54233,0
2017-03-03,7.0289,7.0675,6.9802,6.9997,54452,0
2017-03-06,7.0093,7.0384,6.9725,6.9899,47912,0
2017-03-07,6.9899,7.017,6.9511,6.9899,115104,0
2017-03-08,6.9414,6.9789,6.9414,6.9609,30899,0
2017-03-09,6.9414,6.9511,6.8833,6.8833,94495,0
2017-03-10,6.9124,6.9124,6.8734,6.8833,35355,0
2017-03-13,6.8928,6.9117,6.8638,6.9026,33001,0
2017-03-14,6.9026,6.9199,6.8928,6.9124,63881,0
2017-03-15,6.8928,6.9609,6.8928,6.9511,17868,0
2017-03-16,6.9511,6.9511,6.9026,6.9124,34482,0
2017-03-17,6.9124,6.9388,6.9124,6.9219,37402,0
2017-03-20,6.9124,6.9706,6.9124,6.9609,46496,0
2017-03-21,6.9414,6.9609,6.9414,6.9609,22732,0
2017-03-22,6.9857,6.9857,6.9564,6.9857,31770,0
2017-03-23,6.9857,6.9955,6.9466,6.9759,36322,0
2017-03-24,6.9857,6.9857,6.9564,6.9564,38668,0
2017-03-27,6.9955,7.0052,6.9662,6.9662,62188,0
2017-03-28,6.9759,6.9955,6.9662,6.9662,53510,0
2017-03-29,6.9955,7.0149,6.9857,6.9857,45508,0
2017-03-30,6.9955,7.0247,6.9857,6.9955,24223,0
2017-03-31,6.9955,7.0441,6.9954,7.0441,52148,0
2017-04-03,7.0052,7.0539,7.0052,7.0441,80894,0
2017-04-04,7.0636,7.0733,7.0344,7.0539,65931,0
2017-04-05,7.0539,7.0928,7.0247,7.0636,60732,0
2017-04-06,7.0832,7.1416,7.0733,7.122,81531,0
2017-04-07,7.1512,7.2097,7.1416,7.2097,61797,0
2017-04-10,7.1903,7.2293,7.1903,7.1903,57441,0
2017-04-11,7.2196,7.2293,7.2097,7.2293,23881,0
2017-04-12,7.2293,7.2293,7.1903,7.1903,16464,0
2017-04-13,7.2196,7.2293,7.1416,7.1611,73199,0
2017-04-17,7.1611,7.1805,7.1611,7.1805,12643,0
2017-04-18,7.1707,7.1903,7.1707,7.1805,16801,0
2017-04-19,7.1761,7.1957,7.1566,7.1761,45474,0
2017-04-20,7.1664,7.1664,7.1175,7.1467,28151,0
2017-04-21,7.1664,7.1859,7.1566,7.1859,22895,0
2017-04-24,7.1957,7.2544,7.1722,7.2544,90777,0
2017-04-25,7.225,7.226,7.1859,7.1957,23882,0
2017-04-26,7.2152,7.225,7.1859,7.225,27442,0
2017-04-27,7.2055,7.2642,7.1889,7.2348,37319,0
2017-04-28,7.2348,7.2642,7.2152,7.2628,16953,0
2017-05-01,7.2739,7.2837,7.2348,7.2642,31165,0
2017-05-02,7.2642,7.2642,7.2348,7.2544,20045,0
2017-05-03,7.2739,7.2837,7.2544,7.2837,35778,0
2017-05-04,7.2739,7.2837,7.2641,7.2837,25682,0
2017-05-05,7.2642,7.2935,7.2348,7.2446,41017,0
2017-05-08,7.2642,7.2642,7.2217,7.225,19845,0
2017-05-09,7.2152,7.2348,7.2055,7.2055,21038,0
2017-05-10,7.2152,7.2347,7.2018,7.2055,15148,0
2017-05-11,7.2152,7.2348,7.1957,7.2152,25598,0
2017-05-12,7.2152,7.2544,7.2152,7.2544,21507,0
2017-05-15,7.2446,7.2544,7.2348,7.2446,33671,0
2017-05-16,7.225,7.2494,7.2152,7.2152,39781,0
2017-05-17,7.2305,7.3089,7.2305,7.2991,65356,0
2017-05-18,7.2991,7.3189,7.2403,7.2403,64032,0
2017-05-19,7.2795,7.2894,7.25,7.2894,37414,0
2017-05-22,7.3089,7.3089,7.2599,7.2697,34100,0
2017-05-23,7.2991,7.3285,7.2895,7.3285,27533,0
2017-05-24,7.3285,7.3285,7.2991,7.3236,25561,0
2017-05-25,7.3089,7.3285,7.3089,7.3089,41811,0
2017-05-26,7.3482,7.3482,7.3089,7.3285,30382,0
2017-05-30,7.3285,7.3285,7.2991,7.2991,43125,0
2017-05-31,7.3089,7.3285,7.3089,7.3139,35579,0
2017-06-01,7.3384,7.3384,7.2894,7.2894,77334,0
2017-06-02,7.3384,7.3482,7.2795,7.2795,57134,0
2017-06-05,7.3089,7.3187,7.25,7.25,43890,0
2017-06-06,7.2795,7.3189,7.2795,7.2894,40768,0
2017-06-07,7.2991,7.3482,7.2894,7.3089,55382,0
2017-06-08,7.3189,7.3285,7.25,7.2599,68686,0
2017-06-09,7.2894,7.2894,7.2108,7.2389,38047,0
2017-06-12,7.2305,7.2599,7.2108,7.2403,74407,0
2017-06-13,7.25,7.2697,7.2207,7.2697,54330,0
2017-06-14,7.2894,7.2991,7.2894,7.2991,40057,0
2017-06-15,7.2697,7.2747,7.2205,7.2403,84403,0
2017-06-16,7.2697,7.2894,7.2206,7.2795,73617,0
2017-06-19,7.2795,7.2795,7.2403,7.2403,32012,0
2017-06-20,7.2894,7.2894,7.25,7.2795,34809,0
2017-06-21,7.3145,7.3145,7.275,7.3145,45175,0
2017-06-22,7.3046,7.334,7.275,7.275,37578,0
2017-06-23,7.2948,7.3046,7.2653,7.3046,35243,0
2017-06-26,7.2948,7.3046,7.275,7.275,35012,0
2017-06-27,7.2653,7.2874,7.2357,7.2653,52715,0
2017-06-28,7.2555,7.2849,7.2455,7.2849,43199,0
2017-06-29,7.2653,7.2653,7.216,7.2258,32853,0
2017-06-30,7.2258,7.2554,7.2062,7.2554,27113,0
2017-07-03,7.2653,7.2849,7.2457,7.2849,29775,0
2017-07-05,7.2849,7.3046,7.2455,7.2455,20491,0
2017-07-06,7.216,7.2455,7.216,7.216,40965,0
2017-07-07,7.216,7.2554,7.216,7.2357,19307,0
2017-07-10,7.2653,7.2948,7.2554,7.275,55789,0
2017-07-11,7.2653,7.2948,7.2632,7.2948,43188,0
2017-07-12,7.2948,7.3243,7.2948,7.3145,29485,0
2017-07-13,7.3341,7.3441,7.3243,7.3243,41538,0
2017-07-14,7.3735,7.3833,7.3243,7.3833,25442,0
2017-07-17,7.3833,7.3833,7.3145,7.3341,37967,0
2017-07-18,7.3441,7.3638,7.3341,7.3441,23411,0
2017-07-19,7.3638,7.3736,7.3341,7.3538,43742,0
2017-07-20,7.3835,7.3935,7.3538,7.3935,20967,0
2017-07-21,7.423,7.423,7.3638,7.3736,64284,0
2017-07-24,7.4033,7.4033,7.3144,7.3341,59679,0
2017-07-25,7.3736,7.3736,7.3242,7.3441,46350,0
2017-07-26,7.3441,7.3442,7.3242,7.3441,26416,0
2017-07-27,7.3736,7.3835,7.3548,7.3835,22954,0
2017-07-28,7.3935,7.4923,7.3835,7.4923,69385,0
2017-07-31,7.4725,7.5812,7.4595,7.5219,267148,0
2017-08-01,7.601,7.6205,7.5466,7.5614,72478,0
2017-08-02,7.6307,7.6307,7.5614,7.601,37030,0
2017-08-03,7.601,7.601,7.5614,7.5713,45960,0
2017-08-04,7.5614,7.5812,7.5021,7.5219,30383,0
2017-08-07,7.5219,7.5417,7.4923,7.5417,23467,0
2017-08-08,7.5318,7.5318,7.4626,7.4725,45652,0
2017-08-09,7.4823,7.5021,7.4132,7.4725,41193,0
2017-08-10,7.5021,7.5021,7.4033,7.4429,48257,0
2017-08-11,7.3144,7.4527,7.1957,7.423,177125,0
2017-08-14,7.423,7.4527,7.423,7.4527,22432,0
2017-08-15,7.4429,7.4527,7.4033,7.4132,28088,0
2017-08-16,7.423,7.4725,7.4132,7.4725,35229,0
2017-08-17,7.4725,7.4725,7.4429,7.4626,26401,0
2017-08-18,7.5021,7.5219,7.4429,7.4923,96676,0
2017-08-21,7.4823,7.5219,7.4686,7.4823,21154,0
2017-08-22,7.4823,7.4923,7.4329,7.4823,58401,0
2017-08-23,7.4823,7.4993,7.4526,7.4625,34047,0
2017-08-24,7.5022,7.5022,7.4427,7.4526,47386,0
2017-08-25,7.4923,7.4923,7.4129,7.4427,26368,0
2017-08-28,7.4427,7.4625,7.4129,7.4625,33579,0
2017-08-29,7.4625,7.5221,7.4572,7.5022,52731,0
2017-08-30,7.4923,7.5191,7.4129,7.4725,68195,0
2017-08-31,7.4725,7.4823,7.4229,7.4625,45022,0
2017-09-01,7.4725,7.4823,7.4327,7.4725,34117,0
2017-09-05,7.5022,7.5022,7.4327,7.4625,45408,0
2017-09-06,7.4526,7.4923,7.4526,7.4774,39444,0
2017-09-07,7.4923,7.5519,7.4725,7.5519,46589,0
2017-09-08,7.5519,7.5915,7.5221,7.5221,66917,0
2017-09-11,7.5617,7.6015,7.5419,7.6015,44131,0
2017-09-12,7.5915,7.6411,7.5915,7.6213,57440,0
2017-09-13,7.6411,7.6411,7.5816,7.6312,31704,0
2017-09-14,7.6411,7.661,7.6015,7.661,83822,0
