Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,3.74,3.85,3.6,3.85,60144,0
2017-01-04,3.79,3.79,3.68,3.75,6433,0
2017-01-05,3.8,3.8,3.7,3.75,901,0
2017-01-06,3.75,3.83,3.66,3.82,10101,0
2017-01-09,3.8201,3.83,3.8201,3.83,1200,0
2017-01-10,3.8,3.8,3.75,3.75,703,0
2017-01-11,3.7156,3.85,3.59,3.78,14411,0
2017-01-12,3.6984,3.85,3.64,3.7,21600,0
2017-01-13,3.76,3.89,3.7495,3.88,9632,0
2017-01-18,3.8899,3.9,3.83,3.89,1855,0
2017-01-19,3.8329,3.9,3.81,3.9,769,0
2017-01-23,3.83,3.9,3.83,3.9,214,0
2017-01-24,3.9,4.085,3.8996,4.08,3873,0
2017-01-25,4.08,4.08,4.08,4.08,108,0
2017-01-26,4.08,4.08,4.08,4.08,201,0
2017-01-27,4.07,4.21,4.0479,4.21,1539,0
2017-01-30,4.1547,4.2,4.1547,4.2,251,0
2017-01-31,4.21,4.22,4.21,4.22,613,0
2017-02-01,4.22,4.4,4.22,4.38,10640,0
2017-02-02,4.25,4.43,4.25,4.43,425,0
2017-02-03,4.4251,4.4251,4.4251,4.4251,213,0
2017-02-06,4.3436,4.44,4.3436,4.44,216,0
2017-02-07,4.49,4.5,4.42,4.42,3809,0
2017-02-08,4.2801,4.41,4.2801,4.35,2147,0
2017-02-09,4.27,4.27,4.25,4.25,1010,0
2017-02-10,4.4,4.49,4.331,4.39,6334,0
2017-02-13,4.271,4.45,4.271,4.3,5634,0
2017-02-14,4.45,4.45,4.27,4.27,2127,0
2017-02-15,4.475,4.475,4.227,4.3,401,0
2017-02-16,4.45,4.45,4.18,4.18,1601,0
2017-02-17,4.37,4.43,4.18,4.3,6691,0
2017-02-21,4.2576,4.35,4.02,4.35,7142,0
2017-02-22,4.36,4.36,4.1,4.3,7179,0
2017-02-23,4.2986,4.34,4.17,4.34,3226,0
2017-02-24,4.25,4.25,4.13,4.17,1344,0
2017-02-27,4.245,4.35,4.1,4.13,2098,0
