Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,12.909,13.008,12.909,13.006,73124,0
2017-01-04,12.996,13.082,12.996,13.082,44908,0
2017-01-05,13.11,13.128,13.044,13.128,97921,0
2017-01-06,13.082,13.11,13.044,13.062,29691,0
2017-01-09,13.138,13.167,13.101,13.101,52949,0
2017-01-10,13.091,13.167,13.091,13.138,47024,0
2017-01-11,13.191,13.211,13.114,13.151,51574,0
2017-01-12,13.161,13.23,13.161,13.181,40196,0
2017-01-13,13.181,13.211,13.171,13.181,29654,0
2017-01-17,13.249,13.278,13.151,13.161,58616,0
2017-01-18,13.161,13.191,13.161,13.191,55789,0
2017-01-19,13.151,13.191,13.114,13.114,57323,0
2017-01-20,13.142,13.142,13.009,13.058,183027,0
2017-01-23,13.058,13.105,13.028,13.028,118574,0
2017-01-24,13.038,13.085,13.038,13.058,111340,0
2017-01-25,13.048,13.085,13.028,13.048,85684,0
2017-01-26,13.066,13.085,13.048,13.085,22041,0
2017-01-27,13.085,13.142,13.058,13.142,48759,0
2017-01-30,13.151,13.171,13.114,13.151,30083,0
2017-01-31,13.142,13.161,13.114,13.151,45398,0
2017-02-01,13.123,13.181,13.105,13.114,59143,0
2017-02-02,13.142,13.161,13.085,13.105,36962,0
2017-02-03,13.171,13.221,13.105,13.114,67931,0
2017-02-06,13.123,13.171,13.114,13.114,44181,0
2017-02-07,13.114,13.306,13.114,13.201,126875,0
2017-02-08,13.191,13.287,13.171,13.202,55077,0
2017-02-09,13.191,13.191,13.151,13.181,59230,0
2017-02-10,13.161,13.171,13.114,13.161,47098,0
2017-02-13,13.175,13.175,13.08,13.099,78624,0
2017-02-14,13.089,13.117,13.07,13.099,71412,0
2017-02-15,13.041,13.108,13.041,13.07,79521,0
2017-02-16,13.07,13.089,13.051,13.051,45285,0
2017-02-17,13.099,13.099,13.022,13.022,51004,0
2017-02-21,13.022,13.08,13.022,13.051,32682,0
2017-02-22,13.08,13.089,13.002,13.041,91255,0
