Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,32.806,33.126,32.166,32.363,546615,0
2017-01-04,32.56,32.757,32.118,32.51,610360,0
2017-01-05,32.462,32.56,31.674,31.921,359119,0
2017-01-06,31.921,31.97,31.454,31.527,450668,0
2017-01-09,31.38,31.577,30.494,30.642,411920,0
2017-01-10,30.642,31.577,30.543,31.133,277992,0
2017-01-11,31.085,31.085,30.642,30.839,275931,0
2017-01-12,30.691,30.814,30.052,30.543,311319,0
2017-01-13,30.74,31.429,30.199,31.232,245216,0
2017-01-17,31.232,31.429,30.839,30.888,344299,0
2017-01-18,30.986,31.282,30.691,30.74,278500,0
2017-01-19,30.74,30.863,30.249,30.445,250158,0
2017-01-20,30.445,30.74,30.273,30.494,232985,0
2017-01-23,30.445,30.691,29.953,30.199,212727,0
2017-01-24,30.199,30.839,30.199,30.839,243469,0
2017-01-25,31.133,31.454,30.937,30.986,166646,0
2017-01-26,30.937,30.986,30.298,30.494,315061,0
2017-01-27,30.543,30.593,30.101,30.543,300108,0
2017-01-30,30.249,30.642,29.658,30.593,346795,0
2017-01-31,30.396,30.937,30.347,30.691,313950,0
2017-02-01,31.036,31.454,30.839,30.888,613381,0
2017-02-02,30.888,31.133,30.593,30.691,402789,0
2017-02-03,30.839,31.601,30.839,31.527,230927,0
2017-02-06,31.527,31.674,30.912,30.986,500026,0
2017-02-07,31.036,31.232,30.593,30.691,423401,0
2017-02-08,30.543,30.691,30.15,30.15,372153,0
2017-02-09,30.15,30.396,29.953,30.199,428674,0
2017-02-10,30.347,31.036,30.249,30.839,219851,0
2017-02-13,31.085,31.158,30.101,30.199,360565,0
2017-02-14,30.15,30.199,29.608,29.658,265645,0
2017-02-15,29.608,29.855,29.511,29.608,312415,0
2017-02-16,29.708,29.905,29.412,29.855,478778,0
2017-02-17,29.805,29.953,29.561,29.658,293268,0
2017-02-21,29.805,30.298,29.805,30.002,312600,0
2017-02-22,30.101,30.15,29.608,29.708,316395,0
2017-02-23,29.855,29.855,29.264,29.805,538909,0
2017-02-24,29.756,29.905,29.461,29.708,387364,0
2017-02-27,29.708,30.052,29.658,29.855,421299,0
2017-02-28,29.805,29.88,29.264,29.314,388694,0
2017-03-01,29.73,30.224,29.581,30.076,358302,0
2017-03-02,29.928,29.928,29.507,29.581,374465,0
2017-03-03,29.581,30.274,29.482,30.125,570338,0
2017-03-06,29.878,30.323,29.878,30.224,207992,0
2017-03-07,30.224,30.916,30.076,30.818,358966,0
2017-03-08,30.966,31.065,30.521,30.793,266014,0
2017-03-09,30.818,30.867,30.125,30.174,169015,0
2017-03-10,30.174,30.719,30.026,30.62,250126,0
2017-03-13,30.818,30.818,29.928,30.372,205668,0
2017-03-14,30.62,30.694,30.125,30.521,208295,0
2017-03-15,30.719,30.719,29.977,30.372,443059,0
2017-03-16,30.472,30.521,30.125,30.372,338875,0
2017-03-17,30.472,30.472,29.779,29.828,917684,0
2017-03-20,29.828,30.026,28.79,29.086,614959,0
2017-03-21,29.086,29.432,28.246,28.938,753495,0
2017-03-22,28.888,29.136,28.542,28.938,451573,0
2017-03-23,31.461,31.609,29.977,31.263,1355214,0
2017-03-24,31.461,31.956,30.966,31.065,516732,0
2017-03-27,30.521,31.016,30.081,30.768,334651,0
2017-03-28,30.719,31.139,30.274,31.016,260633,0
2017-03-29,30.867,31.238,30.719,31.016,308834,0
2017-03-30,31.016,31.263,30.867,31.164,235897,0
2017-03-31,31.214,31.461,31.016,31.214,433427,0
2017-04-03,31.214,31.411,30.669,30.818,341143,0
2017-04-04,30.719,30.966,30.669,30.867,289942,0
2017-04-05,31.016,31.609,31.016,31.411,655171,0
2017-04-06,31.411,31.51,30.669,31.164,419382,0
2017-04-07,30.966,31.362,30.966,31.214,359919,0
2017-04-10,31.164,31.585,31.016,31.214,279895,0
2017-04-11,31.164,32.005,31.016,31.906,395692,0
2017-04-12,31.856,31.956,31.164,31.164,237331,0
2017-04-13,31.164,31.461,30.521,30.521,235329,0
2017-04-17,30.669,30.966,30.521,30.966,391864,0
2017-04-18,30.916,31.114,30.521,30.916,332712,0
2017-04-19,31.016,31.535,31.016,31.461,320145,0
2017-04-20,31.609,32.104,31.214,31.856,342412,0
2017-04-21,31.807,31.881,31.609,31.659,312726,0
2017-04-24,32.153,32.203,31.733,31.956,281003,0
2017-04-25,32.203,32.648,32.005,32.401,347174,0
2017-04-26,32.351,33.143,32.351,32.648,294371,0
2017-04-27,32.697,33.192,32.648,32.895,447896,0
2017-04-28,32.945,32.945,32.351,32.747,481421,0
2017-05-01,32.994,33.192,32.697,33.044,378585,0
2017-05-02,33.044,33.687,32.796,33.637,632996,0
2017-05-03,33.538,33.637,33.291,33.39,296516,0
2017-05-04,33.538,33.637,32.92,32.994,140515,0
2017-05-05,33.044,33.044,32.623,32.895,158190,0
2017-05-08,32.895,33.143,32.648,32.747,328351,0
2017-05-09,32.846,32.945,32.45,32.697,260018,0
2017-05-10,32.697,32.945,32.5,32.945,195291,0
2017-05-11,32.846,32.846,32.005,32.351,235841,0
2017-05-12,32.351,32.401,31.659,31.758,203586,0
2017-05-15,31.708,32.945,31.708,32.45,214551,0
2017-05-16,32.45,32.846,32.005,32.302,283001,0
2017-05-17,31.906,32.153,31.461,31.659,275683,0
2017-05-18,31.708,31.708,31.114,31.263,480505,0
2017-05-19,31.214,31.758,31.114,31.461,898441,0
2017-05-22,31.609,31.782,31.312,31.51,252774,0
2017-05-23,31.659,31.659,31.065,31.263,214609,0
2017-05-24,31.263,31.807,31.065,31.312,360113,0
2017-05-25,31.411,31.758,31.065,31.263,239670,0
2017-05-26,31.263,31.411,30.916,31.214,188278,0
2017-05-30,31.065,31.411,29.986,31.312,126180,0
2017-05-31,31.432,31.432,30.959,31.382,171196,0
2017-06-01,31.531,32.476,31.506,32.476,262762,0
2017-06-02,32.426,33.57,32.426,32.526,301649,0
2017-06-05,32.576,32.625,31.929,31.929,224581,0
2017-06-06,31.68,32.526,31.481,32.227,313468,0
2017-06-07,32.078,32.426,31.83,32.029,260372,0
2017-06-08,32.029,32.824,31.929,32.426,247458,0
2017-06-09,32.128,32.277,30.984,31.83,346318,0
2017-06-12,31.929,32.725,31.78,31.879,371959,0
2017-06-13,31.929,32.029,31.531,31.631,326808,0
2017-06-14,31.68,31.83,31.332,31.382,318178,0
2017-06-15,31.183,31.382,30.81,31.084,247032,0
2017-06-16,30.735,30.934,30.284,30.785,550809,0
2017-06-19,30.885,31.084,30.611,30.885,387837,0
2017-06-20,30.835,31.233,30.437,30.537,195451,0
2017-06-21,30.686,30.735,30.238,30.387,244512,0
2017-06-22,29.84,29.989,29.194,29.741,691476,0
2017-06-23,29.791,29.791,29.144,29.243,801207,0
2017-06-26,29.393,29.791,29.219,29.343,462742,0
2017-06-27,29.293,30.387,29.094,30.139,747819,0
2017-06-28,30.437,30.785,30.238,30.586,441889,0
2017-06-29,30.686,30.785,30.014,30.188,380327,0
2017-06-30,30.288,30.586,30.188,30.238,315755,0
2017-07-03,30.338,30.686,30.238,30.387,185019,0
2017-07-05,30.387,30.835,29.741,30.686,1312863,0
2017-07-06,32.824,35.112,32.476,33.222,2028513,0
2017-07-07,33.322,34.465,33.297,33.918,748191,0
2017-07-10,33.918,34.316,33.396,33.421,711905,0
2017-07-11,33.62,33.819,33.023,33.023,664170,0
2017-07-12,33.172,34.267,33.123,33.521,727074,0
2017-07-13,33.57,34.267,33.521,34.167,599828,0
2017-07-14,34.267,34.416,33.918,34.068,328927,0
2017-07-17,34.117,34.316,33.645,33.769,297948,0
2017-07-18,33.67,34.018,33.123,33.57,500304,0
2017-07-19,33.57,33.769,33.322,33.421,760705,0
2017-07-20,33.421,34.018,33.322,33.968,361245,0
2017-07-21,34.167,34.217,33.496,33.57,377091,0
2017-07-24,33.769,33.769,33.172,33.62,251664,0
2017-07-25,33.67,33.719,32.973,33.322,556183,0
2017-07-26,33.322,33.57,33.023,33.123,381428,0
2017-07-27,33.222,33.769,33.172,33.67,513968,0
2017-07-28,33.57,33.62,32.949,33.222,265637,0
2017-07-31,33.222,33.62,32.973,33.496,496417,0
2017-08-01,33.62,33.695,33.172,33.272,281346,0
2017-08-02,33.322,33.545,32.799,32.973,247454,0
2017-08-03,33.023,33.297,32.849,33.023,545306,0
2017-08-04,33.222,33.719,33.172,33.62,408553,0
2017-08-07,33.62,33.67,32.824,33.123,387164,0
2017-08-08,33.172,33.471,32.998,33.371,429601,0
2017-08-09,33.322,33.322,32.426,32.824,365719,0
2017-08-10,32.775,32.874,32.377,32.426,372669,0
2017-08-11,32.576,32.824,32.327,32.625,403577,0
2017-08-14,32.824,33.272,32.725,32.924,341794,0
2017-08-15,32.973,33.123,32.327,32.526,405474,0
2017-08-16,32.725,33.172,32.576,32.924,329346,0
2017-08-17,32.874,33.322,32.625,32.824,536260,0
2017-08-18,32.625,32.874,32.576,32.824,427702,0
2017-08-21,32.824,32.874,32.426,32.426,309887,0
2017-08-22,32.526,32.675,32.277,32.675,300370,0
2017-08-23,32.576,33.346,32.476,33.023,416902,0
2017-08-24,33.222,33.222,32.65,32.874,373752,0
2017-08-25,33.073,33.297,33.023,33.172,212613,0
2017-08-28,33.222,33.57,33.123,33.421,219890,0
2017-08-29,33.371,33.62,32.973,33.62,314485,0
2017-08-30,33.7,33.75,33.35,33.75,213877,0
2017-08-31,33.75,34.05,33.55,33.65,282854,0
2017-09-01,33.8,34.125,33.65,34,289706,0
2017-09-05,34.05,34.325,33.55,33.75,255791,0
2017-09-06,33.85,34.1,33.45,33.5,201591,0
2017-09-07,33.5,33.6,32.75,32.95,231786,0
2017-09-08,32.95,33.45,32.65,33.45,360693,0
2017-09-11,33.6,34.35,33.5,34.25,470227,0
2017-09-12,34.4,34.8,34.4,34.5,295465,0
2017-09-13,34.55,34.7,34.45,34.6,280949,0
2017-09-14,34.7,34.8,33.95,34.1,366139,0
2017-09-15,34.15,34.65,34,34.6,585153,0
2017-09-18,34.6,34.95,34.35,34.85,467475,0
2017-09-19,35,35.55,34.8,34.95,398436,0
2017-09-20,34.95,35.35,34.65,34.95,885761,0
2017-09-21,33.45,35.8,33.05,33.8,1068282,0
2017-09-22,34.05,35.2,33.8,34.25,751008,0
2017-09-25,34.2,34.65,33.9,34.2,461009,0
2017-09-26,34.25,34.6,33.8,34.5,552574,0
2017-09-27,34.65,35.15,33.8,35.1,706661,0
2017-09-28,35.3,35.75,34.9,35.55,431053,0
2017-09-29,35.75,36.35,35.5,35.9,877387,0
2017-10-02,36.1,37,35.595,36.5,593635,0
2017-10-03,36.4,36.65,36.1,36.1,485749,0
2017-10-04,36.1,36.25,35.6,35.75,567541,0
2017-10-05,35.85,36.05,35.55,35.65,260943,0
2017-10-06,35.65,35.8,35.325,35.45,234512,0
2017-10-09,35.45,35.55,35.15,35.2,163656,0
2017-10-10,35.45,35.55,35.25,35.45,207918,0
2017-10-11,35.5,35.85,35.3,35.8,486280,0
2017-10-12,35.9,36.4,35.7,36.15,445348,0
2017-10-13,36.2,36.2,35.625,35.7,285094,0
2017-10-16,35.7,36.1,35.65,35.8,237868,0
2017-10-17,35.9,35.9,35.1,35.15,273596,0
2017-10-18,35.35,35.7,35.155,35.5,246210,0
2017-10-19,35.5,35.8,35.2,35.7,204944,0
2017-10-20,35.8,35.9,35.5,35.75,299186,0
2017-10-23,35.9,35.9,35.15,35.2,154982,0
2017-10-24,34.95,35.45,34.01,35,271420,0
2017-10-25,34.95,35.4,34.61,35.2,186337,0
2017-10-26,35.35,35.65,34.85,35.15,174571,0
2017-10-27,35.15,35.25,34.683,35,219257,0
2017-10-30,34.9,35,33.35,33.55,287925,0
2017-10-31,33.75,34.05,32.955,33.6,304942,0
2017-11-01,33.9,34,32.9,33.2,266947,0
2017-11-02,33.1,33.4,32.71,33.1,270621,0
2017-11-03,33.15,33.35,32.75,32.75,357390,0
2017-11-06,32.85,33.175,32.05,32.8,246742,0
2017-11-07,32.75,32.925,32.35,32.75,333077,0
2017-11-08,32.55,32.85,32.15,32.65,367312,0
2017-11-09,32.55,32.8,32.25,32.55,161537,0
2017-11-10,32.45,33.025,32.2,32.9,251557,0
