Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,37.151,37.534,36.308,37.333,155425,0
2017-01-04,37.626,38.23,37.435,37.79,279160,0
2017-01-05,37.617,37.654,36.419,36.493,236635,0
2017-01-06,36.647,36.702,36.246,36.318,116956,0
2017-01-09,36.136,36.136,35.386,35.403,166139,0
2017-01-10,35.431,36.026,35.431,35.752,189422,0
2017-01-11,35.633,36.09,35.568,36.08,142753,0
2017-01-12,35.98,35.98,34.892,35.477,128872,0
2017-01-13,35.724,36.41,35.706,36.117,115365,0
2017-01-17,35.944,35.944,35.102,35.285,135010,0
2017-01-18,35.449,35.596,35.203,35.368,121262,0
2017-01-19,35.522,35.522,34.974,35.341,135143,0
2017-01-20,35.578,36.227,35.477,35.806,206019,0
2017-01-23,35.796,35.998,35.111,35.422,187041,0
2017-01-24,35.734,36.391,35.258,36.291,157372,0
2017-01-25,36.684,37.242,36.419,37.022,230561,0
2017-01-26,37.096,37.37,36.592,36.785,166187,0
2017-01-27,36.859,37.031,36.345,36.758,128356,0
2017-01-30,36.602,36.602,35.842,36.09,266920,0
2017-01-31,36.09,36.859,35.962,36.813,271585,0
2017-02-01,37.059,37.599,36.465,36.592,169532,0
2017-02-02,36.583,36.739,36.19,36.364,121529,0
2017-02-03,36.748,37.115,36.255,37.059,181576,0
2017-02-06,36.794,36.916,36.647,36.794,93664,0
2017-02-07,37.233,39.271,37.175,38.385,391366,0
2017-02-08,38.184,38.541,37.9,38.385,167935,0
2017-02-09,38.595,39.23,38.448,39.062,157352,0
2017-02-10,39.418,39.501,38.756,39.473,116726,0
2017-02-13,39.94,40.195,39.336,39.473,150948,0
2017-02-14,39.262,39.546,39.034,39.363,127545,0
2017-02-15,39.345,39.719,39.172,39.327,181615,0
2017-02-16,39.528,39.94,39.117,39.354,217693,0
2017-02-17,39.436,39.501,38.732,38.833,301967,0
2017-02-21,38.997,39.243,38.751,39.117,191263,0
2017-02-22,39.08,39.08,38.211,38.723,215504,0
2017-02-23,38.797,38.97,37.864,38.055,245625,0
2017-02-24,37.452,38.385,37.096,38.329,217152,0
2017-02-27,38.285,39.509,38.285,39.253,276757,0
2017-02-28,39.089,39.089,38.002,38.239,242176,0
2017-03-01,38.942,39.71,38.88,39.546,186163,0
2017-03-02,39.591,39.6,38.147,38.248,157821,0
2017-03-03,38.339,38.542,37.798,38.267,124071,0
2017-03-06,38.01,38.054,37.662,37.927,231447,0
2017-03-07,37.881,38.44,37.523,37.542,343135,0
2017-03-08,37.671,37.89,36.373,36.589,367643,0
2017-03-09,36.607,36.8,35.59,35.682,326543,0
2017-03-10,31.629,33.01,31.113,32.951,584211,0
2017-03-13,32.951,33.755,32.335,33.139,310211,0
2017-03-14,32.821,32.941,32.285,32.633,251655,0
2017-03-15,32.791,33.616,32.791,33.258,331408,0
2017-03-16,33.258,33.655,33.199,33.258,226421,0
2017-03-17,33.278,33.824,32.742,33.725,724556,0
2017-03-20,33.785,34.073,33.467,33.517,235925,0
2017-03-21,33.765,33.983,32.751,32.901,317768,0
2017-03-22,32.901,33.149,32.454,32.613,230728,0
2017-03-23,32.613,33.099,32.414,32.941,198924,0
2017-03-24,33.03,33.407,32.801,33.079,263347,0
2017-03-27,32.275,33.119,32.185,32.911,153546,0
2017-03-28,32.771,33.139,32.593,33.079,197662,0
2017-03-29,33.02,33.382,32.961,33.298,161254,0
2017-03-30,33.357,33.874,33.342,33.725,192532,0
2017-03-31,33.685,34.182,33.377,33.993,264731,0
2017-04-03,34.092,34.202,32.951,33.059,233294,0
2017-04-04,33.02,33.576,32.941,33.209,186758,0
2017-04-05,33.467,33.616,32.673,32.771,214542,0
2017-04-06,32.801,33.069,32.493,32.99,151926,0
2017-04-07,32.921,33.517,32.712,33.318,214215,0
2017-04-10,33.337,33.576,32.841,32.98,116781,0
2017-04-11,32.861,33.775,32.801,33.765,185618,0
2017-04-12,33.596,33.596,32.473,32.553,154192,0
2017-04-13,32.493,32.771,31.977,31.987,141492,0
2017-04-17,32.117,32.424,31.977,32.414,106739,0
2017-04-18,32.325,32.653,32.126,32.603,112680,0
2017-04-19,32.761,33.089,32.523,32.633,112300,0
2017-04-20,32.941,33.526,32.941,33.487,146094,0
2017-04-21,33.457,33.715,33.223,33.517,157660,0
2017-04-24,34.251,34.321,33.884,33.923,204357,0
2017-04-25,34.41,35.572,34.37,34.539,201032,0
2017-04-26,34.539,34.539,32.385,32.513,404554,0
2017-04-27,32.573,32.821,32.165,32.335,262189,0
2017-04-28,32.345,32.444,31.789,31.819,222907,0
2017-05-01,31.967,32.117,31.629,31.789,215675,0
2017-05-02,31.739,32.305,31.589,31.769,156861,0
2017-05-03,31.461,31.461,30.795,30.865,274248,0
2017-05-04,30.785,31.073,30.428,30.795,118302,0
2017-05-05,31.093,31.263,30.379,31.203,118729,0
2017-05-08,31.063,31.213,30.785,30.925,97825,0
2017-05-09,30.945,31.013,30.379,30.617,164003,0
2017-05-10,30.408,30.647,30.115,30.309,166813,0
2017-05-11,30.269,30.269,29.515,30.021,143097,0
2017-05-12,29.793,29.911,29.335,29.415,156778,0
2017-05-15,29.505,29.793,29.345,29.465,146962,0
2017-05-16,29.603,29.693,28.948,29.217,154373,0
2017-05-17,28.958,29.107,28.084,28.164,242710,0
2017-05-18,28.064,28.194,27.786,28.025,273608,0
2017-05-19,28.184,28.501,27.925,28.293,466133,0
2017-05-22,28.432,28.789,28.243,28.581,151234,0
2017-05-23,28.68,28.819,28.233,28.68,169175,0
2017-05-24,28.66,28.75,28.223,28.432,139767,0
2017-05-25,28.571,28.769,28.094,28.362,159481,0
2017-05-26,28.392,28.511,28.213,28.472,121923,0
2017-05-30,28.253,28.511,27.995,28.054,162657,0
2017-05-31,28.204,28.393,27.626,28.184,178233,0
2017-06-01,28.334,28.981,28.104,28.951,232325,0
2017-06-02,29.051,30.397,29.001,29.529,296501,0
2017-06-05,29.46,29.659,28.981,29.001,150221,0
2017-06-06,28.782,29.26,28.543,29.061,174218,0
2017-06-07,29.011,29.37,28.732,28.822,167777,0
2017-06-08,28.772,30.576,28.737,30.058,240156,0
2017-06-09,30.157,30.885,30.117,30.875,233582,0
2017-06-12,30.765,31.652,30.765,31.034,211272,0
2017-06-13,31.134,31.134,30.606,30.656,160976,0
2017-06-14,30.636,30.656,30.187,30.456,128868,0
2017-06-15,29.948,30.486,29.948,30.357,94685,0
2017-06-16,30.048,30.516,29.809,30.496,617726,0
2017-06-19,30.646,30.895,30.177,30.406,174510,0
2017-06-20,30.297,30.297,29.789,29.918,81111,0
2017-06-21,30.038,30.237,29.41,29.42,100783,0
2017-06-22,29.36,29.93,29.36,29.689,69455,0
2017-06-23,29.779,29.878,29.579,29.709,454545,0
2017-06-26,29.759,29.878,29.31,29.719,111045,0
2017-06-27,29.779,30.107,29.619,29.639,127771,0
2017-06-28,29.898,30.686,29.549,30.277,149210,0
2017-06-29,30.297,30.596,29.609,29.998,122170,0
2017-06-30,30.028,30.566,29.559,30.347,144782,0
2017-07-03,30.536,31.164,30.436,30.925,77465,0
2017-07-05,30.745,30.885,30.127,30.337,90880,0
2017-07-06,30.048,30.317,29.779,29.888,136098,0
