Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,175.61,176.76,174.01,174.84,2556136,0
2017-01-04,174.82,175.67,174.4,175.11,1570305,0
2017-01-05,175.05,175.9,173.71,174.5,1471209,0
2017-01-06,174.08,175.38,172.62,175.02,1654837,0
2017-01-09,175.16,175.17,173.99,174.06,1652436,0
2017-01-10,174.15,174.28,173.13,173.4,2067112,0
2017-01-11,173.45,175.24,173.21,174.68,1608502,0
2017-01-12,173.78,174.49,172.57,174.23,1346047,0
2017-01-13,174.37,174.7,173.65,174.18,1288845,0
2017-01-17,173.81,174.47,173.07,174.05,1586061,0
2017-01-18,174.69,176.2,174.17,175.28,1838064,0
2017-01-19,176.01,176.56,174.55,175.46,1490981,0
2017-01-20,175.96,176.22,174.62,175.28,1794130,0
2017-01-23,174.7,175.75,173.94,175.29,2023204,0
2017-01-24,174.29,174.55,171.27,172.79,3527018,0
2017-01-25,173.9,175.41,173.4,173.55,3525376,0
2017-01-26,173.13,174.02,172.86,173.64,2275021,0
2017-01-27,174.27,174.77,173.65,174.27,1653497,0
2017-01-30,174.04,174.52,171.72,172.25,1856620,0
2017-01-31,171.59,172.29,170.67,171.67,1879373,0
2017-02-01,172.02,172.62,171.15,172.02,2314612,0
2017-02-02,170.98,171.62,170.43,171.03,3159902,0
2017-02-03,170.87,172.15,170.71,171.89,2872788,0
2017-02-06,170.97,173.02,170.75,171.95,1652570,0
2017-02-07,172.9,173.22,172,172.58,1267900,0
2017-02-08,172.44,174.39,172.31,173.88,2183408,0
2017-02-09,173.69,175.33,173.69,174.97,2044420,0
2017-02-10,175.09,176.34,174.98,175.76,1418018,0
2017-02-13,176.62,178.11,176.02,177.75,1963844,0
2017-02-14,177.59,178.72,177.39,178.32,2073545,0
2017-02-15,178.2,179.71,178.05,179.58,1783672,0
2017-02-16,179.63,181.32,179.5,181.27,2189533,0
2017-02-17,181.29,181.46,180.41,180.82,1984569,0
2017-02-21,180.66,181.48,179.92,181.23,1756803,0
2017-02-22,181.26,183.95,180.94,183.88,2884417,0
2017-02-23,183.75,185.27,183.55,185.01,2425982,0
2017-02-24,184.64,186.21,184.13,185.23,2151189,0
2017-02-27,185.32,185.37,184.21,184.73,1410230,0
2017-02-28,184.55,185.32,184.14,184.18,1954885,0
2017-03-01,185.89,188.32,185.82,187.65,2251929,0
2017-03-02,187.26,187.88,186.83,187.68,1784745,0
