Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,26.5,26.5,25.75,26.2,281034,0
2017-01-04,26.3,26.4626,26,26.05,264472,0
2017-01-05,26,26.35,25.45,25.7,239419,0
2017-01-06,25.85,25.85,25.15,25.25,206450,0
2017-01-09,25.15,25.85,25.15,25.65,456721,0
2017-01-10,25.7,26.2,25.6,25.95,192884,0
2017-01-11,26.05,26.15,25.55,26,228520,0
2017-01-12,25.85,26.25,25.15,26.1,222460,0
2017-01-13,26.25,26.9,26.15,26.7,281911,0
2017-01-17,26.65,26.65,26.1,26.4,197640,0
2017-01-18,26.6,26.6,25.925,26.35,162996,0
2017-01-19,26.35,26.35,25.65,25.7,162911,0
2017-01-20,25.75,25.75,25.45,25.6,157567,0
2017-01-23,25.6,25.85,25.275,25.4,121317,0
2017-01-24,25.45,25.75,24.95,25,341449,0
2017-01-25,25,25.85,24.8,25.8,475471,0
2017-01-26,25.8,25.95,25.05,25.2,162487,0
2017-01-27,25.35,25.5,25.15,25.25,221512,0
2017-01-30,25.1,25.2,24.5,24.7,314809,0
2017-01-31,24.6,25.425,24.2292,25.35,352942,0
2017-02-01,25.6,25.95,25.45,25.9,228340,0
2017-02-02,25.75,26,25.55,25.85,142651,0
2017-02-03,26,26.6,25.85,26.6,226615,0
2017-02-06,26.65,26.85,26.05,26.8,213615,0
2017-02-07,26.9,27.1,26.5,26.8,337068,0
2017-02-08,26.65,27.15,26.5,27.1,264163,0
2017-02-09,27.2,27.65,27.075,27.45,206102,0
2017-02-10,27.6,28.175,27.25,27.7,235358,0
2017-02-13,27.9,28.4,27.9,28.2,503875,0
2017-02-14,28.1,28.25,27.65,27.75,333938,0
2017-02-15,27.6,28.25,27.255,28.15,182481,0
2017-02-16,28.15,28.4,28,28.35,310298,0
2017-02-17,28,28.35,27.95,28.25,350345,0
2017-02-21,28.3,28.65,27.95,28.65,461836,0
2017-02-22,29,30.25,28.55,29.925,592879,0
2017-02-23,30.05,30.05,29.25,29.45,372715,0
2017-02-24,29.25,30.4,29.25,29.6,261505,0
2017-02-27,29.95,30.95,29.7265,30.85,647809,0
2017-02-28,30.95,31.1,30.6175,30.8,423783,0
2017-03-01,31.3,31.6,30.9,30.9,300956,0
2017-03-02,31,31.2,30.6,30.7,143145,0
