Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,14.181,14.265,14.176,14.265,26934,0
2017-01-04,14.256,14.295,14.23,14.256,65238,0
2017-01-05,14.201,14.333,14.201,14.295,42088,0
2017-01-06,14.305,14.305,14.23,14.285,13862,0
2017-01-09,14.343,14.411,14.324,14.361,19904,0
2017-01-10,14.343,14.431,14.343,14.391,23788,0
2017-01-11,14.431,14.459,14.333,14.353,35565,0
2017-01-12,14.371,14.478,14.371,14.411,54415,0
2017-01-13,14.421,14.431,14.343,14.411,37586,0
2017-01-17,14.421,14.478,14.411,14.441,28136,0
2017-01-18,14.408,14.448,14.398,14.438,50643,0
2017-01-19,14.358,14.398,14.34,14.34,26839,0
2017-01-20,14.33,14.35,14.282,14.282,18892,0
2017-01-23,14.292,14.388,14.292,14.388,21890,0
2017-01-24,14.35,14.408,14.302,14.34,22963,0
2017-01-25,14.33,14.34,14.282,14.312,12419,0
2017-01-26,14.35,14.368,14.322,14.368,20170,0
2017-01-27,14.358,14.448,14.35,14.448,28132,0
2017-01-30,14.448,14.467,14.408,14.467,28015,0
2017-01-31,14.438,14.504,14.438,14.495,28091,0
2017-02-01,14.448,14.485,14.418,14.418,55546,0
2017-02-02,14.408,14.485,14.408,14.448,39391,0
2017-02-03,14.428,14.551,14.428,14.504,48148,0
2017-02-06,14.523,14.571,14.485,14.542,28877,0
2017-02-07,14.571,14.679,14.523,14.679,59603,0
2017-02-08,14.707,14.792,14.702,14.792,19712,0
2017-02-09,14.783,14.824,14.746,14.792,20203,0
2017-02-10,14.764,14.86,14.764,14.85,16608,0
2017-02-13,14.87,14.87,14.756,14.783,18185,0
2017-02-14,14.783,14.783,14.679,14.688,22539,0
2017-02-15,14.606,14.734,14.596,14.646,32796,0
2017-02-16,14.656,14.685,14.596,14.656,28894,0
2017-02-17,14.695,14.695,14.616,14.676,18624,0
2017-02-21,14.695,14.734,14.661,14.676,24892,0
2017-02-22,14.734,14.734,14.685,14.734,28209,0
2017-02-23,14.754,14.848,14.734,14.838,30074,0
2017-02-24,14.878,14.975,14.818,14.956,36227,0
2017-02-27,14.927,14.956,14.868,14.936,26231,0
2017-02-28,14.966,15.042,14.965,15.042,21856,0
2017-03-01,15.033,15.033,14.878,14.965,14519,0
2017-03-02,14.956,14.956,14.716,14.772,47543,0
2017-03-03,14.79,14.79,14.724,14.724,9495,0
