Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,14.796,14.853,14.456,14.553,424232,0
2017-01-04,14.525,14.756,14.525,14.699,451732,0
2017-01-05,14.699,14.756,14.582,14.699,444667,0
2017-01-06,14.602,14.766,14.567,14.709,278692,0
2017-01-09,14.728,14.728,14.461,14.475,255288,0
2017-01-10,14.515,14.553,14.369,14.428,262388,0
2017-01-11,14.398,14.418,14.254,14.351,380455,0
2017-01-12,14.341,14.418,14.186,14.378,242045,0
2017-01-13,14.361,14.465,14.295,14.341,156414,0
2017-01-17,14.321,14.408,14.264,14.351,275207,0
2017-01-18,14.361,14.495,14.264,14.428,235481,0
2017-01-19,14.388,14.388,14.273,14.361,191582,0
2017-01-20,14.321,14.535,14.321,14.485,228750,0
2017-01-23,14.515,14.689,14.495,14.659,155896,0
2017-01-24,14.669,14.689,14.505,14.649,233006,0
2017-01-25,14.649,14.659,14.562,14.582,236002,0
2017-01-26,14.612,14.641,14.553,14.553,196230,0
2017-01-27,14.612,14.612,14.224,14.291,280936,0
2017-01-30,14.254,14.254,14.002,14.012,190146,0
2017-01-31,14.012,14.262,13.968,14.127,250865,0
2017-02-01,14.137,14.282,13.905,13.915,193757,0
2017-02-02,13.934,14.127,13.934,14.021,153693,0
2017-02-03,14.147,14.264,14.089,14.224,193423,0
2017-02-06,14.244,14.301,14.127,14.157,166488,0
2017-02-07,14.176,14.224,14.002,14.012,161205,0
2017-02-08,14.012,14.099,13.886,14.012,182077,0
2017-02-09,14.04,14.456,14.03,14.099,247206,0
2017-02-10,14.099,14.244,14.03,14.244,343848,0
2017-02-13,14.254,14.254,14.078,14.175,210017,0
2017-02-14,14.068,14.136,13.999,14.107,271465,0
2017-02-15,13.999,14.009,13.766,13.931,418816,0
2017-02-16,13.931,14.107,13.906,14.078,197129,0
2017-02-17,14.107,14.209,14.028,14.195,278197,0
2017-02-21,14.195,14.44,14.149,14.39,341263,0
2017-02-22,14.39,14.4,14.136,14.352,261599,0
2017-02-23,14.39,14.41,14.224,14.322,138068,0
2017-02-24,14.322,14.458,14.322,14.43,232162,0
2017-02-27,14.42,14.576,14.352,14.478,231205,0
