Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,2.5,2.664,2.302,2.6,95547,0
2017-01-04,2.6,2.651,2.4,2.4,116359,0
2017-01-05,2.45,2.458,2.299,2.357,56402,0
2017-01-06,2.4,2.45,2.27,2.4,68936,0
2017-01-09,2.4,2.4,2.2,2.345,36210,0
2017-01-10,2.33,2.4,2.123,2.2,102446,0
2017-01-11,2.2,2.2,2.003,2.15,50905,0
2017-01-12,2.135,2.48,2.075,2.299,352290,0
2017-01-13,2.45,2.6,2.35,2.436,178172,0
2017-01-17,2.5,2.5,2.35,2.36,48265,0
2017-01-18,2.4,2.425,2.1,2.277,55895,0
2017-01-19,2.315,2.349,2.106,2.18,33716,0
2017-01-20,2.15,2.18,1.823,2,93649,0
2017-01-23,2,2,1.85,1.95,44908,0
2017-01-24,1.971,2.485,1.94,2.4,254603,0
2017-01-25,2.6,3.65,2.55,3.5,1016905,0
2017-01-26,3.7,3.7,3.02,3.2,308710,0
2017-01-27,3.5,3.5,3.101,3.29,136688,0
2017-01-30,3.3,3.3,2.63,2.822,137103,0
2017-01-31,3.088,3.1,2.8,2.917,76333,0
2017-02-01,2.92,3.007,2.6,2.66,81970,0
2017-02-02,2.6,2.666,2.45,2.595,59627,0
2017-02-03,2.6,2.85,2.5,2.637,68416,0
2017-02-06,2.75,2.799,2.642,2.657,39603,0
2017-02-07,2.7,2.74,2.54,2.624,40011,0
2017-02-08,2.748,2.8,2.624,2.685,43009,0
2017-02-09,2.685,3.123,2.685,2.8,104093,0
2017-02-10,3,3.1,2.8,2.81,51929,0
2017-02-13,2.8,2.902,2.7,2.82,39445,0
2017-02-14,2.9,2.9,2.83,2.85,24763,0
2017-02-15,2.8,2.8,2.2,2.509,129634,0
2017-02-16,2.51,2.9399,2.23,2.27,155578,0
2017-02-17,2.26,4.32,2.26,3.5,8041785,0
2017-02-21,3.5,3.6298,3.15,3.32,797944,0
2017-02-22,3.28,3.3045,2.71,2.78,340215,0
2017-02-23,2.89,2.9099,2.6,2.66,121241,0
2017-02-24,2.7,2.7099,2.42,2.63,156188,0
2017-02-27,2.66,2.85,2.43,2.53,68684,0
2017-02-28,2.5,2.76,2.4378,2.57,322803,0
2017-03-01,2.57,2.5862,2.45,2.48,60698,0
2017-03-02,2.55,2.55,2.33,2.35,100622,0
2017-03-03,2.35,2.37,2.16,2.29,188460,0
2017-03-06,2.25,2.25,2.11,2.15,102571,0
2017-03-07,2.2,3.4,2.1001,2.74,3387856,0
2017-03-08,2.69,2.74,2.35,2.38,270047,0
2017-03-09,2.31,2.31,2.28,2.29,91132,0
2017-03-10,2.4,2.4,2.2,2.27,120577,0
2017-03-13,2.23,2.34,2.21,2.25,82615,0
2017-03-14,2.27,2.27,2.11,2.1499,96796,0
2017-03-15,2.16,2.3265,2.13,2.25,90373,0
2017-03-16,2.29,2.39,2.17,2.28,84913,0
2017-03-17,2.32,2.36,2.22,2.34,41045,0
2017-03-20,2.4,2.55,2.3,2.48,129174,0
2017-03-21,2.48,2.49,2.31,2.43,50610,0
2017-03-22,2.42,2.49,2.32,2.42,42621,0
2017-03-23,2.41,2.46,2.36,2.37,23237,0
2017-03-24,2.38,2.4,2.32,2.34,28898,0
2017-03-27,2.3,2.44,2.2501,2.38,27675,0
2017-03-28,2.42,2.5,2.35,2.45,84344,0
2017-03-29,2,2.328,1.75,2.111,372765,0
2017-03-30,2.17,2.17,2.0601,2.09,102247,0
