Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,8.7205,8.7683,8.711,8.7205,37108,0
2017-01-04,8.7014,8.7723,8.7014,8.7588,67685,0
2017-01-05,8.7493,8.8352,8.7493,8.8066,86547,0
2017-01-06,8.8066,8.8353,8.7875,8.8353,28445,0
2017-01-09,8.8353,9.0648,8.6249,8.8544,119020,0
2017-01-10,8.8257,8.8736,8.8257,8.8544,42777,0
2017-01-11,8.864,8.8927,8.8257,8.8831,42592,0
2017-01-12,8.8353,8.8736,8.8353,8.8353,104396,0
2017-01-13,8.8544,8.95,8.8449,8.95,44647,0
2017-01-17,8.9118,8.9691,8.9023,8.9405,134897,0
2017-01-18,8.9405,8.95,8.9214,8.9309,59506,0
2017-01-19,8.9214,8.9501,8.9023,8.9309,29732,0
2017-01-20,8.9309,8.9405,8.8522,8.9023,49267,0
2017-01-23,8.9023,8.9691,8.9023,8.95,31796,0
2017-01-24,8.9405,8.9882,8.9118,8.9405,55937,0
2017-01-25,8.9597,8.9691,8.8927,8.9405,43316,0
2017-01-26,8.9788,8.9788,8.9118,8.9214,41811,0
2017-01-27,8.9405,8.9405,8.9118,8.9405,29000,0
2017-01-30,8.9118,8.9127,8.864,8.9023,49614,0
2017-01-31,8.8736,8.9214,8.864,8.9214,15988,0
2017-02-01,8.9214,8.9405,8.8736,8.9405,58603,0
2017-02-02,8.9309,8.9978,8.9118,8.9978,111009,0
2017-02-03,8.9978,9.0648,8.9405,9.0361,38449,0
2017-02-06,9.0266,9.0551,9.0266,9.0266,70106,0
2017-02-07,9.0266,9.0479,8.9978,8.9978,68522,0
2017-02-08,9.0266,9.0266,8.9883,9.0266,41652,0
2017-02-09,9.0074,9.027,8.9788,9.0266,47501,0
2017-02-10,8.9978,9.0266,8.9978,9.017,99000,0
2017-02-13,9.0074,9.0552,8.9978,9.0266,90837,0
2017-02-14,9.017,9.0744,9.017,9.0552,121645,0
2017-02-15,9.0361,9.0457,8.9978,9.0457,42662,0
2017-02-16,9.017,9.0361,8.9883,8.9978,45815,0
2017-02-17,8.9405,8.9978,8.9405,8.9883,43313,0
2017-02-21,8.9883,9.0266,8.9788,9.0266,86063,0
2017-02-22,9.0457,9.0839,9.0215,9.0839,40205,0
2017-02-23,9.0934,9.1317,9.0839,9.1031,61959,0
2017-02-24,9.0839,9.1222,9.0552,9.1125,62521,0
2017-02-27,9.1125,9.1317,9.0839,9.1222,65046,0
2017-02-28,9.1125,9.1317,9.1031,9.1222,47685,0
2017-03-01,9.1317,9.1317,9.0744,9.1031,94479,0
2017-03-02,9.0934,9.1222,9.0266,9.0266,63624,0
2017-03-03,9.0457,9.0744,9.0074,9.0552,111843,0
2017-03-06,9.0361,9.0648,9.017,9.0648,101684,0
2017-03-07,9.0552,9.0744,9.017,9.0744,54137,0
2017-03-08,9.0457,9.0457,8.9978,9.017,69800,0
2017-03-09,8.9883,8.9931,8.8736,8.8927,80344,0
2017-03-10,8.9023,8.9405,8.8257,8.8927,132264,0
2017-03-13,8.9214,8.9214,8.864,8.9023,32240,0
2017-03-14,8.8831,8.8831,8.8544,8.864,47943,0
2017-03-15,8.864,8.969,8.8257,8.969,62306,0
2017-03-16,8.9788,8.9788,8.8927,8.9309,105857,0
2017-03-17,8.9309,8.9978,8.9309,8.9978,66825,0
2017-03-20,9.017,9.0744,8.9883,9.0744,52856,0
2017-03-21,9.1222,9.1222,8.9978,9.0457,49683,0
2017-03-22,9.0457,9.0744,8.9883,9.0266,23135,0
2017-03-23,9.0361,9.0744,9.0266,9.0648,61900,0
2017-03-24,9.0744,9.0744,9.0361,9.0552,76342,0
2017-03-27,8.9978,9.0602,8.8544,9.0361,102604,0
2017-03-28,9.017,9.0552,9.017,9.0361,82681,0
2017-03-29,9.0459,9.1042,9.0361,9.1042,54706,0
2017-03-30,9.1138,9.1138,9.0653,9.1138,208395,0
2017-03-31,9.1042,9.1042,9.0653,9.075,136409,0
2017-04-03,9.0653,9.1042,9.0653,9.1042,55931,0
2017-04-04,9.0653,9.0847,9.0459,9.0653,60667,0
2017-04-05,9.075,9.0944,9.0653,9.0944,50571,0
2017-04-06,9.2304,9.2304,9.075,9.1236,223859,0
2017-04-07,9.143,9.2115,9.1236,9.1721,194685,0
2017-04-10,9.1915,9.2596,9.1721,9.2596,145299,0
2017-04-11,9.2693,9.2985,9.2304,9.2985,84545,0
2017-04-12,9.2887,9.3179,9.2498,9.2887,99164,0
2017-04-13,9.2985,9.3758,9.2985,9.347,89401,0
2017-04-17,9.3856,9.4054,9.3664,9.4054,129145,0
2017-04-18,9.3955,9.4734,9.3778,9.4636,158899,0
2017-04-19,9.4636,9.527,9.4251,9.4537,132634,0
2017-04-20,9.4636,9.4833,9.3817,9.4152,79315,0
2017-04-21,9.435,9.4438,9.3567,9.4438,59733,0
2017-04-24,9.4833,9.4932,9.435,9.4932,85730,0
2017-04-25,9.4833,9.4833,9.4054,9.4833,116692,0
2017-04-26,9.4833,9.502,9.4054,9.4636,100614,0
2017-04-27,9.4734,9.4734,9.3955,9.435,96904,0
2017-04-28,9.435,9.4932,9.4054,9.4833,56975,0
2017-05-01,9.4833,9.57,9.4784,9.532,55478,0
2017-05-02,9.551,9.58,9.502,9.541,92184,0
