Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,1.16,1.17,1.09,1.12,58632,0
2017-01-04,1.12,1.16,1.09,1.12,10771,0
2017-01-05,1.1,1.19,1.1,1.15,62009,0
2017-01-06,1.2,1.2059,1.15,1.15,40916,0
2017-01-09,1.21,1.24,1.12,1.21,31909,0
2017-01-10,1.21,1.2899,1.16,1.22,193825,0
2017-01-11,1.28,1.3,1.23,1.23,88700,0
2017-01-12,1.26,1.2714,1.23,1.24,70970,0
2017-01-13,1.268,1.27,1.2,1.2,199617,0
2017-01-17,1.26,1.27,1.22,1.25,58602,0
2017-01-18,1.27,1.27,1.08,1.2265,76045,0
2017-01-19,1.261,1.27,1.21,1.21,165520,0
2017-01-20,1.3,1.3,1.23,1.24,7304,0
2017-01-23,1.26,1.26,1.18,1.2,75052,0
2017-01-24,1.2593,1.29,1.23,1.23,58648,0
2017-01-25,1.28,1.3,1.24,1.28,33000,0
2017-01-26,1.26,1.31,1.2,1.26,49693,0
2017-01-27,1.28,1.29,1.23,1.25,29206,0
2017-01-30,1.25,1.29,1.18,1.24,286470,0
2017-01-31,1.25,1.28,1.2,1.25,55170,0
2017-02-01,1.2,1.26,1.2,1.24,6500,0
2017-02-02,1.27,1.28,1.2605,1.28,2350,0
2017-02-03,1.28,1.3,1.28,1.29,5242,0
2017-02-06,1.27,1.35,1.27,1.29,21497,0
2017-02-07,1.3,1.32,1.3,1.32,2950,0
2017-02-08,1.28,1.3,1.25,1.3,11486,0
2017-02-09,1.26,1.3,1.26,1.28,19413,0
2017-02-10,1.265,1.27,1.265,1.27,1110,0
2017-02-13,1.26,1.26,1.2,1.23,33751,0
2017-02-14,1.231,1.2321,1.17,1.23,122321,0
2017-02-15,1.21,1.21,1.18,1.2,81322,0
2017-02-16,1.2,1.25,1.2,1.25,104684,0
2017-02-17,1.26,1.26,1.15,1.19,50790,0
2017-02-21,1.24,1.24,1.16,1.19,44871,0
2017-02-22,1.2,1.25,1.18,1.22,51055,0
2017-02-23,1.16,1.22,1.13,1.19,55400,0
2017-02-24,1.18,1.25,1.18,1.24,33300,0
2017-02-27,1.16,1.17,1.1,1.17,77915,0
2017-02-28,1.14,1.16,1.11,1.16,4000,0
2017-03-01,1.169,1.23,1.15,1.2,62673,0
2017-03-02,1.17,1.17,1.12,1.15,2400,0
2017-03-03,1.17,1.2,1.1,1.2,72300,0
2017-03-06,1.2,1.21,1.13,1.19,15699,0
2017-03-07,1.19,1.2,1.08,1.15,58339,0
2017-03-08,1.15,1.18,1.095,1.18,10030,0
2017-03-09,1.1,1.1,1.04,1.06,35116,0
2017-03-10,1.0601,1.09,1.01,1.04,4700,0
2017-03-13,1.089,1.089,1.01,1.07,41503,0
2017-03-14,1.0472,1.09,1.03,1.05,2700,0
2017-03-15,1.06,1.09,1.02,1.0886,73540,0
2017-03-16,1.1,1.13,1.09,1.09,77100,0
2017-03-17,1.1275,1.16,1.05,1.16,29984,0
2017-03-20,1.1,1.1,1.1,1.1,100,0
2017-03-21,1.1,1.1021,1.035,1.05,128900,0
2017-03-22,1.08,1.08,1,1.04,24396,0
2017-03-23,1.03,1.04,0.98,0.98,26594,0
2017-03-24,1.04,1.06,1.04,1.04,500,0
2017-03-27,1.05,1.06,0.96,1.01,86504,0
2017-03-28,1.04,1.05,0.97,1.01,431401,0
2017-03-29,1.05,1.0613,0.99,1.04,217266,0
2017-03-30,1.04,1.07,1.01,1.05,84200,0
2017-03-31,1.02,1.04,1.01,1.04,9355,0
2017-04-03,1.03,1.04,1.01,1.01,10992,0
2017-04-04,1.04,1.04,1.0393,1.0393,16391,0
2017-04-05,1.03,1.22,1.03,1.22,96881,0
2017-04-06,1.12,1.12,1.07,1.11,2712,0
2017-04-07,1.07,1.1,1.06,1.09,12598,0
2017-04-10,1.07,1.07,1.02,1.0414,11000,0
2017-04-11,1.03,1.06,1.03,1.03,12620,0
2017-04-12,1.03,1.03,1,1.01,114100,0
2017-04-13,0.9899,1.24,0.9899,1.24,7042,0
2017-04-17,1.03,1.03,0.99,1.02,13493,0
2017-04-18,1,1.01,0.98,1,109188,0
2017-04-19,0.99,0.99,0.95,0.98,6466,0
2017-04-20,0.95,0.9797,0.95,0.975,58910,0
2017-04-21,1,1.15,0.99,1.15,2223,0
2017-04-24,1.05,1.05,1,1,28296,0
2017-04-25,1.03,1.03,1.02,1.02,14500,0
2017-04-26,1.01,1.09,0.96,1.01,105739,0
2017-04-27,1.04,1.07,1.04,1.07,32872,0
2017-04-28,1.09,1.13,1.08,1.09,56862,0
2017-05-01,1.0311,1.08,1.0201,1.08,1654,0
2017-05-02,1.08,1.1,1.08,1.08,90350,0
2017-05-04,1,1.02,0.989,0.99,143743,0
2017-05-08,0.9601,1.09,0.95,1.09,8915,0
2017-05-09,1.04,1.04,1,1,2092,0
2017-05-10,0.9801,0.9899,0.97,0.97,5742,0
2017-05-11,1.03,1.05,1,1,2800,0
2017-05-12,0.96,0.96,0.96,0.96,500,0
2017-05-15,0.97,0.97,0.9501,0.97,2400,0
2017-05-16,0.979,0.98,0.9002,0.92,5071,0
2017-05-17,0.91,0.91,0.86,0.8601,3702,0
2017-05-18,0.85,0.87,0.85,0.85,22800,0
2017-05-19,0.8601,0.8601,0.85,0.85,11000,0
