Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,23.1,23.2,22.6,23,119418,0
2017-01-04,23.1,23.45,22.85,23.45,130037,0
2017-01-05,23.35,23.4,22.55,22.75,101006,0
2017-01-06,22.8,22.8,22.4,22.5,95205,0
2017-01-09,22.25,22.35,22,22.05,85938,0
2017-01-10,22.1,22.45,21.95,22.2,82802,0
2017-01-11,22.3,22.7,22.157,22.5,153090,0
2017-01-12,22.5,22.55,21.7,21.95,99777,0
2017-01-13,21.9,22.3,21.9,22.1,69165,0
2017-01-17,22.05,22.1,21.7,21.9,84205,0
2017-01-18,21.85,22.025,21.5,21.95,62850,0
2017-01-19,21.9,22,21.55,21.75,87882,0
2017-01-20,21.9,22.1,21.8,22,84567,0
2017-01-23,22,22.2,21.6,21.7,133045,0
2017-01-24,21.9,22.575,21.675,22.4,163838,0
2017-01-25,22.5,22.6,21.91,22.5,158608,0
2017-01-26,22.55,23.1,22.3824,23,130447,0
2017-01-27,22.8,23.1,22.65,22.85,102680,0
2017-01-30,22.6,22.65,21.85,22.05,122421,0
2017-01-31,22.05,22.475,21.7,22.4,115343,0
2017-02-01,22.6,22.6,21.85,22,109603,0
2017-02-02,22.05,22.05,21.4,21.45,112552,0
2017-02-03,21.65,22.375,21.3,22.35,106182,0
2017-02-06,22.15,22.2,21.45,21.6,106673,0
2017-02-07,21.6,21.75,21.1,21.25,164165,0
2017-02-08,21.25,21.5,20.925,21.25,164894,0
2017-02-09,18.45,18.7425,17.6,18.5,887224,0
2017-02-10,18.5,18.8,17.8,17.95,316641,0
2017-02-13,18.05,18.05,17.2,17.45,312944,0
2017-02-14,17.6,17.6,17.2,17.3,292105,0
2017-02-15,17.2,17.75,17.15,17.75,206958,0
2017-02-16,17.65,17.75,16.8,17,428800,0
2017-02-17,17,17.25,16.8,17.25,239487,0
2017-02-21,17.5,17.5,17,17.1,189778,0
2017-02-22,16.95,17.25,16.55,16.7,190276,0
2017-02-23,16.95,16.95,16.4,16.7,205425,0
2017-02-24,16.65,16.75,16.3,16.55,170217,0
2017-02-27,16.65,16.9,16.5,16.65,186900,0
2017-02-28,16.7,16.7,16.15,16.15,206457,0
2017-03-01,16.55,16.75,16.4,16.7,106643,0
2017-03-02,16.55,16.9,16.1,16.3,213904,0
2017-03-03,16.3,16.45,15.8,15.9,225319,0
2017-03-06,16,16.4,15.7,15.95,229055,0
2017-03-07,15.9,16.15,15.65,15.75,252790,0
2017-03-08,15.8,16.2,15.75,16.1,261716,0
2017-03-09,16.7,16.7,15.45,15.7,235714,0
2017-03-10,15.8,16.2,15.4,15.65,145072,0
2017-03-13,15.65,15.8,15.5,15.55,98107,0
2017-03-14,15.45,15.55,15.1,15.3,117151,0
2017-03-15,15.45,15.9,15.25,15.7,298019,0
2017-03-16,15.75,15.85,15.55,15.6,105932,0
2017-03-17,15.55,16.025,15.55,15.9,347811,0
2017-03-20,15.9,16,15.4,15.65,146325,0
2017-03-21,15.8,15.8,15.25,15.25,151159,0
2017-03-22,15.25,15.75,15,15.4,168402,0
2017-03-23,15.4,15.75,15.3292,15.65,123344,0
2017-03-24,15.65,15.85,15.4,15.65,178096,0
2017-03-27,15.45,15.9,15.3,15.75,149368,0
2017-03-28,15.8,16.2,15.625,16.05,136043,0
2017-03-29,16,16.4,15.95,16.2,107720,0
2017-03-30,16.35,16.7,16.175,16.2,127004,0
2017-03-31,16.25,16.55,16.175,16.5,90788,0
2017-04-03,16.55,16.6,15.95,16.05,182078,0
2017-04-04,16.1,16.35,15.925,16.15,119774,0
2017-04-05,16.35,16.5,16.05,16.2,182150,0
2017-04-06,16.25,16.6,16.15,16.55,107598,0
2017-04-07,16.5,16.5,16.1,16.35,138206,0
2017-04-10,16.4,16.85,16.3,16.7,128300,0
2017-04-11,16.65,16.675,16.35,16.4,119779,0
2017-04-12,16.35,16.65,16.3,16.6,162552,0
2017-04-13,16.6,16.775,16.3,16.35,143827,0
2017-04-17,16.45,16.5,16.3,16.35,76925,0
2017-04-18,16.3,16.4,16.1,16.35,101425,0
2017-04-19,16.4,16.55,16.25,16.25,122937,0
2017-04-20,16.35,16.55,16.3,16.45,92933,0
2017-04-21,16.45,16.8,16.25,16.7,164420,0
2017-04-24,16.95,17.1,16.7,16.85,159632,0
2017-04-25,16.95,17.3,16.9,17.15,125496,0
2017-04-26,17.1,17.7,17.1,17.45,165394,0
2017-04-27,17.45,17.45,16.8,16.875,119661,0
2017-04-28,15.55,15.7,11.7,11.75,1267828,0
2017-05-01,11.9,12.5,10.95,12,828450,0
2017-05-02,12.05,12.2218,11.15,11.25,691468,0
2017-05-03,11.2,11.35,10.55,10.8,570787,0
2017-05-04,10.8,10.95,10.4,10.5,337561,0
2017-05-05,10.6,11,10.5,10.75,421513,0
2017-05-08,10.7,11,10.65,10.7,257484,0
2017-05-09,10.7,11.2,10.65,11,444635,0
2017-05-10,10.55,10.775,10,10,686326,0
2017-05-11,10.05,10.5,9.85,9.95,454956,0
2017-05-12,9.9,10,9.65,9.8,511868,0
2017-05-15,9.6,9.9,9.1,9.2,708352,0
2017-05-16,9.25,9.25,8.95,9,535958,0
2017-05-17,8.9,8.95,8.55,8.75,613392,0
2017-05-18,8.75,8.9,8.65,8.85,333481,0
2017-05-19,8.85,8.95,8.55,8.85,347686,0
2017-05-22,8.85,9,8.7,8.75,219278,0
2017-05-23,8.8,8.9,8.5,8.6,447677,0
2017-05-24,8.55,8.9,8.5,8.7,447881,0
2017-05-25,8.75,8.8,8,8.15,571596,0
2017-05-26,8.05,8.6,8.05,8.45,378284,0
2017-05-30,8.4,8.5,8.1,8.2,465909,0
2017-05-31,8.2,8.25,8.1,8.15,546961,0
2017-06-01,8.2,8.6,8.175,8.55,259047,0
2017-06-02,8.55,8.75,8.45,8.5,230194,0
2017-06-05,8.5,8.555,8.3,8.4,193190,0
2017-06-06,8.35,8.4,8.15,8.25,216491,0
2017-06-07,8.25,8.4,8.1,8.225,309318,0
2017-06-08,8.25,8.75,8.1,8.65,260856,0
2017-06-09,8.6,8.95,8.5,8.9,381109,0
2017-06-12,8.9,9.2,8.55,8.6,287709,0
2017-06-13,8.7,8.875,8.55,8.6,237805,0
2017-06-14,8.6,8.6,8.35,8.45,236052,0
2017-06-15,8.35,8.55,8.05,8.2,163993,0
2017-06-16,8.15,8.3,8.05,8.3,937229,0
2017-06-19,8.35,8.35,8.1,8.1,260488,0
2017-06-20,8.1,8.295,8.025,8.1,279271,0
2017-06-21,8.05,8.125,7.8,8.05,499494,0
2017-06-22,8.05,8.35,8.05,8.25,244490,0
2017-06-23,8.25,8.4,8.1,8.15,459968,0
2017-06-26,8.2,9,8.1,8.9,333072,0
2017-06-27,8.85,9.4,8.85,9.05,398080,0
2017-06-28,9,9.2,8.975,9.1,323136,0
2017-06-29,9.2,9.5,9.15,9.3,463740,0
2017-06-30,9.3,9.45,9.2,9.35,229895,0
2017-07-03,9.35,9.5,9.25,9.35,158376,0
2017-07-05,9.35,9.45,9.05,9.3,414958,0
2017-07-06,9.3,9.45,9.25,9.3,288438,0
2017-07-07,9.3,9.45,9.2,9.35,410562,0
2017-07-10,9.25,9.55,9.2,9.3,313998,0
2017-07-11,9.35,9.5,9.25,9.35,268291,0
2017-07-12,9.45,9.525,9.225,9.4,355699,0
2017-07-13,9.45,9.6,9.25,9.45,306815,0
2017-07-14,9.45,9.65,9.4,9.6,151775,0
2017-07-17,9.6,9.7,9.35,9.45,198060,0
2017-07-18,9.5,9.55,9.1,9.25,460402,0
2017-07-19,9.3,9.65,9.3,9.55,335203,0
2017-07-20,9.55,9.7,9.4,9.6,154342,0
2017-07-21,9.65,9.85,9.3,9.3,279138,0
2017-07-24,9.15,9.35,9.15,9.3,201986,0
2017-07-25,9.3,9.5,9.25,9.3,230747,0
2017-07-26,9.3,9.4,9.2,9.35,290136,0
