Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,20.796,20.95,20.664,20.931,27129,0
2017-01-04,21.066,21.135,20.931,21.072,35039,0
2017-01-05,21.085,21.237,21.046,21.145,31139,0
2017-01-06,21.211,21.211,21.095,21.164,39047,0
2017-01-09,21.345,21.355,21.211,21.326,34148,0
2017-01-10,21.434,21.481,21.345,21.395,51014,0
2017-01-11,21.385,21.444,21.3,21.351,38200,0
2017-01-12,21.452,21.472,21.319,21.434,41441,0
2017-01-13,21.434,21.452,21.316,21.336,77821,0
2017-01-17,21.365,21.496,21.297,21.395,51022,0
2017-01-18,21.311,21.485,21.311,21.447,42448,0
2017-01-19,21.438,21.485,21.282,21.291,42518,0
2017-01-20,21.311,21.339,21.185,21.185,37947,0
2017-01-23,21.553,21.553,21.301,21.409,39550,0
2017-01-24,21.418,21.524,21.337,21.447,32939,0
2017-01-25,21.573,21.573,21.438,21.476,32625,0
2017-01-26,21.438,21.504,21.438,21.504,12139,0
2017-01-27,21.514,21.591,21.473,21.573,15250,0
2017-01-30,21.62,21.798,21.62,21.775,30662,0
2017-01-31,21.775,21.891,21.775,21.881,20228,0
2017-02-01,21.775,22.462,21.775,22.23,32717,0
2017-02-02,22.038,22.26,21.96,21.989,30050,0
2017-02-03,21.881,22.182,21.881,22.114,24242,0
2017-02-06,22.095,22.211,22.095,22.201,22739,0
2017-02-07,22.172,22.366,22.172,22.28,16552,0
2017-02-08,22.28,22.308,22.019,22.182,30517,0
2017-02-09,22.356,22.356,22.143,22.201,24699,0
2017-02-10,22.385,22.385,22.075,22.143,18654,0
2017-02-13,22.24,22.24,21.969,21.999,15126,0
2017-02-14,21.969,22.059,21.824,21.834,22319,0
2017-02-15,21.808,21.875,21.507,21.575,37724,0
2017-02-16,21.566,21.594,21.459,21.594,23024,0
2017-02-17,21.603,21.722,21.51,21.575,26365,0
2017-02-21,21.497,21.603,21.459,21.575,33941,0
2017-02-22,21.546,21.653,21.546,21.623,28851,0
2017-02-23,21.663,21.828,21.623,21.827,39232,0
2017-02-24,21.925,21.925,21.808,21.885,25532,0
2017-02-27,21.77,21.822,21.682,21.732,28661,0
2017-02-28,21.798,21.798,21.693,21.702,9430,0
2017-03-01,21.663,21.663,21.517,21.575,18171,0
2017-03-02,21.575,21.594,21.497,21.584,13764,0
2017-03-03,21.546,21.663,21.546,21.663,21014,0
2017-03-06,21.575,21.575,21.473,21.507,23326,0
2017-03-07,21.44,21.546,21.391,21.391,38710,0
2017-03-08,21.371,21.4,21.245,21.284,22637,0
2017-03-09,21.351,21.351,21.099,21.129,19703,0
2017-03-10,21.177,21.177,20.993,21.119,30104,0
2017-03-13,21.168,21.187,21.06,21.109,25604,0
2017-03-14,21.109,21.196,21.099,21.196,12996,0
2017-03-15,21.196,22.043,21.196,21.702,24473,0
2017-03-16,21.732,21.742,21.575,21.623,18893,0
2017-03-17,21.633,21.672,21.556,21.593,7371,0
2017-03-20,21.566,21.741,21.566,21.702,24423,0
