Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,12.895,12.993,12.855,12.993,73333,0
2017-01-04,13.01,13.077,12.993,13.077,71179,0
2017-01-05,13.145,13.145,13.049,13.115,49206,0
2017-01-06,13.058,13.115,12.993,13.096,81198,0
2017-01-09,13.115,13.224,13.115,13.155,110758,0
2017-01-10,13.215,13.224,13.174,13.224,56990,0
2017-01-11,13.24,13.267,13.172,13.267,80101,0
2017-01-12,13.325,13.344,13.192,13.335,61984,0
2017-01-13,13.306,13.344,13.258,13.344,46453,0
2017-01-17,13.373,13.423,13.325,13.344,32415,0
2017-01-18,13.287,13.433,13.287,13.433,94196,0
2017-01-19,13.393,13.413,13.325,13.364,75790,0
2017-01-20,13.364,13.413,13.306,13.364,64143,0
2017-01-23,13.433,13.481,13.413,13.471,29781,0
2017-01-24,13.481,13.49,13.414,13.453,76805,0
2017-01-25,13.413,13.471,13.393,13.443,48813,0
2017-01-26,13.403,13.481,13.403,13.443,61168,0
2017-01-27,13.481,13.567,13.465,13.567,78967,0
2017-01-30,13.538,13.594,13.52,13.538,44713,0
2017-01-31,13.557,13.634,13.557,13.634,50801,0
2017-02-01,13.596,13.644,13.528,13.563,48430,0
2017-02-02,13.605,13.605,13.539,13.558,45707,0
2017-02-03,13.576,13.615,13.567,13.605,29885,0
2017-02-06,13.684,13.684,13.567,13.654,61088,0
2017-02-07,13.615,13.654,13.586,13.615,52348,0
2017-02-08,13.644,13.684,13.634,13.684,43912,0
2017-02-09,13.674,13.674,13.624,13.654,38715,0
2017-02-10,13.654,13.759,13.653,13.704,45609,0
2017-02-13,13.711,13.738,13.681,13.701,61753,0
2017-02-14,13.738,13.738,13.651,13.701,64761,0
2017-02-15,13.612,13.691,13.583,13.602,81139,0
2017-02-16,13.622,13.72,13.583,13.72,90977,0
2017-02-17,13.72,13.777,13.701,13.748,48704,0
2017-02-21,13.748,13.801,13.747,13.757,42501,0
2017-02-22,13.738,13.806,13.711,13.72,47811,0
2017-02-23,13.767,13.796,13.738,13.738,58119,0
