Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,13.247,13.353,13.207,13.353,104011,0
2017-01-04,13.427,13.427,13.362,13.389,50760,0
2017-01-05,13.447,13.467,13.371,13.467,67007,0
2017-01-06,13.427,13.457,13.38,13.437,62632,0
2017-01-09,13.447,13.541,13.447,13.496,22527,0
2017-01-10,13.58,13.589,13.514,13.572,50443,0
2017-01-11,13.55,13.56,13.377,13.474,178560,0
2017-01-12,13.53,13.616,13.511,13.55,54298,0
2017-01-13,13.57,13.578,13.465,13.53,72017,0
2017-01-17,13.597,13.597,13.511,13.53,92581,0
2017-01-18,13.53,13.616,13.523,13.597,65922,0
2017-01-19,13.56,13.583,13.511,13.57,73903,0
2017-01-20,13.597,13.597,13.484,13.54,58452,0
2017-01-23,13.597,13.606,13.511,13.52,70514,0
2017-01-24,13.511,13.53,13.434,13.444,69092,0
2017-01-25,13.464,13.464,13.377,13.386,55504,0
2017-01-26,13.405,13.454,13.404,13.444,61389,0
2017-01-27,13.454,13.503,13.424,13.484,75827,0
2017-01-30,13.493,13.578,13.434,13.56,53804,0
2017-01-31,13.578,13.606,13.55,13.606,49727,0
2017-02-01,13.597,13.615,13.52,13.56,45825,0
2017-02-02,13.597,13.616,13.565,13.616,57180,0
2017-02-03,13.626,13.655,13.57,13.57,61060,0
2017-02-06,13.665,13.695,13.587,13.626,69611,0
2017-02-07,13.685,13.784,13.655,13.675,113813,0
2017-02-08,13.704,13.78,13.675,13.741,43905,0
2017-02-09,13.741,13.741,13.655,13.713,49343,0
2017-02-10,13.685,13.713,13.587,13.587,44458,0
2017-02-13,13.585,13.605,13.567,13.567,60734,0
2017-02-14,13.585,13.605,13.508,13.567,46796,0
2017-02-15,13.527,13.634,13.517,13.634,71365,0
2017-02-16,13.634,13.643,13.585,13.634,37633,0
2017-02-17,13.663,13.683,13.481,13.595,93656,0
2017-02-21,13.605,13.683,13.596,13.683,23564,0
2017-02-22,13.693,13.704,13.634,13.673,39818,0
2017-02-23,13.739,13.787,13.693,13.787,47446,0
2017-02-24,13.797,13.885,13.783,13.875,49646,0
2017-02-27,13.855,13.895,13.846,13.865,37897,0
2017-02-28,13.885,13.913,13.875,13.904,29104,0
2017-03-01,13.836,13.865,13.787,13.816,87263,0
2017-03-02,13.836,13.846,13.759,13.769,52409,0
2017-03-03,13.778,13.816,13.711,13.787,58172,0
2017-03-06,13.739,13.816,13.72,13.729,27659,0
2017-03-07,13.72,13.787,13.653,13.693,36449,0
2017-03-08,13.605,13.642,13.557,13.567,73417,0
2017-03-09,13.557,13.673,13.481,13.673,115709,0
2017-03-10,13.653,13.673,13.517,13.575,59738,0
2017-03-13,13.544,13.544,13.468,13.468,81686,0
2017-03-14,13.458,13.554,13.428,13.534,138419,0
2017-03-15,13.554,13.612,13.458,13.603,138197,0
2017-03-16,13.612,13.622,13.515,13.564,40440,0
2017-03-17,13.583,13.622,13.564,13.612,34120,0
2017-03-20,13.612,13.661,13.603,13.641,30655,0
2017-03-21,13.651,13.681,13.622,13.681,37509,0
2017-03-22,13.7,13.718,13.671,13.7,24796,0
2017-03-23,13.727,13.767,13.681,13.727,44706,0
2017-03-24,13.71,13.767,13.691,13.737,46094,0
2017-03-27,13.757,13.854,13.757,13.825,43816,0
2017-03-28,13.854,13.854,13.767,13.815,47950,0
2017-03-29,13.894,13.894,13.815,13.874,36780,0
2017-03-30,13.864,13.864,13.757,13.786,49969,0
2017-03-31,13.767,13.815,13.757,13.757,40253,0
2017-04-03,13.825,13.845,13.777,13.835,71479,0
2017-04-04,13.825,13.835,13.767,13.825,51283,0
2017-04-05,13.815,13.815,13.727,13.737,65019,0
2017-04-06,13.747,13.825,13.737,13.825,49771,0
2017-04-07,13.864,13.874,13.806,13.825,39060,0
2017-04-10,13.825,13.97,13.825,13.904,86315,0
2017-04-11,13.958,13.978,13.881,13.978,39431,0
2017-04-12,13.978,14.017,13.968,13.988,26940,0
2017-04-13,14.036,14.085,13.988,14.056,81637,0
2017-04-17,14.046,14.056,14.007,14.017,54340,0
2017-04-18,14.036,14.085,14.028,14.065,38165,0
2017-04-19,14.085,14.085,14.046,14.046,30926,0
2017-04-20,14.056,14.065,13.988,13.997,35711,0
2017-04-21,14.046,14.083,14.007,14.026,48167,0
2017-04-24,14.007,14.056,13.978,14.036,46158,0
2017-04-25,14.007,14.007,13.901,13.92,66651,0
2017-04-26,13.92,13.988,13.901,13.929,30326,0
2017-04-27,13.929,13.997,13.929,13.958,62230,0
2017-04-28,13.978,14.017,13.978,14.017,24000,0
2017-05-01,14.036,14.046,13.978,14.026,63230,0
2017-05-02,14.017,14.065,14.017,14.046,29186,0
2017-05-03,14.085,14.105,14.046,14.065,41695,0
2017-05-04,14.036,14.085,14.026,14.046,23720,0
2017-05-05,14.017,14.105,14.017,14.046,27209,0
2017-05-08,14.026,14.075,13.988,13.988,26816,0
2017-05-09,13.988,14.007,13.911,13.929,45136,0
2017-05-10,13.929,13.968,13.884,13.929,32573,0
2017-05-11,13.898,13.986,13.898,13.966,28561,0
2017-05-12,13.986,14.073,13.986,14.064,32070,0
2017-05-15,14.034,14.113,14.034,14.113,24977,0
2017-05-16,14.103,14.113,14.034,14.044,69647,0
2017-05-17,14.064,14.132,14.034,14.064,64238,0
2017-05-18,14.054,14.113,13.986,14.034,58299,0
2017-05-19,14.034,14.073,14.005,14.024,15842,0
2017-05-22,14.005,14.064,13.995,14.015,48713,0
2017-05-23,14.024,14.103,14.015,14.064,68270,0
2017-05-24,14.054,14.093,14.054,14.073,63177,0
2017-05-25,14.064,14.092,14.024,14.083,37966,0
2017-05-26,14.083,14.103,14.015,14.103,35502,0
2017-05-30,14.122,14.161,14.109,14.151,34586,0
2017-05-31,14.113,14.22,14.113,14.22,33887,0
2017-06-01,14.191,14.269,14.191,14.269,55848,0
2017-06-02,14.269,14.298,14.21,14.269,66980,0
2017-06-05,14.288,14.288,14.21,14.21,39896,0
2017-06-06,14.239,14.259,14.201,14.249,32076,0
2017-06-07,14.22,14.269,14.22,14.249,23069,0
2017-06-08,14.288,14.288,14.229,14.269,30265,0
2017-06-09,14.239,14.269,14.201,14.201,29809,0
2017-06-12,14.22,14.227,14.132,14.132,36424,0
2017-06-13,14.169,14.169,14.1,14.129,44110,0
2017-06-14,14.189,14.257,14.179,14.218,58123,0
2017-06-15,14.199,14.257,14.199,14.237,37716,0
2017-06-16,14.277,14.277,14.228,14.277,20346,0
2017-06-19,14.277,14.306,14.257,14.277,50768,0
2017-06-20,14.277,14.316,14.247,14.306,21967,0
2017-06-21,14.286,14.323,14.286,14.286,30406,0
2017-06-22,14.296,14.365,14.267,14.335,44091,0
2017-06-23,14.316,14.335,14.267,14.277,43608,0
2017-06-26,14.286,14.365,14.267,14.267,54379,0
2017-06-27,14.267,14.325,14.257,14.277,37548,0
2017-06-28,14.263,14.335,14.247,14.277,58292,0
2017-06-29,14.237,14.237,14.11,14.129,53019,0
2017-06-30,14.159,14.159,14.08,14.159,36409,0
2017-07-03,14.159,14.228,14.159,14.228,34256,0
2017-07-05,14.169,14.228,14.1,14.228,43752,0
2017-07-06,14.179,14.189,14.09,14.179,65565,0
2017-07-07,14.119,14.149,14.08,14.08,97261,0
2017-07-10,14.09,14.218,14.08,14.218,41434,0
2017-07-11,14.189,14.218,14.179,14.218,32562,0
2017-07-12,14.257,14.286,14.215,14.277,53449,0
