Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,30.914,31.464,29.949,30.509,3236752,0
2017-01-04,30.499,30.837,30.142,30.489,2522972,0
2017-01-05,30.48,31.011,30.21,30.509,2635714,0
2017-01-06,30.557,30.654,30.026,30.287,1579916,0
2017-01-09,29.968,30.027,29.39,29.478,1713212,0
2017-01-10,29.66,29.973,29.395,29.709,2337463,0
2017-01-11,29.94,30.326,29.372,29.959,1979803,0
2017-01-12,30.354,30.383,29.409,29.824,1591419,0
2017-01-13,29.64,30.142,29.293,30.026,1598529,0
2017-01-17,30.383,30.798,29.902,30.046,1736112,0
2017-01-18,29.66,30.23,29.418,30.132,2332259,0
2017-01-19,30.036,30.876,30.036,30.48,3392502,0
2017-01-20,30.76,31.193,30.45,30.692,3653856,0
2017-01-23,30.317,30.586,30.018,30.191,2063465,0
2017-01-24,30.45,31.058,30.413,30.827,2823523,0
2017-01-25,30.673,31.243,30.45,31.039,3490640,0
2017-01-26,29.505,31.107,29.418,29.998,7066029,0
2017-01-27,29.806,29.867,28.565,28.917,4944984,0
2017-01-30,28.753,28.782,26.949,27.403,6092952,0
2017-01-31,27.539,27.904,27.085,27.885,6104434,0
2017-02-01,28.397,28.513,27.432,27.818,5532196,0
2017-02-02,27.894,28.493,27.373,28.242,3302988,0
2017-02-03,28.348,28.859,28.02,28.647,2391868,0
2017-02-06,28.609,28.782,27.894,28.06,2118688,0
2017-02-07,27.383,27.712,26.593,26.959,3821874,0
2017-02-08,26.641,27.461,26.187,27.267,2969463,0
2017-02-09,27.531,27.852,27.307,27.481,2544147,0
2017-02-10,27.92,28.154,27.555,27.716,2679872,0
2017-02-13,27.589,27.803,27.123,27.658,2375687,0
2017-02-14,27.706,27.803,27.257,27.677,2307893,0
2017-02-15,27.491,27.755,27.257,27.434,1720990,0
2017-02-16,27.501,27.725,26.918,27.24,2619238,0
2017-02-17,27.044,27.477,26.859,27.337,2446646,0
2017-02-21,27.745,28.068,27.686,27.803,2210374,0
2017-02-22,27.472,27.561,26.849,27.006,2415365,0
2017-02-23,27.618,27.765,27.053,27.638,3635403,0
2017-02-24,27.23,27.769,27.17,27.394,3350277,0
2017-02-27,27.491,28.095,27.267,27.998,2823858,0
2017-02-28,27.667,27.823,27.481,27.531,4173278,0
2017-03-01,27.959,28.611,27.691,28.524,3321268,0
2017-03-02,28.057,28.435,27.404,27.404,3003150,0
2017-03-03,27.511,27.74,27.23,27.287,2126911,0
2017-03-06,27.249,27.491,26.908,27.472,1757323,0
2017-03-07,27.658,27.745,26.879,26.996,2100371,0
2017-03-08,26.908,26.946,25.089,25.176,3637432,0
2017-03-09,25.059,26.003,24.641,25.935,4946824,0
2017-03-10,26.256,26.295,25.409,25.857,2906690,0
2017-03-13,25.799,26.187,25.497,25.692,3546717,0
2017-03-14,25.234,25.672,24.553,25.565,3236863,0
2017-03-15,26.032,26.552,25.633,26.412,3062523,0
2017-03-16,26.537,26.537,25.866,26.373,2686427,0
2017-03-17,26.49,26.786,26.431,26.5,4057093,0
2017-03-20,26.149,26.664,25.993,26.597,2423817,0
2017-03-21,26.762,26.762,25.74,25.779,2233021,0
2017-03-22,25.594,25.916,25.409,25.702,2053084,0
2017-03-23,25.497,25.73,25.278,25.341,2227059,0
2017-03-24,25.477,25.643,25.04,25.069,2291091,0
2017-03-27,24.67,25.638,24.543,25.545,2043194,0
2017-03-28,25.536,26.626,25.351,26.529,2938290,0
2017-03-29,26.207,27.755,26.207,27.491,2380194,0
2017-03-30,27.774,28.358,27.454,27.521,3943388,0
2017-03-31,27.434,28.017,27.277,27.823,2353350,0
2017-04-03,27.891,27.969,27.16,27.501,2246560,0
2017-04-04,27.531,28.007,27.24,27.94,2010907,0
2017-04-05,28.318,28.601,27.103,27.132,3396937,0
2017-04-06,27.337,27.678,27.151,27.472,1588292,0
2017-04-07,27.394,27.521,27.049,27.103,1789202,0
2017-04-10,27.394,27.72,27.317,27.599,2244508,0
2017-04-11,27.491,27.755,27.132,27.618,2335615,0
2017-04-12,27.667,28.309,27.21,27.347,3134506,0
2017-04-13,27.2,27.608,26.723,26.821,2462785,0
2017-04-17,26.791,27.22,26.791,27.18,2075518,0
2017-04-18,26.928,27.541,26.742,26.996,2041070,0
2017-04-19,27.093,27.267,26.08,26.159,2331871,0
2017-04-20,26.276,26.645,26.032,26.052,2223070,0
2017-04-21,25.896,26.534,25.75,26.246,4096863,0
2017-04-24,26.537,26.616,25.973,26.022,3283465,0
2017-04-25,26.062,26.674,25.847,26.616,2208140,0
2017-04-26,26.393,27.439,26.304,26.48,3072207,0
2017-04-27,26.169,26.227,25.191,25.74,4997666,0
2017-04-28,26.032,26.062,25.448,25.477,2520509,0
2017-05-01,25.458,25.682,25.303,25.39,2731833,0
2017-05-02,25.438,25.769,24.957,25.215,2692648,0
2017-05-03,24.952,25.419,24.66,25.01,3135645,0
2017-05-04,24.758,24.845,23.385,24.621,7449452,0
2017-05-05,24.698,25.545,24.54,25.477,4572898,0
2017-05-08,25.409,26.256,25.283,26.08,3700376,0
2017-05-09,26.149,26.169,25.613,25.916,2279880,0
2017-05-10,26.256,27.083,26.018,26.664,2952069,0
2017-05-11,26.93,27.048,26.301,26.448,2128975,0
2017-05-12,26.438,26.498,25.928,26.105,2405571,0
2017-05-15,26.861,27.038,25.879,26.144,2811012,0
2017-05-16,26.38,26.419,25.623,25.712,2519671,0
2017-05-17,25.319,26.026,25.24,25.515,2238460,0
2017-05-18,25.378,25.703,25.014,25.447,2502079,0
2017-05-19,25.673,26.4,25.594,26.34,1869814,0
2017-05-22,26.556,26.635,26.125,26.292,2460736,0
2017-05-23,26.292,26.33,25.894,25.987,2547808,0
2017-05-24,25.829,26.363,25.54,25.771,3020498,0
2017-05-25,25.703,26.242,24.533,24.7,2996850,0
2017-05-26,24.75,25.014,24.494,24.858,2232010,0
2017-05-30,24.533,24.681,24.189,24.229,2324804,0
2017-05-31,23.758,23.988,23.374,23.973,4653331,0
2017-06-01,24.043,24.622,23.699,24.327,2379436,0
2017-06-02,24.071,24.141,23.463,23.63,2125376,0
2017-06-05,23.502,24.023,23.336,23.787,2321568,0
2017-06-06,23.699,24.524,23.522,24.377,2846039,0
2017-06-07,24.131,24.396,23.188,23.689,3890389,0
2017-06-08,23.463,24.106,23.463,23.64,3349197,0
2017-06-09,23.728,24.916,23.679,24.76,2512468,0
2017-06-12,25.132,25.535,24.553,25.132,3583640,0
2017-06-13,25.152,25.919,25.064,25.839,3417878,0
2017-06-14,25.594,25.594,24.288,24.445,3652362,0
2017-06-15,24.317,24.789,23.669,23.895,4054939,0
2017-06-16,24.071,24.916,23.522,24.906,5766030,0
