Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,4.8,5.02,4.702,4.99,5314,0
2017-01-05,4.83,4.9189,4.76,4.9189,4960,0
2017-01-06,4.98,4.98,4.894,4.9157,4975,0
2017-01-09,4.74,4.75,4.74,4.75,1300,0
2017-01-10,4.5646,4.65,4.5,4.65,6806,0
2017-01-11,4.58,4.65,4.52,4.6321,1856,0
2017-01-12,4.63,4.63,4.2498,4.5,9923,0
2017-01-13,4.7,4.7,4.6,4.62,4177,0
2017-01-17,4.7,4.8,4.6736,4.6736,806,0
2017-01-18,4.68,4.7304,4.68,4.73,7838,0
2017-01-19,4.72,4.743,4.7,4.7,1227,0
2017-01-20,4.7505,5.14,4.7375,5.1,2683,0
2017-01-23,4.94,5.0429,4.89,5.0429,6518,0
2017-01-24,5.22,5.2348,4.98,5.233,5202,0
2017-01-25,5.05,5.16,5.05,5.1,1399,0
2017-01-26,5.15,5.3,5.14,5.1671,2349,0
2017-01-27,5.2,5.3948,5.2,5.288,3710,0
2017-01-30,5.38,5.38,5.1615,5.36,11949,0
2017-01-31,5.25,5.28,5.12,5.28,1013,0
2017-02-01,5.25,5.34,5.02,5.1104,3472,0
2017-02-02,5.15,5.2582,5.15,5.2,1366,0
2017-02-03,5.21,5.33,4.8649,5.33,5737,0
2017-02-07,5.09,5.2173,5.05,5.09,1904,0
2017-02-08,5.1,5.1,5.1,5.1,209,0
2017-02-09,5.15,5.3975,5.15,5.36,1046,0
2017-02-10,5.21,5.39,5.1101,5.39,2647,0
2017-02-14,5.16,5.34,4.8901,5.34,3704,0
2017-02-15,5.25,5.25,5.25,5.25,1189,0
2017-02-17,5.06,5.06,4.22,4.74,17223,0
2017-02-21,5.1529,5.19,4.75,4.95,6874,0
2017-02-22,4.82,4.82,4.5669,4.76,968,0
2017-02-23,4.71,4.71,4.35,4.7,4120,0
2017-02-24,4.65,4.65,4.42,4.4753,2735,0
2017-02-27,4.35,4.4253,4.24,4.35,3388,0
2017-02-28,4.26,4.4,4.15,4.4,26215,0
2017-03-01,4.46,4.7,4.15,4.5,63467,0
2017-03-02,4.4,4.4,4.1,4.15,6229,0
2017-03-03,4.1173,4.31,4.039,4.25,3453,0
2017-03-06,4.22,4.26,4.0501,4.26,26179,0
2017-03-07,4.25,4.3,3.99,3.99,51930,0
2017-03-08,4.07,4.16,3.99,4.0702,5860,0
2017-03-09,3.99,3.99,3.9,3.9,1629,0
2017-03-10,3.71,3.889,3.68,3.78,10532,0
2017-03-13,3.81,3.88,3.52,3.53,12856,0
2017-03-14,3.51,3.6001,3.134,3.52,31201,0
2017-03-15,3.47,3.6,3.3899,3.6,8511,0
