Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,30.268,30.415,29.945,30.209,296971,0
2017-01-04,30.307,30.933,30.297,30.699,645631,0
2017-01-05,30.532,30.905,30.453,30.561,634362,0
2017-01-06,30.483,30.659,30.366,30.463,594433,0
2017-01-09,30.463,30.81,30.209,30.473,711645,0
2017-01-10,30.503,30.717,30.385,30.58,459159,0
2017-01-11,30.63,30.727,30.503,30.689,173058,0
2017-01-12,30.58,30.58,29.905,30.239,434074,0
2017-01-13,30.375,30.59,30.094,30.434,231473,0
2017-01-17,30.277,30.405,29.633,29.691,444803,0
2017-01-18,29.819,30.277,29.809,30.024,208146,0
2017-01-19,30.014,30.219,29.613,29.886,412367,0
2017-01-20,29.886,30.239,29.886,30.219,361791,0
2017-01-23,30.16,30.326,29.955,30.326,448715,0
2017-01-24,30.356,30.952,30.307,30.933,441969,0
2017-01-25,31.149,31.275,31.029,31.255,473068,0
2017-01-26,31.285,31.334,30.952,31.02,484349,0
2017-01-27,29.133,30.59,29.133,30.424,994701,0
2017-01-30,30.307,30.649,30.16,30.561,607804,0
2017-01-31,30.366,30.806,30.366,30.717,498108,0
2017-02-01,30.727,30.982,30.61,30.923,484953,0
2017-02-02,30.746,30.943,29.879,30.923,464474,0
2017-02-03,31.002,31.24,30.845,31.167,361601,0
2017-02-06,31.011,31.255,30.826,30.864,325998,0
2017-02-07,30.903,30.952,30.551,30.727,306566,0
2017-02-08,30.561,30.679,30.444,30.64,570265,0
2017-02-09,30.737,31.181,30.403,31.142,251908,0
2017-02-10,31.152,31.329,31.023,31.259,310741,0
2017-02-13,31.269,31.486,31.269,31.377,251755,0
2017-02-14,31.377,31.377,31.186,31.2,353880,0
2017-02-15,31.191,31.387,31.072,31.359,260984,0
2017-02-16,31.299,31.555,31.102,31.416,426714,0
2017-02-17,31.319,31.683,30.984,31.565,369769,0
2017-02-21,31.516,31.889,31.486,31.859,550629,0
2017-02-22,31.762,31.969,31.683,31.869,434504,0
2017-02-23,31.969,31.969,31.506,31.899,371674,0
2017-02-24,31.722,31.949,31.446,31.949,222941,0
2017-02-27,31.84,31.988,31.732,31.988,451353,0
2017-02-28,31.969,32.026,31.648,31.781,679455,0
2017-03-01,32.026,32.391,31.969,32.293,484980,0
2017-03-02,32.273,32.273,31.643,31.653,355088,0
2017-03-03,31.722,31.899,31.593,31.781,263907,0
2017-03-06,31.722,31.929,31.623,31.722,208528,0
2017-03-07,31.613,31.869,31.575,31.653,238396,0
2017-03-08,31.683,31.732,31.545,31.643,196688,0
2017-03-09,31.663,31.732,31.526,31.643,306954,0
2017-03-10,31.712,31.949,31.535,31.791,307021,0
2017-03-13,31.82,31.889,31.712,31.801,291674,0
2017-03-14,31.781,31.791,31.585,31.722,258817,0
2017-03-15,31.879,32.146,31.671,32.096,477753,0
2017-03-16,32.096,32.253,31.889,31.988,283676,0
2017-03-17,32.017,32.185,31.772,31.988,937295,0
2017-03-20,31.998,32.126,31.772,32.017,426254,0
2017-03-21,32.056,32.076,31.281,31.349,541312,0
2017-03-22,31.339,31.416,31.082,31.191,380693,0
2017-03-23,31.152,31.752,30.895,31.643,559721,0
2017-03-24,31.702,31.959,31.416,31.526,307276,0
2017-03-27,31.112,31.623,30.974,31.516,394040,0
2017-03-28,31.486,31.902,31.486,31.859,335828,0
2017-03-29,31.859,32.194,31.762,32.116,343230,0
2017-03-30,32.106,32.333,31.993,32.273,393433,0
2017-03-31,32.233,32.391,32.036,32.036,372245,0
2017-04-03,32.076,32.36,31.476,31.692,693104,0
2017-04-04,31.643,31.84,31.545,31.752,439882,0
2017-04-05,31.83,31.949,31.072,31.466,686072,0
2017-04-06,31.476,31.762,31.279,31.722,278346,0
2017-04-07,31.593,31.869,31.349,31.663,229086,0
2017-04-10,31.683,31.924,31.593,31.623,199599,0
2017-04-11,31.565,31.869,31.476,31.84,263406,0
2017-04-12,31.791,31.83,31.309,31.406,213075,0
2017-04-13,31.368,31.516,31.279,31.289,214186,0
2017-04-17,31.406,31.81,31.309,31.801,237537,0
2017-04-18,31.722,32.185,31.712,32.175,365360,0
2017-04-19,32.204,32.618,32.056,32.598,507802,0
2017-04-20,32.648,32.992,32.618,32.922,332166,0
2017-04-21,32.952,32.982,32.765,32.922,363264,0
2017-04-24,33.218,33.728,32.922,33.69,388037,0
2017-04-25,33.829,34.212,33.809,34.055,466343,0
2017-04-26,33.966,34.114,33.877,34.006,379750,0
2017-04-27,34.114,34.35,33.719,34.246,373673,0
2017-04-28,34.202,35.098,32.743,34.359,920730,0
2017-05-01,34.359,34.448,33.71,33.917,820200,0
2017-05-02,33.512,33.848,33.465,33.662,820351,0
2017-05-03,33.435,33.739,33.365,33.617,563613,0
2017-05-04,33.612,33.981,33.612,33.907,338647,0
2017-05-05,33.956,34.448,33.902,34.429,412244,0
2017-05-08,34.222,34.557,34.184,34.424,450193,0
2017-05-09,34.448,34.448,34.246,34.379,336949,0
2017-05-10,34.369,34.803,34.34,34.754,685620,0
2017-05-11,34.684,36.14,34.191,35.684,4273207,0
2017-05-12,35.595,35.823,35.486,35.793,853325,0
2017-05-15,35.793,36.635,35.793,36.447,779204,0
2017-05-16,36.337,36.427,35.991,36.229,677568,0
2017-05-17,35.813,36.14,35.813,35.882,1206530,0
2017-05-18,35.852,36.125,35.634,36.09,730988,0
2017-05-19,36.229,36.763,36.229,36.743,756167,0
2017-05-22,36.843,37.417,36.813,37.417,776851,0
2017-05-23,37.625,37.625,37.189,37.407,875544,0
2017-05-24,37.407,37.526,36.763,36.853,796065,0
2017-05-25,37.021,37.803,36.873,37.773,673624,0
2017-05-26,37.823,38.233,37.783,37.922,615787,0
2017-05-30,37.823,38.13,37.783,37.962,1839922,0
2017-05-31,37.932,38.12,37.447,37.773,681922,0
2017-06-01,37.912,38.12,37.615,38.12,653726,0
2017-06-02,38.12,38.609,38.031,38.466,422384,0
2017-06-05,38.258,38.526,38.229,38.328,437285,0
2017-06-06,38.219,38.744,38.09,38.586,697360,0
2017-06-07,38.774,39.209,38.609,39.031,539695,0
2017-06-08,39.05,39.496,38.922,39.427,488654,0
2017-06-09,39.605,40.179,39.021,39.308,661795,0
2017-06-12,39.239,39.466,37.872,38.288,822315,0
2017-06-13,38.526,38.744,38.268,38.614,907692,0
2017-06-14,38.734,38.892,38.308,38.644,604581,0
2017-06-15,38.268,38.506,37.991,38.506,357574,0
2017-06-16,38.486,38.784,38.353,38.744,859897,0
2017-06-19,38.932,39.427,38.837,39.397,480811,0
2017-06-20,39.348,39.378,38.764,38.803,636756,0
2017-06-21,38.912,39.16,38.872,38.942,300249,0
2017-06-22,38.902,39.13,38.556,38.972,999513,0
2017-06-23,39.011,39.506,38.922,39.407,883605,0
2017-06-26,39.526,39.833,39.268,39.476,433845,0
2017-06-27,39.348,39.699,39.13,39.437,1747988,0
2017-06-28,39.526,40.021,39.437,39.951,1074482,0
2017-06-29,39.912,39.912,39.044,39.486,2689752,0
2017-06-30,39.565,40.031,39.536,39.823,835777,0
2017-07-03,39.951,40.397,39.58,39.783,320993,0
2017-07-05,39.873,40.011,39.615,39.734,896701,0
2017-07-06,39.516,39.902,39.308,39.368,2110708,0
2017-07-07,39.387,39.932,39.387,39.833,385040,0
2017-07-10,39.773,40.021,39.412,39.595,1216613,0
2017-07-11,39.605,40.1,39.506,40.051,771244,0
2017-07-12,40.259,40.803,39.368,40.753,387799,0
2017-07-13,40.724,41.001,40.447,40.883,505833,0
2017-07-14,40.892,41.694,40.892,41.526,399379,0
2017-07-17,41.566,41.754,41.308,41.684,471016,0
2017-07-18,41.546,41.779,41.397,41.556,446333,0
2017-07-19,41.654,42.219,41.466,42.21,376169,0
2017-07-20,42.288,42.446,42.04,42.1,445816,0
2017-07-21,42.07,42.308,41.952,42.258,230909,0
2017-07-24,42.258,42.744,42.15,42.625,557310,0
2017-07-25,42.882,43.308,42.11,43.071,736929,0
2017-07-26,43.13,43.308,42.486,42.566,765965,0
2017-07-27,42.803,42.803,42.1,42.378,715782,0
2017-07-28,43.061,43.071,40.892,40.971,1038130,0
2017-07-31,41.11,41.259,40.545,40.734,1143497,0
2017-08-01,40.675,41.516,40.644,41.338,916329,0
2017-08-02,41.278,41.308,40.219,40.347,573795,0
2017-08-03,40.337,40.625,40.209,40.397,726361,0
2017-08-04,40.397,40.497,40.149,40.204,397834,0
2017-08-07,40.179,40.347,39.873,40.209,727222,0
2017-08-08,40.179,40.397,40.041,40.209,481025,0
2017-08-09,40.011,40.229,39.803,39.843,527138,0
2017-08-10,39.644,39.907,39.365,39.395,388951,0
2017-08-11,39.375,39.723,39.265,39.395,495161,0
2017-08-14,39.683,40.042,39.584,39.922,562885,0
2017-08-15,40.032,40.032,39.534,39.554,320209,0
2017-08-16,39.624,39.992,39.435,39.902,333469,0
2017-08-17,39.673,39.828,39.007,39.027,602215,0
2017-08-18,38.977,39.096,38.618,38.778,552813,0
2017-08-21,38.798,38.837,38.519,38.688,369165,0
2017-08-22,38.857,39.843,38.788,39.803,541944,0
2017-08-23,39.514,39.793,39.345,39.355,296590,0
2017-08-24,39.514,39.514,39.166,39.246,173011,0
2017-08-25,39.425,39.646,39.186,39.186,287765,0
2017-08-28,39.226,39.644,38.987,39.574,385227,0
2017-08-29,39.335,39.459,39.186,39.345,559831,0
2017-08-30,39.405,39.892,39.325,39.803,200954,0
2017-08-31,39.883,40.211,39.733,40.201,360180,0
2017-09-01,40.301,40.301,39.922,40.101,233177,0
2017-09-05,40.082,40.191,39.265,39.445,570142,0
2017-09-06,39.564,39.564,38.967,39.116,300870,0
2017-09-07,39.116,39.509,38.967,39.484,287261,0
2017-09-08,39.425,39.793,39.191,39.425,234255,0
2017-09-11,39.813,40.201,39.644,40.171,463396,0
2017-09-12,40.231,40.45,39.833,40.39,463795,0
2017-09-13,40.33,40.5,39.952,40.281,321408,0
2017-09-14,40.171,40.41,39.972,40.291,274025,0
2017-09-15,40.261,40.505,40.141,40.5,601619,0
2017-09-18,40.539,40.903,40.48,40.798,423289,0
2017-09-19,40.818,40.868,40.589,40.778,447211,0
2017-09-20,40.808,40.918,40.559,40.758,469369,0
2017-09-21,40.689,40.878,40.505,40.649,400164,0
2017-09-22,40.679,40.948,40.559,40.888,334824,0
2017-09-25,40.768,40.982,40.589,40.928,334516,0
2017-09-26,41.007,41.306,40.798,40.838,397812,0
2017-09-27,41.097,41.664,40.967,41.525,379943,0
2017-09-28,41.375,41.873,41.276,41.823,287344,0
2017-09-29,41.734,42.212,41.724,41.973,392557,0
2017-10-02,41.973,42.351,41.823,42.351,327743,0
2017-10-03,42.251,42.759,40.967,42.709,358446,0
2017-10-04,42.61,43.296,42.57,43.018,919919,0
2017-10-05,43.097,43.127,42.649,42.998,447002,0
2017-10-06,42.888,43.197,42.819,43.137,386847,0
2017-10-09,43.296,43.665,43.257,43.505,299878,0
2017-10-10,43.635,44.043,43.466,44.033,471002,0
2017-10-11,43.993,44.58,43.884,44.561,622624,0
2017-10-12,44.551,44.939,44.551,44.67,397419,0
2017-10-13,44.75,45.088,44.391,44.441,536413,0
2017-10-16,44.61,44.68,44.103,44.232,533211,0
2017-10-17,44.113,44.521,43.824,44.003,673074,0
2017-10-18,44.103,44.142,43.695,43.933,509626,0
2017-10-19,43.724,43.724,43.306,43.456,671086,0
2017-10-20,43.784,44.103,43.739,43.914,335096,0
2017-10-23,43.894,44.018,43.635,43.695,315940,0
2017-10-24,43.794,44.053,43.675,43.794,606097,0
2017-10-25,43.764,44.133,43.496,44.043,610119,0
2017-10-26,44.123,44.391,43.794,44.142,875215,0
2017-10-27,43.366,46.113,42.54,45.665,1897124,0
2017-10-30,45.277,45.635,44.093,44.839,998968,0
2017-10-31,45.078,45.337,44.675,44.789,1171604,0
2017-11-01,44.889,45.556,44.65,44.779,1441128,0
2017-11-02,44.551,44.879,44.202,44.58,616824,0
2017-11-03,44.501,44.849,44.192,44.491,1143433,0
2017-11-06,44.411,45.586,44.381,45.481,542272,0
2017-11-07,45.267,45.526,44.849,45.008,510326,0
2017-11-08,44.889,45.153,44.819,44.889,585334,0
2017-11-09,44.561,44.685,44.053,44.67,324583,0
2017-11-10,44.55,45.13,44.43,44.91,437920,0
