Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,15.149,15.149,14.307,14.406,74335,0
2017-01-04,14.554,14.554,14.337,14.406,13395,0
2017-01-05,14.208,14.307,14.01,14.257,7539,0
2017-01-06,14.307,14.307,13.861,13.861,4644,0
2017-01-09,13.911,13.911,12.871,12.871,17957,0
2017-01-10,12.574,12.871,12.327,12.574,19716,0
2017-01-11,12.624,12.624,12.376,12.475,4869,0
2017-01-12,12.426,12.723,12.426,12.624,7971,0
2017-01-13,12.574,12.97,12.475,12.871,4209,0
2017-01-17,12.772,13.713,12.772,12.772,7159,0
2017-01-18,12.673,13.119,12.624,12.624,5289,0
2017-01-19,12.937,12.937,12.426,12.525,5494,0
2017-01-20,12.426,12.871,12.376,12.574,8607,0
2017-01-23,12.822,12.847,12.624,12.772,16376,0
2017-01-24,13.069,13.069,12.723,12.921,13124,0
2017-01-25,13.119,13.119,12.772,12.871,3143,0
2017-01-26,12.822,12.871,12.723,12.871,3055,0
2017-01-27,12.822,12.822,12.723,12.723,3474,0
2017-01-30,12.723,12.772,12.376,12.426,11580,0
2017-01-31,12.509,12.723,12.376,12.624,7728,0
2017-02-01,12.624,12.772,12.376,12.426,7856,0
2017-02-02,12.376,12.475,12.376,12.475,3211,0
2017-02-03,12.475,12.475,12.376,12.426,18660,0
2017-02-06,12.426,12.426,11.98,12.079,14347,0
2017-02-07,12.258,12.258,11.639,11.733,3931,0
2017-02-08,11.634,11.733,11.139,11.188,12734,0
2017-02-09,11.46,11.782,11.46,11.733,6123,0
2017-02-10,11.881,12.178,11.782,12.079,18354,0
2017-02-13,12.376,12.475,12.277,12.376,13684,0
2017-02-14,12.129,12.475,12.081,12.426,18602,0
2017-02-15,12.327,12.363,11.861,12.03,14687,0
2017-02-16,12.178,12.178,11.634,11.733,6882,0
2017-02-17,11.832,12.03,11.733,11.881,10468,0
2017-02-21,11.98,11.98,11.485,11.584,5743,0
2017-02-22,11.436,11.535,10.941,11.139,8102,0
