Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,19.914,20.012,19.824,20.012,25047,0
2017-01-04,20.041,20.185,20.036,20.165,14420,0
2017-01-05,20.117,20.337,20.117,20.298,26508,0
2017-01-06,20.345,20.365,20.317,20.355,8090,0
2017-01-09,20.414,20.433,20.354,20.395,13015,0
2017-01-10,20.424,20.547,20.424,20.48,8055,0
2017-01-11,20.37,20.495,20.37,20.41,7744,0
2017-01-12,20.448,20.464,20.366,20.39,3723,0
2017-01-13,20.37,20.37,20.323,20.323,3458,0
2017-01-17,20.35,20.505,20.255,20.293,27210,0
2017-01-18,20.302,20.326,20.149,20.169,26414,0
2017-01-19,20.12,20.153,19.997,20.053,13075,0
2017-01-20,20.025,20.111,19.987,20.111,12353,0
2017-01-23,20.188,20.188,19.968,20.188,5095,0
2017-01-24,20.101,20.19,20.063,20.188,17490,0
2017-01-25,20.081,20.149,20.007,20.007,11261,0
2017-01-26,20.025,20.149,19.997,20.149,22343,0
2017-01-27,20.169,20.255,20.148,20.218,6450,0
2017-01-30,20.236,20.36,20.236,20.36,6619,0
2017-01-31,20.35,20.457,20.332,20.457,17503,0
2017-02-01,20.448,20.956,20.293,20.611,44709,0
2017-02-02,20.716,20.716,20.231,20.581,27937,0
2017-02-03,20.476,20.601,20.476,20.553,32958,0
2017-02-06,20.591,20.591,20.312,20.476,36081,0
2017-02-07,20.38,20.571,20.322,20.514,25888,0
2017-02-08,20.523,20.832,20.523,20.792,20396,0
2017-02-09,20.668,20.97,20.668,20.754,16889,0
2017-02-10,20.678,20.726,20.678,20.697,16640,0
2017-02-13,20.731,20.731,20.596,20.626,5307,0
2017-02-14,20.596,20.813,20.499,20.596,22530,0
2017-02-15,20.626,20.673,20.394,20.509,96331,0
2017-02-16,20.434,20.596,20.404,20.538,17223,0
2017-02-17,20.5,20.598,20.47,20.49,34307,0
2017-02-21,20.423,20.538,20.326,20.451,24678,0
2017-02-22,20.49,20.518,20.432,20.432,19808,0
2017-02-23,20.47,20.538,20.47,20.528,11262,0
2017-02-24,20.528,20.616,20.528,20.616,8046,0
2017-02-27,20.596,20.596,20.538,20.557,8387,0
2017-02-28,20.509,20.595,20.509,20.538,28004,0
2017-03-01,20.461,20.49,20.433,20.451,25667,0
2017-03-02,20.5,20.5,20.268,20.297,24433,0
2017-03-03,20.268,20.306,20.201,20.297,29896,0
2017-03-06,20.23,20.326,20.23,20.325,17370,0
2017-03-07,20.201,20.287,20.201,20.249,17401,0
2017-03-08,20.152,20.152,20.079,20.123,14687,0
2017-03-09,20.094,20.094,19.969,19.989,33872,0
2017-03-10,19.989,20.027,19.96,20.009,5646,0
2017-03-13,19.857,20.052,19.857,19.974,20094,0
2017-03-14,19.925,19.965,19.925,19.947,5703,0
2017-03-15,20.004,20.236,20.002,20.236,15456,0
2017-03-16,20.12,20.227,20.1,20.197,30853,0
2017-03-17,20.12,20.371,20.12,20.371,16393,0
2017-03-20,20.366,20.663,20.351,20.634,25795,0
2017-03-21,20.672,20.787,20.663,20.787,10439,0
2017-03-22,20.787,20.876,20.783,20.866,21071,0
2017-03-23,20.827,21.01,20.827,20.981,29427,0
2017-03-24,20.953,20.991,20.921,20.991,1915,0
2017-03-27,20.827,21.224,20.827,21.111,17138,0
2017-03-28,21.108,21.108,20.904,20.904,14748,0
2017-03-29,20.847,20.935,20.807,20.895,8050,0
2017-03-30,20.886,20.924,20.817,20.817,14230,0
2017-03-31,20.807,20.963,20.807,20.963,43424,0
2017-04-03,20.963,20.963,20.871,20.944,13107,0
2017-04-04,21.07,21.07,20.837,20.934,22043,0
2017-04-05,20.909,20.909,20.778,20.847,8852,0
2017-04-06,20.857,20.904,20.817,20.904,4797,0
2017-04-07,20.817,20.972,20.797,20.797,5124,0
2017-04-10,20.904,20.904,20.834,20.886,5381,0
2017-04-11,20.959,20.987,20.926,20.987,7008,0
2017-04-12,20.969,20.969,20.881,20.881,3779,0
2017-04-13,20.927,20.927,20.91,20.92,1697,0
2017-04-17,20.922,20.956,20.857,20.857,7461,0
2017-04-18,20.861,20.861,20.735,20.822,11967,0
2017-04-19,20.843,20.93,20.842,20.93,27858,0
2017-04-20,20.842,20.842,20.812,20.824,2743,0
2017-04-21,20.871,20.871,20.792,20.792,5076,0
2017-04-24,20.773,20.773,20.637,20.647,10538,0
2017-04-25,20.637,20.704,20.482,20.482,15317,0
2017-04-26,20.482,20.618,20.453,20.618,19830,0
2017-04-27,20.716,20.802,20.644,20.802,25179,0
