Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,41.594,41.692,40.711,41.181,149238,0
2017-01-04,41.24,41.761,40.936,41.662,167456,0
2017-01-05,41.564,41.584,40.397,40.691,118876,0
2017-01-06,40.819,40.897,40.436,40.641,82663,0
2017-01-09,40.475,40.887,39.887,40.259,148366,0
2017-01-10,40.465,41.21,40.436,40.956,159474,0
2017-01-11,40.996,41.21,40.48,41.21,115420,0
2017-01-12,41.133,41.133,39.847,40.21,100476,0
2017-01-13,40.298,41.397,40.298,40.868,136005,0
2017-01-17,40.554,40.789,39.592,39.68,121247,0
2017-01-18,39.887,40.22,39.415,40.201,116704,0
2017-01-19,40.269,40.397,39.827,40.24,165650,0
2017-01-20,40.288,41.113,40.288,40.573,108233,0
2017-01-23,40.583,40.661,40.171,40.397,73194,0
2017-01-24,40.465,41.711,40.465,41.467,243347,0
2017-01-25,41.751,41.751,40.23,40.623,197721,0
2017-01-26,40.77,40.916,40.397,40.779,126760,0
2017-01-27,40.828,40.828,40.102,40.465,67867,0
2017-01-30,40.044,40.044,39.258,39.523,109498,0
2017-01-31,39.347,40.083,38.759,39.974,136337,0
2017-02-01,40.083,40.72,39.465,39.503,143077,0
2017-02-02,39.248,39.503,38.728,38.847,114495,0
2017-02-03,39.356,39.935,39.248,39.74,142132,0
2017-02-06,39.337,39.926,39.081,39.18,71613,0
2017-02-07,39.366,39.415,38.611,38.954,56595,0
2017-02-08,38.748,38.748,38.09,38.522,89034,0
2017-02-09,38.561,39.308,38.513,39.101,64548,0
2017-02-10,39.356,39.42,38.974,39.327,81515,0
2017-02-13,39.396,40.093,39.121,39.867,93171,0
2017-02-14,39.877,40.661,39.7,40.377,89833,0
2017-02-15,40.23,40.711,40.23,40.573,61141,0
2017-02-16,40.573,40.72,40.24,40.661,68056,0
2017-02-17,40.613,40.641,40.259,40.593,106094,0
2017-02-21,40.661,40.828,40.387,40.779,61042,0
2017-02-22,40.641,41.2,40.24,41.025,157312,0
2017-02-23,41.113,41.486,38.778,41.377,141951,0
2017-02-24,40.858,41.26,40.426,40.73,186964,0
2017-02-27,40.73,40.869,40.348,40.533,126145,0
2017-02-28,40.474,40.474,39.654,39.842,101340,0
2017-03-01,40.533,41.265,40.429,41.155,132446,0
2017-03-02,41.243,41.243,39.921,39.96,96139,0
2017-03-03,40.158,40.345,39.862,40.128,76246,0
2017-03-06,39.774,40.237,39.546,40.03,71656,0
2017-03-07,39.98,40.469,39.654,39.774,72844,0
2017-03-08,40.158,40.631,39.092,39.152,103688,0
2017-03-09,39.22,39.812,39.063,39.172,64039,0
2017-03-10,39.566,39.566,38.629,38.934,74783,0
2017-03-13,39.048,39.764,38.974,39.122,61544,0
2017-03-14,38.875,39.339,38.579,39.181,72107,0
2017-03-15,39.546,39.862,39.27,39.31,145131,0
2017-03-16,39.596,39.892,39.398,39.802,99166,0
2017-03-17,39.586,40.059,39.072,39.98,374886,0
2017-03-20,39.931,40.232,39.32,39.576,80329,0
2017-03-21,39.802,39.802,37.297,37.336,180949,0
2017-03-22,36.991,37.267,35.777,36.566,195664,0
2017-03-23,36.448,37.346,36.182,36.803,107886,0
2017-03-24,37.04,37.326,36.616,36.843,209384,0
2017-03-27,36.064,36.685,35.481,36.586,95341,0
2017-03-28,36.379,37.07,36.231,36.971,126950,0
2017-03-29,36.784,36.862,36.359,36.537,112914,0
2017-03-30,36.606,37.573,36.606,37.435,249020,0
2017-03-31,37.346,37.346,36.498,36.576,169445,0
2017-04-03,36.507,36.685,35.777,35.916,196720,0
2017-04-04,35.738,36.488,35.738,36.172,145275,0
2017-04-05,36.537,36.991,35.944,35.974,246346,0
2017-04-06,36.004,36.398,35.748,36.29,78838,0
2017-04-07,36.064,36.438,35.926,36.182,142890,0
2017-04-10,36.202,36.468,35.6,35.916,95912,0
2017-04-11,35.688,36.546,35.688,36.546,81943,0
2017-04-12,36.389,36.517,35.678,35.846,71854,0
2017-04-13,35.688,35.964,35.086,35.086,111870,0
2017-04-17,35.126,35.916,35.007,35.886,70220,0
2017-04-18,35.629,35.896,35.294,35.806,91788,0
2017-04-19,35.974,36.546,35.974,36.182,85384,0
2017-04-20,36.064,36.981,35.768,36.971,93166,0
2017-04-21,36.902,37.317,36.675,37.149,138209,0
2017-04-24,38.017,38.333,37.761,38.095,131519,0
2017-04-25,38.599,40.306,37.503,38.638,198016,0
2017-04-26,38.638,39.902,38.638,39.664,170067,0
2017-04-27,39.764,39.792,38.752,38.915,129616,0
2017-04-28,38.915,39.014,37.632,37.671,209622,0
2017-05-01,37.839,38.308,37.523,38.125,190036,0
2017-05-02,38.135,38.283,37.149,37.445,121436,0
2017-05-03,37.257,37.947,37.257,37.869,75803,0
2017-05-04,38.195,38.562,37.869,38.125,77507,0
2017-05-05,38.313,38.313,37.789,38.037,79751,0
2017-05-08,38.037,38.273,37.819,38.095,45277,0
2017-05-09,38.135,38.135,37.355,37.701,64669,0
2017-05-10,37.553,37.937,37.474,37.661,51091,0
2017-05-11,37.474,37.474,36.645,36.774,67108,0
2017-05-12,36.556,36.862,36.082,36.507,78300,0
2017-05-15,36.596,37.129,36.596,36.961,67021,0
2017-05-16,36.951,37.001,36.488,36.951,63075,0
2017-05-17,36.102,36.408,35.106,35.432,137168,0
2017-05-18,35.304,35.896,35.175,35.53,88162,0
2017-05-19,35.501,35.934,35.224,35.264,111865,0
2017-05-22,35.402,35.836,35.304,35.738,67142,0
2017-05-23,35.896,36.488,35.481,36.212,61034,0
2017-05-24,36.25,36.25,35.619,35.944,99942,0
2017-05-25,36.132,36.172,35.648,35.846,88489,0
2017-05-26,35.708,35.866,35.343,35.54,87287,0
2017-05-30,35.461,35.501,34.781,35.302,78750,0
2017-05-31,35.362,35.362,34.557,34.895,86374,0
2017-06-01,35.083,35.818,34.845,35.779,96119,0
2017-06-02,35.421,36.573,35.421,35.719,163422,0
2017-06-05,35.729,36.245,35.51,35.51,94252,0
2017-06-06,35.193,35.908,34.771,35.679,99185,0
2017-06-07,35.818,36.295,35.352,36.166,120550,0
2017-06-08,36.682,38.221,35.381,37.606,205588,0
2017-06-09,37.924,39.155,37.804,39.105,181837,0
2017-06-12,39.105,40.108,37.839,38.42,132317,0
2017-06-13,38.48,38.509,37.745,37.993,108747,0
2017-06-14,37.636,38.211,37.387,38.172,85445,0
2017-06-15,38.003,38.48,37.685,38.182,109183,0
2017-06-16,37.963,38.067,37.407,37.497,492008,0
2017-06-19,37.784,37.933,37.04,37.07,88032,0
2017-06-20,37,37.924,36.414,36.434,79576,0
2017-06-21,36.484,36.484,35.64,35.679,147278,0
2017-06-22,35.57,35.838,35.213,35.699,66884,0
2017-06-23,35.709,35.858,35.391,35.62,164267,0
2017-06-26,35.61,36.136,35.451,35.918,90197,0
2017-06-27,36.096,36.502,35.798,35.997,122115,0
2017-06-28,36.225,36.97,35.908,36.573,117890,0
2017-06-29,36.99,37.387,36.484,37.209,147296,0
