Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,20.675,20.687,19.841,19.976,45583,0
2017-01-04,20.078,20.382,19.863,20.055,100574,0
2017-01-05,20.021,20.292,19.807,19.807,34872,0
2017-01-06,19.75,19.756,18.972,19.186,42646,0
2017-01-09,19.129,19.186,18.43,18.61,69498,0
2017-01-10,18.599,18.913,18.481,18.734,72742,0
2017-01-11,18.734,18.802,18.537,18.689,81729,0
2017-01-12,18.588,18.621,18.148,18.407,55534,0
2017-01-13,18.475,18.881,18.46,18.825,40059,0
2017-01-17,18.802,18.802,18.125,18.204,35226,0
2017-01-18,18.305,18.419,17.866,18.091,53949,0
2017-01-19,18.136,18.509,17.956,18.317,60086,0
2017-01-20,18.294,18.599,18.294,18.339,55796,0
2017-01-23,18.385,18.396,17.967,18.069,29837,0
2017-01-24,18.007,18.125,17.99,18.024,21542,0
2017-01-25,18.091,18.091,17.279,17.358,92738,0
2017-01-26,17.29,17.29,16.41,16.59,97628,0
2017-01-27,16.364,16.421,16.026,16.206,123478,0
2017-01-30,16.139,16.884,15.394,16.737,158783,0
2017-01-31,16.658,16.884,16.466,16.647,76997,0
2017-02-01,16.703,16.737,15.913,16.071,89503,0
2017-02-02,16.026,16.048,15.721,15.902,45645,0
2017-02-03,15.524,16.432,15.524,16.195,48039,0
2017-02-06,16.026,16.161,15.906,16.094,25337,0
2017-02-07,15.958,16.15,15.744,15.789,84237,0
2017-02-08,15.8,15.8,15.315,15.507,58055,0
2017-02-09,15.563,15.619,15.394,15.439,37892,0
2017-02-10,15.541,15.721,15.507,15.665,33659,0
2017-02-13,15.613,15.845,15.608,15.631,32731,0
2017-02-14,15.405,15.721,15.214,15.665,47067,0
2017-02-15,15.484,15.579,15.281,15.337,41814,0
2017-02-16,15.281,15.281,14.838,14.988,89994,0
2017-02-17,15.044,15.044,14.13,14.254,82622,0
2017-02-21,14.186,14.564,14.142,14.435,142498,0
2017-02-22,14.423,14.423,14.028,14.13,49817,0
2017-02-23,14.22,14.257,14.073,14.186,72742,0
2017-02-24,14.299,14.638,14.22,14.457,106296,0
2017-02-27,14.382,14.971,14.2,14.733,77772,0
2017-02-28,14.722,14.835,14.541,14.62,89753,0
2017-03-01,14.779,15.334,14.779,15.288,39875,0
2017-03-02,15.617,16.32,15.617,15.662,90453,0
2017-03-03,15.696,15.696,14.829,15.05,39739,0
2017-03-06,14.903,15.572,14.676,15.436,80932,0
2017-03-07,15.481,15.651,15.322,15.413,53126,0
2017-03-08,15.424,15.73,15.164,15.492,38768,0
2017-03-09,15.481,15.611,15.322,15.481,37354,0
2017-03-10,15.798,15.855,15.583,15.606,25534,0
2017-03-13,15.674,16.501,15.651,16.456,62091,0
2017-03-14,16.32,16.966,16.014,16.92,62113,0
2017-03-15,17.045,17.283,16.909,16.954,78892,0
2017-03-16,17.113,17.113,16.784,16.841,69292,0
2017-03-17,16.853,17.346,16.558,16.92,327528,0
2017-03-20,16.875,16.875,15.232,16.172,172173,0
2017-03-21,16.206,16.32,15.962,16.161,48967,0
2017-03-22,16.263,16.388,16.059,16.218,30161,0
2017-03-23,16.161,16.269,16.161,16.172,22934,0
2017-03-24,16.325,16.694,16.325,16.354,58826,0
2017-03-27,16.15,16.773,16.104,16.694,35104,0
2017-03-28,16.728,17.17,16.643,16.898,48306,0
2017-03-29,16.864,16.988,16.399,16.92,46503,0
2017-03-30,16.92,16.92,15.731,15.912,137534,0
2017-03-31,15.912,16.274,15.719,15.821,217731,0
2017-04-03,15.81,16.184,15.719,15.765,63842,0
2017-04-04,15.832,15.832,15.243,15.73,91837,0
2017-04-05,15.776,16.388,15.776,16.025,63987,0
2017-04-06,15.95,16.784,15.95,16.705,55389,0
2017-04-07,16.603,17.181,16.433,17.113,86172,0
2017-04-10,17.283,17.43,17.102,17.34,66167,0
2017-04-11,17.453,17.929,17.154,17.736,61496,0
2017-04-12,17.725,17.793,17.464,17.634,35336,0
2017-04-13,17.612,17.612,17.34,17.408,42983,0
2017-04-17,17.532,17.714,17.408,17.669,30301,0
2017-04-18,17.476,17.476,17.192,17.204,42528,0
2017-04-19,17.408,17.408,16.954,17.215,61610,0
2017-04-20,17.43,17.918,17.011,17.85,54715,0
2017-04-21,17.895,18.541,17.895,18.076,58379,0
2017-04-24,18.292,18.586,18.076,18.348,52706,0
2017-04-25,18.632,18.926,18.36,18.36,63400,0
2017-04-26,18.428,19.81,18.031,18.938,195252,0
2017-04-27,19.074,19.323,18.972,19.062,46223,0
2017-04-28,19.244,19.686,19.108,19.187,90112,0
2017-05-01,19.04,19.21,18.836,18.96,55035,0
2017-05-02,19.085,19.606,17.861,18.201,91570,0
2017-05-03,17.963,17.974,17.113,17.249,69717,0
2017-05-04,17,17,16.467,16.66,62463,0
2017-05-05,16.682,16.682,15.934,16.138,75609,0
2017-05-08,16.059,16.059,15.64,15.787,79868,0
2017-05-09,15.878,16.112,15.765,15.855,107202,0
2017-05-10,15.844,16.728,15.844,16.411,83370,0
2017-05-11,16.456,16.75,16.161,16.286,87192,0
2017-05-12,16.093,16.093,15.073,15.186,97396,0
2017-05-15,15.141,15.606,14.699,14.744,136575,0
2017-05-16,14.699,14.733,14.518,14.711,110752,0
2017-05-17,14.529,14.982,14.438,14.779,120991,0
2017-05-18,14.711,14.948,14.597,14.722,82731,0
2017-05-19,14.711,15.186,14.337,14.937,136623,0
2017-05-22,14.835,15.538,14.767,15.22,39087,0
2017-05-23,15.288,15.288,14.869,14.982,59942,0
2017-05-24,14.971,15.005,14.801,14.982,41696,0
2017-05-25,15.073,15.073,14.688,14.88,67835,0
2017-05-26,14.818,14.948,14.763,14.892,44988,0
2017-05-30,14.624,15.034,14.624,14.942,54566,0
2017-05-31,14.692,15.17,14.689,15.079,104400,0
2017-06-01,15.204,15.443,15.045,15.398,59193,0
