Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,60.151,60.195,58.325,59.213,1151,0
2017-01-04,60.151,60.151,59.213,59.213,618,0
2017-01-05,60.151,60.2,60.151,60.2,1047,0
2017-01-06,59.213,59.36,59.213,59.36,406,0
2017-01-13,59.707,59.707,59.18,59.18,1638,0
2017-01-17,59.263,61.088,59.213,61.088,1319,0
2017-01-19,59.263,60.2,59.213,60.2,303,0
2017-01-20,61.187,61.187,61.088,61.088,466,0
2017-01-23,61.138,61.138,61.138,61.138,100,0
2017-01-24,61.187,62.173,61.187,62.124,431,0
2017-01-25,62.173,62.173,62.173,62.173,111,0
2017-01-26,61.235,61.235,61.235,61.235,100,0
2017-01-27,61.68,62.124,61.285,62.124,314,0
2017-01-30,61.685,61.685,61.685,61.685,111,0
2017-02-01,62.667,62.667,62.441,62.441,544,0
2017-02-07,63.16,63.16,63.16,63.16,188,0
2017-02-09,63.16,63.16,63.16,63.16,881,0
2017-02-14,63.289,63.289,63.289,63.289,100,0
2017-02-15,64.148,64.148,63.801,63.801,709,0
2017-02-17,62.223,65.134,62.223,64.198,1064,0
2017-02-22,64.198,64.198,64.148,64.148,862,0
2017-03-01,64.148,64.148,64.148,64.148,1775,0
2017-03-02,62.371,63.753,62.371,63.753,932,0
2017-03-06,62.569,62.766,62.273,62.766,743,0
2017-03-07,63.901,64.148,63.901,64.148,620,0
2017-03-08,62.667,62.667,62.47,62.48,1004,0
2017-03-10,63.457,63.457,63.457,63.457,649,0
2017-03-13,63.705,63.705,63.705,63.705,559,0
2017-03-15,63.705,64.448,63.705,63.705,1489,0
2017-03-16,64.051,64.051,64.051,64.051,202,0
2017-03-20,64.151,64.151,64.151,64.151,103,0
2017-03-23,65.043,65.043,65.043,65.043,202,0
2017-03-27,66.332,66.729,66.332,66.679,1934,0
2017-03-28,66.381,66.381,66.381,66.381,152,0
2017-03-29,66.332,66.828,66.332,66.629,385,0
2017-03-31,65.742,68.414,65.742,68.414,512,0
2017-04-07,66.679,66.679,66.679,66.679,113,0
2017-04-10,66.729,66.828,66.679,66.679,412,0
2017-04-12,67.026,67.317,65.489,65.489,1588,0
2017-04-13,66.679,66.679,66.679,66.679,1995,0
2017-04-17,65.638,66.679,65.638,66.679,2357,0
2017-04-19,67.906,67.906,66.679,67.77,1555,0
2017-04-20,65.341,66.431,65.341,66.431,583,0
2017-04-21,65.539,65.539,65.539,65.539,100,0
2017-04-25,66.431,66.927,66.431,66.927,1359,0
2017-04-26,66.723,66.723,66.723,66.723,100,0
2017-05-10,67.621,68.166,67.621,68.166,948,0
2017-05-11,66.888,67.72,66.888,67.671,1661,0
2017-05-19,68.563,68.563,68.563,68.563,100,0
2017-05-22,68.414,68.414,68.414,68.414,100,0
2017-05-24,68.117,68.117,68.117,68.117,296,0
2017-05-26,68.414,68.414,68.414,68.414,152,0
2017-05-31,69.327,69.327,69.327,69.327,103,0
2017-06-01,69.406,69.406,69.406,69.406,177,0
2017-06-05,69.901,69.901,69.901,69.901,100,0
2017-06-06,69.158,69.207,69.158,69.207,271,0
2017-06-07,69.885,70.239,69.753,70.239,706,0
2017-06-13,68.456,69.701,67.909,69.701,3466,0
2017-06-14,70.099,70.249,70.099,70.249,508,0
2017-06-19,70.442,70.54,70.298,70.298,703,0
2017-06-20,70.329,70.329,70.329,70.329,357,0
2017-06-21,70.298,70.298,70.249,70.249,1751,0
2017-06-22,70.249,70.249,70.249,70.249,201,0
2017-06-27,71.891,71.891,71.891,71.891,141,0
2017-06-28,71.692,71.692,71.443,71.643,2588,0
2017-06-30,71.194,71.194,71.19,71.194,4229,0
2017-07-10,70.697,71.614,70.697,71.194,1607,0
2017-07-11,70.846,70.846,70.249,70.249,1023,0
2017-07-12,69.701,69.751,68.855,69.701,2145,0
2017-07-14,69.701,69.701,69.701,69.701,257,0
2017-07-17,69.452,69.452,69.452,69.452,121,0
2017-07-18,70.008,70.149,69.253,70.149,1065,0
2017-07-24,69.88,70.194,69.88,70.194,201,0
2017-07-27,69.701,69.701,69.701,69.701,201,0
2017-08-01,69.751,71.037,69.751,71.037,1201,0
