Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,74.19,74.533,73.76,73.896,39656,0
2017-01-04,73.945,74.338,73.485,74.043,60394,0
2017-01-05,73.955,74.229,73.466,73.495,25852,0
2017-01-06,73.915,74.259,72.995,73.534,29145,0
2017-01-09,73.241,73.554,72.829,73.074,39174,0
2017-01-10,73.299,74.406,73.103,74.269,43178,0
2017-01-11,74.142,75.425,74.142,75.346,22924,0
2017-01-12,75.297,75.297,74.092,74.239,20534,0
2017-01-13,74.826,75.14,74.533,74.925,25678,0
2017-01-17,74.612,75.15,74.582,74.788,24170,0
2017-01-18,74.886,74.886,74.338,74.797,38279,0
2017-01-19,74.816,74.928,73.868,73.868,31667,0
2017-01-20,73.838,75.238,73.554,74.376,37397,0
2017-01-23,74.612,74.612,73.446,73.915,18131,0
2017-01-24,74.278,75.033,72.878,74.973,38362,0
2017-01-25,75.415,75.415,74.415,74.973,15710,0
2017-01-26,75.081,75.081,73.965,74.582,10563,0
2017-01-27,74.749,74.797,74.082,74.641,10639,0
2017-01-30,73.965,74.151,72.702,72.878,18458,0
2017-01-31,72.75,73.309,72.692,73.309,57134,0
2017-02-01,73.329,73.788,73.054,73.084,25717,0
2017-02-02,73.182,73.249,72.281,72.466,18967,0
2017-02-03,72.722,72.817,72.006,72.408,31730,0
2017-02-06,72.868,72.868,70.89,71.027,49356,0
2017-02-07,71.183,71.541,70.047,70.468,53229,0
2017-02-08,70.254,70.254,69.333,69.518,58360,0
2017-02-09,69.744,70.586,69.528,70.498,19258,0
2017-02-10,70.224,71.164,68.881,70.958,12737,0
2017-02-13,71.918,71.957,70.821,71.222,16247,0
2017-02-14,71.105,71.477,70.714,71.477,13019,0
2017-02-15,71.115,71.967,70.614,71.702,21849,0
2017-02-16,71.888,72.622,71.487,72.192,35269,0
2017-02-17,72.192,73.838,71.83,72.055,23789,0
2017-02-21,72.672,72.75,71.997,72.712,22854,0
2017-02-22,72.545,73.289,72.329,73.132,28375,0
2017-02-23,72.956,73.397,72.515,72.868,14577,0
2017-02-24,72.348,72.966,72.348,72.76,13686,0
2017-02-27,72.77,73.476,72.622,72.936,17727,0
2017-02-28,72.829,73.661,71.58,73.084,33370,0
2017-03-01,73.945,74.112,72.976,73.563,23742,0
2017-03-02,73.563,73.75,72.77,72.897,19945,0
2017-03-03,73.015,74.092,72.28,72.858,16424,0
2017-03-06,72.475,73.241,72.221,72.565,16159,0
2017-03-07,72.555,73.583,72.035,72.779,17067,0
2017-03-08,72.595,73.182,71.977,71.997,17604,0
2017-03-09,72.035,72.662,71.222,71.674,13720,0
2017-03-10,72.281,72.348,71.712,71.821,22624,0
2017-03-13,71.429,72.281,70.301,72.006,13835,0
2017-03-14,71.702,72.144,70.316,71.438,15296,0
2017-03-15,71.869,73.015,71.811,72.75,21631,0
2017-03-16,72.418,73.103,72.094,72.505,24407,0
2017-03-17,72.281,73.995,68.177,71.684,102120,0
2017-03-20,71.497,71.497,69.766,70.684,12792,0
2017-03-21,71.037,71.037,70.164,70.4,20532,0
2017-03-22,70.381,71.027,70.01,70.595,18147,0
2017-03-23,70.605,71.849,70.605,70.948,8686,0
2017-03-24,71.007,71.766,70.234,70.301,29615,0
2017-03-27,69.96,70.468,69.166,70.087,22761,0
2017-03-28,70.087,70.488,69.43,70.204,16230,0
2017-03-29,70.372,70.707,69.514,69.869,16200,0
2017-03-30,70.292,71.279,70.036,70.618,24275,0
2017-03-31,70.756,70.756,70.007,70.273,31683,0
2017-04-03,70.273,70.273,68.755,68.953,51125,0
2017-04-04,68.963,69.144,68.051,69.051,19892,0
2017-04-05,69.297,69.79,68.805,68.963,20825,0
2017-04-06,69.287,70.539,69.031,69.978,34523,0
2017-04-07,70.135,70.421,69.406,69.83,20037,0
2017-04-10,69.859,70.282,69.603,70.036,17951,0
2017-04-11,69.958,71.032,67.702,70.973,19094,0
2017-04-12,70.855,71.091,69.277,69.83,18109,0
2017-04-13,69.77,69.78,68.81,69.297,12414,0
2017-04-17,69.386,70.106,69.14,69.958,16914,0
2017-04-18,69.82,69.84,68.968,69.632,10299,0
2017-04-19,69.82,71.327,67.494,69.741,18469,0
2017-04-20,69.888,72.708,68.051,71.417,37365,0
2017-04-21,71.584,72.737,70.965,72.668,48270,0
2017-04-24,73.2,73.831,71.535,72.086,31169,0
2017-04-25,72.47,73.565,70.658,72.698,34321,0
2017-04-26,72.698,74.048,72.19,73.181,30395,0
2017-04-27,73.181,74.117,72.974,73.112,23350,0
2017-04-28,73.525,73.949,69.898,73.348,29487,0
2017-05-01,73.397,73.753,69.79,72.314,30369,0
2017-05-02,72.422,73.6,70.392,73.477,29224,0
2017-05-03,73.2,74.61,69.672,72.314,37902,0
2017-05-04,72.737,72.737,70.904,72.461,19665,0
2017-05-05,72.372,73.329,70.79,72.166,24685,0
2017-05-08,72.54,73.19,71.643,72.195,23682,0
2017-05-09,71.889,73.19,69.988,71.889,25382,0
2017-05-10,71.958,73.052,69.101,71.929,25603,0
