Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,21.557,21.597,21.383,21.577,1979861,0
2017-01-04,21.635,22.005,21.635,21.742,2299030,0
2017-01-05,21.801,22.106,21.645,22.054,5633134,0
2017-01-06,21.976,22.034,21.645,21.742,4523440,0
2017-01-09,21.908,21.937,21.354,21.451,3109062,0
2017-01-10,21.441,21.534,21.238,21.334,2243560,0
2017-01-11,21.344,21.577,21.188,21.509,3379408,0
2017-01-12,21.48,21.48,21.149,21.421,2610152,0
2017-01-13,21.354,21.514,21.198,21.354,1799464,0
2017-01-17,21.431,21.821,21.402,21.732,3044650,0
2017-01-18,21.713,21.908,21.655,21.898,2540112,0
2017-01-19,21.811,21.878,21.616,21.723,1857975,0
2017-01-20,21.801,21.903,21.732,21.888,2605260,0
2017-01-23,21.918,21.947,21.475,21.587,2335922,0
2017-01-24,21.587,21.704,21.519,21.635,1912397,0
2017-01-25,21.577,21.645,21.509,21.587,2012433,0
2017-01-26,21.597,21.786,21.529,21.607,2363261,0
2017-01-27,21.665,21.676,21.364,21.421,1904408,0
2017-01-30,21.489,21.499,21.052,21.238,2638698,0
2017-01-31,21.218,21.772,21.208,21.752,2800499,0
2017-02-01,21.549,21.602,21.295,21.373,3176175,0
2017-02-02,21.344,21.562,21.31,21.549,2975169,0
2017-02-03,21.626,21.737,21.519,21.645,2563362,0
2017-02-06,21.732,21.768,21.567,21.626,2869218,0
2017-02-07,21.645,21.704,21.539,21.549,2932001,0
2017-02-08,21.602,21.818,21.562,21.739,3350551,0
2017-02-09,21.739,21.926,21.666,21.788,2897534,0
2017-02-10,21.71,22.088,21.671,21.964,2768956,0
2017-02-13,21.974,22.083,21.818,22.073,2683128,0
2017-02-14,21.994,22.023,21.705,21.808,2144845,0
2017-02-15,21.631,21.798,21.494,21.788,2515584,0
2017-02-16,21.808,22.22,21.719,22.22,3450948,0
2017-02-17,22.258,22.278,22.058,22.248,11516053,0
2017-02-21,22.2,22.582,22.083,22.533,4096508,0
2017-02-22,22.582,22.714,22.278,22.709,3616843,0
2017-02-23,22.837,23.346,22.837,23.298,4484907,0
2017-02-24,23.298,23.563,23.283,23.533,3768728,0
2017-02-27,23.503,23.503,23.298,23.327,2122482,0
2017-02-28,23.268,23.553,23.239,23.435,3162164,0
2017-03-01,23.111,23.523,23.092,23.425,6232656,0
2017-03-02,23.336,23.802,23.298,23.611,2979539,0
2017-03-03,23.63,23.63,23.082,23.249,5020183,0
2017-03-06,23.239,23.298,23.062,23.111,3451876,0
2017-03-07,23.121,23.18,22.999,23.033,3118763,0
2017-03-08,22.847,22.886,22.562,22.562,3023452,0
2017-03-09,22.612,22.769,22.504,22.533,3566824,0
2017-03-10,22.7,22.886,22.641,22.866,2497644,0
2017-03-13,22.847,23.053,22.807,23.033,3061876,0
2017-03-14,23.004,23.057,22.852,22.896,2302411,0
2017-03-15,23.004,23.768,22.857,23.239,4011510,0
2017-03-16,23.151,23.151,22.847,22.906,2480760,0
2017-03-17,22.974,23.141,22.906,23.033,3903777,0
2017-03-20,22.984,23.102,22.719,22.759,2410450,0
2017-03-21,22.827,23.219,22.729,23.102,4141592,0
2017-03-22,23.19,23.396,23.19,23.336,3525384,0
2017-03-23,23.298,23.592,23.214,23.278,2481890,0
2017-03-24,23.318,23.465,23.219,23.396,2387576,0
2017-03-27,23.533,23.563,23.18,23.336,2087508,0
2017-03-28,23.327,23.327,23.092,23.239,2013375,0
2017-03-29,23.229,23.258,23.053,23.239,1621239,0
2017-03-30,23.111,23.18,23.014,23.121,2072845,0
2017-03-31,23.111,23.406,23.111,23.318,2114387,0
2017-04-03,23.268,23.298,23.063,23.209,2310222,0
2017-04-04,23.19,23.318,23.102,23.19,2749151,0
2017-04-05,23.18,23.336,23.102,23.308,2963883,0
2017-04-06,23.298,23.465,23.17,23.366,2825127,0
2017-04-07,23.415,23.474,23.199,23.209,5563650,0
2017-04-10,23.258,23.327,23.121,23.268,2321633,0
2017-04-11,23.239,23.415,23.072,23.376,2737098,0
2017-04-12,23.376,23.493,23.229,23.465,1854500,0
2017-04-13,23.455,23.455,23.102,23.308,2119906,0
