Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,17.512,17.645,17.502,17.645,64083,0
2017-01-04,17.692,17.881,17.629,17.786,82484,0
2017-01-05,17.636,17.834,17.626,17.834,104084,0
2017-01-06,17.814,17.861,17.702,17.796,130253,0
2017-01-09,17.834,17.947,17.768,17.89,119156,0
2017-01-10,17.928,17.984,17.852,17.909,91459,0
2017-01-11,17.909,18.079,17.861,17.965,51284,0
2017-01-12,17.89,17.937,17.806,17.89,43102,0
2017-01-13,17.9,17.957,17.871,17.881,50911,0
2017-01-17,17.9,17.9,17.757,17.777,90805,0
2017-01-18,17.796,17.834,17.749,17.834,90171,0
2017-01-19,17.796,17.83,17.702,17.749,63115,0
2017-01-20,17.814,17.814,17.73,17.786,64310,0
2017-01-23,17.777,17.777,17.71,17.739,66160,0
2017-01-24,17.786,17.928,17.757,17.9,72781,0
2017-01-25,18.013,18.126,17.909,18.126,148417,0
2017-01-26,18.164,18.164,18.051,18.126,117247,0
2017-01-27,18.126,18.126,17.984,18.022,102484,0
2017-01-30,18.004,18.004,17.834,17.928,92972,0
2017-01-31,17.89,17.994,17.824,17.965,96972,0
2017-02-01,18.022,18.078,17.881,17.984,92518,0
2017-02-02,18.031,18.088,17.937,18.088,139153,0
2017-02-03,18.135,18.202,18.06,18.182,119836,0
2017-02-06,18.182,18.202,18.051,18.117,139938,0
2017-02-07,18.145,18.184,18.098,18.155,85977,0
2017-02-08,18.182,18.306,18.135,18.249,169335,0
2017-02-09,18.259,18.324,18.212,18.239,122936,0
2017-02-10,18.239,18.363,18.221,18.353,133648,0
2017-02-13,18.353,18.39,18.277,18.333,105048,0
2017-02-14,18.333,18.39,18.277,18.39,103247,0
2017-02-15,18.333,18.475,18.333,18.438,117237,0
2017-02-16,18.438,18.447,18.343,18.4,104831,0
2017-02-17,18.333,18.363,18.249,18.268,127043,0
2017-02-21,18.324,18.363,18.296,18.333,91987,0
2017-02-22,18.324,18.39,18.286,18.363,93125,0
2017-02-23,18.39,18.419,18.333,18.419,133079,0
2017-02-24,18.353,18.457,18.324,18.457,61361,0
2017-02-27,18.466,18.646,18.438,18.617,126554,0
2017-02-28,18.617,18.649,18.475,18.561,90159,0
2017-03-01,18.646,18.693,18.617,18.626,82042,0
2017-03-02,18.664,18.664,18.58,18.617,47437,0
2017-03-03,18.646,18.655,18.532,18.626,62311,0
2017-03-06,18.598,18.598,18.475,18.551,62523,0
2017-03-07,18.532,18.561,18.41,18.532,96675,0
2017-03-08,18.551,18.569,18.504,18.542,90228,0
2017-03-09,18.57,18.57,18.359,18.474,86894,0
2017-03-10,18.561,18.561,18.378,18.407,68231,0
2017-03-13,18.445,18.465,18.33,18.397,50820,0
2017-03-14,18.368,18.416,18.243,18.32,70390,0
2017-03-15,18.339,18.448,18.272,18.407,104447,0
2017-03-16,18.436,18.455,18.339,18.416,84211,0
2017-03-17,18.445,18.513,18.407,18.436,85017,0
