Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,5.8787,5.9182,5.7702,5.859,501735,0
2017-01-04,5.9379,5.9971,5.9281,5.9872,182720,0
2017-01-05,5.9478,6.0069,5.9133,5.9971,188134,0
2017-01-06,5.9576,5.9736,5.9281,5.9576,154577,0
2017-01-09,5.9478,5.9478,5.8886,5.8886,109665,0
2017-01-10,5.859,5.8985,5.8491,5.8689,85755,0
2017-01-11,5.8985,5.9631,5.8985,5.9478,102458,0
2017-01-12,5.9576,5.9675,5.8985,5.9576,92181,0
2017-01-13,6.007,6.0366,5.9971,6.007,68794,0
2017-01-17,5.9281,5.9478,5.8592,5.8787,172425,0
2017-01-18,5.9281,5.9724,5.9182,5.9675,96813,0
2017-01-19,5.9872,5.9971,5.9379,5.9675,98504,0
2017-01-20,5.9971,6.0168,5.9675,5.9971,53551,0
2017-01-23,5.9971,6.0168,5.9702,6.0168,42392,0
2017-01-24,5.9971,6.0563,5.9576,6.0563,150436,0
2017-01-25,6.0661,6.1451,6.0464,6.1352,157600,0
2017-01-26,6.3522,6.362,6.3029,6.3423,121340,0
2017-01-27,6.2437,6.2437,6.1549,6.1549,67077,0
2017-01-30,6.1451,6.1451,6.0464,6.1155,257100,0
2017-01-31,6.1253,6.1648,6.0563,6.0957,139112,0
2017-02-01,6.3127,6.3127,6.2536,6.2634,614873,0
2017-02-02,6.3522,6.4212,6.2831,6.4212,630302,0
2017-02-03,6.4508,6.5199,6.4311,6.51,241309,0
2017-02-06,6.4607,6.5199,6.441,6.51,157745,0
2017-02-07,6.5199,6.5297,6.4706,6.51,79718,0
2017-02-08,6.5199,6.5396,6.4904,6.5396,87064,0
2017-02-09,6.5396,6.5988,6.51,6.5889,123687,0
2017-02-10,6.5889,6.6086,6.5692,6.6086,74399,0
2017-02-13,6.5988,6.7073,6.5692,6.6678,1233214,0
2017-02-14,6.51,6.5988,6.51,6.5791,1885501,0
2017-02-15,6.5692,6.6185,6.5594,6.6086,157183,0
2017-02-16,6.5791,6.6382,6.5791,6.6086,113240,0
2017-02-17,6.4706,6.5495,6.4706,6.5396,114125,0
2017-02-21,6.5889,6.6284,6.5495,6.6185,290437,0
2017-02-22,6.5199,6.5593,6.5101,6.5593,126053,0
2017-02-23,6.4212,6.4656,6.4212,6.4508,146379,0
2017-02-24,6.4114,6.4212,6.3719,6.4114,68634,0
2017-02-27,6.3621,6.3818,6.3325,6.3818,57531,0
2017-02-28,6.3818,6.4212,6.3818,6.4015,78537,0
2017-03-01,6.5199,6.5692,6.5001,6.5495,581544,0
2017-03-02,6.5396,6.5396,6.4509,6.4706,113101,0
2017-03-03,6.4804,6.5297,6.4804,6.4903,116211,0
2017-03-06,6.4706,6.4706,6.4114,6.4212,106593,0
2017-03-07,6.3818,6.4311,6.3818,6.4212,73257,0
2017-03-08,6.3522,6.4015,6.3226,6.3325,116628,0
2017-03-09,6.3621,6.3916,6.3522,6.3916,69991,0
2017-03-10,6.5988,6.5988,6.5149,6.5495,111138,0
2017-03-13,6.5199,6.5593,6.51,6.5495,84845,0
2017-03-14,6.5001,6.5001,6.441,6.4706,95373,0
2017-03-15,6.4903,6.5396,6.4804,6.5396,87109,0
2017-03-16,6.5791,6.6086,6.5199,6.5593,144881,0
2017-03-17,6.6086,6.6185,6.5495,6.5988,244037,0
2017-03-20,6.5791,6.6185,6.5495,6.5495,89862,0
2017-03-21,6.5593,6.5692,6.3818,6.3916,139184,0
2017-03-22,6.3226,6.3621,6.2437,6.3325,159841,0
2017-03-23,6.3029,6.3522,6.2832,6.3029,120612,0
2017-03-24,6.3522,6.4212,6.3522,6.4015,119984,0
2017-03-27,6.2437,6.3029,6.2141,6.293,141524,0
2017-03-28,6.3029,6.4311,6.2831,6.4311,118161,0
2017-03-29,6.39,6.42,6.37,6.39,164044,0
2017-03-30,6.33,6.36,6.33,6.35,236128,0
2017-03-31,6.26,6.29,6.255,6.27,129867,0
2017-04-03,6.25,6.25,6.18,6.24,99950,0
2017-04-04,6.12,6.13,6.095,6.11,238711,0
2017-04-05,6.11,6.11,6.02,6.03,145408,0
2017-04-06,5.92,5.92,5.86,5.91,383933,0
2017-04-07,6.03,6.03,5.96,5.99,197391,0
2017-04-10,5.95,6.01,5.95,5.99,73331,0
2017-04-11,6,6.03,5.96,6.01,146198,0
2017-04-12,5.98,5.98,5.92,5.96,92859,0
2017-04-13,5.9,5.92,5.85,5.86,156921,0
2017-04-17,5.99,6.01,5.98,5.99,198493,0
2017-04-18,6,6.0065,5.92,6,196024,0
2017-04-19,6.04,6.05,5.99,6.02,158603,0
2017-04-20,6.07,6.11,6.07,6.09,175660,0
2017-04-21,6.13,6.18,6.13,6.14,142836,0
2017-04-24,6.13,6.16,6.09,6.13,165466,0
2017-04-25,6.25,6.3,6.23,6.27,146965,0
2017-04-26,6.27,6.3,6.25,6.26,96044,0
2017-04-27,6.43,6.52,6.39,6.47,340314,0
2017-04-28,6.04,6.06,6.01,6.04,273084,0
2017-05-01,6.06,6.07,6.0108,6.04,197656,0
2017-05-02,6.1,6.16,6.1,6.15,598576,0
2017-05-03,6.13,6.17,6.07,6.15,218291,0
2017-05-04,6.14,6.17,6.14,6.17,103597,0
2017-05-05,6.19,6.19,6.13,6.17,207627,0
2017-05-08,6.24,6.28,6.215,6.26,143901,0
2017-05-09,6.22,6.23,6.18,6.19,134326,0
2017-05-10,6.17,6.21,6.12,6.18,419911,0
2017-05-11,6.17,6.17,6.12,6.14,294927,0
2017-05-12,6.17,6.17,6.15,6.16,133159,0
2017-05-15,6.21,6.26,6.21,6.25,188753,0
2017-05-16,6.23,6.24,6.16,6.2,158778,0
2017-05-17,6.07,6.07,5.98,6.01,319704,0
2017-05-18,5.91,5.99,5.88,5.96,282908,0
2017-05-19,6.08,6.1,6.06,6.08,221224,0
2017-05-22,6.1,6.14,6.08,6.14,92540,0
2017-05-23,6.06,6.075,6.03,6.05,124016,0
2017-05-24,6.06,6.06,6.02,6.06,117369,0
2017-05-25,6.02,6.03,5.98,6.02,210012,0
2017-05-26,6,6.07,6,6.07,131503,0
2017-05-30,6.06,6.075,6.01,6.04,295134,0
2017-05-31,6.02,6.02,5.91,5.99,285221,0
2017-06-01,6.02,6.04,6,6.03,181521,0
2017-06-02,6.27,6.34,6.24,6.33,155706,0
2017-06-05,6.22,6.26,6.18,6.21,228086,0
2017-06-06,6.16,6.225,6.1301,6.19,539132,0
2017-06-07,6.24,6.32,6.24,6.3,197776,0
2017-06-08,6.24,6.27,6.24,6.25,199822,0
2017-06-09,6.23,6.25,6.165,6.2,204398,0
2017-06-12,6.21,6.26,6.2,6.25,171065,0
2017-06-13,6.23,6.26,6.22,6.26,249450,0
2017-06-14,6.22,6.23,6.16,6.22,152365,0
2017-06-15,6.04,6.06,6.01,6.05,169271,0
2017-06-16,6.17,6.21,6.09,6.21,164161,0
2017-06-19,6.18,6.2,6.16,6.19,180922,0
2017-06-20,6.19,6.2,6.14,6.17,131827,0
2017-06-21,6.11,6.13,6.08,6.11,88201,0
2017-06-22,6.08,6.13,6.07,6.11,107518,0
2017-06-23,6.13,6.15,6.1,6.14,118604,0
2017-06-26,6.05,6.08,6.02,6.03,242351,0
2017-06-27,6.08,6.09,5.99,5.99,721854,0
2017-06-28,6.01,6.1,6.01,6.09,198499,0
2017-06-29,6.12,6.15,6.015,6.06,207372,0
2017-06-30,6.04,6.065,6.029,6.04,195282,0
2017-07-03,6.05,6.06,6.04,6.05,114395,0
2017-07-05,5.96,5.98,5.94,5.96,284962,0
2017-07-06,5.91,5.92,5.85,5.86,202924,0
2017-07-07,5.84,5.84,5.79,5.81,218155,0
2017-07-10,5.84,5.85,5.82,5.83,132160,0
2017-07-11,5.87,5.9,5.85,5.88,203468,0
2017-07-12,5.93,5.96,5.91,5.92,179319,0
2017-07-13,5.9,5.95,5.89,5.93,165890,0
2017-07-14,5.92,5.93,5.87,5.9,119762,0
