Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,42.399,42.485,41.892,42.457,1043465,0
2017-01-04,42.523,43.48,42.437,43.384,1515252,0
2017-01-05,43.146,44.274,42.858,44.092,1513667,0
2017-01-06,43.661,44.331,43.615,43.815,1225269,0
2017-01-09,43.969,44.083,43.213,43.299,819604,0
2017-01-10,43.241,43.615,42.878,42.905,681854,0
2017-01-11,43.021,43.452,42.733,42.801,839632,0
2017-01-12,42.905,43.337,42.6,43.327,731452,0
2017-01-13,43.183,43.514,42.882,43.136,660640,0
2017-01-17,43.279,44.235,43.174,44.131,1411201,0
2017-01-18,44.073,44.102,43.408,43.509,1439852,0
2017-01-19,43.308,43.585,42.682,42.714,989515,0
2017-01-20,42.696,43.131,42.667,42.935,949566,0
2017-01-23,43.174,43.619,42.945,43.538,871549,0
2017-01-24,43.48,43.671,43.021,43.127,953585,0
2017-01-25,42.792,43.299,42.372,42.667,935473,0
2017-01-26,42.667,42.93,42.159,42.361,873775,0
2017-01-27,42.675,42.916,41.534,41.757,1220397,0
2017-01-30,41.708,41.785,41.1,41.167,1348327,0
2017-01-31,41.795,42.608,41.737,42.144,3960105,0
2017-02-01,41.901,42.063,40.51,40.742,2472287,0
2017-02-02,40.693,41.921,40.693,41.699,1890197,0
2017-02-03,42.162,42.336,41.38,41.564,1357899,0
2017-02-06,41.66,42.037,41.37,41.969,1191810,0
2017-02-07,41.892,42.182,41.573,42.037,835441,0
2017-02-08,42.211,42.839,41.998,42.646,802016,0
2017-02-09,42.568,42.792,42.182,42.598,822701,0
2017-02-10,42.404,43.177,42.336,43.052,665638,0
2017-02-13,43.332,43.564,42.443,42.936,1300903,0
2017-02-14,42.849,43.284,42.506,42.829,1367832,0
2017-02-15,42.685,42.695,41.854,42.578,1163712,0
2017-02-16,42.598,43.158,42.598,43.023,827828,0
2017-02-17,43.255,43.381,42.665,43.226,2599447,0
2017-02-21,43.177,43.511,42.695,43.449,1144253,0
2017-02-22,43.526,43.67,43.226,43.362,713831,0
2017-02-23,43.477,43.884,43.207,43.854,795038,0
2017-02-24,43.98,44.387,43.681,44.377,777497,0
2017-02-27,44.387,44.792,44.25,44.531,955850,0
2017-02-28,44.357,44.367,43.551,43.729,1228387,0
2017-03-01,43.526,43.68,43.071,43.39,979903,0
2017-03-02,43.216,43.458,42.956,43.13,957934,0
2017-03-03,43.1,43.1,42.259,42.906,776948,0
2017-03-06,42.819,42.819,42.356,42.675,667316,0
2017-03-07,42.559,42.747,42.336,42.636,643243,0
2017-03-08,42.269,42.453,41.505,41.564,1027697,0
2017-03-09,41.544,41.897,40.693,40.935,981171,0
2017-03-10,41.206,41.478,40.626,40.916,680697,0
2017-03-13,41.041,41.428,40.906,40.993,912995,0
2017-03-14,40.983,41.312,40.646,41.187,999772,0
2017-03-15,41.321,42.356,41.284,42.095,1288059,0
2017-03-16,41.969,42.521,41.969,42.356,1236260,0
2017-03-17,42.424,42.961,42.192,42.878,1907466,0
2017-03-20,42.993,43.125,42.414,42.511,552778,0
2017-03-21,42.655,42.965,42.366,42.819,927617,0
